NomenclatureCode,Nomenclature,ProductGroup,ProductGroupDescription,ProductCode,ProductDescription
H0,HS 1988/92,01-05_Animal,Animal,1,Live animals
H0,HS 1988/92,01-05_Animal,Animal,2,Meat and edible meat offal
H0,HS 1988/92,01-05_Animal,Animal,3,"Fish & crustacean, mollusc & other  aquatic inv"
H0,HS 1988/92,01-05_Animal,Animal,4,Dairy prod; birds' eggs; natural honey;  edible
H0,HS 1988/92,01-05_Animal,Animal,5,"Products of animal origin, nes or  included."
H0,HS 1988/92,06-15_Vegetable,Vegetable,6,"Live tree & other plant; bulb, root; cut  flowe"
H0,HS 1988/92,06-15_Vegetable,Vegetable,7,Edible vegetables and certain roots and  tubers
H0,HS 1988/92,06-15_Vegetable,Vegetable,8,Edible fruit and nuts; peel of citrus  fruit or
H0,HS 1988/92,06-15_Vegetable,Vegetable,9,"Coffee, tea, matï and spices."
H0,HS 1988/92,06-15_Vegetable,Vegetable,10,Cereals
H0,HS 1988/92,06-15_Vegetable,Vegetable,11,Prod.mill.indust; malt; starches;  inulin; whea
H0,HS 1988/92,06-15_Vegetable,Vegetable,12,"Oil seed, oleagi fruits; miscell grain,  seed,"
H0,HS 1988/92,06-15_Vegetable,Vegetable,13,"Lac; gums, resins & other vegetable saps  & ext"
H0,HS 1988/92,06-15_Vegetable,Vegetable,14,Vegetable plaiting materials; vegetable  produc
H0,HS 1988/92,06-15_Vegetable,Vegetable,15,Animal/veg fats & oils & their cleavage  produc
H0,HS 1988/92,16-24_FoodProd,Food Products,16,"Prep of meat, fish or crustaceans,  molluscs et"
H0,HS 1988/92,16-24_FoodProd,Food Products,17,Sugars and sugar confectionery.
H0,HS 1988/92,16-24_FoodProd,Food Products,18,Cocoa and cocoa preparations.
H0,HS 1988/92,16-24_FoodProd,Food Products,19,"Prep.of cereal, flour, starch/milk;  pastrycook"
H0,HS 1988/92,16-24_FoodProd,Food Products,20,"Prep of vegetable, fruit, nuts or other  parts"
H0,HS 1988/92,16-24_FoodProd,Food Products,21,Miscellaneous edible preparations.
H0,HS 1988/92,16-24_FoodProd,Food Products,22,"Beverages, spirits and vinegar."
H0,HS 1988/92,16-24_FoodProd,Food Products,23,Residues & waste from the food indust;  prepr a
H0,HS 1988/92,16-24_FoodProd,Food Products,24,Tobacco and manufactured tobacco substitutes
H0,HS 1988/92,25-26_Minerals,Minerals,25,Salt; sulphur; earth & ston; plastering  mat; l
H0,HS 1988/92,25-26_Minerals,Minerals,26,"Ores, slag and ash."
H0,HS 1988/92,27-27_Fuels,Fuels,27,"Mineral fuels, oils & product of their  distill"
H0,HS 1988/92,28-38_Chemicals,Chemicals,28,"Inorgn chem; compds of prec mtl,  radioact elem"
H0,HS 1988/92,28-38_Chemicals,Chemicals,29,Organic chemicals.
H0,HS 1988/92,28-38_Chemicals,Chemicals,30,Pharmaceutical products.
H0,HS 1988/92,28-38_Chemicals,Chemicals,31,Fertilisers.
H0,HS 1988/92,28-38_Chemicals,Chemicals,32,Tanning/dyeing extract; tannins &  derivs; pigm
H0,HS 1988/92,28-38_Chemicals,Chemicals,33,"Essential oils & resinoids; perf,  cosmetic/toi"
H0,HS 1988/92,28-38_Chemicals,Chemicals,34,"Soap, organic surface-active agents,  washing p"
H0,HS 1988/92,28-38_Chemicals,Chemicals,35,Albuminoidal subs; modified starches;  glues; e
H0,HS 1988/92,28-38_Chemicals,Chemicals,36,Explosives; pyrotechnic prod; matches;  pyrop a
H0,HS 1988/92,28-38_Chemicals,Chemicals,37,Photographic or cinematographic goods.
H0,HS 1988/92,28-38_Chemicals,Chemicals,38,Miscellaneous chemical products.
H0,HS 1988/92,39-40_PlastiRub,Plastic or Rubber,39,Plastics and articles thereof.
H0,HS 1988/92,39-40_PlastiRub,Plastic or Rubber,40,Rubber and articles thereof.
H0,HS 1988/92,41-43_HidesSkin,Hides and Skins,41,Raw hides and skins (other than  furskins) and
H0,HS 1988/92,41-43_HidesSkin,Hides and Skins,42,Articles of leather; saddlery/harness;  travel
H0,HS 1988/92,41-43_HidesSkin,Hides and Skins,43,Furskins and artificial fur;  manufactures ther
H0,HS 1988/92,44-49_Wood,Wood,44,Wood and articles of wood; wood  charcoal.
H0,HS 1988/92,44-49_Wood,Wood,45,Cork and articles of cork.
H0,HS 1988/92,44-49_Wood,Wood,46,"Manufactures of straw, esparto/other  plaiting"
H0,HS 1988/92,44-49_Wood,Wood,47,Pulp of wood/of other fibrous cellulosic  mat;
H0,HS 1988/92,44-49_Wood,Wood,48,"Paper & paperboard; art of paper pulp,  paper/p"
H0,HS 1988/92,44-49_Wood,Wood,49,"Printed books, newspapers, pictures &  other pr"
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,50,Silk.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,51,"Wool, fine/coarse animal hair, horsehair  yarn"
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,52,Cotton.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,53,Other vegetable textile fibres; paper  yarn & w
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,54,Man-made filaments.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,55,Man-made staple fibres.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,56,"Wadding, felt & nonwoven; yarns; twine,  cordag"
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,57,Carpets and other textile floor  coverings.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,58,Special woven fab; tufted tex fab; lace;  tapes
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,59,"Impregnated, coated, cover/laminated  textile f"
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,60,Knitted or crocheted fabrics.
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,61,"Art of apparel & clothing access,  knitted or c"
H0,HS 1988/92,50-63_TextCloth,Textiles and Clothing,62,"Art of apparel & clothing access, not  knitted/"
