"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Aruba","Belgium","2015.0","Export","2.0","0.19","40.92","0.05"
"Aruba","Bahamas, The","2015.0","Export","","","",""
"Aruba","Brazil","2015.0","Export","","","",""
"Aruba","Switzerland","2015.0","Export","","","",""
"Aruba","China","2015.0","Export","3.0","0.28","649.7","0.81"
"Aruba","Colombia","2015.0","Export","25.0","2.32","21893.71","27.41"
"Aruba","Curaçao","2015.0","Export","80.0","7.43","13439.71","16.82"
"Aruba","East Asia & Pacific","2015.0","Export","3.0","0.28","649.7","0.81"
"Aruba","Europe & Central Asia","2015.0","Export","32.0","2.97","7848.35","9.82"
"Aruba","France","2015.0","Export","","","",""
"Aruba","United Kingdom","2015.0","Export","2.0","0.19","45.88","0.06"
"Aruba","Japan","2015.0","Export","","","",""
"Aruba","Korea, Rep.","2015.0","Export","","","",""
"Aruba","Latin America & Caribbean","2015.0","Export","76.0","7.06","37529.71","46.98"
"Aruba","Mexico","2015.0","Export","3.0","0.28","5234.89","6.55"
"Aruba","North America","2015.0","Export","55.0","5.11","5601.88","7.01"
"Aruba","Netherlands","2015.0","Export","28.0","2.6","7761.55","9.72"
"Aruba","Other Asia, nes","2015.0","Export","5.0","0.46","465.32","0.58"
"Aruba","Panama","2015.0","Export","11.0","1.02","3040.7","3.81"
"Aruba","Paraguay","2015.0","Export","1.0","0.09","70.02","0.09"
"Aruba","Suriname","2015.0","Export","11.0","1.02","2255.04","2.82"
"Aruba","Sweden","2015.0","Export","","","",""
"Aruba","Unspecified","2015.0","Export","1006.0","93.49","14347.54","17.96"
"Aruba","Uruguay","2015.0","Export","1.0","0.09","161.44","0.2"
"Aruba","United States","2015.0","Export","55.0","5.11","5601.88","7.01"
"Aruba","Venezuela","2015.0","Export","50.0","4.65","4873.93","6.1"
"Aruba"," World","2015.0","Export","1076.0","100.0","79882.21","100.0"
