"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Afghanistan","United Arab Emirates","2015.0","Export","31.0","72.09","24444.45","4.28"
"Afghanistan","Argentina","2015.0","Export","","","",""
"Afghanistan","Armenia","2015.0","Export","","","",""
"Afghanistan","Australia","2015.0","Export","8.0","18.6","1296.26","0.23"
"Afghanistan","Austria","2015.0","Export","2.0","4.65","51.92","0.01"
"Afghanistan","Azerbaijan","2015.0","Export","3.0","6.98","3.41","0.0"
"Afghanistan","Belgium","2015.0","Export","10.0","23.26","354.15","0.06"
"Afghanistan","Bangladesh","2015.0","Export","2.0","4.65","618.7","0.11"
"Afghanistan","Bulgaria","2015.0","Export","1.0","2.33","7.91","0.0"
"Afghanistan","Bosnia and Herzegovina","2015.0","Export","","","",""
"Afghanistan","Brazil","2015.0","Export","1.0","2.33","107.5","0.02"
"Afghanistan","Canada","2015.0","Export","12.0","27.91","771.75","0.14"
"Afghanistan","Switzerland","2015.0","Export","1.0","2.33","68.55","0.01"
"Afghanistan","China","2015.0","Export","7.0","16.28","10150.95","1.78"
"Afghanistan","Colombia","2015.0","Export","","","",""
"Afghanistan","Costa Rica","2015.0","Export","","","",""
"Afghanistan","Czech Republic","2015.0","Export","2.0","4.65","9.18","0.0"
"Afghanistan","Germany","2015.0","Export","16.0","37.21","5677.44","0.99"
"Afghanistan","Denmark","2015.0","Export","2.0","4.65","113.52","0.02"
"Afghanistan","East Asia & Pacific","2015.0","Export","14.0","32.56","12146.48","2.13"
"Afghanistan","Europe & Central Asia","2015.0","Export","36.0","83.72","66215.67","11.59"
"Afghanistan","Ecuador","2015.0","Export","","","",""
"Afghanistan","Egypt, Arab Rep.","2015.0","Export","1.0","2.33","91.59","0.02"
"Afghanistan","Spain","2015.0","Export","3.0","6.98","333.57","0.06"
"Afghanistan","Estonia","2015.0","Export","","","",""
"Afghanistan","Finland","2015.0","Export","1.0","2.33","2057.15","0.36"
"Afghanistan","France","2015.0","Export","3.0","6.98","250.84","0.04"
"Afghanistan","United Kingdom","2015.0","Export","11.0","25.58","516.83","0.09"
"Afghanistan","Georgia","2015.0","Export","1.0","2.33","12.8","0.0"
"Afghanistan","Ghana","2015.0","Export","","","",""
"Afghanistan","Greece","2015.0","Export","","","",""
"Afghanistan","Guatemala","2015.0","Export","","","",""
"Afghanistan","Hong Kong, China","2015.0","Export","1.0","2.33","79.72","0.01"
"Afghanistan","Hungary","2015.0","Export","","","",""
"Afghanistan","Indonesia","2015.0","Export","","","",""
"Afghanistan","India","2015.0","Export","24.0","55.81","188869.64","33.05"
"Afghanistan","Ireland","2015.0","Export","","","",""
"Afghanistan","Iran, Islamic Rep.","2015.0","Export","17.0","39.53","29162.37","5.1"
"Afghanistan","Iraq","2015.0","Export","9.0","20.93","17021.11","2.98"
"Afghanistan","Israel","2015.0","Export","","","",""
"Afghanistan","Italy","2015.0","Export","5.0","11.63","2381.83","0.42"
"Afghanistan","Jamaica","2015.0","Export","","","",""
"Afghanistan","Jordan","2015.0","Export","2.0","4.65","702.64","0.12"
"Afghanistan","Japan","2015.0","Export","1.0","2.33","11.69","0.0"
"Afghanistan","Kazakhstan","2015.0","Export","5.0","11.63","10845.1","1.9"
"Afghanistan","Kenya","2015.0","Export","","","",""
"Afghanistan","Kyrgyz Republic","2015.0","Export","","","",""
"Afghanistan","Korea, Rep.","2015.0","Export","1.0","2.33","11.79","0.0"
"Afghanistan","Lebanon","2015.0","Export","1.0","2.33","1004.26","0.18"
"Afghanistan","Latin America & Caribbean","2015.0","Export","1.0","2.33","107.5","0.02"
"Afghanistan","Sri Lanka","2015.0","Export","1.0","2.33","1.33","0.0"
"Afghanistan","Lithuania","2015.0","Export","1.0","2.33","19.2","0.0"
"Afghanistan","Maldives","2015.0","Export","","","",""
"Afghanistan","Middle East & North Africa","2015.0","Export","32.0","74.42","73336.29","12.83"
"Afghanistan","Mexico","2015.0","Export","","","",""
"Afghanistan","Marshall Islands","2015.0","Export","","","",""
"Afghanistan","Myanmar","2015.0","Export","","","",""
"Afghanistan","Malaysia","2015.0","Export","1.0","2.33","0.09","0.0"
"Afghanistan","North America","2015.0","Export","19.0","44.19","3481.77","0.61"
"Afghanistan","Namibia","2015.0","Export","","","",""
"Afghanistan","Netherlands","2015.0","Export","5.0","11.63","1056.97","0.19"
"Afghanistan","Norway","2015.0","Export","","","",""
"Afghanistan","Nepal","2015.0","Export","","","",""
"Afghanistan","New Zealand","2015.0","Export","5.0","11.63","7.29","0.0"
"Afghanistan","Other Asia, nes","2015.0","Export","","","",""
"Afghanistan","Pakistan","2015.0","Export","34.0","79.07","226568.66","39.65"
"Afghanistan","Panama","2015.0","Export","","","",""
"Afghanistan","Philippines","2015.0","Export","","","",""
"Afghanistan","Poland","2015.0","Export","2.0","4.65","6.23","0.0"
"Afghanistan","Portugal","2015.0","Export","","","",""
"Afghanistan","Romania","2015.0","Export","1.0","2.33","19.9","0.0"
"Afghanistan","Russian Federation","2015.0","Export","4.0","9.3","18508.31","3.24"
"Afghanistan","South Asia","2015.0","Export","38.0","88.37","416058.33","72.81"
"Afghanistan","Saudi Arabia","2015.0","Export","14.0","32.56","909.87","0.16"
"Afghanistan","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
"Afghanistan","Singapore","2015.0","Export","1.0","2.33","204.0","0.04"
"Afghanistan","Sub-Saharan Africa","2015.0","Export","2.0","4.65","58.93","0.01"
"Afghanistan","Sudan","2015.0","Export","","","",""
"Afghanistan","Slovak Republic","2015.0","Export","1.0","2.33","0.78","0.0"
"Afghanistan","Sweden","2015.0","Export","7.0","16.28","281.47","0.05"
"Afghanistan","Thailand","2015.0","Export","3.0","6.98","41.18","0.01"
"Afghanistan","Tajikistan","2015.0","Export","17.0","39.53","4700.66","0.82"
"Afghanistan","Turkmenistan","2015.0","Export","4.0","9.3","914.55","0.16"
"Afghanistan","Turkey","2015.0","Export","16.0","37.21","17759.09","3.11"
"Afghanistan","Tanzania","2015.0","Export","","","",""
