"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Angola","Afghanistan","2015.0","Export","","","",""
"Angola","Albania","2015.0","Export","","","",""
"Angola","Andorra","2015.0","Export","","","",""
"Angola","United Arab Emirates","2015.0","Export","2.0","28.57","656426.67","1.99"
"Angola","Argentina","2015.0","Export","","","",""
"Angola","Armenia","2015.0","Export","","","",""
"Angola","American Samoa","2015.0","Export","","","",""
"Angola","Antigua and Barbuda","2015.0","Export","","","",""
"Angola","Australia","2015.0","Export","1.0","14.29","15704.31","0.05"
"Angola","Austria","2015.0","Export","","","",""
"Angola","Azerbaijan","2015.0","Export","","","",""
"Angola","Belgium","2015.0","Export","2.0","28.57","17115.46","0.05"
"Angola","Benin","2015.0","Export","","","",""
"Angola","Burkina Faso","2015.0","Export","","","",""
"Angola","Bangladesh","2015.0","Export","","","",""
"Angola","Bulgaria","2015.0","Export","","","",""
"Angola","Bahrain","2015.0","Export","","","",""
"Angola","Bahamas, The","2015.0","Export","","","",""
"Angola","Bosnia and Herzegovina","2015.0","Export","","","",""
"Angola","Belarus","2015.0","Export","","","",""
"Angola","Belize","2015.0","Export","","","",""
"Angola","Bolivia","2015.0","Export","","","",""
"Angola","Brazil","2015.0","Export","","","",""
"Angola","Brunei","2015.0","Export","","","",""
"Angola","Botswana","2015.0","Export","","","",""
"Angola","Canada","2015.0","Export","1.0","14.29","1034606.41","3.13"
"Angola","Switzerland","2015.0","Export","1.0","14.29","115558.05","0.35"
"Angola","Chile","2015.0","Export","2.0","28.57","54657.96","0.17"
"Angola","China","2015.0","Export","4.0","57.14","14275789.22","43.2"
"Angola","Cote d'Ivoire","2015.0","Export","","","",""
"Angola","Cameroon","2015.0","Export","","","",""
"Angola","Congo, Rep.","2015.0","Export","","","",""
"Angola","Colombia","2015.0","Export","","","",""
"Angola","Cape Verde","2015.0","Export","","","",""
"Angola","Costa Rica","2015.0","Export","","","",""
"Angola","Cuba","2015.0","Export","","","",""
"Angola","Curaçao","2015.0","Export","1.0","14.29","82592.46","0.25"
"Angola","Cyprus","2015.0","Export","","","",""
"Angola","Czech Republic","2015.0","Export","","","",""
"Angola","Germany","2015.0","Export","","","",""
"Angola","Djibouti","2015.0","Export","","","",""
"Angola","Dominica","2015.0","Export","","","",""
"Angola","Denmark","2015.0","Export","1.0","14.29","35844.34","0.11"
"Angola","Dominican Republic","2015.0","Export","","","",""
"Angola","Algeria","2015.0","Export","","","",""
"Angola","East Asia & Pacific","2015.0","Export","5.0","71.43","15479245.31","46.84"
"Angola","Europe & Central Asia","2015.0","Export","6.0","85.71","8375724.33","25.34"
"Angola","Ecuador","2015.0","Export","","","",""
"Angola","Egypt, Arab Rep.","2015.0","Export","","","",""
"Angola","Eritrea","2015.0","Export","","","",""
"Angola","Spain","2015.0","Export","4.0","57.14","2240593.76","6.78"
"Angola","Estonia","2015.0","Export","","","",""
"Angola","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Angola","Finland","2015.0","Export","1.0","14.29","42572.67","0.13"
"Angola","France","2015.0","Export","2.0","28.57","1567649.45","4.74"
"Angola","Gabon","2015.0","Export","","","",""
"Angola","United Kingdom","2015.0","Export","2.0","28.57","923049.83","2.79"
"Angola","Georgia","2015.0","Export","","","",""
"Angola","Ghana","2015.0","Export","1.0","14.29","1211.11","0.0"
"Angola","Gibraltar","2015.0","Export","","","",""
"Angola","Guinea","2015.0","Export","","","",""
"Angola","Gambia, The","2015.0","Export","","","",""
"Angola","Guinea-Bissau","2015.0","Export","","","",""
"Angola","Equatorial Guinea","2015.0","Export","","","",""
"Angola","Greece","2015.0","Export","","","",""
"Angola","Guatemala","2015.0","Export","","","",""
"Angola","Guyana","2015.0","Export","","","",""
"Angola","Hong Kong, China","2015.0","Export","2.0","28.57","45347.57","0.14"
"Angola","Honduras","2015.0","Export","","","",""
"Angola","Croatia","2015.0","Export","","","",""
"Angola","Haiti","2015.0","Export","","","",""
"Angola","Hungary","2015.0","Export","","","",""
"Angola","Indonesia","2015.0","Export","1.0","14.29","566502.84","1.71"
"Angola","India","2015.0","Export","3.0","42.86","2675573.65","8.1"
"Angola","Ireland","2015.0","Export","","","",""
"Angola","Iraq","2015.0","Export","","","",""
"Angola","Iceland","2015.0","Export","","","",""
"Angola","Israel","2015.0","Export","1.0","14.29","55146.71","0.17"
"Angola","Italy","2015.0","Export","2.0","28.57","1102924.88","3.34"
"Angola","Jamaica","2015.0","Export","","","",""
"Angola","Jordan","2015.0","Export","","","",""
"Angola","Japan","2015.0","Export","4.0","57.14","151382.52","0.46"
"Angola","Kazakhstan","2015.0","Export","","","",""
"Angola","Kenya","2015.0","Export","","","",""
"Angola","Kyrgyz Republic","2015.0","Export","","","",""
"Angola","Cambodia","2015.0","Export","","","",""
"Angola","St. Kitts and Nevis","2015.0","Export","","","",""
"Angola","Korea, Rep.","2015.0","Export","4.0","57.14","63758.2","0.19"
"Angola","Kuwait","2015.0","Export","","","",""
"Angola","Lao PDR","2015.0","Export","","","",""
"Angola","Lebanon","2015.0","Export","2.0","28.57","83.95","0.0"
"Angola","Liberia","2015.0","Export","","","",""
"Angola","Libya","2015.0","Export","","","",""
"Angola","Latin America & Caribbean","2015.0","Export","3.0","42.86","443761.94","1.34"
"Angola","Sri Lanka","2015.0","Export","","","",""
"Angola","Lithuania","2015.0","Export","","","",""
"Angola","Luxembourg","2015.0","Export","","","",""
"Angola","Latvia","2015.0","Export","","","",""
"Angola","Macao","2015.0","Export","","","",""
"Angola","Morocco","2015.0","Export","1.0","14.29","34.2","0.0"
"Angola","Madagascar","2015.0","Export","","","",""
"Angola","Middle East & North Africa","2015.0","Export","3.0","42.86","711691.53","2.15"
"Angola","Mexico","2015.0","Export","","","",""
"Angola","Marshall Islands","2015.0","Export","1.0","14.29","10640.27","0.03"
"Angola","Mali","2015.0","Export","","","",""
"Angola","Malta","2015.0","Export","","","",""
"Angola","Myanmar","2015.0","Export","","","",""
"Angola","Northern Mariana Islands","2015.0","Export","","","",""
"Angola","Montenegro","2015.0","Export","","","",""
"Angola","Mozambique","2015.0","Export","","","",""
"Angola","Mauritania","2015.0","Export","","","",""
"Angola","Mauritius","2015.0","Export","","","",""
"Angola","Malawi","2015.0","Export","","","",""
"Angola","Malaysia","2015.0","Export","1.0","14.29","92040.73","0.28"
"Angola","North America","2015.0","Export","3.0","42.86","2244801.6","6.79"
"Angola","Namibia","2015.0","Export","1.0","14.29","2147.42","0.01"
"Angola","New Caledonia","2015.0","Export","","","",""
"Angola","Niger","2015.0","Export","","","",""
"Angola","Nigeria","2015.0","Export","","","",""
"Angola","Nicaragua","2015.0","Export","","","",""
"Angola","Netherlands","2015.0","Export","2.0","28.57","1094023.71","3.31"
"Angola","Norway","2015.0","Export","","","",""
"Angola","Nauru","2015.0","Export","","","",""
"Angola","New Zealand","2015.0","Export","","","",""
"Angola","Other Asia, nes","2015.0","Export","3.0","42.86","1409453.45","4.26"
"Angola","Oman","2015.0","Export","","","",""
"Angola","Pakistan","2015.0","Export","","","",""
"Angola","Panama","2015.0","Export","2.0","28.57","388928.98","1.18"
"Angola","Peru","2015.0","Export","1.0","14.29","175.0","0.0"
"Angola","Philippines","2015.0","Export","","","",""
"Angola","Papua New Guinea","2015.0","Export","","","",""
"Angola","Poland","2015.0","Export","","","",""
"Angola","Korea, Dem. Rep.","2015.0","Export","","","",""
"Angola","Portugal","2015.0","Export","3.0","42.86","1190821.88","3.6"
"Angola","Paraguay","2015.0","Export","","","",""
"Angola","Qatar","2015.0","Export","","","",""
"Angola","Romania","2015.0","Export","1.0","14.29","45267.69","0.14"
"Angola","Russian Federation","2015.0","Export","","","",""
"Angola","South Asia","2015.0","Export","3.0","42.86","2675573.65","8.1"
"Angola","Saudi Arabia","2015.0","Export","","","",""
"Angola","Senegal","2015.0","Export","","","",""
"Angola","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
"Angola","Singapore","2015.0","Export","2.0","28.57","210550.15","0.64"
"Angola","South Georgia and the South Sa","2015.0","Export","","","",""
"Angola","Sierra Leone","2015.0","Export","","","",""
"Angola","El Salvador","2015.0","Export","","","",""
"Angola","Sub-Saharan Africa","2015.0","Export","4.0","57.14","1376930.19","4.17"
"Angola","Sao Tome and Principe","2015.0","Export","1.0","14.29","23395.7","0.07"
"Angola","Sudan","2015.0","Export","","","",""
"Angola","Suriname","2015.0","Export","","","",""
"Angola","Slovak Republic","2015.0","Export","","","",""
"Angola","Slovenia","2015.0","Export","1.0","14.29","6.6","0.0"
"Angola","Sweden","2015.0","Export","","","",""
"Angola","Swaziland","2015.0","Export","","","",""
"Angola","Seychelles","2015.0","Export","1.0","14.29","16.1","0.0"
"Angola","Syrian Arab Republic","2015.0","Export","","","",""
"Angola","Togo","2015.0","Export","","","",""
"Angola","Thailand","2015.0","Export","2.0","28.57","44655.01","0.14"
"Angola","Tokelau","2015.0","Export","","","",""
"Angola","Turkmenistan","2015.0","Export","","","",""
"Angola","East Timor","2015.0","Export","","","",""
"Angola","Trinidad and Tobago","2015.0","Export","","","",""
"Angola","Tunisia","2015.0","Export","","","",""
"Angola","Turkey","2015.0","Export","1.0","14.29","296.03","0.0"
"Angola","Tanzania","2015.0","Export","","","",""
"Angola","Uganda","2015.0","Export","","","",""
"Angola","Ukraine","2015.0","Export","","","",""
"Angola","United States Minor Outlying I","2015.0","Export","","","",""
"Angola","Unspecified","2015.0","Export","3.0","42.86","248004.45","0.75"
"Angola","Uruguay","2015.0","Export","","","",""
"Angola","United States","2015.0","Export","3.0","42.86","1210195.19","3.66"
"Angola","Holy See","2015.0","Export","","","",""
"Angola","St. Vincent and the Grenadines","2015.0","Export","","","",""
"Angola","Venezuela","2015.0","Export","","","",""
"Angola","British Virgin Islands","2015.0","Export","","","",""
"Angola","Vietnam","2015.0","Export","2.0","28.57","2874.51","0.01"
"Angola"," World","2015.0","Export","7.0","100.0","33047778.91","100.0"
"Angola","South Africa","2015.0","Export","2.0","28.57","1349598.91","4.08"
"Angola","Congo, Dem. Rep.","2015.0","Export","1.0","14.29","560.94","0.0"
"Angola","Zambia","2015.0","Export","","","",""
"Angola","Zimbabwe","2015.0","Export","","","",""
