"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Albania","Afghanistan","2015.0","Export","","","",""
"Albania","United Arab Emirates","2015.0","Export","3.0","0.45","4592.15","0.24"
"Albania","Argentina","2015.0","Export","","","",""
"Albania","Armenia","2015.0","Export","1.0","0.15","40.65","0.0"
"Albania","Antigua and Barbuda","2015.0","Export","","","",""
"Albania","Australia","2015.0","Export","1.0","0.15","92.32","0.0"
"Albania","Austria","2015.0","Export","20.0","3.01","23611.89","1.22"
"Albania","Burundi","2015.0","Export","","","",""
"Albania","Belgium","2015.0","Export","11.0","1.65","2453.78","0.13"
"Albania","Benin","2015.0","Export","","","",""
"Albania","Burkina Faso","2015.0","Export","","","",""
"Albania","Bangladesh","2015.0","Export","","","",""
"Albania","Bulgaria","2015.0","Export","35.0","5.26","25069.99","1.3"
"Albania","Bahrain","2015.0","Export","","","",""
"Albania","Bahamas, The","2015.0","Export","","","",""
"Albania","Bosnia and Herzegovina","2015.0","Export","24.0","3.61","5138.77","0.27"
"Albania","Belarus","2015.0","Export","1.0","0.15","71.56","0.0"
"Albania","Belize","2015.0","Export","","","",""
"Albania","Bolivia","2015.0","Export","","","",""
"Albania","Brazil","2015.0","Export","1.0","0.15","350.96","0.02"
"Albania","Barbados","2015.0","Export","1.0","0.15","0.39","0.0"
"Albania","Botswana","2015.0","Export","1.0","0.15","1.28","0.0"
"Albania","Canada","2015.0","Export","4.0","0.6","446.67","0.02"
"Albania","Switzerland","2015.0","Export","8.0","1.2","19089.64","0.99"
"Albania","Chile","2015.0","Export","1.0","0.15","134.96","0.01"
"Albania","China","2015.0","Export","5.0","0.75","52132.01","2.7"
"Albania","Cote d'Ivoire","2015.0","Export","1.0","0.15","265.42","0.01"
"Albania","Cameroon","2015.0","Export","1.0","0.15","10.03","0.0"
"Albania","Congo, Rep.","2015.0","Export","1.0","0.15","50.82","0.0"
"Albania","Cook Islands","2015.0","Export","","","",""
"Albania","Colombia","2015.0","Export","1.0","0.15","15.17","0.0"
"Albania","Comoros","2015.0","Export","","","",""
"Albania","Cape Verde","2015.0","Export","","","",""
"Albania","Costa Rica","2015.0","Export","","","",""
"Albania","Cuba","2015.0","Export","","","",""
"Albania","Cayman Islands","2015.0","Export","1.0","0.15","8284.81","0.43"
"Albania","Cyprus","2015.0","Export","1.0","0.15","101.73","0.01"
"Albania","Czech Republic","2015.0","Export","9.0","1.35","6601.65","0.34"
"Albania","Germany","2015.0","Export","55.0","8.27","60053.36","3.11"
"Albania","Denmark","2015.0","Export","2.0","0.3","3455.91","0.18"
"Albania","Dominican Republic","2015.0","Export","","","",""
"Albania","Algeria","2015.0","Export","1.0","0.15","419.97","0.02"
"Albania","East Asia & Pacific","2015.0","Export","5.0","0.75","64384.72","3.34"
"Albania","Europe & Central Asia","2015.0","Export","661.0","99.4","1714826.17","88.87"
"Albania","Ecuador","2015.0","Export","","","",""
"Albania","Egypt, Arab Rep.","2015.0","Export","3.0","0.45","11475.95","0.59"
"Albania","Eritrea","2015.0","Export","","","",""
"Albania","Spain","2015.0","Export","10.0","1.5","100038.2","5.18"
"Albania","Estonia","2015.0","Export","1.0","0.15","98.23","0.01"
"Albania","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Albania","Finland","2015.0","Export","1.0","0.15","205.76","0.01"
"Albania","Fiji","2015.0","Export","","","",""
"Albania","Falkland Island","2015.0","Export","","","",""
"Albania","France","2015.0","Export","14.0","2.11","19312.08","1.0"
"Albania","Faeroe Islands","2015.0","Export","","","",""
"Albania","Gabon","2015.0","Export","","","",""
"Albania","United Kingdom","2015.0","Export","11.0","1.65","3602.72","0.19"
"Albania","Georgia","2015.0","Export","1.0","0.15","110.98","0.01"
"Albania","Ghana","2015.0","Export","2.0","0.3","60.1","0.0"
"Albania","Guinea","2015.0","Export","1.0","0.15","3.39","0.0"
"Albania","Greece","2015.0","Export","118.0","17.74","75471.13","3.91"
"Albania","Grenada","2015.0","Export","","","",""
"Albania","Greenland","2015.0","Export","","","",""
"Albania","Guatemala","2015.0","Export","","","",""
"Albania","Hong Kong, China","2015.0","Export","2.0","0.3","7616.37","0.39"
"Albania","Honduras","2015.0","Export","","","",""
"Albania","Croatia","2015.0","Export","11.0","1.65","3869.0","0.2"
"Albania","Haiti","2015.0","Export","1.0","0.15","92.1","0.0"
"Albania","Hungary","2015.0","Export","6.0","0.9","14846.45","0.77"
"Albania","Indonesia","2015.0","Export","1.0","0.15","68.72","0.0"
"Albania","India","2015.0","Export","1.0","0.15","1394.2","0.07"
"Albania","British Indian Ocean Ter.","2015.0","Export","","","",""
"Albania","Ireland","2015.0","Export","2.0","0.3","53.91","0.0"
"Albania","Iran, Islamic Rep.","2015.0","Export","1.0","0.15","282.21","0.01"
"Albania","Iraq","2015.0","Export","2.0","0.3","2697.53","0.14"
"Albania","Iceland","2015.0","Export","1.0","0.15","487.34","0.03"
"Albania","Israel","2015.0","Export","2.0","0.3","230.94","0.01"
"Albania","Italy","2015.0","Export","432.0","64.96","981582.62","50.87"
"Albania","Jordan","2015.0","Export","5.0","0.75","971.65","0.05"
"Albania","Japan","2015.0","Export","1.0","0.15","2706.61","0.14"
"Albania","Kazakhstan","2015.0","Export","1.0","0.15","38.61","0.0"
"Albania","Kenya","2015.0","Export","1.0","0.15","22.77","0.0"
"Albania","Kyrgyz Republic","2015.0","Export","2.0","0.3","32.55","0.0"
"Albania","Cambodia","2015.0","Export","","","",""
"Albania","Korea, Rep.","2015.0","Export","1.0","0.15","251.37","0.01"
"Albania","Kuwait","2015.0","Export","1.0","0.15","1.6","0.0"
"Albania","Lao PDR","2015.0","Export","","","",""
"Albania","Lebanon","2015.0","Export","3.0","0.45","303.29","0.02"
"Albania","Libya","2015.0","Export","1.0","0.15","4193.18","0.22"
"Albania","Latin America & Caribbean","2015.0","Export","2.0","0.3","8906.99","0.46"
"Albania","Sri Lanka","2015.0","Export","1.0","0.15","39.52","0.0"
"Albania","Lithuania","2015.0","Export","3.0","0.45","624.13","0.03"
"Albania","Luxembourg","2015.0","Export","1.0","0.15","113.7","0.01"
"Albania","Latvia","2015.0","Export","2.0","0.3","383.97","0.02"
"Albania","Macao","2015.0","Export","1.0","0.15","21.01","0.0"
"Albania","Morocco","2015.0","Export","1.0","0.15","644.95","0.03"
"Albania","Moldova","2015.0","Export","1.0","0.15","19.09","0.0"
"Albania","Madagascar","2015.0","Export","","","",""
"Albania","Middle East & North Africa","2015.0","Export","14.0","2.11","119696.31","6.2"
"Albania","Mexico","2015.0","Export","1.0","0.15","15.04","0.0"
"Albania","Marshall Islands","2015.0","Export","2.0","0.3","1058.64","0.05"
"Albania","Macedonia, FYR","2015.0","Export","68.0","10.23","50893.79","2.64"
"Albania","Mali","2015.0","Export","1.0","0.15","2.19","0.0"
"Albania","Malta","2015.0","Export","3.0","0.45","88945.04","4.61"
"Albania","Myanmar","2015.0","Export","","","",""
"Albania","Montenegro","2015.0","Export","90.0","13.53","26780.21","1.39"
"Albania","Mauritania","2015.0","Export","","","",""
"Albania","Mauritius","2015.0","Export","","","",""
"Albania","Malaysia","2015.0","Export","1.0","0.15","100.04","0.01"
"Albania","North America","2015.0","Export","12.0","1.8","17461.48","0.9"
"Albania","Namibia","2015.0","Export","","","",""
"Albania","Niger","2015.0","Export","1.0","0.15","175.49","0.01"
"Albania","Nigeria","2015.0","Export","1.0","0.15","16.36","0.0"
"Albania","Nicaragua","2015.0","Export","","","",""
"Albania","Netherlands","2015.0","Export","13.0","1.95","16329.89","0.85"
"Albania","Norway","2015.0","Export","2.0","0.3","92.95","0.0"
"Albania","Nepal","2015.0","Export","","","",""
"Albania","New Zealand","2015.0","Export","1.0","0.15","1.65","0.0"
"Albania","Other Asia, nes","2015.0","Export","1.0","0.15","691.54","0.04"
"Albania","Oman","2015.0","Export","1.0","0.15","29.22","0.0"
"Albania","Pakistan","2015.0","Export","1.0","0.15","60.33","0.0"
"Albania","Panama","2015.0","Export","","","",""
"Albania","Peru","2015.0","Export","","","",""
"Albania","Philippines","2015.0","Export","","","",""
"Albania","Papua New Guinea","2015.0","Export","","","",""
"Albania","Poland","2015.0","Export","5.0","0.75","3558.21","0.18"
"Albania","Korea, Dem. Rep.","2015.0","Export","","","",""
"Albania","Portugal","2015.0","Export","1.0","0.15","181.25","0.01"
"Albania","Paraguay","2015.0","Export","","","",""
"Albania","French Polynesia","2015.0","Export","","","",""
"Albania","Qatar","2015.0","Export","1.0","0.15","25.73","0.0"
"Albania","Romania","2015.0","Export","13.0","1.95","10606.37","0.55"
"Albania","Russian Federation","2015.0","Export","1.0","0.15","409.59","0.02"
"Albania","South Asia","2015.0","Export","1.0","0.15","1494.05","0.08"
"Albania","Saudi Arabia","2015.0","Export","2.0","0.3","4362.05","0.23"
"Albania","Senegal","2015.0","Export","1.0","0.15","17.4","0.0"
"Albania","Serbia, FR(Serbia/Montenegro)","2015.0","Export","247.0","37.14","191433.97","9.92"
"Albania","Singapore","2015.0","Export","1.0","0.15","119.33","0.01"
"Albania","Sierra Leone","2015.0","Export","","","",""
"Albania","El Salvador","2015.0","Export","","","",""
"Albania","San Marino","2015.0","Export","1.0","0.15","178.3","0.01"
"Albania","Sub-Saharan Africa","2015.0","Export","3.0","0.45","667.89","0.03"
"Albania","Sudan","2015.0","Export","","","",""
"Albania","Suriname","2015.0","Export","","","",""
"Albania","Slovak Republic","2015.0","Export","2.0","0.3","1242.53","0.06"
"Albania","Slovenia","2015.0","Export","2.0","0.3","9099.58","0.47"
"Albania","Sweden","2015.0","Export","4.0","0.6","945.76","0.05"
"Albania","Swaziland","2015.0","Export","1.0","0.15","11.73","0.0"
"Albania","Seychelles","2015.0","Export","","","",""
"Albania","Syrian Arab Republic","2015.0","Export","","","",""
"Albania","Turks and Caicos Isl.","2015.0","Export","1.0","0.15","13.57","0.0"
"Albania","Chad","2015.0","Export","","","",""
"Albania","Thailand","2015.0","Export","1.0","0.15","135.43","0.01"
"Albania","Tokelau","2015.0","Export","","","",""
"Albania","Turkmenistan","2015.0","Export","1.0","0.15","41.77","0.0"
"Albania","Tonga","2015.0","Export","1.0","0.15","0.47","0.0"
"Albania","Trinidad and Tobago","2015.0","Export","","","",""
"Albania","Tunisia","2015.0","Export","1.0","0.15","512.47","0.03"
"Albania","Turkey","2015.0","Export","12.0","1.8","55095.07","2.86"
"Albania","Tanzania","2015.0","Export","","","",""
"Albania","Uganda","2015.0","Export","","","",""
"Albania","Ukraine","2015.0","Export","1.0","0.15","1357.52","0.07"
"Albania","Unspecified","2015.0","Export","1.0","0.15","1527.88","0.08"
"Albania","Uruguay","2015.0","Export","","","",""
"Albania","United States","2015.0","Export","11.0","1.65","17014.81","0.88"
"Albania","Holy See","2015.0","Export","","","",""
"Albania","St. Vincent and the Grenadines","2015.0","Export","","","",""
"Albania","Venezuela","2015.0","Export","","","",""
"Albania","British Virgin Islands","2015.0","Export","","","",""
"Albania","Vietnam","2015.0","Export","1.0","0.15","80.76","0.0"
"Albania"," World","2015.0","Export","665.0","100.0","1929657.03","100.0"
"Albania","Yemen","2015.0","Export","1.0","0.15","8.37","0.0"
"Albania","South Africa","2015.0","Export","1.0","0.15","29.29","0.0"
