"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"United Arab Emirates","Aruba","2015.0","Export","5.0","0.12","490.76","0.0"
"United Arab Emirates","Afghanistan","2015.0","Export","1569.0","36.87","2175131.08","0.65"
"United Arab Emirates","Angola","2015.0","Export","987.0","23.19","273288.76","0.08"
"United Arab Emirates","Anguila","2015.0","Export","3.0","0.07","41.78","0.0"
"United Arab Emirates","Albania","2015.0","Export","91.0","2.14","11300.45","0.0"
"United Arab Emirates","Andorra","2015.0","Export","1.0","0.02","4.71","0.0"
"United Arab Emirates","Argentina","2015.0","Export","119.0","2.8","11784.47","0.0"
"United Arab Emirates","Armenia","2015.0","Export","396.0","9.3","68427.69","0.02"
"United Arab Emirates","American Samoa","2015.0","Export","1.0","0.02","25.0","0.0"
"United Arab Emirates","Antigua and Barbuda","2015.0","Export","7.0","0.16","72.15","0.0"
"United Arab Emirates","Australia","2015.0","Export","921.0","21.64","264201.82","0.08"
"United Arab Emirates","Austria","2015.0","Export","414.0","9.73","47789.47","0.01"
"United Arab Emirates","Azerbaijan","2015.0","Export","966.0","22.7","413415.24","0.12"
"United Arab Emirates","Burundi","2015.0","Export","258.0","6.06","7509.16","0.0"
"United Arab Emirates","Belgium","2015.0","Export","669.0","15.72","4103435.41","1.23"
"United Arab Emirates","Benin","2015.0","Export","377.0","8.86","115034.92","0.03"
"United Arab Emirates","Burkina Faso","2015.0","Export","149.0","3.5","26514.97","0.01"
"United Arab Emirates","Bangladesh","2015.0","Export","693.0","16.28","732721.85","0.22"
"United Arab Emirates","Bulgaria","2015.0","Export","115.0","2.7","17697.32","0.01"
"United Arab Emirates","Bahrain","2015.0","Export","2006.0","47.13","2216450.5","0.66"
"United Arab Emirates","Bahamas, The","2015.0","Export","7.0","0.16","463.72","0.0"
"United Arab Emirates","Bosnia and Herzegovina","2015.0","Export","35.0","0.82","3062.26","0.0"
"United Arab Emirates","Belarus","2015.0","Export","49.0","1.15","4847.72","0.0"
"United Arab Emirates","Belize","2015.0","Export","6.0","0.14","308.87","0.0"
"United Arab Emirates","Bermuda","2015.0","Export","5.0","0.12","3.7","0.0"
"United Arab Emirates","Bolivia","2015.0","Export","76.0","1.79","2855.13","0.0"
"United Arab Emirates","Brazil","2015.0","Export","272.0","6.39","39584.3","0.01"
"United Arab Emirates","Barbados","2015.0","Export","7.0","0.16","267.56","0.0"
"United Arab Emirates","Brunei","2015.0","Export","156.0","3.67","10580.58","0.0"
"United Arab Emirates","Bhutan","2015.0","Export","23.0","0.54","141.04","0.0"
"United Arab Emirates","Botswana","2015.0","Export","79.0","1.86","6774.53","0.0"
"United Arab Emirates","Central African Republic","2015.0","Export","156.0","3.67","9056.82","0.0"
"United Arab Emirates","Canada","2015.0","Export","669.0","15.72","163043.62","0.05"
"United Arab Emirates","Switzerland","2015.0","Export","621.0","14.59","4131837.22","1.24"
"United Arab Emirates","Chile","2015.0","Export","167.0","3.92","60408.0","0.02"
"United Arab Emirates","China","2015.0","Export","943.0","22.16","2512929.24","0.75"
"United Arab Emirates","Cote d'Ivoire","2015.0","Export","605.0","14.22","71291.0","0.02"
"United Arab Emirates","Cameroon","2015.0","Export","627.0","14.73","74330.17","0.02"
"United Arab Emirates","Congo, Rep.","2015.0","Export","849.0","19.95","100699.48","0.03"
"United Arab Emirates","Colombia","2015.0","Export","86.0","2.02","14654.89","0.0"
"United Arab Emirates","Comoros","2015.0","Export","431.0","10.13","41680.99","0.01"
"United Arab Emirates","Cape Verde","2015.0","Export","4.0","0.09","239.53","0.0"
"United Arab Emirates","Costa Rica","2015.0","Export","29.0","0.68","8668.05","0.0"
"United Arab Emirates","Cuba","2015.0","Export","32.0","0.75","1909.86","0.0"
"United Arab Emirates","Curaçao","2015.0","Export","76.0","1.79","1728.3","0.0"
"United Arab Emirates","Cayman Islands","2015.0","Export","7.0","0.16","43.28","0.0"
"United Arab Emirates","Cyprus","2015.0","Export","331.0","7.78","21427.65","0.01"
"United Arab Emirates","Czech Republic","2015.0","Export","264.0","6.2","53251.78","0.02"
"United Arab Emirates","Germany","2015.0","Export","1363.0","32.03","813073.32","0.24"
"United Arab Emirates","Djibouti","2015.0","Export","1377.0","32.35","318762.89","0.1"
"United Arab Emirates","Dominica","2015.0","Export","2.0","0.05","621.61","0.0"
"United Arab Emirates","Denmark","2015.0","Export","317.0","7.45","18893.94","0.01"
"United Arab Emirates","Dominican Republic","2015.0","Export","34.0","0.8","8398.09","0.0"
"United Arab Emirates","Algeria","2015.0","Export","822.0","19.31","440129.01","0.13"
"United Arab Emirates","East Asia & Pacific","2015.0","Export","2204.0","51.79","12798435.38","3.84"
"United Arab Emirates","Europe & Central Asia","2015.0","Export","2967.0","69.71","18954784.77","5.69"
"United Arab Emirates","Ecuador","2015.0","Export","47.0","1.1","30299.8","0.01"
"United Arab Emirates","Egypt, Arab Rep.","2015.0","Export","1636.0","38.44","1071110.82","0.32"
"United Arab Emirates","Eritrea","2015.0","Export","533.0","12.52","53032.35","0.02"
"United Arab Emirates","Spain","2015.0","Export","722.0","16.96","340431.3","0.1"
"United Arab Emirates","Estonia","2015.0","Export","161.0","3.78","11572.97","0.0"
