"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Argentina","Aruba","2015.0","Export","39.0","1.15","1374.21","0.0"
"Argentina","Afghanistan","2015.0","Export","3.0","0.09","165.2","0.0"
"Argentina","Angola","2015.0","Export","198.0","5.84","59153.99","0.1"
"Argentina","Albania","2015.0","Export","18.0","0.53","4744.66","0.01"
"Argentina","Andorra","2015.0","Export","","","",""
"Argentina","United Arab Emirates","2015.0","Export","238.0","7.02","173733.53","0.31"
"Argentina","Argentina","2015.0","Export","","","",""
"Argentina","Armenia","2015.0","Export","23.0","0.68","7475.31","0.01"
"Argentina","Antigua and Barbuda","2015.0","Export","10.0","0.29","434.44","0.0"
"Argentina","Australia","2015.0","Export","321.0","9.47","609386.43","1.07"
"Argentina","Austria","2015.0","Export","49.0","1.45","19988.5","0.04"
"Argentina","Azerbaijan","2015.0","Export","17.0","0.5","3709.37","0.01"
"Argentina","Burundi","2015.0","Export","1.0","0.03","17.21","0.0"
"Argentina","Belgium","2015.0","Export","220.0","6.49","332267.58","0.59"
"Argentina","Benin","2015.0","Export","16.0","0.47","5172.49","0.01"
"Argentina","Burkina Faso","2015.0","Export","6.0","0.18","1189.85","0.0"
"Argentina","Bangladesh","2015.0","Export","50.0","1.47","277303.72","0.49"
"Argentina","Bulgaria","2015.0","Export","74.0","2.18","89062.45","0.16"
"Argentina","Bahrain","2015.0","Export","30.0","0.88","2793.77","0.0"
"Argentina","Bahamas, The","2015.0","Export","14.0","0.41","1357.75","0.0"
"Argentina","Bosnia and Herzegovina","2015.0","Export","14.0","0.41","4043.81","0.01"
"Argentina","Belarus","2015.0","Export","33.0","0.97","5396.3","0.01"
"Argentina","Belize","2015.0","Export","17.0","0.5","517.34","0.0"
"Argentina","Bolivia","2015.0","Export","1636.0","48.25","621581.72","1.09"
"Argentina","Brazil","2015.0","Export","1617.0","47.69","10099061.5","17.78"
"Argentina","Barbados","2015.0","Export","30.0","0.88","855.24","0.0"
"Argentina","Brunei","2015.0","Export","6.0","0.18","11912.64","0.02"
"Argentina","Bhutan","2015.0","Export","1.0","0.03","6.67","0.0"
"Argentina","Botswana","2015.0","Export","1.0","0.03","197.5","0.0"
"Argentina","Central African Republic","2015.0","Export","1.0","0.03","526.79","0.0"
"Argentina","Canada","2015.0","Export","318.0","9.38","1294929.71","2.28"
"Argentina","Switzerland","2015.0","Export","202.0","5.96","1257923.97","2.22"
"Argentina","Chile","2015.0","Export","1998.0","58.92","2403268.04","4.23"
"Argentina","China","2015.0","Export","372.0","10.97","5173792.87","9.11"
"Argentina","Cote d'Ivoire","2015.0","Export","18.0","0.53","32888.76","0.06"
"Argentina","Cameroon","2015.0","Export","10.0","0.29","33204.26","0.06"
"Argentina","Congo, Rep.","2015.0","Export","30.0","0.88","31826.73","0.06"
"Argentina","Colombia","2015.0","Export","939.0","27.69","393929.46","0.69"
"Argentina","Comoros","2015.0","Export","2.0","0.06","3582.38","0.01"
"Argentina","Cape Verde","2015.0","Export","11.0","0.32","4223.77","0.01"
"Argentina","Costa Rica","2015.0","Export","588.0","17.34","47472.39","0.08"
"Argentina","Cuba","2015.0","Export","253.0","7.46","276169.94","0.49"
"Argentina","Curaçao","2015.0","Export","91.0","2.68","109136.58","0.19"
"Argentina","Cyprus","2015.0","Export","15.0","0.44","27574.0","0.05"
"Argentina","Czech Republic","2015.0","Export","66.0","1.95","67269.26","0.12"
"Argentina","Germany","2015.0","Export","584.0","17.22","1339825.69","2.36"
"Argentina","Djibouti","2015.0","Export","4.0","0.12","198.36","0.0"
"Argentina","Dominica","2015.0","Export","2.0","0.06","172.96","0.0"
"Argentina","Denmark","2015.0","Export","105.0","3.1","281551.64","0.5"
"Argentina","Dominican Republic","2015.0","Export","392.0","11.56","112782.33","0.2"
"Argentina","Algeria","2015.0","Export","119.0","3.51","1148019.85","2.02"
"Argentina","East Asia & Pacific","2015.0","Export","1033.0","30.46","11854958.12","20.88"
"Argentina","Europe & Central Asia","2015.0","Export","1476.0","43.53","10454504.83","18.41"
"Argentina","Ecuador","2015.0","Export","782.0","23.06","212769.27","0.37"
"Argentina","Egypt, Arab Rep.","2015.0","Export","141.0","4.16","1071884.38","1.89"
"Argentina","Eritrea","2015.0","Export","1.0","0.03","23.07","0.0"
"Argentina","Spain","2015.0","Export","580.0","17.1","1361871.09","2.4"
"Argentina","Estonia","2015.0","Export","29.0","0.86","5872.94","0.01"
"Argentina","Ethiopia(excludes Eritrea)","2015.0","Export","29.0","0.86","1119.43","0.0"
"Argentina","Finland","2015.0","Export","43.0","1.27","10395.09","0.02"
"Argentina","Fiji","2015.0","Export","5.0","0.15","358.28","0.0"
"Argentina","France","2015.0","Export","446.0","13.15","364641.16","0.64"
"Argentina","Free Zones","2015.0","Export","361.0","10.65","126944.61","0.22"
"Argentina","Gabon","2015.0","Export","14.0","0.41","8942.68","0.02"
"Argentina","United Kingdom","2015.0","Export","345.0","10.17","720886.16","1.27"
"Argentina","Georgia","2015.0","Export","90.0","2.65","4651.79","0.01"
"Argentina","Ghana","2015.0","Export","42.0","1.24","27898.88","0.05"
"Argentina","Gibraltar","2015.0","Export","2.0","0.06","9950.75","0.02"
"Argentina","Guinea","2015.0","Export","1.0","0.03","200.33","0.0"
"Argentina","Gambia, The","2015.0","Export","3.0","0.09","136.61","0.0"
"Argentina","Equatorial Guinea","2015.0","Export","18.0","0.53","23257.81","0.04"
"Argentina","Greece","2015.0","Export","52.0","1.53","127788.8","0.23"
"Argentina","Grenada","2015.0","Export","20.0","0.59","354.78","0.0"
"Argentina","Guatemala","2015.0","Export","459.0","13.54","68137.56","0.12"
"Argentina","Guyana","2015.0","Export","43.0","1.27","2209.54","0.0"
"Argentina","Hong Kong, China","2015.0","Export","138.0","4.07","213672.16","0.38"
"Argentina","Honduras","2015.0","Export","303.0","8.94","13690.27","0.02"
"Argentina","Croatia","2015.0","Export","26.0","0.77","129673.05","0.23"
"Argentina","Haiti","2015.0","Export","95.0","2.8","3926.84","0.01"
"Argentina","Hungary","2015.0","Export","87.0","2.57","9623.64","0.02"
"Argentina","Indonesia","2015.0","Export","131.0","3.86","1079250.76","1.9"
"Argentina","India","2015.0","Export","252.0","7.43","2003207.82","3.53"
"Argentina","Ireland","2015.0","Export","59.0","1.74","232014.85","0.41"
"Argentina","Iran, Islamic Rep.","2015.0","Export","66.0","1.95","721084.85","1.27"
"Argentina","Iraq","2015.0","Export","36.0","1.06","88324.97","0.16"
"Argentina","Iceland","2015.0","Export","9.0","0.27","1523.15","0.0"
"Argentina","Israel","2015.0","Export","132.0","3.89","182596.56","0.32"
"Argentina","Italy","2015.0","Export","511.0","15.07","956379.11","1.68"
"Argentina","Jamaica","2015.0","Export","49.0","1.45","4401.09","0.01"
"Argentina","Jordan","2015.0","Export","87.0","2.57","213390.43","0.38"
"Argentina","Japan","2015.0","Export","310.0","9.14","573075.59","1.01"
"Argentina","Kazakhstan","2015.0","Export","98.0","2.89","13477.09","0.02"
"Argentina","Kenya","2015.0","Export","57.0","1.68","15058.45","0.03"
"Argentina","Kyrgyz Republic","2015.0","Export","4.0","0.12","302.91","0.0"
"Argentina","Cambodia","2015.0","Export","10.0","0.29","9920.42","0.02"
"Argentina","St. Kitts and Nevis","2015.0","Export","3.0","0.09","3.22","0.0"
"Argentina","Korea, Rep.","2015.0","Export","238.0","7.02","583401.62","1.03"
"Argentina","Kuwait","2015.0","Export","104.0","3.07","33857.78","0.06"
"Argentina","Lao PDR","2015.0","Export","3.0","0.09","152.87","0.0"
"Argentina","Lebanon","2015.0","Export","105.0","3.1","94389.9","0.17"
"Argentina","Liberia","2015.0","Export","7.0","0.21","1118.91","0.0"
"Argentina","Libya","2015.0","Export","23.0","0.68","71112.63","0.13"
"Argentina","St. Lucia","2015.0","Export","18.0","0.53","425.7","0.0"
"Argentina","Latin America & Caribbean","2015.0","Export","3211.0","94.69","19583206.69","34.48"
"Argentina","Sri Lanka","2015.0","Export","46.0","1.36","2889.37","0.01"
