"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Armenia","Afghanistan","2015.0","Export","1.0","0.06","220.0","0.01"
"Armenia","Angola","2015.0","Export","","","",""
"Armenia","Anguila","2015.0","Export","","","",""
"Armenia","Albania","2015.0","Export","","","",""
"Armenia","Andorra","2015.0","Export","","","",""
"Armenia","United Arab Emirates","2015.0","Export","148.0","9.1","11079.39","0.75"
"Armenia","Argentina","2015.0","Export","1.0","0.06","0.55","0.0"
"Armenia","American Samoa","2015.0","Export","","","",""
"Armenia","Antarctica","2015.0","Export","","","",""
"Armenia","Australia","2015.0","Export","22.0","1.35","130.42","0.01"
"Armenia","Austria","2015.0","Export","32.0","1.97","2030.93","0.14"
"Armenia","Azerbaijan","2015.0","Export","2.0","0.12","3243.99","0.22"
"Armenia","Belgium","2015.0","Export","125.0","7.68","47527.22","3.21"
"Armenia","Bangladesh","2015.0","Export","1.0","0.06","18.0","0.0"
"Armenia","Bulgaria","2015.0","Export","38.0","2.34","78927.2","5.32"
"Armenia","Bahrain","2015.0","Export","1.0","0.06","0.25","0.0"
"Armenia","Bahamas, The","2015.0","Export","","","",""
"Armenia","Bosnia and Herzegovina","2015.0","Export","","","",""
"Armenia","Saint Barthélemy","2015.0","Export","","","",""
"Armenia","Belarus","2015.0","Export","55.0","3.38","5461.75","0.37"
"Armenia","Belize","2015.0","Export","6.0","0.37","6484.65","0.44"
"Armenia","Bolivia","2015.0","Export","","","",""
"Armenia","Brazil","2015.0","Export","4.0","0.25","13.09","0.0"
"Armenia","Barbados","2015.0","Export","","","",""
"Armenia","Botswana","2015.0","Export","","","",""
"Armenia","Central African Republic","2015.0","Export","","","",""
"Armenia","Canada","2015.0","Export","68.0","4.18","112129.62","7.56"
"Armenia","Switzerland","2015.0","Export","135.0","8.3","40773.51","2.75"
"Armenia","Chile","2015.0","Export","","","",""
"Armenia","China","2015.0","Export","31.0","1.91","165201.94","11.14"
"Armenia","Cote d'Ivoire","2015.0","Export","","","",""
"Armenia","Cameroon","2015.0","Export","","","",""
"Armenia","Congo, Rep.","2015.0","Export","","","",""
"Armenia","Cook Islands","2015.0","Export","","","",""
"Armenia","Colombia","2015.0","Export","5.0","0.31","4.59","0.0"
"Armenia","Comoros","2015.0","Export","","","",""
"Armenia","Costa Rica","2015.0","Export","","","",""
"Armenia","Cuba","2015.0","Export","","","",""
"Armenia","Cyprus","2015.0","Export","3.0","0.18","0.66","0.0"
"Armenia","Czech Republic","2015.0","Export","55.0","3.38","1713.33","0.12"
"Armenia","Germany","2015.0","Export","273.0","16.78","144983.23","9.78"
"Armenia","Djibouti","2015.0","Export","1.0","0.06","0.18","0.0"
"Armenia","Denmark","2015.0","Export","5.0","0.31","184.99","0.01"
"Armenia","Dominican Republic","2015.0","Export","","","",""
"Armenia","Algeria","2015.0","Export","1.0","0.06","228.35","0.02"
"Armenia","East Asia & Pacific","2015.0","Export","104.0","6.39","180934.86","12.2"
"Armenia","Europe & Central Asia","2015.0","Export","1483.0","91.15","863602.18","58.25"
"Armenia","Ecuador","2015.0","Export","4.0","0.25","6.78","0.0"
"Armenia","Egypt, Arab Rep.","2015.0","Export","4.0","0.25","120.74","0.01"
"Armenia","Eritrea","2015.0","Export","","","",""
"Armenia","Spain","2015.0","Export","77.0","4.73","1714.84","0.12"
"Armenia","Estonia","2015.0","Export","22.0","1.35","230.88","0.02"
"Armenia","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Armenia","Finland","2015.0","Export","7.0","0.43","9.83","0.0"
"Armenia","Fiji","2015.0","Export","","","",""
"Armenia","France","2015.0","Export","151.0","9.28","6015.19","0.41"
"Armenia","Faeroe Islands","2015.0","Export","","","",""
"Armenia","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Armenia","Gabon","2015.0","Export","1.0","0.06","374.24","0.03"
"Armenia","United Kingdom","2015.0","Export","67.0","4.12","1590.42","0.11"
"Armenia","Georgia","2015.0","Export","726.0","44.62","114028.29","7.69"
"Armenia","Ghana","2015.0","Export","","","",""
"Armenia","Greece","2015.0","Export","19.0","1.17","529.1","0.04"
"Armenia","Grenada","2015.0","Export","","","",""
"Armenia","Greenland","2015.0","Export","","","",""
"Armenia","Guatemala","2015.0","Export","","","",""
"Armenia","Guyana","2015.0","Export","","","",""
"Armenia","Hong Kong, China","2015.0","Export","18.0","1.11","5188.61","0.35"
"Armenia","Honduras","2015.0","Export","","","",""
"Armenia","Croatia","2015.0","Export","4.0","0.25","92.44","0.01"
"Armenia","Haiti","2015.0","Export","","","",""
"Armenia","Hungary","2015.0","Export","33.0","2.03","833.37","0.06"
"Armenia","Indonesia","2015.0","Export","","","",""
"Armenia","India","2015.0","Export","12.0","0.74","426.26","0.03"
"Armenia","Ireland","2015.0","Export","4.0","0.25","8.14","0.0"
"Armenia","Iran, Islamic Rep.","2015.0","Export","148.0","9.1","77949.34","5.26"
"Armenia","Iraq","2015.0","Export","37.0","2.27","130691.86","8.81"
"Armenia","Iceland","2015.0","Export","","","",""
"Armenia","Israel","2015.0","Export","39.0","2.4","4798.59","0.32"
"Armenia","Italy","2015.0","Export","230.0","14.14","48987.83","3.3"
"Armenia","Jamaica","2015.0","Export","","","",""
"Armenia","Jordan","2015.0","Export","7.0","0.43","1975.51","0.13"
"Armenia","Japan","2015.0","Export","28.0","1.72","3526.92","0.24"
"Armenia","Kazakhstan","2015.0","Export","63.0","3.87","4857.68","0.33"
"Armenia","Kenya","2015.0","Export","","","",""
"Armenia","Kyrgyz Republic","2015.0","Export","18.0","1.11","349.79","0.02"
"Armenia","Cambodia","2015.0","Export","","","",""
"Armenia","Kiribati","2015.0","Export","","","",""
"Armenia","St. Kitts and Nevis","2015.0","Export","","","",""
"Armenia","Korea, Rep.","2015.0","Export","16.0","0.98","524.7","0.04"
"Armenia","Kuwait","2015.0","Export","7.0","0.43","170.18","0.01"
"Armenia","Lao PDR","2015.0","Export","","","",""
"Armenia","Lebanon","2015.0","Export","33.0","2.03","1548.27","0.1"
"Armenia","Liberia","2015.0","Export","","","",""
"Armenia","Libya","2015.0","Export","3.0","0.18","205.59","0.01"
"Armenia","Latin America & Caribbean","2015.0","Export","25.0","1.54","6541.04","0.44"
"Armenia","Sri Lanka","2015.0","Export","","","",""
"Armenia","Lesotho","2015.0","Export","","","",""
"Armenia","Lithuania","2015.0","Export","44.0","2.7","2243.78","0.15"
"Armenia","Luxembourg","2015.0","Export","4.0","0.25","99.84","0.01"
"Armenia","Latvia","2015.0","Export","24.0","1.48","1826.36","0.12"
"Armenia","Macao","2015.0","Export","","","",""
"Armenia","Morocco","2015.0","Export","","","",""
"Armenia","Moldova","2015.0","Export","26.0","1.6","586.77","0.04"
"Armenia","Madagascar","2015.0","Export","","","",""
"Armenia","Maldives","2015.0","Export","","","",""
"Armenia","Middle East & North Africa","2015.0","Export","331.0","20.34","255956.84","17.26"
"Armenia","Mexico","2015.0","Export","3.0","0.18","15.17","0.0"
"Armenia","Macedonia, FYR","2015.0","Export","","","",""
"Armenia","Mali","2015.0","Export","","","",""
"Armenia","Malta","2015.0","Export","1.0","0.06","7.9","0.0"
"Armenia","Myanmar","2015.0","Export","","","",""
"Armenia","Mongolia","2015.0","Export","3.0","0.18","94.38","0.01"
"Armenia","Montenegro","2015.0","Export","","","",""
"Armenia","Mozambique","2015.0","Export","","","",""
"Armenia","Mauritania","2015.0","Export","","","",""
"Armenia","Mauritius","2015.0","Export","","","",""
"Armenia","Malawi","2015.0","Export","","","",""
"Armenia","Malaysia","2015.0","Export","6.0","0.37","3110.61","0.21"
"Armenia","North America","2015.0","Export","284.0","17.46","166139.72","11.21"
"Armenia","Namibia","2015.0","Export","","","",""
"Armenia","Niger","2015.0","Export","","","",""
"Armenia","Nigeria","2015.0","Export","","","",""
"Armenia","Nicaragua","2015.0","Export","","","",""
"Armenia","Netherlands","2015.0","Export","42.0","2.58","47311.04","3.19"
"Armenia","Norway","2015.0","Export","6.0","0.37","35.74","0.0"
