"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Antigua and Barbuda","Aruba","2015.0","Export","","","",""
"Antigua and Barbuda","Anguila","2015.0","Export","41.0","4.38","79.21","0.3"
"Antigua and Barbuda","Andorra","2015.0","Export","","","",""
"Antigua and Barbuda","United Arab Emirates","2015.0","Export","1.0","0.11","40.74","0.16"
"Antigua and Barbuda","Argentina","2015.0","Export","","","",""
"Antigua and Barbuda","Australia","2015.0","Export","2.0","0.21","24.73","0.09"
"Antigua and Barbuda","Austria","2015.0","Export","","","",""
"Antigua and Barbuda","Belgium","2015.0","Export","","","",""
"Antigua and Barbuda","Bangladesh","2015.0","Export","1.0","0.11","11.11","0.04"
"Antigua and Barbuda","Bulgaria","2015.0","Export","","","",""
"Antigua and Barbuda","Bahrain","2015.0","Export","","","",""
"Antigua and Barbuda","Bahamas, The","2015.0","Export","","","",""
"Antigua and Barbuda","Belize","2015.0","Export","","","",""
"Antigua and Barbuda","Bermuda","2015.0","Export","","","",""
"Antigua and Barbuda","Brazil","2015.0","Export","","","",""
"Antigua and Barbuda","Barbados","2015.0","Export","81.0","8.64","394.16","1.51"
"Antigua and Barbuda","Botswana","2015.0","Export","","","",""
"Antigua and Barbuda","Canada","2015.0","Export","7.0","0.75","367.3","1.41"
"Antigua and Barbuda","Switzerland","2015.0","Export","26.0","2.77","58.04","0.22"
"Antigua and Barbuda","Chile","2015.0","Export","","","",""
"Antigua and Barbuda","China","2015.0","Export","4.0","0.43","62.28","0.24"
"Antigua and Barbuda","Cote d'Ivoire","2015.0","Export","","","",""
"Antigua and Barbuda","Congo, Rep.","2015.0","Export","","","",""
"Antigua and Barbuda","Colombia","2015.0","Export","","","",""
"Antigua and Barbuda","Costa Rica","2015.0","Export","1.0","0.11","0.77","0.0"
"Antigua and Barbuda","Cuba","2015.0","Export","24.0","2.56","21.52","0.08"
"Antigua and Barbuda","Curaçao","2015.0","Export","51.0","5.44","69.4","0.27"
"Antigua and Barbuda","Christmas Island","2015.0","Export","","","",""
"Antigua and Barbuda","Cayman Islands","2015.0","Export","","","",""
"Antigua and Barbuda","Cyprus","2015.0","Export","","","",""
"Antigua and Barbuda","Czech Republic","2015.0","Export","","","",""
"Antigua and Barbuda","Germany","2015.0","Export","2.0","0.21","52.64","0.2"
"Antigua and Barbuda","Dominica","2015.0","Export","175.0","18.68","260.31","1.0"
"Antigua and Barbuda","Denmark","2015.0","Export","","","",""
"Antigua and Barbuda","Dominican Republic","2015.0","Export","3.0","0.32","0.78","0.0"
"Antigua and Barbuda","East Asia & Pacific","2015.0","Export","47.0","5.02","769.88","2.96"
"Antigua and Barbuda","Europe & Central Asia","2015.0","Export","474.0","50.59","9011.57","34.6"
"Antigua and Barbuda","Ecuador","2015.0","Export","","","",""
"Antigua and Barbuda","Egypt, Arab Rep.","2015.0","Export","","","",""
"Antigua and Barbuda","Spain","2015.0","Export","238.0","25.4","1688.96","6.48"
"Antigua and Barbuda","Estonia","2015.0","Export","","","",""
"Antigua and Barbuda","Finland","2015.0","Export","1.0","0.11","0.5","0.0"
"Antigua and Barbuda","Fiji","2015.0","Export","","","",""
"Antigua and Barbuda","France","2015.0","Export","35.0","3.74","70.09","0.27"
"Antigua and Barbuda","Faeroe Islands","2015.0","Export","","","",""
"Antigua and Barbuda","United Kingdom","2015.0","Export","293.0","31.27","6796.99","26.1"
"Antigua and Barbuda","Ghana","2015.0","Export","","","",""
"Antigua and Barbuda","Gambia, The","2015.0","Export","","","",""
"Antigua and Barbuda","Greece","2015.0","Export","","","",""
"Antigua and Barbuda","Grenada","2015.0","Export","59.0","6.3","1125.45","4.32"
"Antigua and Barbuda","Guatemala","2015.0","Export","","","",""
"Antigua and Barbuda","Guyana","2015.0","Export","27.0","2.88","78.34","0.3"
"Antigua and Barbuda","Hong Kong, China","2015.0","Export","3.0","0.32","28.93","0.11"
"Antigua and Barbuda","Honduras","2015.0","Export","8.0","0.85","17.83","0.07"
"Antigua and Barbuda","Croatia","2015.0","Export","","","",""
"Antigua and Barbuda","Haiti","2015.0","Export","","","",""
"Antigua and Barbuda","Hungary","2015.0","Export","","","",""
"Antigua and Barbuda","Indonesia","2015.0","Export","","","",""
"Antigua and Barbuda","India","2015.0","Export","","","",""
"Antigua and Barbuda","Ireland","2015.0","Export","10.0","1.07","58.82","0.23"
"Antigua and Barbuda","Iran, Islamic Rep.","2015.0","Export","","","",""
"Antigua and Barbuda","Israel","2015.0","Export","","","",""
"Antigua and Barbuda","Italy","2015.0","Export","16.0","1.71","56.57","0.22"
"Antigua and Barbuda","Jamaica","2015.0","Export","14.0","1.49","34.67","0.13"
"Antigua and Barbuda","Jordan","2015.0","Export","","","",""
"Antigua and Barbuda","Japan","2015.0","Export","2.0","0.21","62.42","0.24"
"Antigua and Barbuda","Kenya","2015.0","Export","","","",""
"Antigua and Barbuda","Cambodia","2015.0","Export","","","",""
"Antigua and Barbuda","St. Kitts and Nevis","2015.0","Export","95.0","10.14","681.89","2.62"
"Antigua and Barbuda","Korea, Rep.","2015.0","Export","1.0","0.11","48.15","0.18"
"Antigua and Barbuda","Lao PDR","2015.0","Export","","","",""
"Antigua and Barbuda","St. Lucia","2015.0","Export","62.0","6.62","566.66","2.18"
"Antigua and Barbuda","Latin America & Caribbean","2015.0","Export","380.0","40.56","4922.01","18.9"
"Antigua and Barbuda","Sri Lanka","2015.0","Export","","","",""
"Antigua and Barbuda","Lesotho","2015.0","Export","","","",""
"Antigua and Barbuda","Lithuania","2015.0","Export","","","",""
"Antigua and Barbuda","Luxembourg","2015.0","Export","","","",""
"Antigua and Barbuda","Latvia","2015.0","Export","","","",""
"Antigua and Barbuda","Morocco","2015.0","Export","","","",""
