"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Australia","Afghanistan","2015.0","Export","35.0","0.83","1759.9","0.0"
"Australia","Angola","2015.0","Export","72.0","1.71","4490.82","0.0"
"Australia","Anguila","2015.0","Export","1.0","0.02","2.04","0.0"
"Australia","Albania","2015.0","Export","15.0","0.36","2007.71","0.0"
"Australia","United Arab Emirates","2015.0","Export","1458.0","34.66","2516812.36","1.34"
"Australia","Argentina","2015.0","Export","211.0","5.02","258479.05","0.14"
"Australia","Armenia","2015.0","Export","33.0","0.78","835.5","0.0"
"Australia","American Samoa","2015.0","Export","105.0","2.5","7599.41","0.0"
"Australia","Antarctica","2015.0","Export","39.0","0.93","6954.13","0.0"
"Australia","Fr. So. Ant. Tr","2015.0","Export","1.0","0.02","29.98","0.0"
"Australia","Antigua and Barbuda","2015.0","Export","6.0","0.14","245.02","0.0"
"Australia","Australia","2015.0","Export","","","",""
"Australia","Austria","2015.0","Export","435.0","10.34","54205.54","0.03"
"Australia","Azerbaijan","2015.0","Export","80.0","1.9","5775.38","0.0"
"Australia","Burundi","2015.0","Export","3.0","0.07","632.3","0.0"
"Australia","Belgium","2015.0","Export","791.0","18.8","904710.37","0.48"
"Australia","Benin","2015.0","Export","14.0","0.33","1113.35","0.0"
"Australia","Burkina Faso","2015.0","Export","198.0","4.71","13899.71","0.01"
"Australia","Bangladesh","2015.0","Export","297.0","7.06","520293.26","0.28"
"Australia","Bulgaria","2015.0","Export","106.0","2.52","67055.28","0.04"
"Australia","Bahamas, The","2015.0","Export","24.0","0.57","2777.58","0.0"
"Australia","Bosnia and Herzegovina","2015.0","Export","13.0","0.31","474.03","0.0"
"Australia","Belarus","2015.0","Export","14.0","0.33","207.4","0.0"
"Australia","Belize","2015.0","Export","4.0","0.1","104.58","0.0"
"Australia","Bermuda","2015.0","Export","46.0","1.09","659.4","0.0"
"Australia","Bolivia","2015.0","Export","45.0","1.07","1356.68","0.0"
"Australia","Brazil","2015.0","Export","487.0","11.58","857901.41","0.46"
"Australia","Barbados","2015.0","Export","31.0","0.74","2714.74","0.0"
