"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Austria","Aruba","2015.0","Export","75.0","1.73","640.01","0.0"
"Austria","Afghanistan","2015.0","Export","229.0","5.28","9561.28","0.01"
"Austria","Angola","2015.0","Export","400.0","9.21","40516.55","0.03"
"Austria","Anguila","2015.0","Export","2.0","0.05","7.5","0.0"
"Austria","Albania","2015.0","Export","1028.0","23.68","65845.32","0.05"
"Austria","Andorra","2015.0","Export","296.0","6.82","5701.57","0.0"
"Austria","United Arab Emirates","2015.0","Export","1710.0","39.39","857069.25","0.59"
"Austria","Argentina","2015.0","Export","770.0","17.74","124958.05","0.09"
"Austria","Armenia","2015.0","Export","689.0","15.87","19905.59","0.01"
"Austria","American Samoa","2015.0","Export","","","",""
"Austria","Antigua and Barbuda","2015.0","Export","20.0","0.46","267.26","0.0"
"Austria","Australia","2015.0","Export","1659.0","38.22","825348.13","0.57"
"Austria","Azerbaijan","2015.0","Export","1026.0","23.64","95818.88","0.07"
"Austria","Burundi","2015.0","Export","28.0","0.65","148.34","0.0"
"Austria","Belgium","2015.0","Export","2364.0","54.46","1808096.71","1.24"
"Austria","Benin","2015.0","Export","176.0","4.05","18772.65","0.01"
"Austria","Bonaire","2015.0","Export","21.0","0.48","133.92","0.0"
"Austria","Burkina Faso","2015.0","Export","173.0","3.99","2973.79","0.0"
"Austria","Bangladesh","2015.0","Export","395.0","9.1","54480.44","0.04"
"Austria","Bulgaria","2015.0","Export","2583.0","59.5","702164.65","0.48"
"Austria","Bahrain","2015.0","Export","669.0","15.41","28345.59","0.02"
"Austria","Bahamas, The","2015.0","Export","269.0","6.2","8541.75","0.01"
"Austria","Bosnia and Herzegovina","2015.0","Export","2245.0","51.72","369191.66","0.25"
"Austria","Saint Barthélemy","2015.0","Export","7.0","0.16","32.11","0.0"
"Austria","Belarus","2015.0","Export","1103.0","25.41","159251.53","0.11"
"Austria","Belize","2015.0","Export","44.0","1.01","3690.2","0.0"
"Austria","Bermuda","2015.0","Export","49.0","1.13","495.52","0.0"
"Austria","Bolivia","2015.0","Export","441.0","10.16","22555.12","0.02"
"Austria","Brazil","2015.0","Export","1357.0","31.26","678992.92","0.47"
"Austria","Barbados","2015.0","Export","119.0","2.74","739.14","0.0"
"Austria","Brunei","2015.0","Export","114.0","2.63","2949.1","0.0"
"Austria","Bhutan","2015.0","Export","80.0","1.84","603.83","0.0"
"Austria","Bunkers","2015.0","Export","1.0","0.02","97737.14","0.07"
"Austria","Botswana","2015.0","Export","86.0","1.98","2766.66","0.0"
"Austria","Central African Republic","2015.0","Export","15.0","0.35","137.21","0.0"
"Austria","Canada","2015.0","Export","1679.0","38.68","1105988.34","0.76"
"Austria","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Austria","Switzerland","2015.0","Export","3577.0","82.4","8362274.85","5.76"
"Austria","Chile","2015.0","Export","1117.0","25.73","171691.31","0.12"
"Austria","China","2015.0","Export","2139.0","49.27","3583252.28","2.47"
"Austria","Cote d'Ivoire","2015.0","Export","275.0","6.33","20772.4","0.01"
"Austria","Cameroon","2015.0","Export","276.0","6.36","5776.33","0.0"
"Austria","Congo, Rep.","2015.0","Export","304.0","7.0","7944.63","0.01"
"Austria","Cook Islands","2015.0","Export","12.0","0.28","84.04","0.0"
"Austria","Colombia","2015.0","Export","926.0","21.33","125559.69","0.09"
"Austria","Comoros","2015.0","Export","9.0","0.21","44.84","0.0"
"Austria","Cape Verde","2015.0","Export","165.0","3.8","816.6","0.0"
"Austria","Costa Rica","2015.0","Export","532.0","12.26","20533.13","0.01"
"Austria","Cuba","2015.0","Export","168.0","3.87","8782.96","0.01"
"Austria","Curaçao","2015.0","Export","91.0","2.1","4857.36","0.0"
"Austria","Christmas Island","2015.0","Export","","","",""
"Austria","Cayman Islands","2015.0","Export","64.0","1.47","563.44","0.0"
"Austria","Cyprus","2015.0","Export","1298.0","29.9","73051.76","0.05"
"Austria","Czech Republic","2015.0","Export","3299.0","76.0","5112347.92","3.52"
"Austria","Germany","2015.0","Export","3891.0","89.63","42863404.32","29.5"
"Austria","Djibouti","2015.0","Export","81.0","1.87","1264.97","0.0"
"Austria","Dominica","2015.0","Export","9.0","0.21","309.79","0.0"
"Austria","Denmark","2015.0","Export","2032.0","46.81","749101.7","0.52"
"Austria","Dominican Republic","2015.0","Export","349.0","8.04","11495.91","0.01"
"Austria","Algeria","2015.0","Export","677.0","15.6","263322.16","0.18"
"Austria","East Asia & Pacific","2015.0","Export","2896.0","66.71","9317390.01","6.41"
"Austria","Europe & Central Asia","2015.0","Export","4265.0","98.25","113012848.13","77.79"
"Austria","Ecuador","2015.0","Export","474.0","10.92","43729.52","0.03"
"Austria","Egypt, Arab Rep.","2015.0","Export","1119.0","25.78","253224.28","0.17"
"Austria","Eritrea","2015.0","Export","11.0","0.25","997.9","0.0"
"Austria","Spain","2015.0","Export","2405.0","55.4","2460770.57","1.69"
"Austria","Estonia","2015.0","Export","1587.0","36.56","111676.86","0.08"
"Austria","Ethiopia(excludes Eritrea)","2015.0","Export","397.0","9.15","14659.59","0.01"
"Austria","Finland","2015.0","Export","1863.0","42.92","539039.82","0.37"
"Austria","Fiji","2015.0","Export","47.0","1.08","2814.28","0.0"
"Austria","Falkland Island","2015.0","Export","5.0","0.12","5.13","0.0"
"Austria","France","2015.0","Export","2740.0","63.12","6349619.24","4.37"
"Austria","Faeroe Islands","2015.0","Export","165.0","3.8","953.25","0.0"
"Austria","Micronesia, Fed. Sts.","2015.0","Export","1.0","0.02","1.16","0.0"
"Austria","Gabon","2015.0","Export","414.0","9.54","17826.32","0.01"
"Austria","United Kingdom","2015.0","Export","2590.0","59.66","4431272.8","3.05"
"Austria","Georgia","2015.0","Export","1035.0","23.84","76345.68","0.05"
"Austria","Ghana","2015.0","Export","678.0","15.62","24455.87","0.02"
"Austria","Gibraltar","2015.0","Export","118.0","2.72","2938.01","0.0"
"Austria","Guinea","2015.0","Export","61.0","1.41","847.13","0.0"
"Austria","Gambia, The","2015.0","Export","112.0","2.58","801.92","0.0"
"Austria","Guinea-Bissau","2015.0","Export","1.0","0.02","44.05","0.0"
"Austria","Equatorial Guinea","2015.0","Export","39.0","0.9","189.95","0.0"
"Austria","Greece","2015.0","Export","2040.0","46.99","407405.0","0.28"
"Austria","Grenada","2015.0","Export","21.0","0.48","43.04","0.0"
"Austria","Greenland","2015.0","Export","44.0","1.01","187.19","0.0"
"Austria","Guatemala","2015.0","Export","468.0","10.78","22108.05","0.02"
"Austria","Guam","2015.0","Export","27.0","0.62","147.58","0.0"
"Austria","Guyana","2015.0","Export","67.0","1.54","827.1","0.0"
"Austria","Hong Kong, China","2015.0","Export","1617.0","37.25","617458.06","0.42"
