"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Azerbaijan","Afghanistan","2015.0","Export","5.0","0.44","189368.42","1.67"
"Azerbaijan","Angola","2015.0","Export","13.0","1.14","918.9","0.01"
"Azerbaijan","Anguila","2015.0","Export","","","",""
"Azerbaijan","Albania","2015.0","Export","","","",""
"Azerbaijan","Andorra","2015.0","Export","","","",""
"Azerbaijan","United Arab Emirates","2015.0","Export","273.0","23.93","3901.55","0.03"
"Azerbaijan","Argentina","2015.0","Export","3.0","0.26","13.45","0.0"
"Azerbaijan","American Samoa","2015.0","Export","","","",""
"Azerbaijan","Australia","2015.0","Export","14.0","1.23","1220.3","0.01"
"Azerbaijan","Austria","2015.0","Export","6.0","0.53","419736.09","3.71"
"Azerbaijan","Belgium","2015.0","Export","36.0","3.16","12368.99","0.11"
"Azerbaijan","Bangladesh","2015.0","Export","","","",""
"Azerbaijan","Bulgaria","2015.0","Export","","","",""
"Azerbaijan","Bahrain","2015.0","Export","2.0","0.18","24.59","0.0"
"Azerbaijan","Bahamas, The","2015.0","Export","","","",""
"Azerbaijan","Bosnia and Herzegovina","2015.0","Export","","","",""
"Azerbaijan","Belarus","2015.0","Export","12.0","1.05","1878.55","0.02"
"Azerbaijan","Belize","2015.0","Export","","","",""
"Azerbaijan","Brazil","2015.0","Export","9.0","0.79","134.92","0.0"
"Azerbaijan","Brunei","2015.0","Export","11.0","0.96","39.29","0.0"
"Azerbaijan","Bhutan","2015.0","Export","","","",""
"Azerbaijan","Botswana","2015.0","Export","","","",""
"Azerbaijan","Canada","2015.0","Export","9.0","0.79","2510.67","0.02"
"Azerbaijan","Switzerland","2015.0","Export","21.0","1.84","13343.58","0.12"
"Azerbaijan","Chile","2015.0","Export","","","",""
"Azerbaijan","China","2015.0","Export","32.0","2.8","37508.0","0.33"
"Azerbaijan","Cote d'Ivoire","2015.0","Export","1.0","0.09","0.37","0.0"
"Azerbaijan","Cameroon","2015.0","Export","1.0","0.09","3.93","0.0"
"Azerbaijan","Congo, Rep.","2015.0","Export","2.0","0.18","578.91","0.01"
"Azerbaijan","Colombia","2015.0","Export","6.0","0.53","21.81","0.0"
"Azerbaijan","Cape Verde","2015.0","Export","","","",""
"Azerbaijan","Costa Rica","2015.0","Export","","","",""
"Azerbaijan","Cuba","2015.0","Export","1.0","0.09","5.8","0.0"
"Azerbaijan","Curaçao","2015.0","Export","","","",""
"Azerbaijan","Cayman Islands","2015.0","Export","","","",""
"Azerbaijan","Cyprus","2015.0","Export","1.0","0.09","8.64","0.0"
"Azerbaijan","Czech Republic","2015.0","Export","9.0","0.79","527.12","0.0"
"Azerbaijan","Germany","2015.0","Export","132.0","11.57","1228229.79","10.84"
"Azerbaijan","Denmark","2015.0","Export","7.0","0.61","56.65","0.0"
"Azerbaijan","Dominican Republic","2015.0","Export","","","",""
"Azerbaijan","Algeria","2015.0","Export","10.0","0.88","288.38","0.0"
"Azerbaijan","East Asia & Pacific","2015.0","Export","105.0","9.2","1108107.75","9.78"
"Azerbaijan","Europe & Central Asia","2015.0","Export","985.0","86.33","8178825.93","72.21"
"Azerbaijan","Ecuador","2015.0","Export","3.0","0.26","1.52","0.0"
"Azerbaijan","Egypt, Arab Rep.","2015.0","Export","6.0","0.53","290.08","0.0"
"Azerbaijan","Spain","2015.0","Export","10.0","0.88","1084918.04","9.58"
"Azerbaijan","Estonia","2015.0","Export","2.0","0.18","11.88","0.0"
"Azerbaijan","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Azerbaijan","Finland","2015.0","Export","4.0","0.35","12.59","0.0"
"Azerbaijan","Fiji","2015.0","Export","","","",""
"Azerbaijan","Falkland Island","2015.0","Export","","","",""
"Azerbaijan","France","2015.0","Export","72.0","6.31","22990.19","0.2"
"Azerbaijan","Faeroe Islands","2015.0","Export","","","",""
"Azerbaijan","Gabon","2015.0","Export","4.0","0.35","99.3","0.0"
"Azerbaijan","United Kingdom","2015.0","Export","266.0","23.31","5420.41","0.05"
"Azerbaijan","Georgia","2015.0","Export","273.0","23.93","449126.25","3.97"
"Azerbaijan","Ghana","2015.0","Export","6.0","0.53","92.54","0.0"
"Azerbaijan","Gibraltar","2015.0","Export","","","",""
"Azerbaijan","Guinea","2015.0","Export","1.0","0.09","1.69","0.0"
"Azerbaijan","Greece","2015.0","Export","1.0","0.09","774454.74","6.84"
"Azerbaijan","Greenland","2015.0","Export","","","",""
"Azerbaijan","Guatemala","2015.0","Export","","","",""
"Azerbaijan","Guyana","2015.0","Export","","","",""
"Azerbaijan","Hong Kong, China","2015.0","Export","3.0","0.26","569.01","0.01"
"Azerbaijan","Honduras","2015.0","Export","","","",""
"Azerbaijan","Croatia","2015.0","Export","4.0","0.35","3.55","0.0"
"Azerbaijan","Haiti","2015.0","Export","","","",""
"Azerbaijan","Hungary","2015.0","Export","2.0","0.18","5.39","0.0"
"Azerbaijan","Indonesia","2015.0","Export","14.0","1.23","1065518.85","9.41"
"Azerbaijan","India","2015.0","Export","12.0","1.05","765712.52","6.76"
"Azerbaijan","Ireland","2015.0","Export","7.0","0.61","25853.08","0.23"
"Azerbaijan","Iran, Islamic Rep.","2015.0","Export","64.0","5.61","138995.56","1.23"
"Azerbaijan","Iraq","2015.0","Export","25.0","2.19","69916.64","0.62"
"Azerbaijan","Iceland","2015.0","Export","1.0","0.09","414.76","0.0"
"Azerbaijan","Israel","2015.0","Export","6.0","0.53","606275.08","5.35"
"Azerbaijan","Italy","2015.0","Export","126.0","11.04","2414227.51","21.31"
"Azerbaijan","Jamaica","2015.0","Export","","","",""
"Azerbaijan","Jordan","2015.0","Export","1.0","0.09","0.24","0.0"
"Azerbaijan","Japan","2015.0","Export","4.0","0.35","2213.23","0.02"
"Azerbaijan","Kazakhstan","2015.0","Export","164.0","14.37","10064.12","0.09"
"Azerbaijan","Kenya","2015.0","Export","9.0","0.79","31.61","0.0"
"Azerbaijan","Kyrgyz Republic","2015.0","Export","21.0","1.84","1419.03","0.01"
"Azerbaijan","Cambodia","2015.0","Export","","","",""
"Azerbaijan","Kiribati","2015.0","Export","","","",""
"Azerbaijan","Korea, Rep.","2015.0","Export","11.0","0.96","10.57","0.0"
"Azerbaijan","Kuwait","2015.0","Export","14.0","1.23","54.8","0.0"
"Azerbaijan","Lebanon","2015.0","Export","","","",""
"Azerbaijan","Libya","2015.0","Export","2.0","0.18","906.02","0.01"
"Azerbaijan","Latin America & Caribbean","2015.0","Export","43.0","3.77","298.5","0.0"
"Azerbaijan","Sri Lanka","2015.0","Export","","","",""
"Azerbaijan","Lesotho","2015.0","Export","","","",""
"Azerbaijan","Lithuania","2015.0","Export","6.0","0.53","1286.0","0.01"
"Azerbaijan","Luxembourg","2015.0","Export","59.0","5.17","44.74","0.0"
"Azerbaijan","Latvia","2015.0","Export","1.0","0.09","30.76","0.0"
"Azerbaijan","Morocco","2015.0","Export","","","",""
"Azerbaijan","Moldova","2015.0","Export","19.0","1.67","436.35","0.0"
"Azerbaijan","Madagascar","2015.0","Export","","","",""
"Azerbaijan","Maldives","2015.0","Export","","","",""
"Azerbaijan","Middle East & North Africa","2015.0","Export","372.0","32.6","921217.41","8.13"
"Azerbaijan","Mexico","2015.0","Export","13.0","1.14","41.09","0.0"
"Azerbaijan","Marshall Islands","2015.0","Export","","","",""
"Azerbaijan","Macedonia, FYR","2015.0","Export","","","",""
"Azerbaijan","Mali","2015.0","Export","","","",""
"Azerbaijan","Malta","2015.0","Export","2.0","0.18","99241.07","0.88"
"Azerbaijan","Myanmar","2015.0","Export","","","",""
"Azerbaijan","Montenegro","2015.0","Export","","","",""
"Azerbaijan","Mozambique","2015.0","Export","1.0","0.09","12.57","0.0"
"Azerbaijan","Mauritania","2015.0","Export","1.0","0.09","0.21","0.0"
"Azerbaijan","Mauritius","2015.0","Export","","","",""
"Azerbaijan","Malawi","2015.0","Export","","","",""
"Azerbaijan","Malaysia","2015.0","Export","15.0","1.31","271.33","0.0"
"Azerbaijan","North America","2015.0","Export","153.0","13.41","135113.16","1.19"
"Azerbaijan","Namibia","2015.0","Export","","","",""
"Azerbaijan","Niger","2015.0","Export","","","",""
"Azerbaijan","Nigeria","2015.0","Export","4.0","0.35","11.8","0.0"
"Azerbaijan","Netherlands","2015.0","Export","117.0","10.25","15366.79","0.14"
"Azerbaijan","Norway","2015.0","Export","47.0","4.12","672018.44","5.93"
"Azerbaijan","Nepal","2015.0","Export","3.0","0.26","65.94","0.0"
"Azerbaijan","New Zealand","2015.0","Export","","","",""
"Azerbaijan","Other Asia, nes","2015.0","Export","1.0","0.09","2.8","0.0"
"Azerbaijan","Oman","2015.0","Export","1.0","0.09","0.07","0.0"
"Azerbaijan","Pakistan","2015.0","Export","10.0","0.88","479.43","0.0"
"Azerbaijan","Peru","2015.0","Export","1.0","0.09","4.19","0.0"
"Azerbaijan","Philippines","2015.0","Export","2.0","0.18","108.53","0.0"
"Azerbaijan","Papua New Guinea","2015.0","Export","1.0","0.09","8.15","0.0"
"Azerbaijan","Poland","2015.0","Export","16.0","1.4","7282.79","0.06"
"Azerbaijan","Korea, Dem. Rep.","2015.0","Export","","","",""
"Azerbaijan","Portugal","2015.0","Export","","","",""
"Azerbaijan","Paraguay","2015.0","Export","","","",""
"Azerbaijan","Occ.Pal.Terr","2015.0","Export","","","",""
"Azerbaijan","French Polynesia","2015.0","Export","","","",""
"Azerbaijan","Qatar","2015.0","Export","8.0","0.7","212.12","0.0"
