"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Burundi","Angola","2015.0","Export","1.0","0.22","10.01","0.01"
"Burundi","Albania","2015.0","Export","","","",""
"Burundi","United Arab Emirates","2015.0","Export","6.0","1.32","14492.43","12.74"
"Burundi","Armenia","2015.0","Export","","","",""
"Burundi","American Samoa","2015.0","Export","","","",""
"Burundi","Australia","2015.0","Export","2.0","0.44","143.79","0.13"
"Burundi","Austria","2015.0","Export","","","",""
"Burundi","Azerbaijan","2015.0","Export","","","",""
"Burundi","Belgium","2015.0","Export","19.0","4.18","4260.57","3.74"
"Burundi","Benin","2015.0","Export","1.0","0.22","31.48","0.03"
"Burundi","Burkina Faso","2015.0","Export","","","",""
"Burundi","Bangladesh","2015.0","Export","","","",""
"Burundi","Bulgaria","2015.0","Export","","","",""
"Burundi","Bahrain","2015.0","Export","","","",""
"Burundi","Bosnia and Herzegovina","2015.0","Export","","","",""
"Burundi","Brazil","2015.0","Export","1.0","0.22","0.1","0.0"
"Burundi","Central African Republic","2015.0","Export","","","",""
"Burundi","Canada","2015.0","Export","1.0","0.22","252.62","0.22"
"Burundi","Switzerland","2015.0","Export","9.0","1.98","22516.49","19.79"
"Burundi","China","2015.0","Export","7.0","1.54","780.4","0.69"
"Burundi","Cote d'Ivoire","2015.0","Export","2.0","0.44","8.15","0.01"
"Burundi","Cameroon","2015.0","Export","","","",""
"Burundi","Congo, Rep.","2015.0","Export","4.0","0.88","4.61","0.0"
"Burundi","Colombia","2015.0","Export","","","",""
"Burundi","Curaçao","2015.0","Export","","","",""
"Burundi","Cyprus","2015.0","Export","","","",""
"Burundi","Czech Republic","2015.0","Export","","","",""
"Burundi","Germany","2015.0","Export","7.0","1.54","1285.43","1.13"
"Burundi","Djibouti","2015.0","Export","","","",""
"Burundi","Denmark","2015.0","Export","1.0","0.22","5.49","0.0"
"Burundi","East Asia & Pacific","2015.0","Export","11.0","2.42","8199.14","7.21"
"Burundi","Europe & Central Asia","2015.0","Export","48.0","10.55","31554.03","27.73"
"Burundi","Egypt, Arab Rep.","2015.0","Export","","","",""
"Burundi","Spain","2015.0","Export","","","",""
"Burundi","Ethiopia(excludes Eritrea)","2015.0","Export","2.0","0.44","39.93","0.04"
"Burundi","Finland","2015.0","Export","","","",""
"Burundi","France","2015.0","Export","9.0","1.98","748.74","0.66"
"Burundi","Gabon","2015.0","Export","2.0","0.44","24.98","0.02"
"Burundi","United Kingdom","2015.0","Export","4.0","0.88","580.74","0.51"
"Burundi","Georgia","2015.0","Export","","","",""
