"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belgium","Aruba","2015.0","Export","116.0","2.59","2394.57","0.0"
"Belgium","Afghanistan","2015.0","Export","269.0","6.0","46218.71","0.01"
"Belgium","Angola","2015.0","Export","1195.0","26.66","241444.82","0.06"
"Belgium","Anguila","2015.0","Export","18.0","0.4","389.04","0.0"
"Belgium","Albania","2015.0","Export","569.0","12.7","27367.39","0.01"
"Belgium","Andorra","2015.0","Export","527.0","11.76","14890.69","0.0"
"Belgium","United Arab Emirates","2015.0","Export","2381.0","53.12","3866861.92","0.97"
"Belgium","Argentina","2015.0","Export","1159.0","25.86","620803.37","0.16"
"Belgium","Armenia","2015.0","Export","918.0","20.48","59490.86","0.01"
"Belgium","American Samoa","2015.0","Export","2.0","0.04","34.29","0.0"
"Belgium","Antarctica","2015.0","Export","32.0","0.71","226.02","0.0"
"Belgium","Fr. So. Ant. Tr","2015.0","Export","198.0","4.42","5665.01","0.0"
"Belgium","Antigua and Barbuda","2015.0","Export","22.0","0.49","722.14","0.0"
"Belgium","Australia","2015.0","Export","2264.0","50.51","1903459.62","0.48"
"Belgium","Austria","2015.0","Export","3185.0","71.06","4015742.91","1.01"
"Belgium","Azerbaijan","2015.0","Export","812.0","18.12","69567.29","0.02"
"Belgium","Burundi","2015.0","Export","759.0","16.93","61143.55","0.02"
"Belgium","Benin","2015.0","Export","933.0","20.82","280609.24","0.07"
"Belgium","Bonaire","2015.0","Export","42.0","0.94","19968.59","0.01"
"Belgium","Burkina Faso","2015.0","Export","850.0","18.96","79211.16","0.02"
"Belgium","Bangladesh","2015.0","Export","602.0","13.43","181317.69","0.05"
"Belgium","Bulgaria","2015.0","Export","2472.0","55.15","762357.33","0.19"
"Belgium","Bahrain","2015.0","Export","923.0","20.59","77907.7","0.02"
"Belgium","Bahamas, The","2015.0","Export","92.0","2.05","3711.98","0.0"
"Belgium","Bosnia and Herzegovina","2015.0","Export","970.0","21.64","61961.33","0.02"
"Belgium","Saint Barthélemy","2015.0","Export","88.0","1.96","856.69","0.0"
"Belgium","Belarus","2015.0","Export","1179.0","26.31","176411.87","0.04"
"Belgium","Belize","2015.0","Export","93.0","2.08","2578.1","0.0"
"Belgium","Bermuda","2015.0","Export","41.0","0.91","1252.42","0.0"
"Belgium","Bolivia","2015.0","Export","432.0","9.64","33643.36","0.01"
"Belgium","Brazil","2015.0","Export","1754.0","39.13","2861096.23","0.72"
"Belgium","Barbados","2015.0","Export","99.0","2.21","2990.97","0.0"
"Belgium","Brunei","2015.0","Export","158.0","3.53","9956.39","0.0"
"Belgium","Bhutan","2015.0","Export","10.0","0.22","1086.02","0.0"
"Belgium","Bunkers","2015.0","Export","429.0","9.57","3357513.32","0.84"
"Belgium","Botswana","2015.0","Export","170.0","3.79","131451.47","0.03"
"Belgium","Central African Republic","2015.0","Export","282.0","6.29","11722.33","0.0"
"Belgium","Canada","2015.0","Export","2040.0","45.52","2135249.16","0.54"
"Belgium","Cocos (Keeling) Islands","2015.0","Export","10.0","0.22","44.6","0.0"
"Belgium","Switzerland","2015.0","Export","3352.0","74.79","5303363.77","1.33"
"Belgium","Chile","2015.0","Export","1518.0","33.87","522828.99","0.13"
"Belgium","China","2015.0","Export","2581.0","57.59","7525950.62","1.89"
"Belgium","Cote d'Ivoire","2015.0","Export","1633.0","36.43","301567.94","0.08"
"Belgium","Cameroon","2015.0","Export","1717.0","38.31","269888.49","0.07"
"Belgium","Congo, Rep.","2015.0","Export","1337.0","29.83","175568.34","0.04"
"Belgium","Cook Islands","2015.0","Export","9.0","0.2","283.47","0.0"
"Belgium","Colombia","2015.0","Export","1205.0","26.89","451308.44","0.11"
"Belgium","Comoros","2015.0","Export","128.0","2.86","2903.62","0.0"
"Belgium","Cape Verde","2015.0","Export","197.0","4.4","15090.59","0.0"
"Belgium","Costa Rica","2015.0","Export","677.0","15.1","46006.44","0.01"
"Belgium","Cuba","2015.0","Export","784.0","17.49","74620.5","0.02"
"Belgium","Curaçao","2015.0","Export","320.0","7.14","9823.99","0.0"
"Belgium","Christmas Island","2015.0","Export","1.0","0.02","37.18","0.0"
"Belgium","Cayman Islands","2015.0","Export","33.0","0.74","1918.28","0.0"
"Belgium","Cyprus","2015.0","Export","1769.0","39.47","212533.3","0.05"
"Belgium","Czech Republic","2015.0","Export","3058.0","68.23","3383706.34","0.85"
"Belgium","Germany","2015.0","Export","4118.0","91.88","66997073.3","16.84"
"Belgium","Djibouti","2015.0","Export","334.0","7.45","35499.23","0.01"
"Belgium","Dominica","2015.0","Export","24.0","0.54","717.27","0.0"
"Belgium","Denmark","2015.0","Export","2983.0","66.56","2950350.35","0.74"
"Belgium","Dominican Republic","2015.0","Export","669.0","14.93","75870.29","0.02"
"Belgium","Algeria","2015.0","Export","1648.0","36.77","1223940.3","0.31"
"Belgium","East Asia & Pacific","2015.0","Export","3622.0","80.81","22220815.69","5.59"
"Belgium","Europe & Central Asia","2015.0","Export","4447.0","99.22","303428724.57","76.29"
"Belgium","Ecuador","2015.0","Export","650.0","14.5","126767.49","0.03"
"Belgium","Egypt, Arab Rep.","2015.0","Export","1902.0","42.44","1327660.95","0.33"
"Belgium","Eritrea","2015.0","Export","129.0","2.88","9240.41","0.0"
"Belgium","Western Sahara","2015.0","Export","","","",""
"Belgium","Spain","2015.0","Export","3604.0","80.41","10396924.79","2.61"
"Belgium","Estonia","2015.0","Export","2132.0","47.57","316459.82","0.08"
"Belgium","Ethiopia(excludes Eritrea)","2015.0","Export","703.0","15.69","191637.37","0.05"
"Belgium","Finland","2015.0","Export","2701.0","60.26","2151250.8","0.54"
"Belgium","Fiji","2015.0","Export","73.0","1.63","2188.46","0.0"
"Belgium","Falkland Island","2015.0","Export","2.0","0.04","1299.93","0.0"
"Belgium","France","2015.0","Export","4258.0","95.0","61289227.54","15.41"
"Belgium","Faeroe Islands","2015.0","Export","382.0","8.52","3513.07","0.0"
"Belgium","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Belgium","Gabon","2015.0","Export","1109.0","24.74","110848.76","0.03"
"Belgium","United Kingdom","2015.0","Export","3725.0","83.11","35154484.91","8.84"
"Belgium","Georgia","2015.0","Export","1168.0","26.06","76551.13","0.02"
"Belgium","Ghana","2015.0","Export","1358.0","30.3","273167.77","0.07"
"Belgium","Gibraltar","2015.0","Export","282.0","6.29","242468.11","0.06"
"Belgium","Guinea","2015.0","Export","1209.0","26.97","144998.02","0.04"
"Belgium","Gambia, The","2015.0","Export","396.0","8.84","17611.46","0.0"
"Belgium","Guinea-Bissau","2015.0","Export","103.0","2.3","3252.07","0.0"
"Belgium","Equatorial Guinea","2015.0","Export","671.0","14.97","39841.42","0.01"
"Belgium","Greece","2015.0","Export","2749.0","61.33","1646353.15","0.41"
"Belgium","Grenada","2015.0","Export","31.0","0.69","693.83","0.0"
"Belgium","Greenland","2015.0","Export","201.0","4.48","1104.67","0.0"
"Belgium","Guatemala","2015.0","Export","483.0","10.78","69992.71","0.02"
"Belgium","Guam","2015.0","Export","25.0","0.56","1267.1","0.0"
"Belgium","Guyana","2015.0","Export","143.0","3.19","8323.29","0.0"
"Belgium","Hong Kong, China","2015.0","Export","2071.0","46.21","2542669.5","0.64"
"Belgium","Honduras","2015.0","Export","290.0","6.47","48242.08","0.01"
"Belgium","Croatia","2015.0","Export","1896.0","42.3","357521.97","0.09"
"Belgium","Haiti","2015.0","Export","306.0","6.83","16925.08","0.0"
"Belgium","Hungary","2015.0","Export","2755.0","61.47","2327512.54","0.59"
"Belgium","Indonesia","2015.0","Export","1225.0","27.33","501370.23","0.13"
"Belgium","India","2015.0","Export","2307.0","51.47","8666018.56","2.18"
"Belgium","British Indian Ocean Ter.","2015.0","Export","5.0","0.11","132.83","0.0"
"Belgium","Ireland","2015.0","Export","2667.0","59.5","1970344.36","0.5"
"Belgium","Iran, Islamic Rep.","2015.0","Export","1191.0","26.57","442660.52","0.11"
"Belgium","Iraq","2015.0","Export","743.0","16.58","301228.0","0.08"
"Belgium","Iceland","2015.0","Export","1391.0","31.04","92775.61","0.02"
"Belgium","Israel","2015.0","Export","2419.0","53.97","2262574.72","0.57"
"Belgium","Italy","2015.0","Export","3607.0","80.48","20005836.66","5.03"
"Belgium","Jamaica","2015.0","Export","209.0","4.66","42244.44","0.01"
"Belgium","Jordan","2015.0","Export","1364.0","30.43","364713.22","0.09"
"Belgium","Japan","2015.0","Export","2200.0","49.09","3652509.23","0.92"
"Belgium","Kazakhstan","2015.0","Export","1007.0","22.47","228561.19","0.06"
"Belgium","Kenya","2015.0","Export","1122.0","25.03","162322.95","0.04"
"Belgium","Kyrgyz Republic","2015.0","Export","320.0","7.14","20520.98","0.01"
"Belgium","Cambodia","2015.0","Export","191.0","4.26","78073.92","0.02"
"Belgium","Kiribati","2015.0","Export","2.0","0.04","91.56","0.0"
"Belgium","St. Kitts and Nevis","2015.0","Export","23.0","0.51","563.79","0.0"
"Belgium","Korea, Rep.","2015.0","Export","2128.0","47.48","1644169.32","0.41"
"Belgium","Kuwait","2015.0","Export","1184.0","26.42","233766.17","0.06"
"Belgium","Lao PDR","2015.0","Export","69.0","1.54","23294.94","0.01"
"Belgium","Lebanon","2015.0","Export","1915.0","42.73","444005.14","0.11"
"Belgium","Liberia","2015.0","Export","433.0","9.66","37871.75","0.01"
"Belgium","Libya","2015.0","Export","621.0","13.86","134561.31","0.03"
"Belgium","St. Lucia","2015.0","Export","113.0","2.52","2200.42","0.0"
"Belgium","Latin America & Caribbean","2015.0","Export","3018.0","67.34","7073668.32","1.78"
"Belgium","Sri Lanka","2015.0","Export","611.0","13.63","81850.56","0.02"
"Belgium","Lesotho","2015.0","Export","16.0","0.36","1214.26","0.0"
"Belgium","Lithuania","2015.0","Export","2236.0","49.89","875919.36","0.22"
"Belgium","Luxembourg","2015.0","Export","3607.0","80.48","5981396.45","1.5"
"Belgium","Latvia","2015.0","Export","2154.0","48.06","409742.91","0.1"
"Belgium","Macao","2015.0","Export","150.0","3.35","4480.73","0.0"
"Belgium","Morocco","2015.0","Export","2202.0","49.13","842816.54","0.21"
"Belgium","Moldova","2015.0","Export","912.0","20.35","36061.93","0.01"
"Belgium","Madagascar","2015.0","Export","762.0","17.0","77890.65","0.02"
