"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Benin","Afghanistan","2015.0","Export","","","",""
"Benin","Angola","2015.0","Export","1.0","0.17","64.42","0.01"
"Benin","Anguila","2015.0","Export","","","",""
"Benin","Albania","2015.0","Export","1.0","0.17","4250.84","0.68"
"Benin","Andorra","2015.0","Export","1.0","0.17","26.31","0.0"
"Benin","United Arab Emirates","2015.0","Export","13.0","2.2","2204.47","0.35"
"Benin","Argentina","2015.0","Export","","","",""
"Benin","Armenia","2015.0","Export","","","",""
"Benin","Antigua and Barbuda","2015.0","Export","1.0","0.17","1.64","0.0"
"Benin","Australia","2015.0","Export","1.0","0.17","5.5","0.0"
"Benin","Austria","2015.0","Export","1.0","0.17","10.78","0.0"
"Benin","Burundi","2015.0","Export","","","",""
"Benin","Belgium","2015.0","Export","50.0","8.45","4578.44","0.73"
"Benin","Burkina Faso","2015.0","Export","58.0","9.8","3782.61","0.6"
"Benin","Bangladesh","2015.0","Export","2.0","0.34","46550.55","7.44"
"Benin","Bulgaria","2015.0","Export","1.0","0.17","2.49","0.0"
"Benin","Bahrain","2015.0","Export","","","",""
"Benin","Bahamas, The","2015.0","Export","","","",""
"Benin","Bosnia and Herzegovina","2015.0","Export","","","",""
"Benin","Belarus","2015.0","Export","","","",""
"Benin","Belize","2015.0","Export","2.0","0.34","15.58","0.0"
"Benin","Bolivia","2015.0","Export","","","",""
"Benin","Brazil","2015.0","Export","","","",""
"Benin","Brunei","2015.0","Export","","","",""
"Benin","Bouvet Island","2015.0","Export","","","",""
"Benin","Central African Republic","2015.0","Export","10.0","1.69","155.63","0.02"
"Benin","Canada","2015.0","Export","9.0","1.52","30.38","0.0"
"Benin","Switzerland","2015.0","Export","9.0","1.52","7419.28","1.19"
"Benin","Chile","2015.0","Export","","","",""
"Benin","China","2015.0","Export","47.0","7.94","32865.68","5.25"
"Benin","Cote d'Ivoire","2015.0","Export","39.0","6.59","10567.72","1.69"
"Benin","Cameroon","2015.0","Export","31.0","5.24","1796.33","0.29"
"Benin","Congo, Rep.","2015.0","Export","29.0","4.9","417.8","0.07"
"Benin","Colombia","2015.0","Export","3.0","0.51","3504.53","0.56"
"Benin","Comoros","2015.0","Export","","","",""
"Benin","Cape Verde","2015.0","Export","1.0","0.17","30.2","0.0"
"Benin","Costa Rica","2015.0","Export","1.0","0.17","1.75","0.0"
"Benin","Cuba","2015.0","Export","","","",""
"Benin","Curaçao","2015.0","Export","","","",""
"Benin","Cayman Islands","2015.0","Export","","","",""
"Benin","Cyprus","2015.0","Export","","","",""
"Benin","Czech Republic","2015.0","Export","","","",""
"Benin","Germany","2015.0","Export","24.0","4.05","2688.12","0.43"
