"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bangladesh","Aruba","2015.0","Export","1.0","0.06","94.62","0.0"
"Bangladesh","Afghanistan","2015.0","Export","18.0","1.04","4712.81","0.01"
"Bangladesh","Angola","2015.0","Export","12.0","0.69","3094.17","0.01"
"Bangladesh","Albania","2015.0","Export","5.0","0.29","2749.99","0.01"
"Bangladesh","Andorra","2015.0","Export","","","",""
"Bangladesh","United Arab Emirates","2015.0","Export","334.0","19.33","353636.91","1.11"
"Bangladesh","Argentina","2015.0","Export","59.0","3.41","7190.38","0.02"
"Bangladesh","Armenia","2015.0","Export","6.0","0.35","878.51","0.0"
"Bangladesh","American Samoa","2015.0","Export","3.0","0.17","20.78","0.0"
"Bangladesh","Antigua and Barbuda","2015.0","Export","","","",""
"Bangladesh","Australia","2015.0","Export","305.0","17.65","674564.09","2.13"
"Bangladesh","Austria","2015.0","Export","107.0","6.19","59930.6","0.19"
"Bangladesh","Azerbaijan","2015.0","Export","9.0","0.52","524.27","0.0"
"Bangladesh","Burundi","2015.0","Export","3.0","0.17","222.95","0.0"
"Bangladesh","Belgium","2015.0","Export","241.0","13.95","904453.61","2.85"
"Bangladesh","Benin","2015.0","Export","9.0","0.52","289.14","0.0"
"Bangladesh","Burkina Faso","2015.0","Export","4.0","0.23","231.66","0.0"
"Bangladesh","Bulgaria","2015.0","Export","31.0","1.79","2935.41","0.01"
"Bangladesh","Bahrain","2015.0","Export","60.0","3.47","5025.61","0.02"
"Bangladesh","Bahamas, The","2015.0","Export","","","",""
"Bangladesh","Bosnia and Herzegovina","2015.0","Export","15.0","0.87","1287.81","0.0"
"Bangladesh","Belarus","2015.0","Export","10.0","0.58","3137.11","0.01"
"Bangladesh","Belize","2015.0","Export","7.0","0.41","140.3","0.0"
"Bangladesh","Bermuda","2015.0","Export","4.0","0.23","169.55","0.0"
