"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bulgaria","Aruba","2015.0","Export","11.0","0.29","471.9","0.0"
"Bulgaria","Afghanistan","2015.0","Export","151.0","3.95","2370.53","0.01"
"Bulgaria","Angola","2015.0","Export","37.0","0.97","988.75","0.0"
"Bulgaria","Anguila","2015.0","Export","1.0","0.03","0.59","0.0"
"Bulgaria","Albania","2015.0","Export","776.0","20.3","69207.52","0.27"
"Bulgaria","Andorra","2015.0","Export","16.0","0.42","128.52","0.0"
"Bulgaria","United Arab Emirates","2015.0","Export","563.0","14.73","243674.77","0.95"
"Bulgaria","Argentina","2015.0","Export","54.0","1.41","5400.48","0.02"
"Bulgaria","Armenia","2015.0","Export","419.0","10.96","21412.55","0.08"
"Bulgaria","Fr. So. Ant. Tr","2015.0","Export","3.0","0.08","281.23","0.0"
"Bulgaria","Antigua and Barbuda","2015.0","Export","6.0","0.16","621.6","0.0"
"Bulgaria","Australia","2015.0","Export","321.0","8.4","31345.34","0.12"
"Bulgaria","Austria","2015.0","Export","923.0","24.15","456263.94","1.77"
"Bulgaria","Azerbaijan","2015.0","Export","328.0","8.58","24013.2","0.09"
"Bulgaria","Burundi","2015.0","Export","5.0","0.13","191.36","0.0"
"Bulgaria","Belgium","2015.0","Export","937.0","24.52","946639.5","3.67"
"Bulgaria","Benin","2015.0","Export","27.0","0.71","1001.5","0.0"
"Bulgaria","Burkina Faso","2015.0","Export","11.0","0.29","126.71","0.0"
"Bulgaria","Bangladesh","2015.0","Export","56.0","1.47","26717.48","0.1"
"Bulgaria","Bahrain","2015.0","Export","55.0","1.44","1877.51","0.01"
"Bulgaria","Bahamas, The","2015.0","Export","8.0","0.21","1675.75","0.01"
"Bulgaria","Bosnia and Herzegovina","2015.0","Export","657.0","17.19","67154.38","0.26"
"Bulgaria","Belarus","2015.0","Export","302.0","7.9","31809.25","0.12"
"Bulgaria","Belize","2015.0","Export","11.0","0.29","6582.4","0.03"
"Bulgaria","Bermuda","2015.0","Export","3.0","0.08","19.92","0.0"
"Bulgaria","Bolivia","2015.0","Export","25.0","0.65","767.56","0.0"
"Bulgaria","Brazil","2015.0","Export","168.0","4.4","27735.24","0.11"
"Bulgaria","Barbados","2015.0","Export","8.0","0.21","77.88","0.0"
"Bulgaria","Brunei","2015.0","Export","5.0","0.13","68.24","0.0"
"Bulgaria","Bunkers","2015.0","Export","19.0","0.5","37802.17","0.15"
"Bulgaria","Botswana","2015.0","Export","4.0","0.1","110.16","0.0"
"Bulgaria","Central African Republic","2015.0","Export","5.0","0.13","168.19","0.0"
"Bulgaria","Canada","2015.0","Export","422.0","11.04","55173.6","0.21"
"Bulgaria","Switzerland","2015.0","Export","797.0","20.85","144440.11","0.56"
"Bulgaria","Chile","2015.0","Export","152.0","3.98","16926.89","0.07"
"Bulgaria","China","2015.0","Export","515.0","13.47","610640.66","2.37"
"Bulgaria","Cote d'Ivoire","2015.0","Export","45.0","1.18","1779.79","0.01"
"Bulgaria","Cameroon","2015.0","Export","22.0","0.58","1510.15","0.01"
"Bulgaria","Congo, Rep.","2015.0","Export","30.0","0.78","611.0","0.0"
"Bulgaria","Cook Islands","2015.0","Export","2.0","0.05","78.02","0.0"
"Bulgaria","Colombia","2015.0","Export","71.0","1.86","4843.6","0.02"
"Bulgaria","Comoros","2015.0","Export","10.0","0.26","181.55","0.0"
"Bulgaria","Cape Verde","2015.0","Export","2.0","0.05","3.76","0.0"
"Bulgaria","Costa Rica","2015.0","Export","29.0","0.76","1163.07","0.0"
"Bulgaria","Cuba","2015.0","Export","74.0","1.94","1366.05","0.01"
"Bulgaria","Curaçao","2015.0","Export","5.0","0.13","524.3","0.0"
"Bulgaria","Cayman Islands","2015.0","Export","5.0","0.13","112.77","0.0"
"Bulgaria","Cyprus","2015.0","Export","668.0","17.48","169982.46","0.66"
"Bulgaria","Czech Republic","2015.0","Export","936.0","24.49","433929.58","1.68"
"Bulgaria","Germany","2015.0","Export","1837.0","48.06","3208179.71","12.45"
"Bulgaria","Djibouti","2015.0","Export","9.0","0.24","18000.17","0.07"
"Bulgaria","Dominica","2015.0","Export","2.0","0.05","57.78","0.0"
"Bulgaria","Denmark","2015.0","Export","503.0","13.16","139172.17","0.54"
"Bulgaria","Dominican Republic","2015.0","Export","81.0","2.12","6021.61","0.02"
"Bulgaria","Algeria","2015.0","Export","137.0","3.58","73676.25","0.29"
"Bulgaria","East Asia & Pacific","2015.0","Export","1109.0","29.02","1414683.79","5.49"
"Bulgaria","Europe & Central Asia","2015.0","Export","3766.0","98.53","20931584.8","81.2"
"Bulgaria","Ecuador","2015.0","Export","43.0","1.13","1467.99","0.01"
