"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bahrain","Aruba","2015.0","Export","","","",""
"Bahrain","Afghanistan","2015.0","Export","4.0","0.14","726.97","0.0"
"Bahrain","Angola","2015.0","Export","4.0","0.14","4932.14","0.03"
"Bahrain","Anguila","2015.0","Export","1.0","0.03","123.4","0.0"
"Bahrain","Albania","2015.0","Export","1.0","0.03","82.17","0.0"
"Bahrain","Andorra","2015.0","Export","","","",""
"Bahrain","United Arab Emirates","2015.0","Export","1611.0","54.46","2585183.59","15.49"
"Bahrain","Argentina","2015.0","Export","3.0","0.1","66.61","0.0"
"Bahrain","Armenia","2015.0","Export","1.0","0.03","19.88","0.0"
"Bahrain","American Samoa","2015.0","Export","","","",""
"Bahrain","Antarctica","2015.0","Export","7.0","0.24","112.57","0.0"
"Bahrain","Antigua and Barbuda","2015.0","Export","54.0","1.83","25.32","0.0"
"Bahrain","Australia","2015.0","Export","39.0","1.32","77183.62","0.46"
"Bahrain","Austria","2015.0","Export","14.0","0.47","21753.99","0.13"
"Bahrain","Azerbaijan","2015.0","Export","5.0","0.17","2.51","0.0"
"Bahrain","Burundi","2015.0","Export","","","",""
"Bahrain","Belgium","2015.0","Export","94.0","3.18","41213.14","0.25"
"Bahrain","Burkina Faso","2015.0","Export","","","",""
"Bahrain","Bangladesh","2015.0","Export","26.0","0.88","20543.15","0.12"
"Bahrain","Bulgaria","2015.0","Export","","","",""
"Bahrain","Bahrain","2015.0","Export","","","",""
"Bahrain","Bahamas, The","2015.0","Export","56.0","1.89","58.65","0.0"
"Bahrain","Bosnia and Herzegovina","2015.0","Export","","","",""
"Bahrain","Belarus","2015.0","Export","","","",""
"Bahrain","Belize","2015.0","Export","","","",""
"Bahrain","Bermuda","2015.0","Export","26.0","0.88","11.29","0.0"
"Bahrain","Bolivia","2015.0","Export","","","",""
"Bahrain","Brazil","2015.0","Export","10.0","0.34","95288.99","0.57"
"Bahrain","Barbados","2015.0","Export","","","",""
"Bahrain","Brunei","2015.0","Export","1.0","0.03","1.0","0.0"
"Bahrain","Bhutan","2015.0","Export","","","",""
"Bahrain","Bouvet Island","2015.0","Export","","","",""
"Bahrain","Botswana","2015.0","Export","","","",""
"Bahrain","Central African Republic","2015.0","Export","","","",""
"Bahrain","Canada","2015.0","Export","17.0","0.57","20689.5","0.12"
"Bahrain","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Bahrain","Switzerland","2015.0","Export","67.0","2.27","13999.34","0.08"
"Bahrain","Chile","2015.0","Export","3.0","0.1","163.48","0.0"
"Bahrain","China","2015.0","Export","54.0","1.83","314986.92","1.89"
"Bahrain","Cote d'Ivoire","2015.0","Export","4.0","0.14","903.0","0.01"
"Bahrain","Cameroon","2015.0","Export","","","",""
"Bahrain","Congo, Rep.","2015.0","Export","","","",""
"Bahrain","Cook Islands","2015.0","Export","","","",""
"Bahrain","Colombia","2015.0","Export","5.0","0.17","1433.59","0.01"
"Bahrain","Comoros","2015.0","Export","","","",""
"Bahrain","Cape Verde","2015.0","Export","","","",""
"Bahrain","Costa Rica","2015.0","Export","","","",""
"Bahrain","Cuba","2015.0","Export","","","",""
"Bahrain","Curaçao","2015.0","Export","1.0","0.03","0.01","0.0"
"Bahrain","Cayman Islands","2015.0","Export","9.0","0.3","9.02","0.0"
"Bahrain","Cyprus","2015.0","Export","36.0","1.22","27451.97","0.16"
"Bahrain","Czech Republic","2015.0","Export","5.0","0.17","303.55","0.0"
"Bahrain","Germany","2015.0","Export","162.0","5.48","19925.36","0.12"
"Bahrain","Djibouti","2015.0","Export","16.0","0.54","50719.03","0.3"
"Bahrain","Dominica","2015.0","Export","","","",""
"Bahrain","Denmark","2015.0","Export","34.0","1.15","2455.05","0.01"
"Bahrain","Dominican Republic","2015.0","Export","2.0","0.07","150.31","0.0"
"Bahrain","Algeria","2015.0","Export","21.0","0.71","174804.01","1.05"
"Bahrain","East Asia & Pacific","2015.0","Export","463.0","15.65","3807503.23","22.82"
"Bahrain","Europe & Central Asia","2015.0","Export","596.0","20.15","730607.37","4.38"
"Bahrain","Ecuador","2015.0","Export","1.0","0.03","1434.28","0.01"
"Bahrain","Egypt, Arab Rep.","2015.0","Export","129.0","4.36","349890.27","2.1"
"Bahrain","Eritrea","2015.0","Export","","","",""
"Bahrain","Western Sahara","2015.0","Export","","","",""
"Bahrain","Spain","2015.0","Export","68.0","2.3","23043.63","0.14"
"Bahrain","Estonia","2015.0","Export","1.0","0.03","260.14","0.0"
"Bahrain","Ethiopia(excludes Eritrea)","2015.0","Export","17.0","0.57","10236.9","0.06"
"Bahrain","Finland","2015.0","Export","7.0","0.24","877.36","0.01"
"Bahrain","Fiji","2015.0","Export","","","",""
"Bahrain","France","2015.0","Export","55.0","1.86","41076.29","0.25"
"Bahrain","Faeroe Islands","2015.0","Export","","","",""
"Bahrain","Gabon","2015.0","Export","25.0","0.85","317.39","0.0"
"Bahrain","United Kingdom","2015.0","Export","202.0","6.83","125416.69","0.75"
"Bahrain","Georgia","2015.0","Export","1.0","0.03","214.62","0.0"
"Bahrain","Ghana","2015.0","Export","3.0","0.1","127.72","0.0"
"Bahrain","Gibraltar","2015.0","Export","","","",""
"Bahrain","Guinea","2015.0","Export","","","",""
"Bahrain","Gambia, The","2015.0","Export","","","",""
"Bahrain","Equatorial Guinea","2015.0","Export","","","",""
"Bahrain","Greece","2015.0","Export","66.0","2.23","133.84","0.0"
"Bahrain","Grenada","2015.0","Export","","","",""
"Bahrain","Greenland","2015.0","Export","","","",""
"Bahrain","Guatemala","2015.0","Export","","","",""
"Bahrain","Guam","2015.0","Export","","","",""
"Bahrain","Guyana","2015.0","Export","1.0","0.03","50.36","0.0"
"Bahrain","Hong Kong, China","2015.0","Export","92.0","3.11","21361.65","0.13"
"Bahrain","Honduras","2015.0","Export","1.0","0.03","46.94","0.0"
"Bahrain","Croatia","2015.0","Export","6.0","0.2","1807.93","0.01"
"Bahrain","Haiti","2015.0","Export","","","",""
"Bahrain","Hungary","2015.0","Export","1.0","0.03","0.41","0.0"
"Bahrain","Indonesia","2015.0","Export","9.0","0.3","11492.5","0.07"
"Bahrain","India","2015.0","Export","140.0","4.73","237604.44","1.42"
"Bahrain","British Indian Ocean Ter.","2015.0","Export","","","",""
"Bahrain","Ireland","2015.0","Export","8.0","0.27","1011.29","0.01"
"Bahrain","Iran, Islamic Rep.","2015.0","Export","11.0","0.37","7125.69","0.04"
"Bahrain","Iraq","2015.0","Export","195.0","6.59","494372.53","2.96"
"Bahrain","Iceland","2015.0","Export","","","",""
"Bahrain","Israel","2015.0","Export","","","",""
"Bahrain","Italy","2015.0","Export","102.0","3.45","45127.79","0.27"
"Bahrain","Jamaica","2015.0","Export","","","",""
"Bahrain","Jordan","2015.0","Export","162.0","5.48","39053.13","0.23"
"Bahrain","Japan","2015.0","Export","47.0","1.59","1968656.2","11.8"
"Bahrain","Kenya","2015.0","Export","43.0","1.45","67785.35","0.41"
"Bahrain","Kyrgyz Republic","2015.0","Export","","","",""
"Bahrain","Cambodia","2015.0","Export","1.0","0.03","1.99","0.0"
"Bahrain","Kiribati","2015.0","Export","","","",""
"Bahrain","St. Kitts and Nevis","2015.0","Export","","","",""
"Bahrain","Korea, Rep.","2015.0","Export","61.0","2.06","390607.81","2.34"
"Bahrain","Kuwait","2015.0","Export","1008.0","34.08","393772.02","2.36"
"Bahrain","Lao PDR","2015.0","Export","","","",""
"Bahrain","Lebanon","2015.0","Export","59.0","1.99","28495.86","0.17"
"Bahrain","Liberia","2015.0","Export","200.0","6.76","507.39","0.0"
"Bahrain","Libya","2015.0","Export","14.0","0.47","9688.01","0.06"
"Bahrain","St. Lucia","2015.0","Export","","","",""
"Bahrain","Latin America & Caribbean","2015.0","Export","183.0","6.19","107728.67","0.65"
"Bahrain","Sri Lanka","2015.0","Export","20.0","0.68","6544.05","0.04"
"Bahrain","Lesotho","2015.0","Export","","","",""
"Bahrain","Lithuania","2015.0","Export","4.0","0.14","1562.82","0.01"
"Bahrain","Luxembourg","2015.0","Export","","","",""
"Bahrain","Latvia","2015.0","Export","","","",""
"Bahrain","Macao","2015.0","Export","2.0","0.07","6.95","0.0"
"Bahrain","Morocco","2015.0","Export","34.0","1.15","131585.75","0.79"
"Bahrain","Moldova","2015.0","Export","","","",""
"Bahrain","Madagascar","2015.0","Export","3.0","0.1","190830.77","1.14"
"Bahrain","Maldives","2015.0","Export","1.0","0.03","11917.68","0.07"
"Bahrain","Middle East & North Africa","2015.0","Export","2786.0","94.19","10148976.77","60.83"
"Bahrain","Mexico","2015.0","Export","12.0","0.41","2261.31","0.01"
"Bahrain","Marshall Islands","2015.0","Export","166.0","5.61","259.65","0.0"
"Bahrain","Macedonia, FYR","2015.0","Export","","","",""
"Bahrain","Mali","2015.0","Export","","","",""
"Bahrain","Malta","2015.0","Export","80.0","2.7","346.58","0.0"
"Bahrain","Myanmar","2015.0","Export","2.0","0.07","67.7","0.0"
"Bahrain","Mongolia","2015.0","Export","","","",""
"Bahrain","Montenegro","2015.0","Export","","","",""
"Bahrain","Mozambique","2015.0","Export","5.0","0.17","63064.59","0.38"
"Bahrain","Mauritania","2015.0","Export","5.0","0.17","159.0","0.0"
"Bahrain","Montserrat","2015.0","Export","","","",""
"Bahrain","Mauritius","2015.0","Export","7.0","0.24","1748.16","0.01"
"Bahrain","Malawi","2015.0","Export","","","",""
"Bahrain","Malaysia","2015.0","Export","26.0","0.88","116224.44","0.7"
"Bahrain","North America","2015.0","Export","269.0","9.09","731461.16","4.38"
"Bahrain","Namibia","2015.0","Export","1.0","0.03","1015.95","0.01"
"Bahrain","New Caledonia","2015.0","Export","","","",""
"Bahrain","Niger","2015.0","Export","","","",""
"Bahrain","Nigeria","2015.0","Export","12.0","0.41","42935.33","0.26"
"Bahrain","Nicaragua","2015.0","Export","7.0","0.24","45.49","0.0"
"Bahrain","Niue","2015.0","Export","","","",""
"Bahrain","Netherlands","2015.0","Export","74.0","2.5","205868.53","1.23"
"Bahrain","Norway","2015.0","Export","52.0","1.76","17392.22","0.1"
"Bahrain","Nepal","2015.0","Export","7.0","0.24","86.78","0.0"
"Bahrain","Nauru","2015.0","Export","","","",""
"Bahrain","New Zealand","2015.0","Export","7.0","0.24","20363.82","0.12"
"Bahrain","Other Asia, nes","2015.0","Export","20.0","0.68","128822.92","0.77"
"Bahrain","Oman","2015.0","Export","354.0","11.97","896537.37","5.37"
"Bahrain","Pakistan","2015.0","Export","90.0","3.04","20032.11","0.12"
"Bahrain","Panama","2015.0","Export","115.0","3.89","243.24","0.0"
"Bahrain","Pitcairn","2015.0","Export","","","",""
"Bahrain","Peru","2015.0","Export","","","",""
"Bahrain","Philippines","2015.0","Export","40.0","1.35","108750.61","0.65"
"Bahrain","Papua New Guinea","2015.0","Export","","","",""
"Bahrain","Poland","2015.0","Export","9.0","0.3","2847.9","0.02"
