"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bahamas, The","Aruba","2015.0","Export","3.0","0.27","63.41","0.01"
"Bahamas, The","Argentina","2015.0","Export","17.0","1.5","1998.13","0.45"
"Bahamas, The","Antigua and Barbuda","2015.0","Export","24.0","2.12","1538.77","0.35"
"Bahamas, The","Australia","2015.0","Export","2.0","0.18","1982.66","0.45"
"Bahamas, The","Austria","2015.0","Export","1.0","0.09","1.6","0.0"
"Bahamas, The","Belgium","2015.0","Export","1.0","0.09","1.11","0.0"
"Bahamas, The","Belize","2015.0","Export","8.0","0.71","26.49","0.01"
"Bahamas, The","Bermuda","2015.0","Export","","","",""
"Bahamas, The","Bolivia","2015.0","Export","1.0","0.09","0.05","0.0"
"Bahamas, The","Brazil","2015.0","Export","14.0","1.24","2156.86","0.49"
"Bahamas, The","Barbados","2015.0","Export","4.0","0.35","2737.67","0.62"
"Bahamas, The","Canada","2015.0","Export","35.0","3.09","5458.97","1.23"
"Bahamas, The","Switzerland","2015.0","Export","16.0","1.41","86.98","0.02"
"Bahamas, The","Chile","2015.0","Export","39.0","3.45","7.08","0.0"
"Bahamas, The","China","2015.0","Export","11.0","0.97","381.9","0.09"
"Bahamas, The","Colombia","2015.0","Export","","","",""
"Bahamas, The","Costa Rica","2015.0","Export","1.0","0.09","0.5","0.0"
"Bahamas, The","Cuba","2015.0","Export","1.0","0.09","4.75","0.0"
"Bahamas, The","Curaçao","2015.0","Export","1.0","0.09","0.3","0.0"
"Bahamas, The","Cayman Islands","2015.0","Export","20.0","1.77","519.77","0.12"
"Bahamas, The","Cyprus","2015.0","Export","","","",""
"Bahamas, The","Czech Republic","2015.0","Export","5.0","0.44","1.07","0.0"
"Bahamas, The","Germany","2015.0","Export","9.0","0.8","326.79","0.07"
"Bahamas, The","Dominica","2015.0","Export","6.0","0.53","21.21","0.0"
"Bahamas, The","Denmark","2015.0","Export","3.0","0.27","409.56","0.09"
"Bahamas, The","Dominican Republic","2015.0","Export","6.0","0.53","1769.99","0.4"
"Bahamas, The","East Asia & Pacific","2015.0","Export","28.0","2.47","3501.35","0.79"
"Bahamas, The","Europe & Central Asia","2015.0","Export","145.0","12.81","44623.85","10.08"
"Bahamas, The","Ecuador","2015.0","Export","","","",""
"Bahamas, The","Eritrea","2015.0","Export","","","",""
"Bahamas, The","Spain","2015.0","Export","8.0","0.71","1050.48","0.24"
"Bahamas, The","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Bahamas, The","Finland","2015.0","Export","4.0","0.35","14069.91","3.18"
"Bahamas, The","France","2015.0","Export","26.0","2.3","19360.3","4.37"
"Bahamas, The","United Kingdom","2015.0","Export","78.0","6.89","6096.68","1.38"
"Bahamas, The","Georgia","2015.0","Export","","","",""
"Bahamas, The","Ghana","2015.0","Export","1.0","0.09","7.48","0.0"
"Bahamas, The","Greece","2015.0","Export","6.0","0.53","438.19","0.1"
"Bahamas, The","Grenada","2015.0","Export","14.0","1.24","0.29","0.0"
"Bahamas, The","Guatemala","2015.0","Export","","","",""
"Bahamas, The","Guyana","2015.0","Export","31.0","2.74","179.81","0.04"
"Bahamas, The","Hong Kong, China","2015.0","Export","11.0","0.97","511.92","0.12"
"Bahamas, The","Honduras","2015.0","Export","1.0","0.09","0.45","0.0"
"Bahamas, The","Haiti","2015.0","Export","44.0","3.89","160.62","0.04"
"Bahamas, The","Hungary","2015.0","Export","","","",""
"Bahamas, The","Indonesia","2015.0","Export","","","",""
"Bahamas, The","India","2015.0","Export","3.0","0.27","29.79","0.01"
"Bahamas, The","Ireland","2015.0","Export","1.0","0.09","670.47","0.15"
"Bahamas, The","Iran, Islamic Rep.","2015.0","Export","","","",""
"Bahamas, The","Iraq","2015.0","Export","2.0","0.18","44.6","0.01"
"Bahamas, The","Iceland","2015.0","Export","","","",""
"Bahamas, The","Israel","2015.0","Export","","","",""
"Bahamas, The","Italy","2015.0","Export","20.0","1.77","319.68","0.07"
"Bahamas, The","Jamaica","2015.0","Export","42.0","3.71","266.82","0.06"
"Bahamas, The","Japan","2015.0","Export","3.0","0.27","82.61","0.02"
"Bahamas, The","Kenya","2015.0","Export","","","",""
"Bahamas, The","St. Kitts and Nevis","2015.0","Export","1.0","0.09","1951.42","0.44"
"Bahamas, The","Korea, Rep.","2015.0","Export","","","",""
"Bahamas, The","Lebanon","2015.0","Export","","","",""
"Bahamas, The","St. Lucia","2015.0","Export","5.0","0.44","115.97","0.03"
"Bahamas, The","Latin America & Caribbean","2015.0","Export","252.0","22.26","15712.21","3.55"
"Bahamas, The","Sri Lanka","2015.0","Export","","","",""
"Bahamas, The","Luxembourg","2015.0","Export","","","",""
"Bahamas, The","Latvia","2015.0","Export","","","",""
"Bahamas, The","Morocco","2015.0","Export","","","",""
"Bahamas, The","Middle East & North Africa","2015.0","Export","3.0","0.27","68.6","0.02"
"Bahamas, The","Mexico","2015.0","Export","13.0","1.15","86.84","0.02"
"Bahamas, The","Mali","2015.0","Export","6.0","0.53","5.92","0.0"
"Bahamas, The","Malta","2015.0","Export","","","",""
"Bahamas, The","Malaysia","2015.0","Export","","","",""
"Bahamas, The","North America","2015.0","Export","1053.0","93.02","373249.27","84.3"
"Bahamas, The","Namibia","2015.0","Export","","","",""
"Bahamas, The","Nigeria","2015.0","Export","","","",""
"Bahamas, The","Nicaragua","2015.0","Export","","","",""
"Bahamas, The","Netherlands","2015.0","Export","12.0","1.06","77.0","0.02"
"Bahamas, The","Norway","2015.0","Export","9.0","0.8","343.67","0.08"
"Bahamas, The","New Zealand","2015.0","Export","","","",""
"Bahamas, The","Oman","2015.0","Export","1.0","0.09","24.0","0.01"
"Bahamas, The","Pakistan","2015.0","Export","","","",""
"Bahamas, The","Panama","2015.0","Export","64.0","5.65","1191.72","0.27"
"Bahamas, The","Peru","2015.0","Export","","","",""
"Bahamas, The","Philippines","2015.0","Export","","","",""
"Bahamas, The","Palau","2015.0","Export","","","",""
"Bahamas, The","Poland","2015.0","Export","","","",""
"Bahamas, The","Korea, Dem. Rep.","2015.0","Export","4.0","0.35","99.75","0.02"
"Bahamas, The","Portugal","2015.0","Export","1.0","0.09","20.0","0.0"
"Bahamas, The","Paraguay","2015.0","Export","19.0","1.68","583.79","0.13"
"Bahamas, The","Qatar","2015.0","Export","","","",""
"Bahamas, The","Romania","2015.0","Export","","","",""
"Bahamas, The","Russian Federation","2015.0","Export","","","",""
"Bahamas, The","South Asia","2015.0","Export","3.0","0.27","29.79","0.01"
"Bahamas, The","Saudi Arabia","2015.0","Export","","","",""
"Bahamas, The","Singapore","2015.0","Export","2.0","0.18","19.46","0.0"
"Bahamas, The","Sierra Leone","2015.0","Export","","","",""
"Bahamas, The","Sub-Saharan Africa","2015.0","Export","8.0","0.71","2805.8","0.63"
"Bahamas, The","Sweden","2015.0","Export","1.0","0.09","332.61","0.08"
"Bahamas, The","Saint Maarten (Dutch part)","2015.0","Export","","","",""
"Bahamas, The","Syrian Arab Republic","2015.0","Export","","","",""
"Bahamas, The","Turks and Caicos Isl.","2015.0","Export","16.0","1.41","246.32","0.06"
"Bahamas, The","Thailand","2015.0","Export","5.0","0.44","10.0","0.0"
"Bahamas, The","Tajikistan","2015.0","Export","1.0","0.09","889.2","0.2"
"Bahamas, The","Turkmenistan","2015.0","Export","","","",""
"Bahamas, The","Tonga","2015.0","Export","","","",""
"Bahamas, The","Trinidad and Tobago","2015.0","Export","6.0","0.53","26.06","0.01"
"Bahamas, The","Tunisia","2015.0","Export","","","",""
"Bahamas, The","Turkey","2015.0","Export","1.0","0.09","128.56","0.03"
"Bahamas, The","Unspecified","2015.0","Export","65.0","5.74","2756.4","0.62"
"Bahamas, The","Uruguay","2015.0","Export","8.0","0.71","55.2","0.01"
"Bahamas, The","United States","2015.0","Export","1053.0","93.02","367790.3","83.06"
"Bahamas, The","Venezuela","2015.0","Export","1.0","0.09","2.25","0.0"
"Bahamas, The","British Virgin Islands","2015.0","Export","14.0","1.24","33.81","0.01"
"Bahamas, The","Vietnam","2015.0","Export","1.0","0.09","413.04","0.09"
"Bahamas, The","Vanuatu","2015.0","Export","","","",""
"Bahamas, The"," World","2015.0","Export","1132.0","100.0","442781.38","100.0"
"Bahamas, The","Samoa","2015.0","Export","","","",""
"Bahamas, The","South Africa","2015.0","Export","1.0","0.09","2792.4","0.63"
