"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bosnia and Herzegovina","Afghanistan","2015.0","Export","4.0","0.14","53.3","0.0"
"Bosnia and Herzegovina","Angola","2015.0","Export","1.0","0.03","1038.81","0.02"
"Bosnia and Herzegovina","Anguila","2015.0","Export","3.0","0.1","7.42","0.0"
"Bosnia and Herzegovina","Albania","2015.0","Export","266.0","9.09","23808.7","0.47"
"Bosnia and Herzegovina","Andorra","2015.0","Export","9.0","0.31","3.07","0.0"
"Bosnia and Herzegovina","United Arab Emirates","2015.0","Export","162.0","5.53","16529.43","0.32"
"Bosnia and Herzegovina","Argentina","2015.0","Export","7.0","0.24","33.29","0.0"
"Bosnia and Herzegovina","Armenia","2015.0","Export","1.0","0.03","104.11","0.0"
"Bosnia and Herzegovina","Australia","2015.0","Export","118.0","4.03","1210.44","0.02"
"Bosnia and Herzegovina","Austria","2015.0","Export","1071.0","36.59","421152.89","8.26"
"Bosnia and Herzegovina","Azerbaijan","2015.0","Export","7.0","0.24","317.73","0.01"
"Bosnia and Herzegovina","Belgium","2015.0","Export","364.0","12.44","24474.26","0.48"
"Bosnia and Herzegovina","Benin","2015.0","Export","","","",""
"Bosnia and Herzegovina","Burkina Faso","2015.0","Export","","","",""
"Bosnia and Herzegovina","Bangladesh","2015.0","Export","1.0","0.03","0.11","0.0"
"Bosnia and Herzegovina","Bulgaria","2015.0","Export","125.0","4.27","28723.01","0.56"
"Bosnia and Herzegovina","Bahrain","2015.0","Export","35.0","1.2","104.83","0.0"
"Bosnia and Herzegovina","Bahamas, The","2015.0","Export","","","",""
"Bosnia and Herzegovina","Belarus","2015.0","Export","17.0","0.58","157.12","0.0"
"Bosnia and Herzegovina","Belize","2015.0","Export","","","",""
"Bosnia and Herzegovina","Bermuda","2015.0","Export","","","",""
"Bosnia and Herzegovina","Bolivia","2015.0","Export","","","",""
