"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belarus","Afghanistan","2015.0","Export","38.0","1.08","15900.5","0.06"
"Belarus","Angola","2015.0","Export","68.0","1.94","5138.8","0.02"
"Belarus","Albania","2015.0","Export","1.0","0.03","2.0","0.0"
"Belarus","Andorra","2015.0","Export","","","",""
"Belarus","United Arab Emirates","2015.0","Export","169.0","4.82","13121.3","0.05"
"Belarus","Argentina","2015.0","Export","57.0","1.63","9724.1","0.04"
"Belarus","Armenia","2015.0","Export","583.0","16.64","27776.6","0.1"
"Belarus","Antigua and Barbuda","2015.0","Export","","","",""
"Belarus","Australia","2015.0","Export","88.0","2.51","2525.5","0.01"
"Belarus","Austria","2015.0","Export","139.0","3.97","19778.5","0.07"
"Belarus","Azerbaijan","2015.0","Export","448.0","12.79","137846.8","0.52"
"Belarus","Belgium","2015.0","Export","128.0","3.65","143700.4","0.54"
"Belarus","Benin","2015.0","Export","1.0","0.03","86.6","0.0"
"Belarus","Burkina Faso","2015.0","Export","5.0","0.14","1.9","0.0"
"Belarus","Bangladesh","2015.0","Export","6.0","0.17","114235.3","0.43"
"Belarus","Bulgaria","2015.0","Export","297.0","8.48","49865.1","0.19"
"Belarus","Bahrain","2015.0","Export","44.0","1.26","164.2","0.0"
"Belarus","Bahamas, The","2015.0","Export","","","",""
"Belarus","Bosnia and Herzegovina","2015.0","Export","78.0","2.23","5759.6","0.02"
"Belarus","Saint Barthélemy","2015.0","Export","","","",""
"Belarus","Belize","2015.0","Export","1.0","0.03","0.1","0.0"
"Belarus","Bermuda","2015.0","Export","","","",""
"Belarus","Bolivia","2015.0","Export","4.0","0.11","75.8","0.0"
"Belarus","Brazil","2015.0","Export","24.0","0.68","521225.5","1.96"
"Belarus","Barbados","2015.0","Export","1.0","0.03","241.0","0.0"
"Belarus","Bhutan","2015.0","Export","","","",""
"Belarus","Botswana","2015.0","Export","1.0","0.03","0.2","0.0"
"Belarus","Central African Republic","2015.0","Export","1.0","0.03","8.3","0.0"
"Belarus","Canada","2015.0","Export","208.0","5.94","9969.5","0.04"
"Belarus","Switzerland","2015.0","Export","142.0","4.05","3772.2","0.01"
"Belarus","Chile","2015.0","Export","62.0","1.77","847.0","0.0"
"Belarus","China","2015.0","Export","256.0","7.31","780675.7","2.93"
"Belarus","Cote d'Ivoire","2015.0","Export","6.0","0.17","23634.1","0.09"
"Belarus","Cameroon","2015.0","Export","8.0","0.23","8219.3","0.03"
"Belarus","Congo, Rep.","2015.0","Export","11.0","0.31","609.4","0.0"
"Belarus","Colombia","2015.0","Export","13.0","0.37","16332.1","0.06"
"Belarus","Comoros","2015.0","Export","","","",""
"Belarus","Costa Rica","2015.0","Export","2.0","0.06","3280.6","0.01"
"Belarus","Cuba","2015.0","Export","159.0","4.54","34666.2","0.13"
"Belarus","Cyprus","2015.0","Export","14.0","0.4","779.0","0.0"
"Belarus","Czech Republic","2015.0","Export","421.0","12.01","122791.2","0.46"
"Belarus","Germany","2015.0","Export","906.0","25.86","1073737.3","4.03"
"Belarus","Djibouti","2015.0","Export","1.0","0.03","10.1","0.0"
"Belarus","Dominica","2015.0","Export","","","",""
"Belarus","Denmark","2015.0","Export","77.0","2.2","12790.5","0.05"
"Belarus","Dominican Republic","2015.0","Export","17.0","0.49","1126.4","0.0"
"Belarus","Algeria","2015.0","Export","55.0","1.57","1098.8","0.0"
"Belarus","East Asia & Pacific","2015.0","Export","520.0","14.84","1375787.2","5.16"
"Belarus","Europe & Central Asia","2015.0","Export","3483.0","99.4","22709344.2","85.18"
"Belarus","Ecuador","2015.0","Export","5.0","0.14","4150.7","0.02"
