"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Belize","Aruba","2015.0","Export","1.0","0.15","8.32","0.0"
"Belize","Anguila","2015.0","Export","","","",""
"Belize","Albania","2015.0","Export","","","",""
"Belize","Andorra","2015.0","Export","","","",""
"Belize","United Arab Emirates","2015.0","Export","1.0","0.15","339.46","0.11"
"Belize","Argentina","2015.0","Export","1.0","0.15","0.12","0.0"
"Belize","Antigua and Barbuda","2015.0","Export","3.0","0.45","263.97","0.08"
"Belize","Australia","2015.0","Export","6.0","0.89","135.0","0.04"
"Belize","Austria","2015.0","Export","4.0","0.6","117.78","0.04"
"Belize","Belgium","2015.0","Export","","","",""
"Belize","Bangladesh","2015.0","Export","","","",""
"Belize","Bulgaria","2015.0","Export","","","",""
"Belize","Bahamas, The","2015.0","Export","1.0","0.15","524.55","0.17"
"Belize","Bosnia and Herzegovina","2015.0","Export","1.0","0.15","5.08","0.0"
"Belize","Bermuda","2015.0","Export","1.0","0.15","1.57","0.0"
"Belize","Bolivia","2015.0","Export","","","",""
"Belize","Brazil","2015.0","Export","1.0","0.15","0.6","0.0"
"Belize","Barbados","2015.0","Export","13.0","1.93","1929.8","0.61"
"Belize","Canada","2015.0","Export","13.0","1.93","1703.66","0.54"
"Belize","Switzerland","2015.0","Export","14.0","2.08","841.65","0.27"
"Belize","Chile","2015.0","Export","2.0","0.3","6.66","0.0"
"Belize","China","2015.0","Export","104.0","15.48","3532.51","1.13"
"Belize","Cote d'Ivoire","2015.0","Export","","","",""
"Belize","Colombia","2015.0","Export","5.0","0.74","302.81","0.1"
"Belize","Costa Rica","2015.0","Export","7.0","1.04","46.13","0.01"
"Belize","Cuba","2015.0","Export","1.0","0.15","38.42","0.01"
"Belize","Curaçao","2015.0","Export","","","",""
"Belize","Cayman Islands","2015.0","Export","1.0","0.15","0.77","0.0"
"Belize","Cyprus","2015.0","Export","1.0","0.15","26.73","0.01"
"Belize","Czech Republic","2015.0","Export","","","",""
"Belize","Germany","2015.0","Export","20.0","2.98","2932.96","0.93"
"Belize","Dominica","2015.0","Export","4.0","0.6","109.61","0.03"
"Belize","Denmark","2015.0","Export","","","",""
"Belize","Dominican Republic","2015.0","Export","3.0","0.45","86.58","0.03"
"Belize","East Asia & Pacific","2015.0","Export","157.0","23.36","7530.0","2.4"
"Belize","Europe & Central Asia","2015.0","Export","76.0","11.31","115625.02","36.84"
"Belize","Ecuador","2015.0","Export","","","",""
"Belize","Egypt, Arab Rep.","2015.0","Export","","","",""
"Belize","Spain","2015.0","Export","5.0","0.74","3672.08","1.17"
"Belize","Finland","2015.0","Export","1.0","0.15","1.31","0.0"
"Belize","France","2015.0","Export","12.0","1.79","236.57","0.08"
"Belize","Gabon","2015.0","Export","","","",""
"Belize","United Kingdom","2015.0","Export","25.0","3.72","81889.12","26.09"
"Belize","Gibraltar","2015.0","Export","","","",""
"Belize","Greece","2015.0","Export","","","",""
"Belize","Grenada","2015.0","Export","1.0","0.15","15.35","0.0"
"Belize","Greenland","2015.0","Export","","","",""
"Belize","Guatemala","2015.0","Export","115.0","17.11","4926.51","1.57"
"Belize","Guyana","2015.0","Export","8.0","1.19","2922.55","0.93"
"Belize","Hong Kong, China","2015.0","Export","13.0","1.93","631.89","0.2"
"Belize","Honduras","2015.0","Export","19.0","2.83","2886.94","0.92"
"Belize","Haiti","2015.0","Export","1.0","0.15","84.86","0.03"
"Belize","Hungary","2015.0","Export","","","",""
