"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bermuda","Aruba","2015.0","Export","","","",""
"Bermuda","Afghanistan","2015.0","Export","","","",""
"Bermuda","Anguila","2015.0","Export","","","",""
"Bermuda","Albania","2015.0","Export","","","",""
"Bermuda","United Arab Emirates","2015.0","Export","2.0","0.46","0.25","0.0"
"Bermuda","Argentina","2015.0","Export","","","",""
"Bermuda","Armenia","2015.0","Export","","","",""
"Bermuda","American Samoa","2015.0","Export","","","",""
"Bermuda","Antigua and Barbuda","2015.0","Export","","","",""
"Bermuda","Australia","2015.0","Export","","","",""
"Bermuda","Austria","2015.0","Export","","","",""
"Bermuda","Burundi","2015.0","Export","","","",""
"Bermuda","Belgium","2015.0","Export","3.0","0.7","2.92","0.03"
"Bermuda","Bangladesh","2015.0","Export","","","",""
"Bermuda","Bulgaria","2015.0","Export","","","",""
"Bermuda","Bahrain","2015.0","Export","","","",""
"Bermuda","Bahamas, The","2015.0","Export","","","",""
"Bermuda","Bosnia and Herzegovina","2015.0","Export","","","",""
"Bermuda","Belize","2015.0","Export","","","",""
"Bermuda","Bolivia","2015.0","Export","","","",""
"Bermuda","Brazil","2015.0","Export","","","",""
"Bermuda","Barbados","2015.0","Export","1.0","0.23","5.25","0.06"
"Bermuda","Central African Republic","2015.0","Export","","","",""
"Bermuda","Canada","2015.0","Export","56.0","12.99","171.57","1.99"
"Bermuda","Switzerland","2015.0","Export","3.0","0.7","264.3","3.07"
"Bermuda","Chile","2015.0","Export","","","",""
"Bermuda","China","2015.0","Export","26.0","6.03","10.22","0.12"
"Bermuda","Cote d'Ivoire","2015.0","Export","","","",""
"Bermuda","Cameroon","2015.0","Export","","","",""
"Bermuda","Congo, Rep.","2015.0","Export","","","",""
"Bermuda","Cook Islands","2015.0","Export","","","",""
"Bermuda","Colombia","2015.0","Export","","","",""
"Bermuda","Cape Verde","2015.0","Export","","","",""
"Bermuda","Costa Rica","2015.0","Export","","","",""
"Bermuda","Cuba","2015.0","Export","","","",""
"Bermuda","Curaçao","2015.0","Export","","","",""
"Bermuda","Christmas Island","2015.0","Export","","","",""
"Bermuda","Cayman Islands","2015.0","Export","1.0","0.23","13.67","0.16"
"Bermuda","Cyprus","2015.0","Export","","","",""
"Bermuda","Czech Republic","2015.0","Export","","","",""
"Bermuda","Germany","2015.0","Export","2.0","0.46","30.14","0.35"
"Bermuda","Dominica","2015.0","Export","","","",""
"Bermuda","Denmark","2015.0","Export","14.0","3.25","71.23","0.83"
"Bermuda","Dominican Republic","2015.0","Export","","","",""
"Bermuda","Algeria","2015.0","Export","","","",""
"Bermuda","East Asia & Pacific","2015.0","Export","48.0","11.14","25.57","0.3"
"Bermuda","Europe & Central Asia","2015.0","Export","177.0","41.07","1422.05","16.49"
"Bermuda","Ecuador","2015.0","Export","","","",""
"Bermuda","Egypt, Arab Rep.","2015.0","Export","","","",""
"Bermuda","Spain","2015.0","Export","1.0","0.23","1.37","0.02"
"Bermuda","Estonia","2015.0","Export","","","",""
"Bermuda","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Bermuda","Finland","2015.0","Export","","","",""
"Bermuda","Fiji","2015.0","Export","","","",""
"Bermuda","Falkland Island","2015.0","Export","","","",""
"Bermuda","France","2015.0","Export","","","",""
"Bermuda","Faeroe Islands","2015.0","Export","","","",""
"Bermuda","Gabon","2015.0","Export","","","",""
"Bermuda","United Kingdom","2015.0","Export","160.0","37.12","1039.93","12.06"
"Bermuda","Georgia","2015.0","Export","","","",""
"Bermuda","Ghana","2015.0","Export","","","",""
"Bermuda","Gibraltar","2015.0","Export","","","",""
"Bermuda","Guinea","2015.0","Export","","","",""
"Bermuda","Gambia, The","2015.0","Export","","","",""
"Bermuda","Greece","2015.0","Export","","","",""
"Bermuda","Grenada","2015.0","Export","","","",""
"Bermuda","Guatemala","2015.0","Export","","","",""
"Bermuda","Guam","2015.0","Export","","","",""
"Bermuda","Guyana","2015.0","Export","","","",""
"Bermuda","Hong Kong, China","2015.0","Export","1.0","0.23","0.25","0.0"
"Bermuda","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Bermuda","Honduras","2015.0","Export","","","",""
"Bermuda","Croatia","2015.0","Export","","","",""
"Bermuda","Haiti","2015.0","Export","","","",""
"Bermuda","Hungary","2015.0","Export","","","",""
"Bermuda","Indonesia","2015.0","Export","","","",""
"Bermuda","India","2015.0","Export","1.0","0.23","0.64","0.01"
"Bermuda","Ireland","2015.0","Export","","","",""
"Bermuda","Iran, Islamic Rep.","2015.0","Export","","","",""
"Bermuda","Iraq","2015.0","Export","","","",""
"Bermuda","Iceland","2015.0","Export","1.0","0.23","0.01","0.0"
"Bermuda","Israel","2015.0","Export","","","",""
"Bermuda","Italy","2015.0","Export","4.0","0.93","7.55","0.09"
"Bermuda","Jamaica","2015.0","Export","","","",""
"Bermuda","Jordan","2015.0","Export","","","",""
"Bermuda","Japan","2015.0","Export","19.0","4.41","14.6","0.17"
"Bermuda","Kenya","2015.0","Export","","","",""
"Bermuda","Cambodia","2015.0","Export","","","",""
"Bermuda","St. Kitts and Nevis","2015.0","Export","","","",""
"Bermuda","Korea, Rep.","2015.0","Export","","","",""
