"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Bolivia","Afghanistan","2015.0","Export","","","",""
"Bolivia","Angola","2015.0","Export","","","",""
"Bolivia","Albania","2015.0","Export","","","",""
"Bolivia","Andorra","2015.0","Export","","","",""
"Bolivia","United Arab Emirates","2015.0","Export","8.0","1.07","59920.9","0.69"
"Bolivia","Argentina","2015.0","Export","174.0","23.2","1472837.69","16.88"
"Bolivia","Armenia","2015.0","Export","","","",""
"Bolivia","American Samoa","2015.0","Export","","","",""
"Bolivia","Antigua and Barbuda","2015.0","Export","","","",""
"Bolivia","Australia","2015.0","Export","40.0","5.33","88507.9","1.01"
"Bolivia","Austria","2015.0","Export","14.0","1.87","7377.71","0.08"
"Bolivia","Burundi","2015.0","Export","","","",""
"Bolivia","Belgium","2015.0","Export","28.0","3.73","282621.76","3.24"
"Bolivia","Burkina Faso","2015.0","Export","","","",""
"Bolivia","Bangladesh","2015.0","Export","4.0","0.53","184.19","0.0"
"Bolivia","Bulgaria","2015.0","Export","2.0","0.27","480.71","0.01"
"Bolivia","Bahrain","2015.0","Export","3.0","0.4","166.18","0.0"
"Bolivia","Bahamas, The","2015.0","Export","","","",""
"Bolivia","Bosnia and Herzegovina","2015.0","Export","1.0","0.13","1472.02","0.02"
"Bolivia","Belarus","2015.0","Export","","","",""
"Bolivia","Belize","2015.0","Export","22.0","2.93","15.99","0.0"
"Bolivia","Bermuda","2015.0","Export","","","",""
"Bolivia","Brazil","2015.0","Export","68.0","9.07","2447428.84","28.05"
"Bolivia","Barbados","2015.0","Export","","","",""
"Bolivia","Brunei","2015.0","Export","","","",""
"Bolivia","Bhutan","2015.0","Export","","","",""
"Bolivia","Botswana","2015.0","Export","","","",""
"Bolivia","Central African Republic","2015.0","Export","","","",""
"Bolivia","Canada","2015.0","Export","62.0","8.27","100912.53","1.16"
"Bolivia","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Bolivia","Switzerland","2015.0","Export","45.0","6.0","38581.83","0.44"
"Bolivia","Chile","2015.0","Export","240.0","32.0","82214.65","0.94"
"Bolivia","China","2015.0","Export","40.0","5.33","465611.75","5.34"
"Bolivia","Cote d'Ivoire","2015.0","Export","","","",""
"Bolivia","Cameroon","2015.0","Export","","","",""
"Bolivia","Congo, Rep.","2015.0","Export","","","",""
"Bolivia","Colombia","2015.0","Export","60.0","8.0","551648.25","6.32"
"Bolivia","Comoros","2015.0","Export","","","",""
"Bolivia","Cape Verde","2015.0","Export","","","",""
"Bolivia","Costa Rica","2015.0","Export","25.0","3.33","996.91","0.01"
"Bolivia","Cuba","2015.0","Export","28.0","3.73","360.13","0.0"
"Bolivia","Curaçao","2015.0","Export","1.0","0.13","8.25","0.0"
"Bolivia","Christmas Island","2015.0","Export","","","",""
"Bolivia","Cyprus","2015.0","Export","","","",""
"Bolivia","Czech Republic","2015.0","Export","13.0","1.73","992.24","0.01"
"Bolivia","Germany","2015.0","Export","88.0","11.73","58577.52","0.67"
"Bolivia","Djibouti","2015.0","Export","","","",""
"Bolivia","Dominica","2015.0","Export","","","",""
"Bolivia","Denmark","2015.0","Export","48.0","6.4","4331.63","0.05"
"Bolivia","Dominican Republic","2015.0","Export","5.0","0.67","1013.31","0.01"
"Bolivia","Algeria","2015.0","Export","","","",""
"Bolivia","East Asia & Pacific","2015.0","Export","205.0","27.33","1417367.7","16.24"
"Bolivia","Europe & Central Asia","2015.0","Export","278.0","37.07","777531.91","8.91"
"Bolivia","Ecuador","2015.0","Export","40.0","5.33","117147.37","1.34"
"Bolivia","Egypt, Arab Rep.","2015.0","Export","2.0","0.27","387.39","0.0"
"Bolivia","Spain","2015.0","Export","109.0","14.53","88058.47","1.01"
"Bolivia","Estonia","2015.0","Export","","","",""
"Bolivia","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Bolivia","Finland","2015.0","Export","18.0","2.4","107.82","0.0"
"Bolivia","Fiji","2015.0","Export","","","",""
"Bolivia","France","2015.0","Export","64.0","8.53","23402.39","0.27"
"Bolivia","Gabon","2015.0","Export","","","",""
"Bolivia","United Kingdom","2015.0","Export","54.0","7.2","79774.29","0.91"
"Bolivia","Georgia","2015.0","Export","","","",""
"Bolivia","Ghana","2015.0","Export","","","",""
"Bolivia","Gambia, The","2015.0","Export","","","",""
"Bolivia","Greece","2015.0","Export","5.0","0.67","450.35","0.01"
"Bolivia","Guatemala","2015.0","Export","3.0","0.4","290.83","0.0"
"Bolivia","Guam","2015.0","Export","","","",""
"Bolivia","Guyana","2015.0","Export","1.0","0.13","4.09","0.0"
"Bolivia","Hong Kong, China","2015.0","Export","23.0","3.07","2234.59","0.03"
"Bolivia","Honduras","2015.0","Export","7.0","0.93","236.94","0.0"
"Bolivia","Croatia","2015.0","Export","2.0","0.27","1698.96","0.02"
"Bolivia","Haiti","2015.0","Export","2.0","0.27","48.63","0.0"
"Bolivia","Hungary","2015.0","Export","6.0","0.8","46.21","0.0"
"Bolivia","Indonesia","2015.0","Export","1.0","0.13","22.38","0.0"
"Bolivia","India","2015.0","Export","13.0","1.73","196356.63","2.25"
"Bolivia","British Indian Ocean Ter.","2015.0","Export","","","",""
"Bolivia","Ireland","2015.0","Export","4.0","0.53","2656.57","0.03"
"Bolivia","Iran, Islamic Rep.","2015.0","Export","","","",""
"Bolivia","Iraq","2015.0","Export","","","",""
"Bolivia","Iceland","2015.0","Export","3.0","0.4","4.18","0.0"
"Bolivia","Israel","2015.0","Export","18.0","2.4","3307.38","0.04"
"Bolivia","Italy","2015.0","Export","81.0","10.8","66826.28","0.77"
"Bolivia","Jamaica","2015.0","Export","1.0","0.13","47.43","0.0"
"Bolivia","Jordan","2015.0","Export","","","",""
"Bolivia","Japan","2015.0","Export","140.0","18.67","407220.42","4.67"
"Bolivia","Kazakhstan","2015.0","Export","","","",""
"Bolivia","Kenya","2015.0","Export","","","",""
"Bolivia","Cambodia","2015.0","Export","","","",""
"Bolivia","Kiribati","2015.0","Export","","","",""
"Bolivia","St. Kitts and Nevis","2015.0","Export","","","",""
"Bolivia","Korea, Rep.","2015.0","Export","34.0","4.53","375132.33","4.3"
"Bolivia","Kuwait","2015.0","Export","2.0","0.27","190.0","0.0"
"Bolivia","Lao PDR","2015.0","Export","","","",""
"Bolivia","Lebanon","2015.0","Export","3.0","0.4","204.9","0.0"
"Bolivia","Liberia","2015.0","Export","","","",""
"Bolivia","Libya","2015.0","Export","","","",""
"Bolivia","Latin America & Caribbean","2015.0","Export","552.0","73.6","5108423.15","58.54"
"Bolivia","Sri Lanka","2015.0","Export","2.0","0.27","176.0","0.0"
"Bolivia","Lesotho","2015.0","Export","","","",""
"Bolivia","Lithuania","2015.0","Export","9.0","1.2","731.78","0.01"
"Bolivia","Luxembourg","2015.0","Export","","","",""
"Bolivia","Latvia","2015.0","Export","","","",""
"Bolivia","Macao","2015.0","Export","1.0","0.13","8.12","0.0"
"Bolivia","Morocco","2015.0","Export","2.0","0.27","352.81","0.0"
"Bolivia","Moldova","2015.0","Export","","","",""
"Bolivia","Madagascar","2015.0","Export","","","",""
"Bolivia","Maldives","2015.0","Export","","","",""
"Bolivia","Middle East & North Africa","2015.0","Export","26.0","3.47","64661.29","0.74"
"Bolivia","Mexico","2015.0","Export","44.0","5.87","24603.84","0.28"
"Bolivia","Macedonia, FYR","2015.0","Export","","","",""
"Bolivia","Mali","2015.0","Export","","","",""
"Bolivia","Malta","2015.0","Export","","","",""
"Bolivia","Myanmar","2015.0","Export","","","",""
"Bolivia","Mongolia","2015.0","Export","","","",""
"Bolivia","Montenegro","2015.0","Export","","","",""
"Bolivia","Mozambique","2015.0","Export","","","",""
"Bolivia","Mauritania","2015.0","Export","","","",""
