"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Brazil","Aruba","2015.0","Export","246.0","6.1","30301.26","0.02"
"Brazil","Afghanistan","2015.0","Export","23.0","0.57","6733.28","0.0"
"Brazil","Angola","2015.0","Export","1905.0","47.22","647986.59","0.34"
"Brazil","Anguila","2015.0","Export","17.0","0.42","716.61","0.0"
"Brazil","Albania","2015.0","Export","37.0","0.92","36559.96","0.02"
"Brazil","Andorra","2015.0","Export","2.0","0.05","152.82","0.0"
"Brazil","United Arab Emirates","2015.0","Export","1085.0","26.9","2503670.23","1.31"
"Brazil","Argentina","2015.0","Export","2602.0","64.5","12800015.45","6.7"
"Brazil","Armenia","2015.0","Export","70.0","1.74","20878.98","0.01"
"Brazil","American Samoa","2015.0","Export","3.0","0.07","40.68","0.0"
"Brazil","Antigua and Barbuda","2015.0","Export","96.0","2.38","6019.47","0.0"
"Brazil","Australia","2015.0","Export","1026.0","25.43","400298.52","0.21"
"Brazil","Austria","2015.0","Export","366.0","9.07","139100.37","0.07"
"Brazil","Azerbaijan","2015.0","Export","56.0","1.39","25940.48","0.01"
"Brazil","Burundi","2015.0","Export","5.0","0.12","115.39","0.0"
"Brazil","Belgium","2015.0","Export","987.0","24.47","2989689.3","1.56"
"Brazil","Benin","2015.0","Export","58.0","1.44","109898.82","0.06"
"Brazil","Burkina Faso","2015.0","Export","31.0","0.77","893.16","0.0"
"Brazil","Bangladesh","2015.0","Export","155.0","3.84","1147410.89","0.6"
"Brazil","Bulgaria","2015.0","Export","184.0","4.56","117910.94","0.06"
"Brazil","Bahrain","2015.0","Export","150.0","3.72","309106.62","0.16"
"Brazil","Bahamas, The","2015.0","Export","172.0","4.26","593539.74","0.31"
"Brazil","Bosnia and Herzegovina","2015.0","Export","37.0","0.92","924.71","0.0"
"Brazil","Saint Barthélemy","2015.0","Export","1.0","0.02","2.05","0.0"
"Brazil","Belarus","2015.0","Export","72.0","1.78","11970.04","0.01"
"Brazil","Belize","2015.0","Export","174.0","4.31","7559.88","0.0"
"Brazil","Bermuda","2015.0","Export","51.0","1.26","1877.21","0.0"
"Brazil","Bolivia","2015.0","Export","2591.0","64.23","1482008.0","0.78"
"Brazil","Brazil","2015.0","Export","","","",""
"Brazil","Barbados","2015.0","Export","286.0","7.09","16405.33","0.01"
"Brazil","Brunei","2015.0","Export","57.0","1.41","1346.48","0.0"
"Brazil","Bhutan","2015.0","Export","1.0","0.02","4.46","0.0"
"Brazil","Botswana","2015.0","Export","70.0","1.74","3822.36","0.0"
"Brazil","Central African Republic","2015.0","Export","25.0","0.62","1737.36","0.0"
"Brazil","Canada","2015.0","Export","1038.0","25.73","2362544.62","1.24"
"Brazil","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","0.04","0.0"
"Brazil","Switzerland","2015.0","Export","869.0","21.54","1944981.83","1.02"
"Brazil","Chile","2015.0","Export","2388.0","59.2","3978438.49","2.08"
"Brazil","China","2015.0","Export","1379.0","34.18","35607523.61","18.63"
"Brazil","Cote d'Ivoire","2015.0","Export","242.0","6.0","47074.85","0.02"
"Brazil","Congo, Rep.","2015.0","Export","525.0","13.01","66819.52","0.04"
"Brazil","Cook Islands","2015.0","Export","3.0","0.07","12.56","0.0"
"Brazil","Colombia","2015.0","Export","2163.0","53.62","2115234.77","1.11"
"Brazil","Comoros","2015.0","Export","14.0","0.35","869.35","0.0"
"Brazil","Cape Verde","2015.0","Export","398.0","9.87","88746.61","0.05"
"Brazil","Costa Rica","2015.0","Export","1348.0","33.42","267507.34","0.14"
"Brazil","Cuba","2015.0","Export","756.0","18.74","513556.57","0.27"
