"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Barbados","Aruba","2015.0","Export","28.0","1.58","1358.55","0.28"
"Barbados","Afghanistan","2015.0","Export","","","",""
"Barbados","Angola","2015.0","Export","","","",""
"Barbados","Anguila","2015.0","Export","115.0","6.5","1399.37","0.29"
"Barbados","Albania","2015.0","Export","","","",""
"Barbados","Andorra","2015.0","Export","","","",""
"Barbados","United Arab Emirates","2015.0","Export","7.0","0.4","978.83","0.2"
"Barbados","Argentina","2015.0","Export","4.0","0.23","67.86","0.01"
"Barbados","American Samoa","2015.0","Export","","","",""
"Barbados","Antigua and Barbuda","2015.0","Export","296.0","16.74","10486.41","2.17"
"Barbados","Australia","2015.0","Export","13.0","0.74","63.2","0.01"
"Barbados","Austria","2015.0","Export","3.0","0.17","2.69","0.0"
"Barbados","Burundi","2015.0","Export","","","",""
"Barbados","Belgium","2015.0","Export","12.0","0.68","41.7","0.01"
"Barbados","Benin","2015.0","Export","1.0","0.06","15.0","0.0"
"Barbados","Bonaire","2015.0","Export","2.0","0.11","16.32","0.0"
"Barbados","Bangladesh","2015.0","Export","23.0","1.3","33.26","0.01"
"Barbados","Bulgaria","2015.0","Export","3.0","0.17","12.6","0.0"
"Barbados","Bahrain","2015.0","Export","4.0","0.23","290.35","0.06"
"Barbados","Bahamas, The","2015.0","Export","70.0","3.96","4339.94","0.9"
"Barbados","Bosnia and Herzegovina","2015.0","Export","2.0","0.11","4.91","0.0"
"Barbados","Belarus","2015.0","Export","","","",""
"Barbados","Belize","2015.0","Export","48.0","2.71","1621.65","0.34"
"Barbados","Bermuda","2015.0","Export","33.0","1.87","725.47","0.15"
"Barbados","Bolivia","2015.0","Export","1.0","0.06","0.06","0.0"
"Barbados","Brazil","2015.0","Export","17.0","0.96","96.92","0.02"
"Barbados","Brunei","2015.0","Export","","","",""
"Barbados","Bouvet Island","2015.0","Export","","","",""
"Barbados","Central African Republic","2015.0","Export","","","",""
"Barbados","Canada","2015.0","Export","139.0","7.86","8697.13","1.8"
"Barbados","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Barbados","Switzerland","2015.0","Export","18.0","1.02","1104.63","0.23"
"Barbados","Chile","2015.0","Export","3.0","0.17","47.49","0.01"
"Barbados","China","2015.0","Export","39.0","2.21","12560.44","2.6"
"Barbados","Cote d'Ivoire","2015.0","Export","","","",""
"Barbados","Cameroon","2015.0","Export","","","",""
"Barbados","Congo, Rep.","2015.0","Export","","","",""
"Barbados","Colombia","2015.0","Export","12.0","0.68","98.84","0.02"
"Barbados","Comoros","2015.0","Export","","","",""
"Barbados","Cape Verde","2015.0","Export","","","",""
"Barbados","Costa Rica","2015.0","Export","9.0","0.51","93.28","0.02"
"Barbados","Cuba","2015.0","Export","21.0","1.19","31.64","0.01"
"Barbados","Curaçao","2015.0","Export","70.0","3.96","7305.44","1.51"
"Barbados","Cayman Islands","2015.0","Export","64.0","3.62","1057.69","0.22"
"Barbados","Cyprus","2015.0","Export","","","",""
"Barbados","Czech Republic","2015.0","Export","6.0","0.34","187.81","0.04"
"Barbados","Germany","2015.0","Export","50.0","2.83","1097.15","0.23"
"Barbados","Dominica","2015.0","Export","267.0","15.1","4583.83","0.95"
"Barbados","Denmark","2015.0","Export","12.0","0.68","97.29","0.02"
"Barbados","Dominican Republic","2015.0","Export","41.0","2.32","2322.33","0.48"
"Barbados","East Asia & Pacific","2015.0","Export","94.0","5.32","14459.96","3.0"
"Barbados","Europe & Central Asia","2015.0","Export","522.0","29.52","34017.48","7.05"
"Barbados","Ecuador","2015.0","Export","","","",""
"Barbados","Egypt, Arab Rep.","2015.0","Export","","","",""
"Barbados","Eritrea","2015.0","Export","","","",""
"Barbados","Spain","2015.0","Export","18.0","1.02","2058.5","0.43"
"Barbados","Estonia","2015.0","Export","","","",""
"Barbados","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Barbados","Finland","2015.0","Export","","","",""
"Barbados","Fiji","2015.0","Export","1.0","0.06","3.23","0.0"
"Barbados","France","2015.0","Export","315.0","17.82","10658.57","2.21"
"Barbados","Gabon","2015.0","Export","","","",""
"Barbados","United Kingdom","2015.0","Export","262.0","14.82","13879.09","2.88"
"Barbados","Georgia","2015.0","Export","5.0","0.28","16.45","0.0"
"Barbados","Ghana","2015.0","Export","3.0","0.17","0.56","0.0"
"Barbados","Gibraltar","2015.0","Export","1.0","0.06","4.28","0.0"
"Barbados","Guinea","2015.0","Export","","","",""
"Barbados","Gambia, The","2015.0","Export","","","",""
"Barbados","Greece","2015.0","Export","3.0","0.17","1.68","0.0"
"Barbados","Grenada","2015.0","Export","385.0","21.78","9497.87","1.97"
"Barbados","Guatemala","2015.0","Export","5.0","0.28","152.18","0.03"
"Barbados","Guam","2015.0","Export","1.0","0.06","0.2","0.0"
"Barbados","Guyana","2015.0","Export","170.0","9.62","25679.58","5.32"
"Barbados","Hong Kong, China","2015.0","Export","7.0","0.4","189.62","0.04"
"Barbados","Honduras","2015.0","Export","4.0","0.23","1.11","0.0"
"Barbados","Croatia","2015.0","Export","","","",""
"Barbados","Haiti","2015.0","Export","16.0","0.91","523.99","0.11"
"Barbados","Hungary","2015.0","Export","1.0","0.06","0.05","0.0"
"Barbados","Indonesia","2015.0","Export","2.0","0.11","0.24","0.0"
"Barbados","India","2015.0","Export","23.0","1.3","5889.37","1.22"
"Barbados","Ireland","2015.0","Export","18.0","1.02","160.18","0.03"
"Barbados","Iran, Islamic Rep.","2015.0","Export","","","",""
"Barbados","Iraq","2015.0","Export","1.0","0.06","95.42","0.02"
"Barbados","Iceland","2015.0","Export","","","",""
"Barbados","Israel","2015.0","Export","7.0","0.4","26.91","0.01"
"Barbados","Italy","2015.0","Export","43.0","2.43","1180.5","0.24"
"Barbados","Jamaica","2015.0","Export","189.0","10.69","22249.03","4.61"
"Barbados","Jordan","2015.0","Export","1.0","0.06","5.7","0.0"
"Barbados","Japan","2015.0","Export","12.0","0.68","310.4","0.06"
"Barbados","Kazakhstan","2015.0","Export","","","",""
"Barbados","Kenya","2015.0","Export","3.0","0.17","2.56","0.0"
"Barbados","Kyrgyz Republic","2015.0","Export","","","",""
"Barbados","Cambodia","2015.0","Export","","","",""
"Barbados","St. Kitts and Nevis","2015.0","Export","272.0","15.38","7396.27","1.53"
"Barbados","Korea, Rep.","2015.0","Export","9.0","0.51","298.41","0.06"
"Barbados","Kuwait","2015.0","Export","2.0","0.11","0.5","0.0"
"Barbados","Lao PDR","2015.0","Export","","","",""
"Barbados","Lebanon","2015.0","Export","2.0","0.11","0.04","0.0"
"Barbados","Liberia","2015.0","Export","","","",""
"Barbados","St. Lucia","2015.0","Export","504.0","28.51","17871.36","3.7"
"Barbados","Latin America & Caribbean","2015.0","Export","1185.0","67.02","171184.4","35.46"
"Barbados","Sri Lanka","2015.0","Export","","","",""
"Barbados","Lesotho","2015.0","Export","","","",""
"Barbados","Lithuania","2015.0","Export","1.0","0.06","0.03","0.0"
"Barbados","Luxembourg","2015.0","Export","","","",""
"Barbados","Latvia","2015.0","Export","1.0","0.06","0.23","0.0"
"Barbados","Macao","2015.0","Export","","","",""
"Barbados","Morocco","2015.0","Export","","","",""
"Barbados","Moldova","2015.0","Export","1.0","0.06","0.87","0.0"
"Barbados","Madagascar","2015.0","Export","","","",""
"Barbados","Middle East & North Africa","2015.0","Export","19.0","1.07","1409.02","0.29"
"Barbados","Mexico","2015.0","Export","22.0","1.24","112.46","0.02"
"Barbados","Marshall Islands","2015.0","Export","1.0","0.06","0.7","0.0"
"Barbados","Macedonia, FYR","2015.0","Export","","","",""
"Barbados","Mali","2015.0","Export","","","",""
"Barbados","Malta","2015.0","Export","","","",""
"Barbados","Mongolia","2015.0","Export","5.0","0.28","21.42","0.0"
"Barbados","Northern Mariana Islands","2015.0","Export","","","",""
"Barbados","Montenegro","2015.0","Export","","","",""
"Barbados","Mauritania","2015.0","Export","","","",""
"Barbados","Montserrat","2015.0","Export","58.0","3.28","318.79","0.07"
"Barbados","Mauritius","2015.0","Export","","","",""
"Barbados","Malaysia","2015.0","Export","14.0","0.79","182.11","0.04"
"Barbados","North America","2015.0","Export","1195.0","67.59","166912.14","34.58"
"Barbados","Namibia","2015.0","Export","1.0","0.06","26.37","0.01"
"Barbados","Niger","2015.0","Export","","","",""
"Barbados","Nigeria","2015.0","Export","4.0","0.23","0.56","0.0"
"Barbados","Nicaragua","2015.0","Export","3.0","0.17","1058.22","0.22"
"Barbados","Netherlands","2015.0","Export","32.0","1.81","2197.7","0.46"
"Barbados","Norway","2015.0","Export","3.0","0.17","1.38","0.0"
"Barbados","Nepal","2015.0","Export","","","",""
