"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Brunei","Afghanistan","2015.0","Export","","","",""
"Brunei","Anguila","2015.0","Export","","","",""
"Brunei","Albania","2015.0","Export","2.0","0.11","0.36","0.0"
"Brunei","United Arab Emirates","2015.0","Export","83.0","4.38","735.95","0.01"
"Brunei","Argentina","2015.0","Export","6.0","0.32","26.82","0.0"
"Brunei","Antarctica","2015.0","Export","","","",""
"Brunei","Australia","2015.0","Export","210.0","11.08","221848.11","3.49"
"Brunei","Austria","2015.0","Export","4.0","0.21","23.38","0.0"
"Brunei","Burundi","2015.0","Export","","","",""
"Brunei","Belgium","2015.0","Export","11.0","0.58","91.62","0.0"
"Brunei","Bangladesh","2015.0","Export","5.0","0.26","9.42","0.0"
"Brunei","Bulgaria","2015.0","Export","","","",""
"Brunei","Bahrain","2015.0","Export","3.0","0.16","11.18","0.0"
"Brunei","Bosnia and Herzegovina","2015.0","Export","","","",""
"Brunei","Brazil","2015.0","Export","20.0","1.05","40.14","0.0"
"Brunei","Bunkers","2015.0","Export","13.0","0.69","7.89","0.0"
"Brunei","Canada","2015.0","Export","24.0","1.27","657.06","0.01"
"Brunei","Switzerland","2015.0","Export","26.0","1.37","243.88","0.0"
"Brunei","Chile","2015.0","Export","1.0","0.05","14.73","0.0"
"Brunei","China","2015.0","Export","172.0","9.07","96465.77","1.52"
"Brunei","Cote d'Ivoire","2015.0","Export","","","",""
"Brunei","Colombia","2015.0","Export","1.0","0.05","0.02","0.0"
"Brunei","Cuba","2015.0","Export","","","",""
"Brunei","Curaçao","2015.0","Export","2.0","0.11","0.11","0.0"
"Brunei","Christmas Island","2015.0","Export","","","",""
"Brunei","Cyprus","2015.0","Export","3.0","0.16","7.33","0.0"
"Brunei","Czech Republic","2015.0","Export","1.0","0.05","0.0","0.0"
"Brunei","Germany","2015.0","Export","129.0","6.8","5691.37","0.09"
"Brunei","Denmark","2015.0","Export","5.0","0.26","26.33","0.0"
"Brunei","Dominican Republic","2015.0","Export","","","",""
"Brunei","East Asia & Pacific","2015.0","Export","1792.0","94.51","5200709.2","81.87"
"Brunei","Europe & Central Asia","2015.0","Export","495.0","26.11","22255.37","0.35"
"Brunei","Ecuador","2015.0","Export","2.0","0.11","0.25","0.0"
"Brunei","Egypt, Arab Rep.","2015.0","Export","111.0","5.85","2441.84","0.04"
"Brunei","Spain","2015.0","Export","3.0","0.16","33.6","0.0"
"Brunei","Finland","2015.0","Export","","","",""
"Brunei","France","2015.0","Export","58.0","3.06","432.71","0.01"
"Brunei","United Kingdom","2015.0","Export","334.0","17.62","10308.72","0.16"
"Brunei","Ghana","2015.0","Export","1.0","0.05","4.7","0.0"
"Brunei","Greece","2015.0","Export","3.0","0.16","249.26","0.0"
"Brunei","Guatemala","2015.0","Export","","","",""
"Brunei","Hong Kong, China","2015.0","Export","184.0","9.7","7411.15","0.12"
"Brunei","Honduras","2015.0","Export","","","",""
"Brunei","Haiti","2015.0","Export","","","",""
"Brunei","Hungary","2015.0","Export","","","",""
"Brunei","Indonesia","2015.0","Export","159.0","8.39","102635.44","1.62"
"Brunei","India","2015.0","Export","41.0","2.16","575321.15","9.06"
"Brunei","Ireland","2015.0","Export","","","",""
"Brunei","Iran, Islamic Rep.","2015.0","Export","1.0","0.05","0.42","0.0"
"Brunei","Iraq","2015.0","Export","2.0","0.11","0.17","0.0"
"Brunei","Iceland","2015.0","Export","5.0","0.26","0.69","0.0"
"Brunei","Israel","2015.0","Export","","","",""
"Brunei","Italy","2015.0","Export","15.0","0.79","97.63","0.0"
"Brunei","Jamaica","2015.0","Export","","","",""
"Brunei","Jordan","2015.0","Export","2.0","0.11","0.01","0.0"
"Brunei","Japan","2015.0","Export","121.0","6.38","2308974.36","36.35"
"Brunei","Kenya","2015.0","Export","3.0","0.16","0.65","0.0"
"Brunei","Cambodia","2015.0","Export","1.0","0.05","6.57","0.0"
"Brunei","Korea, Rep.","2015.0","Export","63.0","3.32","993010.91","15.63"
"Brunei","Kuwait","2015.0","Export","18.0","0.95","57590.77","0.91"
"Brunei","Lao PDR","2015.0","Export","2.0","0.11","14.71","0.0"
"Brunei","Lebanon","2015.0","Export","","","",""
"Brunei","Liberia","2015.0","Export","","","",""
"Brunei","Libya","2015.0","Export","","","",""
"Brunei","Latin America & Caribbean","2015.0","Export","37.0","1.95","151.18","0.0"
"Brunei","Sri Lanka","2015.0","Export","37.0","1.95","60.4","0.0"
"Brunei","Luxembourg","2015.0","Export","","","",""
"Brunei","Macao","2015.0","Export","2.0","0.11","91.12","0.0"
"Brunei","Morocco","2015.0","Export","1.0","0.05","0.04","0.0"
"Brunei","Madagascar","2015.0","Export","","","",""
"Brunei","Maldives","2015.0","Export","","","",""
"Brunei","Middle East & North Africa","2015.0","Export","215.0","11.34","63472.87","1.0"
"Brunei","Mexico","2015.0","Export","10.0","0.53","23.55","0.0"
"Brunei","Macedonia, FYR","2015.0","Export","","","",""
"Brunei","Malta","2015.0","Export","","","",""
"Brunei","Myanmar","2015.0","Export","15.0","0.79","27.62","0.0"
"Brunei","Mozambique","2015.0","Export","","","",""
"Brunei","Mauritius","2015.0","Export","","","",""
"Brunei","Malawi","2015.0","Export","","","",""
"Brunei","Malaysia","2015.0","Export","1297.0","68.41","293642.11","4.62"
"Brunei","North America","2015.0","Export","303.0","15.98","53367.95","0.84"
"Brunei","Nigeria","2015.0","Export","14.0","0.74","140.67","0.0"
"Brunei","Netherlands","2015.0","Export","52.0","2.74","4300.63","0.07"
"Brunei","Norway","2015.0","Export","32.0","1.69","474.02","0.01"
"Brunei","Nepal","2015.0","Export","6.0","0.32","93.3","0.0"
"Brunei","New Zealand","2015.0","Export","75.0","3.96","331931.09","5.23"
"Brunei","Other Asia, nes","2015.0","Export","42.0","2.22","436508.54","6.87"
"Brunei","Oman","2015.0","Export","41.0","2.16","690.34","0.01"
"Brunei","Pakistan","2015.0","Export","9.0","0.47","134.43","0.0"
"Brunei","Peru","2015.0","Export","1.0","0.05","20.41","0.0"
"Brunei","Philippines","2015.0","Export","123.0","6.49","24831.07","0.39"
"Brunei","Papua New Guinea","2015.0","Export","9.0","0.47","1791.57","0.03"
"Brunei","Poland","2015.0","Export","","","",""
"Brunei","Korea, Dem. Rep.","2015.0","Export","16.0","0.84","102.85","0.0"
"Brunei","Portugal","2015.0","Export","2.0","0.11","86.96","0.0"
"Brunei","Qatar","2015.0","Export","16.0","0.84","1065.51","0.02"
"Brunei","Romania","2015.0","Export","2.0","0.11","1.42","0.0"
"Brunei","Russian Federation","2015.0","Export","15.0","0.79","51.48","0.0"
"Brunei","South Asia","2015.0","Export","92.0","4.85","575618.7","9.06"
"Brunei","Saudi Arabia","2015.0","Export","28.0","1.48","933.01","0.01"
"Brunei","Senegal","2015.0","Export","","","",""
"Brunei","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
"Brunei","Singapore","2015.0","Export","1101.0","58.07","222165.58","3.5"
"Brunei","Solomon Islands","2015.0","Export","","","",""
"Brunei","Sierra Leone","2015.0","Export","","","",""
"Brunei","Somalia","2015.0","Export","","","",""
"Brunei","Sub-Saharan Africa","2015.0","Export","17.0","0.9","271.4","0.0"
"Brunei","Sudan","2015.0","Export","1.0","0.05","0.74","0.0"
"Brunei","Suriname","2015.0","Export","","","",""
"Brunei","Slovak Republic","2015.0","Export","","","",""
"Brunei","Sweden","2015.0","Export","4.0","0.21","0.61","0.0"
"Brunei","Swaziland","2015.0","Export","","","",""
"Brunei","Seychelles","2015.0","Export","","","",""
"Brunei","Syrian Arab Republic","2015.0","Export","","","",""
"Brunei","Chad","2015.0","Export","","","",""
"Brunei","Thailand","2015.0","Export","121.0","6.38","548605.84","8.64"
"Brunei","Trinidad and Tobago","2015.0","Export","","","",""
"Brunei","Tunisia","2015.0","Export","1.0","0.05","3.65","0.0"
"Brunei","Turkey","2015.0","Export","29.0","1.53","133.37","0.0"
"Brunei","Tanzania","2015.0","Export","1.0","0.05","125.38","0.0"
"Brunei","Ukraine","2015.0","Export","","","",""
"Brunei","United States Minor Outlying I","2015.0","Export","","","",""
"Brunei","Unspecified","2015.0","Export","18.0","0.95","298.54","0.0"
"Brunei","Uruguay","2015.0","Export","","","",""
"Brunei","United States","2015.0","Export","293.0","15.45","52710.89","0.83"
"Brunei","Holy See","2015.0","Export","","","",""
"Brunei","St. Vincent and the Grenadines","2015.0","Export","","","",""
"Brunei","Venezuela","2015.0","Export","4.0","0.21","25.26","0.0"
"Brunei","Vietnam","2015.0","Export","234.0","12.34","47153.34","0.74"
"Brunei"," World","2015.0","Export","1896.0","100.0","6352662.49","100.0"
"Brunei","Wallis and Futura Isl.","2015.0","Export","","","",""
"Brunei","South Africa","2015.0","Export","","","",""
