"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Botswana","Aruba","2015.0","Export","","","",""
"Botswana","Angola","2015.0","Export","18.0","0.73","2492.61","0.04"
"Botswana","Albania","2015.0","Export","1.0","0.04","202.09","0.0"
"Botswana","Andorra","2015.0","Export","1.0","0.04","1.48","0.0"
"Botswana","United Arab Emirates","2015.0","Export","15.0","0.61","338108.73","5.35"
"Botswana","Argentina","2015.0","Export","","","",""
"Botswana","Antigua and Barbuda","2015.0","Export","1.0","0.04","0.72","0.0"
"Botswana","Australia","2015.0","Export","47.0","1.92","6197.68","0.1"
"Botswana","Austria","2015.0","Export","5.0","0.2","3.17","0.0"
"Botswana","Burundi","2015.0","Export","1.0","0.04","0.99","0.0"
"Botswana","Belgium","2015.0","Export","20.0","0.82","1252881.85","19.83"
"Botswana","Burkina Faso","2015.0","Export","2.0","0.08","26.52","0.0"
"Botswana","Bangladesh","2015.0","Export","","","",""
"Botswana","Bulgaria","2015.0","Export","","","",""
"Botswana","Bahrain","2015.0","Export","","","",""
"Botswana","Bahamas, The","2015.0","Export","","","",""
"Botswana","Bosnia and Herzegovina","2015.0","Export","7.0","0.29","0.07","0.0"
"Botswana","Belarus","2015.0","Export","","","",""
"Botswana","Belize","2015.0","Export","1.0","0.04","0.02","0.0"
"Botswana","Bermuda","2015.0","Export","1.0","0.04","6.19","0.0"
"Botswana","Brazil","2015.0","Export","1.0","0.04","1.43","0.0"
"Botswana","Barbados","2015.0","Export","","","",""
"Botswana","Botswana","2015.0","Export","","","",""
"Botswana","Central African Republic","2015.0","Export","","","",""
"Botswana","Canada","2015.0","Export","43.0","1.76","397183.41","6.29"
"Botswana","Switzerland","2015.0","Export","20.0","0.82","273260.33","4.32"
"Botswana","Chile","2015.0","Export","","","",""
"Botswana","China","2015.0","Export","73.0","2.98","38222.82","0.6"
"Botswana","Cote d'Ivoire","2015.0","Export","3.0","0.12","9.19","0.0"
"Botswana","Cameroon","2015.0","Export","1.0","0.04","5.23","0.0"
"Botswana","Congo, Rep.","2015.0","Export","5.0","0.2","49.89","0.0"
"Botswana","Colombia","2015.0","Export","","","",""
"Botswana","Costa Rica","2015.0","Export","","","",""
"Botswana","Curaçao","2015.0","Export","","","",""
"Botswana","Cayman Islands","2015.0","Export","1.0","0.04","0.01","0.0"
"Botswana","Cyprus","2015.0","Export","1.0","0.04","773.81","0.01"
"Botswana","Czech Republic","2015.0","Export","3.0","0.12","0.51","0.0"
"Botswana","Germany","2015.0","Export","43.0","1.76","306.07","0.0"
"Botswana","Djibouti","2015.0","Export","1.0","0.04","189.31","0.0"
"Botswana","Denmark","2015.0","Export","2.0","0.08","0.95","0.0"
"Botswana","Algeria","2015.0","Export","","","",""
"Botswana","East Asia & Pacific","2015.0","Export","143.0","5.84","470464.25","7.45"
"Botswana","Europe & Central Asia","2015.0","Export","209.0","8.53","1940020.14","30.7"
"Botswana","Ecuador","2015.0","Export","","","",""
"Botswana","Egypt, Arab Rep.","2015.0","Export","2.0","0.08","6.06","0.0"
"Botswana","Eritrea","2015.0","Export","1.0","0.04","70.37","0.0"
"Botswana","Spain","2015.0","Export","12.0","0.49","788.29","0.01"
"Botswana","Estonia","2015.0","Export","","","",""
"Botswana","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.04","0.38","0.0"
"Botswana","Finland","2015.0","Export","3.0","0.12","60589.45","0.96"
"Botswana","France","2015.0","Export","48.0","1.96","2659.27","0.04"
"Botswana","Gabon","2015.0","Export","","","",""
"Botswana","United Kingdom","2015.0","Export","91.0","3.71","53653.57","0.85"
"Botswana","Georgia","2015.0","Export","","","",""
"Botswana","Ghana","2015.0","Export","20.0","0.82","8.59","0.0"
"Botswana","Gambia, The","2015.0","Export","1.0","0.04","3.14","0.0"
"Botswana","Greece","2015.0","Export","4.0","0.16","5092.93","0.08"
"Botswana","Grenada","2015.0","Export","8.0","0.33","0.11","0.0"
"Botswana","Guatemala","2015.0","Export","","","",""
"Botswana","Hong Kong, China","2015.0","Export","20.0","0.82","117182.29","1.85"
"Botswana","Honduras","2015.0","Export","","","",""
"Botswana","Croatia","2015.0","Export","1.0","0.04","0.1","0.0"
"Botswana","Hungary","2015.0","Export","10.0","0.41","163.37","0.0"
"Botswana","Indonesia","2015.0","Export","","","",""
"Botswana","India","2015.0","Export","32.0","1.31","784024.83","12.41"
"Botswana","Ireland","2015.0","Export","5.0","0.2","27.77","0.0"
"Botswana","Iran, Islamic Rep.","2015.0","Export","1.0","0.04","158.28","0.0"
"Botswana","Iraq","2015.0","Export","1.0","0.04","2.42","0.0"
"Botswana","Iceland","2015.0","Export","","","",""
"Botswana","Israel","2015.0","Export","21.0","0.86","380455.04","6.02"
"Botswana","Italy","2015.0","Export","10.0","0.41","11777.64","0.19"
"Botswana","Jamaica","2015.0","Export","","","",""
"Botswana","Jordan","2015.0","Export","1.0","0.04","0.01","0.0"
"Botswana","Japan","2015.0","Export","12.0","0.49","6329.56","0.1"
"Botswana","Kazakhstan","2015.0","Export","","","",""
"Botswana","Kenya","2015.0","Export","21.0","0.86","245.83","0.0"
"Botswana","Cambodia","2015.0","Export","2.0","0.08","0.04","0.0"
"Botswana","St. Kitts and Nevis","2015.0","Export","","","",""
"Botswana","Korea, Rep.","2015.0","Export","5.0","0.2","6.06","0.0"
"Botswana","Kuwait","2015.0","Export","","","",""
"Botswana","Lebanon","2015.0","Export","2.0","0.08","14.89","0.0"
"Botswana","Liberia","2015.0","Export","3.0","0.12","384.9","0.01"
"Botswana","Latin America & Caribbean","2015.0","Export","15.0","0.61","69.17","0.0"
"Botswana","Sri Lanka","2015.0","Export","1.0","0.04","1.05","0.0"
"Botswana","Lesotho","2015.0","Export","53.0","2.16","204.47","0.0"
"Botswana","Lithuania","2015.0","Export","","","",""
"Botswana","Luxembourg","2015.0","Export","","","",""
"Botswana","Latvia","2015.0","Export","","","",""
"Botswana","Morocco","2015.0","Export","2.0","0.08","6.92","0.0"
"Botswana","Madagascar","2015.0","Export","2.0","0.08","6.32","0.0"
"Botswana","Middle East & North Africa","2015.0","Export","45.0","1.84","719372.23","11.38"
"Botswana","Mexico","2015.0","Export","4.0","0.16","66.89","0.0"
"Botswana","Macedonia, FYR","2015.0","Export","","","",""
"Botswana","Mali","2015.0","Export","1.0","0.04","84.83","0.0"
"Botswana","Malta","2015.0","Export","3.0","0.12","388.85","0.01"
"Botswana","Myanmar","2015.0","Export","","","",""
"Botswana","Mongolia","2015.0","Export","","","",""
"Botswana","Mozambique","2015.0","Export","182.0","7.43","2793.02","0.04"
"Botswana","Mauritania","2015.0","Export","1.0","0.04","0.61","0.0"
"Botswana","Mauritius","2015.0","Export","12.0","0.49","52.01","0.0"
"Botswana","Malawi","2015.0","Export","114.0","4.65","1606.75","0.03"
"Botswana","Malaysia","2015.0","Export","7.0","0.29","7.27","0.0"
"Botswana","North America","2015.0","Export","202.0","8.24","557125.35","8.82"
"Botswana","Namibia","2015.0","Export","1032.0","42.12","745416.7","11.8"
"Botswana","Niger","2015.0","Export","","","",""
"Botswana","Nigeria","2015.0","Export","31.0","1.27","53.7","0.0"
"Botswana","Nicaragua","2015.0","Export","","","",""
"Botswana","Netherlands","2015.0","Export","36.0","1.47","15462.75","0.24"
"Botswana","Norway","2015.0","Export","5.0","0.2","258620.54","4.09"
"Botswana","New Zealand","2015.0","Export","9.0","0.37","75.68","0.0"
"Botswana","Other Asia, nes","2015.0","Export","3.0","0.12","1.15","0.0"
"Botswana","Oman","2015.0","Export","","","",""
"Botswana","Pakistan","2015.0","Export","3.0","0.12","168.74","0.0"
"Botswana","Panama","2015.0","Export","","","",""
"Botswana","Peru","2015.0","Export","","","",""
"Botswana","Philippines","2015.0","Export","1.0","0.04","5.92","0.0"
"Botswana","Poland","2015.0","Export","7.0","0.29","81.61","0.0"
"Botswana","Korea, Dem. Rep.","2015.0","Export","","","",""
"Botswana","Portugal","2015.0","Export","1.0","0.04","2.24","0.0"
"Botswana","Qatar","2015.0","Export","2.0","0.08","1.84","0.0"
"Botswana","Romania","2015.0","Export","1.0","0.04","52.63","0.0"
"Botswana","Russian Federation","2015.0","Export","3.0","0.12","3373.66","0.05"
"Botswana","Rwanda","2015.0","Export","9.0","0.37","17.16","0.0"
"Botswana","South Asia","2015.0","Export","33.0","1.35","784194.62","12.41"
"Botswana","Saudi Arabia","2015.0","Export","1.0","0.04","39.66","0.0"
"Botswana","Senegal","2015.0","Export","1.0","0.04","2.81","0.0"
"Botswana","Serbia, FR(Serbia/Montenegro)","2015.0","Export","","","",""
