"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Central African Republic","Angola","2015.0","Export","","","",""
"Central African Republic","United Arab Emirates","2015.0","Export","1.0","2.63","119.71","0.12"
"Central African Republic","Australia","2015.0","Export","","","",""
"Central African Republic","Austria","2015.0","Export","2.0","5.26","1136.58","1.17"
"Central African Republic","Burundi","2015.0","Export","1.0","2.63","128.84","0.13"
"Central African Republic","Belgium","2015.0","Export","2.0","5.26","69.39","0.07"
"Central African Republic","Benin","2015.0","Export","","","",""
"Central African Republic","Bangladesh","2015.0","Export","2.0","5.26","7.53","0.01"
"Central African Republic","Bulgaria","2015.0","Export","1.0","2.63","9.14","0.01"
"Central African Republic","Brazil","2015.0","Export","","","",""
"Central African Republic","Canada","2015.0","Export","1.0","2.63","77.83","0.08"
"Central African Republic","Switzerland","2015.0","Export","","","",""
"Central African Republic","Chile","2015.0","Export","","","",""
"Central African Republic","China","2015.0","Export","4.0","10.53","6637.57","6.85"
"Central African Republic","Cote d'Ivoire","2015.0","Export","","","",""
"Central African Republic","Cameroon","2015.0","Export","11.0","28.95","8564.54","8.84"
"Central African Republic","Congo, Rep.","2015.0","Export","3.0","7.89","66.31","0.07"
"Central African Republic","Cuba","2015.0","Export","2.0","5.26","22.23","0.02"
"Central African Republic","Curaçao","2015.0","Export","","","",""
"Central African Republic","Cyprus","2015.0","Export","","","",""
"Central African Republic","Czech Republic","2015.0","Export","","","",""
"Central African Republic","Germany","2015.0","Export","2.0","5.26","3521.34","3.64"
"Central African Republic","Denmark","2015.0","Export","2.0","5.26","294.27","0.3"
"Central African Republic","East Asia & Pacific","2015.0","Export","7.0","18.42","7914.07","8.17"
"Central African Republic","Europe & Central Asia","2015.0","Export","21.0","55.26","67596.2","69.79"
"Central African Republic","Egypt, Arab Rep.","2015.0","Export","","","",""
"Central African Republic","Spain","2015.0","Export","1.0","2.63","48.09","0.05"
"Central African Republic","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Central African Republic","Finland","2015.0","Export","7.0","18.42","620.21","0.64"
"Central African Republic","France","2015.0","Export","13.0","34.21","61592.67","63.59"
"Central African Republic","Gabon","2015.0","Export","1.0","2.63","357.38","0.37"
"Central African Republic","United Kingdom","2015.0","Export","","","",""
"Central African Republic","Ghana","2015.0","Export","","","",""
"Central African Republic","Guinea","2015.0","Export","","","",""
"Central African Republic","Greece","2015.0","Export","","","",""
"Central African Republic","Hong Kong, China","2015.0","Export","","","",""
"Central African Republic","Croatia","2015.0","Export","1.0","2.63","8.55","0.01"
"Central African Republic","Haiti","2015.0","Export","","","",""
