"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Canada","Aruba","2015.0","Export","328.0","7.43","7512.35","0.0"
"Canada","Afghanistan","2015.0","Export","98.0","2.22","10883.83","0.0"
"Canada","Angola","2015.0","Export","291.0","6.59","54502.0","0.01"
"Canada","Anguila","2015.0","Export","93.0","2.11","1099.28","0.0"
"Canada","Albania","2015.0","Export","290.0","6.57","28400.69","0.01"
"Canada","Andorra","2015.0","Export","75.0","1.7","186.95","0.0"
"Canada","United Arab Emirates","2015.0","Export","1736.0","39.31","1581956.4","0.39"
"Canada","Argentina","2015.0","Export","842.0","19.07","242824.98","0.06"
"Canada","Armenia","2015.0","Export","284.0","6.43","9940.89","0.0"
"Canada","American Samoa","2015.0","Export","83.0","1.88","4105.66","0.0"
"Canada","Antarctica","2015.0","Export","65.0","1.47","4382.46","0.0"
"Canada","Fr. So. Ant. Tr","2015.0","Export","1.0","0.02","33.02","0.0"
"Canada","Antigua and Barbuda","2015.0","Export","269.0","6.09","8319.43","0.0"
"Canada","Australia","2015.0","Export","2095.0","47.44","1481087.75","0.36"
"Canada","Austria","2015.0","Export","912.0","20.65","253793.23","0.06"
"Canada","Azerbaijan","2015.0","Export","305.0","6.91","11168.66","0.0"
"Canada","Burundi","2015.0","Export","8.0","0.18","374.85","0.0"
"Canada","Belgium","2015.0","Export","1432.0","32.43","2445632.71","0.6"
"Canada","Benin","2015.0","Export","91.0","2.06","27289.29","0.01"
"Canada","Bonaire","2015.0","Export","33.0","0.75","1632.83","0.0"
"Canada","Burkina Faso","2015.0","Export","572.0","12.95","28151.38","0.01"
"Canada","Bangladesh","2015.0","Export","428.0","9.69","707491.97","0.17"
"Canada","Bulgaria","2015.0","Export","420.0","9.51","67566.85","0.02"
"Canada","Bahrain","2015.0","Export","575.0","13.02","35815.47","0.01"
"Canada","Bahamas, The","2015.0","Export","551.0","12.48","57525.14","0.01"
"Canada","Bosnia and Herzegovina","2015.0","Export","84.0","1.9","1991.51","0.0"
"Canada","Belarus","2015.0","Export","22.0","0.5","6645.3","0.0"
"Canada","Belize","2015.0","Export","253.0","5.73","7935.57","0.0"
"Canada","Bermuda","2015.0","Export","776.0","17.57","32946.03","0.01"
"Canada","Bolivia","2015.0","Export","566.0","12.82","22297.11","0.01"
"Canada","Brazil","2015.0","Export","1378.0","31.2","1761143.95","0.43"
"Canada","Barbados","2015.0","Export","751.0","17.01","56170.89","0.01"
"Canada","Brunei","2015.0","Export","144.0","3.26","2275.46","0.0"
"Canada","Bhutan","2015.0","Export","30.0","0.68","247.88","0.0"
"Canada","Bouvet Island","2015.0","Export","","","",""
"Canada","Botswana","2015.0","Export","109.0","2.47","554094.66","0.14"
"Canada","Central African Republic","2015.0","Export","26.0","0.59","1297.0","0.0"
"Canada","Canada","2015.0","Export","","","",""
"Canada","Cocos (Keeling) Islands","2015.0","Export","3.0","0.07","19.81","0.0"
"Canada","Switzerland","2015.0","Export","1329.0","30.1","927063.5","0.23"
"Canada","Chile","2015.0","Export","1554.0","35.19","618277.41","0.15"
"Canada","China","2015.0","Export","2340.0","52.99","15786122.07","3.86"
"Canada","Cote d'Ivoire","2015.0","Export","255.0","5.77","53117.31","0.01"
"Canada","Cameroon","2015.0","Export","299.0","6.77","57059.44","0.01"
"Canada","Congo, Rep.","2015.0","Export","257.0","5.82","22095.65","0.01"
"Canada","Cook Islands","2015.0","Export","5.0","0.11","499.87","0.0"
"Canada","Colombia","2015.0","Export","1139.0","25.79","612600.15","0.15"
"Canada","Comoros","2015.0","Export","29.0","0.66","456.91","0.0"
"Canada","Cape Verde","2015.0","Export","55.0","1.25","1717.43","0.0"
"Canada","Costa Rica","2015.0","Export","934.0","21.15","127327.16","0.03"
"Canada","Cuba","2015.0","Export","1331.0","30.14","387351.98","0.09"
"Canada","Curaçao","2015.0","Export","342.0","7.74","12667.01","0.0"
