"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Switzerland","Aruba","2015.0","Export","187.0","4.31","13995.08","0.0"
"Switzerland","Afghanistan","2015.0","Export","169.0","3.9","7375.23","0.0"
"Switzerland","Angola","2015.0","Export","417.0","9.62","23102.42","0.01"
"Switzerland","Anguila","2015.0","Export","10.0","0.23","5117.03","0.0"
"Switzerland","Albania","2015.0","Export","423.0","9.76","33728.0","0.01"
"Switzerland","Andorra","2015.0","Export","182.0","4.2","5680.02","0.0"
"Switzerland","United Arab Emirates","2015.0","Export","1818.0","41.94","5314021.2","1.82"
"Switzerland","Argentina","2015.0","Export","1058.0","24.41","880444.41","0.3"
"Switzerland","Armenia","2015.0","Export","442.0","10.2","34458.38","0.01"
"Switzerland","American Samoa","2015.0","Export","2.0","0.05","1907.9","0.0"
"Switzerland","Antarctica","2015.0","Export","1.0","0.02","10.04","0.0"
"Switzerland","Fr. So. Ant. Tr","2015.0","Export","8.0","0.18","46.83","0.0"
"Switzerland","Antigua and Barbuda","2015.0","Export","84.0","1.94","2489.65","0.0"
"Switzerland","Australia","2015.0","Export","1858.0","42.86","2529132.84","0.87"
"Switzerland","Austria","2015.0","Export","3209.0","74.03","7872745.82","2.7"
"Switzerland","Azerbaijan","2015.0","Export","668.0","15.41","174759.53","0.06"
"Switzerland","Burundi","2015.0","Export","42.0","0.97","704.9","0.0"
"Switzerland","Belgium","2015.0","Export","2531.0","58.39","5867970.84","2.01"
"Switzerland","Benin","2015.0","Export","223.0","5.14","22578.26","0.01"
"Switzerland","Bonaire","2015.0","Export","39.0","0.9","591.24","0.0"
"Switzerland","Burkina Faso","2015.0","Export","162.0","3.74","5431.99","0.0"
"Switzerland","Bangladesh","2015.0","Export","600.0","13.84","164993.29","0.06"
"Switzerland","Bulgaria","2015.0","Export","1472.0","33.96","369692.28","0.13"
"Switzerland","Bahrain","2015.0","Export","781.0","18.02","255500.94","0.09"
"Switzerland","Bahamas, The","2015.0","Export","229.0","5.28","88530.35","0.03"
"Switzerland","Bosnia and Herzegovina","2015.0","Export","935.0","21.57","56076.75","0.02"
"Switzerland","Saint Barthélemy","2015.0","Export","31.0","0.72","4931.34","0.0"
"Switzerland","Belarus","2015.0","Export","742.0","17.12","201861.41","0.07"
"Switzerland","Belize","2015.0","Export","34.0","0.78","3149.15","0.0"
"Switzerland","Bermuda","2015.0","Export","105.0","2.42","19115.55","0.01"
"Switzerland","Bolivia","2015.0","Export","385.0","8.88","15494.32","0.01"
"Switzerland","Brazil","2015.0","Export","1575.0","36.33","2144280.79","0.73"
"Switzerland","Barbados","2015.0","Export","143.0","3.3","6217.48","0.0"
