"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Chile","Aruba","2015.0","Export","35.0","0.93","2430.16","0.0"
"Chile","Afghanistan","2015.0","Export","","","",""
"Chile","Angola","2015.0","Export","10.0","0.27","1658.72","0.0"
"Chile","Anguila","2015.0","Export","4.0","0.11","141.83","0.0"
"Chile","Albania","2015.0","Export","2.0","0.05","65.36","0.0"
"Chile","Andorra","2015.0","Export","17.0","0.45","73.67","0.0"
"Chile","United Arab Emirates","2015.0","Export","123.0","3.27","94342.18","0.15"
"Chile","Argentina","2015.0","Export","1290.0","34.28","807411.85","1.27"
"Chile","Armenia","2015.0","Export","10.0","0.27","612.46","0.0"
"Chile","Fr. So. Ant. Tr","2015.0","Export","15.0","0.4","1921.64","0.0"
"Chile","Antigua and Barbuda","2015.0","Export","7.0","0.19","1000.68","0.0"
"Chile","Australia","2015.0","Export","347.0","9.22","433864.28","0.68"
"Chile","Austria","2015.0","Export","73.0","1.94","49989.58","0.08"
"Chile","Azerbaijan","2015.0","Export","6.0","0.16","1189.72","0.0"
"Chile","Burundi","2015.0","Export","","","",""
"Chile","Belgium","2015.0","Export","280.0","7.44","742533.97","1.17"
"Chile","Benin","2015.0","Export","7.0","0.19","2445.15","0.0"
"Chile","Burkina Faso","2015.0","Export","3.0","0.08","196.81","0.0"
"Chile","Bangladesh","2015.0","Export","18.0","0.48","1052.87","0.0"
"Chile","Bulgaria","2015.0","Export","20.0","0.53","356300.26","0.56"
"Chile","Bahrain","2015.0","Export","23.0","0.61","48718.1","0.08"
"Chile","Bahamas, The","2015.0","Export","6.0","0.16","1946.82","0.0"
"Chile","Bosnia and Herzegovina","2015.0","Export","2.0","0.05","119.08","0.0"
"Chile","Belarus","2015.0","Export","12.0","0.32","1724.05","0.0"
"Chile","Belize","2015.0","Export","15.0","0.4","1247.57","0.0"
"Chile","Bermuda","2015.0","Export","4.0","0.11","386.61","0.0"
"Chile","Bolivia","2015.0","Export","2402.0","63.83","1234780.13","1.95"
"Chile","Brazil","2015.0","Export","953.0","25.33","3109586.67","4.91"
"Chile","Barbados","2015.0","Export","15.0","0.4","2050.15","0.0"
"Chile","Brunei","2015.0","Export","2.0","0.05","199.06","0.0"
"Chile","Botswana","2015.0","Export","3.0","0.08","6.32","0.0"
"Chile","Central African Republic","2015.0","Export","","","",""
"Chile","Canada","2015.0","Export","425.0","11.29","1241089.9","1.96"
"Chile","Switzerland","2015.0","Export","170.0","4.52","515569.79","0.81"
"Chile","Chile","2015.0","Export","","","",""
"Chile","China","2015.0","Export","365.0","9.7","16671360.84","26.31"
"Chile","Cote d'Ivoire","2015.0","Export","6.0","0.16","335.98","0.0"
"Chile","Cameroon","2015.0","Export","3.0","0.08","161.46","0.0"
"Chile","Congo, Rep.","2015.0","Export","10.0","0.27","793.24","0.0"
"Chile","Cook Islands","2015.0","Export","2.0","0.05","5.34","0.0"
"Chile","Colombia","2015.0","Export","1030.0","27.37","786665.89","1.24"
