"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"China","Aruba","2015.0","Export","654.0","14.75","48278.05","0.0"
"China","Afghanistan","2015.0","Export","1011.0","22.81","361819.89","0.02"
"China","Angola","2015.0","Export","2311.0","52.13","3717145.88","0.16"
"China","Albania","2015.0","Export","1630.0","36.77","430190.81","0.02"
"China","Andorra","2015.0","Export","145.0","3.27","1284.62","0.0"
"China","United Arab Emirates","2015.0","Export","3260.0","73.54","37020164.37","1.63"
"China","Argentina","2015.0","Export","2751.0","62.06","8805106.46","0.39"
"China","Armenia","2015.0","Export","1201.0","27.09","112400.45","0.0"
"China","Antigua and Barbuda","2015.0","Export","498.0","11.23","53070.08","0.0"
"China","Australia","2015.0","Export","3557.0","80.24","40306508.77","1.77"
"China","Austria","2015.0","Export","2038.0","45.97","2497728.92","0.11"
"China","Azerbaijan","2015.0","Export","1355.0","30.57","439145.36","0.02"
"China","Burundi","2015.0","Export","666.0","15.02","40088.75","0.0"
"China","Belgium","2015.0","Export","3002.0","67.72","16208313.16","0.71"
"China","Benin","2015.0","Export","1727.0","38.96","2989072.54","0.13"
"China","Bonaire","2015.0","Export","54.0","1.22","422.21","0.0"
"China","Burkina Faso","2015.0","Export","689.0","15.54","123836.63","0.01"
"China","Bangladesh","2015.0","Export","3088.0","69.66","13894707.66","0.61"
"China","Bulgaria","2015.0","Export","2175.0","49.06","1043259.43","0.05"
"China","Bahrain","2015.0","Export","1976.0","44.57","1011846.27","0.04"
"China","Bahamas, The","2015.0","Export","822.0","18.54","1585371.87","0.07"
"China","Bosnia and Herzegovina","2015.0","Export","874.0","19.72","59978.11","0.0"
"China","Belarus","2015.0","Export","1800.0","40.6","748901.09","0.03"
"China","Belize","2015.0","Export","727.0","16.4","78496.87","0.0"
"China","Bermuda","2015.0","Export","238.0","5.37","364827.24","0.02"
"China","Bolivia","2015.0","Export","1710.0","38.57","568845.95","0.03"
"China","Brazil","2015.0","Export","3144.0","70.92","27412225.43","1.21"
"China","Barbados","2015.0","Export","813.0","18.34","65197.18","0.0"
"China","Brunei","2015.0","Export","1806.0","40.74","1407408.75","0.06"
"China","Bhutan","2015.0","Export","226.0","5.1","8115.66","0.0"
"China","Botswana","2015.0","Export","1227.0","27.68","224841.27","0.01"
"China","Central African Republic","2015.0","Export","205.0","4.62","13518.23","0.0"
"China","Canada","2015.0","Export","3359.0","75.77","29422642.32","1.29"
"China","Switzerland","2015.0","Export","2318.0","52.29","3195333.67","0.14"
"China","Chile","2015.0","Export","2973.0","67.07","13290323.5","0.58"
"China","China","2015.0","Export","","","",""
"China","Cote d'Ivoire","2015.0","Export","1962.0","44.26","1554436.95","0.07"
"China","Cameroon","2015.0","Export","2044.0","46.11","1833294.5","0.08"
"China","Congo, Rep.","2015.0","Export","1753.0","39.54","1035422.06","0.05"
"China","Cook Islands","2015.0","Export","239.0","5.39","14289.02","0.0"
"China","Colombia","2015.0","Export","2834.0","63.93","7580792.71","0.33"
"China","Comoros","2015.0","Export","601.0","13.56","45703.4","0.0"
"China","Cape Verde","2015.0","Export","744.0","16.78","43300.2","0.0"
"China","Costa Rica","2015.0","Export","2160.0","48.73","1330677.28","0.06"
"China","Cuba","2015.0","Export","1940.0","43.76","1886371.56","0.08"
"China","Curaçao","2015.0","Export","900.0","20.3","91284.93","0.0"
"China","Cayman Islands","2015.0","Export","219.0","4.94","60943.51","0.0"
"China","Cyprus","2015.0","Export","1668.0","37.63","589668.76","0.03"
"China","Czech Republic","2015.0","Export","2335.0","52.67","8226132.07","0.36"
"China","Germany","2015.0","Export","3518.0","79.36","69154833.61","3.04"
"China","Djibouti","2015.0","Export","2049.0","46.22","1980815.51","0.09"
"China","Dominica","2015.0","Export","729.0","16.44","30755.54","0.0"
"China","Denmark","2015.0","Export","2386.0","53.82","6151125.35","0.27"
"China","Dominican Republic","2015.0","Export","2144.0","48.36","1557428.45","0.07"
"China","Algeria","2015.0","Export","2451.0","55.29","7583347.04","0.33"
"China","East Asia & Pacific","2015.0","Export","4355.0","98.24","904331615.09","39.78"
"China","Europe & Central Asia","2015.0","Export","4120.0","92.94","437722775.94","19.25"
"China","Ecuador","2015.0","Export","2473.0","55.79","2891415.66","0.13"
"China","Egypt, Arab Rep.","2015.0","Export","2953.0","66.61","11958576.94","0.53"
"China","Eritrea","2015.0","Export","674.0","15.2","134303.5","0.01"
"China","Western Sahara","2015.0","Export","12.0","0.27","397.47","0.0"
"China","Spain","2015.0","Export","3181.0","71.76","21855810.76","0.96"
"China","Estonia","2015.0","Export","1796.0","40.51","953287.54","0.04"
"China","Ethiopia(excludes Eritrea)","2015.0","Export","2179.0","49.15","3440867.34","0.15"
"China","Finland","2015.0","Export","2318.0","52.29","3541291.04","0.16"
"China","Fiji","2015.0","Export","1830.0","41.28","326745.6","0.01"
"China","France","2015.0","Export","3120.0","70.38","27051526.5","1.19"
"China","Faeroe Islands","2015.0","Export","116.0","2.62","59156.56","0.0"
"China","Micronesia, Fed. Sts.","2015.0","Export","345.0","7.78","12111.04","0.0"
"China","Gabon","2015.0","Export","1521.0","34.31","665415.09","0.03"
"China","United Kingdom","2015.0","Export","3390.0","76.47","59567065.46","2.62"
"China","Georgia","2015.0","Export","1983.0","44.73","768675.25","0.03"
"China","Ghana","2015.0","Export","2447.0","55.2","5308877.83","0.23"
"China","Gibraltar","2015.0","Export","152.0","3.43","196911.1","0.01"
"China","Guinea","2015.0","Export","1543.0","34.81","1277088.83","0.06"
"China","Gambia, The","2015.0","Export","964.0","21.75","330097.25","0.01"
"China","Guinea-Bissau","2015.0","Export","338.0","7.62","17482.68","0.0"
