"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cote d'Ivoire","Aruba","2015.0","Export","","","",""
"Cote d'Ivoire","Afghanistan","2015.0","Export","","","",""
"Cote d'Ivoire","Angola","2015.0","Export","104.0","4.27","18781.85","0.16"
"Cote d'Ivoire","Anguila","2015.0","Export","","","",""
"Cote d'Ivoire","Albania","2015.0","Export","4.0","0.16","150.66","0.0"
"Cote d'Ivoire","Andorra","2015.0","Export","2.0","0.08","0.83","0.0"
"Cote d'Ivoire","United Arab Emirates","2015.0","Export","153.0","6.29","14991.51","0.13"
"Cote d'Ivoire","Argentina","2015.0","Export","5.0","0.21","1513.95","0.01"
"Cote d'Ivoire","American Samoa","2015.0","Export","","","",""
"Cote d'Ivoire","Antarctica","2015.0","Export","","","",""
"Cote d'Ivoire","Antigua and Barbuda","2015.0","Export","1.0","0.04","35.66","0.0"
"Cote d'Ivoire","Australia","2015.0","Export","45.0","1.85","12280.08","0.1"
"Cote d'Ivoire","Austria","2015.0","Export","5.0","0.21","84.55","0.0"
"Cote d'Ivoire","Azerbaijan","2015.0","Export","","","",""
"Cote d'Ivoire","Burundi","2015.0","Export","","","",""
"Cote d'Ivoire","Belgium","2015.0","Export","320.0","13.15","775033.16","6.54"
"Cote d'Ivoire","Benin","2015.0","Export","369.0","15.16","66594.46","0.56"
"Cote d'Ivoire","Burkina Faso","2015.0","Export","733.0","30.11","535312.79","4.52"
"Cote d'Ivoire","Bangladesh","2015.0","Export","34.0","1.4","39976.38","0.34"
"Cote d'Ivoire","Bulgaria","2015.0","Export","6.0","0.25","20651.6","0.17"
"Cote d'Ivoire","Bahrain","2015.0","Export","43.0","1.77","414.52","0.0"
"Cote d'Ivoire","Bahamas, The","2015.0","Export","3.0","0.12","291.81","0.0"
"Cote d'Ivoire","Bosnia and Herzegovina","2015.0","Export","1.0","0.04","6.8","0.0"
"Cote d'Ivoire","Belarus","2015.0","Export","","","",""
"Cote d'Ivoire","Belize","2015.0","Export","5.0","0.21","733.14","0.01"
"Cote d'Ivoire","Bolivia","2015.0","Export","","","",""
"Cote d'Ivoire","Brazil","2015.0","Export","35.0","1.44","60799.57","0.51"
"Cote d'Ivoire","Barbados","2015.0","Export","2.0","0.08","89.03","0.0"
"Cote d'Ivoire","Central African Republic","2015.0","Export","23.0","0.94","2644.79","0.02"
"Cote d'Ivoire","Canada","2015.0","Export","122.0","5.01","129753.47","1.1"
"Cote d'Ivoire","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Cote d'Ivoire","Switzerland","2015.0","Export","257.0","10.56","459944.18","3.88"
"Cote d'Ivoire","Chile","2015.0","Export","5.0","0.21","2459.92","0.02"
"Cote d'Ivoire","China","2015.0","Export","51.0","2.1","95193.47","0.8"
"Cote d'Ivoire","Cameroon","2015.0","Export","346.0","14.22","81865.86","0.69"
"Cote d'Ivoire","Congo, Rep.","2015.0","Export","246.0","10.11","43694.9","0.37"
"Cote d'Ivoire","Cook Islands","2015.0","Export","1.0","0.04","30.71","0.0"
"Cote d'Ivoire","Colombia","2015.0","Export","85.0","3.49","24343.81","0.21"
"Cote d'Ivoire","Comoros","2015.0","Export","23.0","0.94","5.29","0.0"
"Cote d'Ivoire","Cape Verde","2015.0","Export","39.0","1.6","259.04","0.0"
"Cote d'Ivoire","Costa Rica","2015.0","Export","22.0","0.9","0.39","0.0"
"Cote d'Ivoire","Cuba","2015.0","Export","1.0","0.04","148.43","0.0"
"Cote d'Ivoire","Curaçao","2015.0","Export","2.0","0.08","183.73","0.0"
"Cote d'Ivoire","Cayman Islands","2015.0","Export","1.0","0.04","21.68","0.0"
"Cote d'Ivoire","Cyprus","2015.0","Export","3.0","0.12","201.69","0.0"
"Cote d'Ivoire","Czech Republic","2015.0","Export","13.0","0.53","7138.49","0.06"
"Cote d'Ivoire","Germany","2015.0","Export","139.0","5.71","721418.2","6.09"
"Cote d'Ivoire","Djibouti","2015.0","Export","4.0","0.16","228.02","0.0"
"Cote d'Ivoire","Denmark","2015.0","Export","13.0","0.53","543.46","0.0"
"Cote d'Ivoire","Dominican Republic","2015.0","Export","3.0","0.12","1324.13","0.01"
"Cote d'Ivoire","Algeria","2015.0","Export","58.0","2.38","77536.17","0.65"
"Cote d'Ivoire","East Asia & Pacific","2015.0","Export","266.0","10.93","863006.1","7.29"
"Cote d'Ivoire","Europe & Central Asia","2015.0","Export","1441.0","59.2","5724618.33","48.33"
"Cote d'Ivoire","Ecuador","2015.0","Export","2.0","0.08","758.53","0.01"
"Cote d'Ivoire","Egypt, Arab Rep.","2015.0","Export","114.0","4.68","5675.65","0.05"
"Cote d'Ivoire","Eritrea","2015.0","Export","1.0","0.04","179.84","0.0"
"Cote d'Ivoire","Spain","2015.0","Export","232.0","9.53","304125.84","2.57"
"Cote d'Ivoire","Estonia","2015.0","Export","9.0","0.37","158863.55","1.34"
"Cote d'Ivoire","Ethiopia(excludes Eritrea)","2015.0","Export","31.0","1.27","838.62","0.01"
"Cote d'Ivoire","Finland","2015.0","Export","7.0","0.29","972.57","0.01"
"Cote d'Ivoire","Falkland Island","2015.0","Export","3.0","0.12","5104.72","0.04"
"Cote d'Ivoire","France","2015.0","Export","1053.0","43.26","762200.8","6.43"
"Cote d'Ivoire","Free Zones","2015.0","Export","11.0","0.45","6871.4","0.06"
"Cote d'Ivoire","Faeroe Islands","2015.0","Export","1.0","0.04","141.67","0.0"
"Cote d'Ivoire","Gabon","2015.0","Export","307.0","12.61","20879.13","0.18"
"Cote d'Ivoire","United Kingdom","2015.0","Export","356.0","14.63","290119.35","2.45"
"Cote d'Ivoire","Georgia","2015.0","Export","2.0","0.08","2599.3","0.02"
"Cote d'Ivoire","Ghana","2015.0","Export","541.0","22.23","461314.43","3.89"
"Cote d'Ivoire","Gibraltar","2015.0","Export","1.0","0.04","50.03","0.0"
"Cote d'Ivoire","Guinea","2015.0","Export","200.0","8.22","28833.0","0.24"
"Cote d'Ivoire","Gambia, The","2015.0","Export","44.0","1.81","6384.9","0.05"
"Cote d'Ivoire","Guinea-Bissau","2015.0","Export","16.0","0.66","672.55","0.01"
"Cote d'Ivoire","Equatorial Guinea","2015.0","Export","125.0","5.14","54119.14","0.46"
"Cote d'Ivoire","Greece","2015.0","Export","22.0","0.9","15510.4","0.13"
"Cote d'Ivoire","Greenland","2015.0","Export","","","",""
"Cote d'Ivoire","Guatemala","2015.0","Export","5.0","0.21","0.34","0.0"
"Cote d'Ivoire","Guyana","2015.0","Export","1.0","0.04","28.86","0.0"
"Cote d'Ivoire","Hong Kong, China","2015.0","Export","18.0","0.74","169.84","0.0"
"Cote d'Ivoire","Honduras","2015.0","Export","","","",""
"Cote d'Ivoire","Croatia","2015.0","Export","4.0","0.16","664.92","0.01"
"Cote d'Ivoire","Haiti","2015.0","Export","7.0","0.29","826.69","0.01"
"Cote d'Ivoire","Hungary","2015.0","Export","2.0","0.08","24.81","0.0"
"Cote d'Ivoire","Indonesia","2015.0","Export","30.0","1.23","73633.87","0.62"
"Cote d'Ivoire","India","2015.0","Export","38.0","1.56","495689.71","4.18"
"Cote d'Ivoire","Ireland","2015.0","Export","5.0","0.21","70551.52","0.6"
"Cote d'Ivoire","Iran, Islamic Rep.","2015.0","Export","1.0","0.04","175.11","0.0"
"Cote d'Ivoire","Iraq","2015.0","Export","1.0","0.04","26.33","0.0"
"Cote d'Ivoire","Iceland","2015.0","Export","7.0","0.29","6579.75","0.06"
"Cote d'Ivoire","Israel","2015.0","Export","27.0","1.11","10938.07","0.09"
"Cote d'Ivoire","Italy","2015.0","Export","242.0","9.94","286341.1","2.42"
"Cote d'Ivoire","Jamaica","2015.0","Export","2.0","0.08","153.47","0.0"
"Cote d'Ivoire","Jordan","2015.0","Export","14.0","0.58","108.75","0.0"
"Cote d'Ivoire","Japan","2015.0","Export","25.0","1.03","5766.04","0.05"
"Cote d'Ivoire","Kazakhstan","2015.0","Export","","","",""
"Cote d'Ivoire","Kenya","2015.0","Export","64.0","2.63","3258.95","0.03"
"Cote d'Ivoire","Kyrgyz Republic","2015.0","Export","","","",""
"Cote d'Ivoire","Cambodia","2015.0","Export","","","",""
"Cote d'Ivoire","Kiribati","2015.0","Export","1.0","0.04","44.26","0.0"
"Cote d'Ivoire","Korea, Rep.","2015.0","Export","45.0","1.85","10379.72","0.09"
"Cote d'Ivoire","Kuwait","2015.0","Export","34.0","1.4","47.27","0.0"
"Cote d'Ivoire","Lao PDR","2015.0","Export","","","",""
"Cote d'Ivoire","Lebanon","2015.0","Export","104.0","4.27","4600.13","0.04"
"Cote d'Ivoire","Liberia","2015.0","Export","281.0","11.54","34610.28","0.29"
"Cote d'Ivoire","Libya","2015.0","Export","1.0","0.04","11.1","0.0"
"Cote d'Ivoire","Latin America & Caribbean","2015.0","Export","231.0","9.49","172304.64","1.45"
"Cote d'Ivoire","Sri Lanka","2015.0","Export","22.0","0.9","1057.28","0.01"
"Cote d'Ivoire","Lithuania","2015.0","Export","9.0","0.37","5544.12","0.05"
