"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cameroon","Afghanistan","2015.0","Export","","","",""
"Cameroon","Angola","2015.0","Export","15.0","1.09","1162.28","0.03"
"Cameroon","Albania","2015.0","Export","2.0","0.15","104.94","0.0"
"Cameroon","Andorra","2015.0","Export","1.0","0.07","15.17","0.0"
"Cameroon","United Arab Emirates","2015.0","Export","37.0","2.69","8332.88","0.21"
"Cameroon","Argentina","2015.0","Export","2.0","0.15","269.32","0.01"
"Cameroon","Armenia","2015.0","Export","","","",""
"Cameroon","American Samoa","2015.0","Export","","","",""
"Cameroon","Antarctica","2015.0","Export","","","",""
"Cameroon","Fr. So. Ant. Tr","2015.0","Export","1.0","0.07","0.71","0.0"
"Cameroon","Antigua and Barbuda","2015.0","Export","5.0","0.36","120.24","0.0"
"Cameroon","Australia","2015.0","Export","8.0","0.58","128.35","0.0"
"Cameroon","Austria","2015.0","Export","2.0","0.15","273.4","0.01"
"Cameroon","Azerbaijan","2015.0","Export","2.0","0.15","55.88","0.0"
"Cameroon","Burundi","2015.0","Export","2.0","0.15","0.36","0.0"
"Cameroon","Belgium","2015.0","Export","98.0","7.14","194323.73","4.79"
"Cameroon","Benin","2015.0","Export","21.0","1.53","14918.31","0.37"
"Cameroon","Burkina Faso","2015.0","Export","11.0","0.8","3702.28","0.09"
"Cameroon","Bangladesh","2015.0","Export","3.0","0.22","71307.05","1.76"
"Cameroon","Bulgaria","2015.0","Export","3.0","0.22","94.51","0.0"
"Cameroon","Bahrain","2015.0","Export","2.0","0.15","5058.55","0.12"
"Cameroon","Bahamas, The","2015.0","Export","","","",""
"Cameroon","Bosnia and Herzegovina","2015.0","Export","","","",""
"Cameroon","Saint Barthélemy","2015.0","Export","","","",""
"Cameroon","Belize","2015.0","Export","","","",""
"Cameroon","Bolivia","2015.0","Export","1.0","0.07","17.53","0.0"
"Cameroon","Brazil","2015.0","Export","13.0","0.95","2579.63","0.06"
"Cameroon","Barbados","2015.0","Export","1.0","0.07","34.7","0.0"
"Cameroon","Brunei","2015.0","Export","","","",""
"Cameroon","Central African Republic","2015.0","Export","396.0","28.84","26674.64","0.66"
"Cameroon","Canada","2015.0","Export","56.0","4.08","2051.45","0.05"
"Cameroon","Switzerland","2015.0","Export","21.0","1.53","169.54","0.0"
"Cameroon","Chile","2015.0","Export","","","",""
"Cameroon","China","2015.0","Export","37.0","2.69","506026.66","12.49"
