"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Colombia","Aruba","2015.0","Export","579.0","16.8","869209.25","2.44"
"Colombia","Afghanistan","2015.0","Export","5.0","0.15","83.28","0.0"
"Colombia","Angola","2015.0","Export","42.0","1.22","5558.29","0.02"
"Colombia","Anguila","2015.0","Export","12.0","0.35","26.75","0.0"
"Colombia","Albania","2015.0","Export","5.0","0.15","178.08","0.0"
"Colombia","Andorra","2015.0","Export","","","",""
"Colombia","United Arab Emirates","2015.0","Export","240.0","6.96","23136.84","0.06"
"Colombia","Argentina","2015.0","Export","421.0","12.22","150654.26","0.42"
"Colombia","Armenia","2015.0","Export","1.0","0.03","67.99","0.0"
"Colombia","Antigua and Barbuda","2015.0","Export","56.0","1.63","670.69","0.0"
"Colombia","Australia","2015.0","Export","261.0","7.57","47845.83","0.13"
"Colombia","Austria","2015.0","Export","58.0","1.68","2046.69","0.01"
"Colombia","Azerbaijan","2015.0","Export","10.0","0.29","344.81","0.0"
"Colombia","Burundi","2015.0","Export","","","",""
"Colombia","Belgium","2015.0","Export","245.0","7.11","481465.94","1.35"
"Colombia","Benin","2015.0","Export","4.0","0.12","988.09","0.0"
"Colombia","Burkina Faso","2015.0","Export","1.0","0.03","75.44","0.0"
"Colombia","Bangladesh","2015.0","Export","3.0","0.09","289.64","0.0"
"Colombia","Bulgaria","2015.0","Export","6.0","0.17","526.66","0.0"
"Colombia","Bahrain","2015.0","Export","22.0","0.64","899.15","0.0"
"Colombia","Bahamas, The","2015.0","Export","60.0","1.74","671848.61","1.88"
"Colombia","Bosnia and Herzegovina","2015.0","Export","","","",""
"Colombia","Belarus","2015.0","Export","1.0","0.03","801.68","0.0"
"Colombia","Belize","2015.0","Export","63.0","1.83","1656.42","0.0"
"Colombia","Bermuda","2015.0","Export","27.0","0.78","171.3","0.0"
"Colombia","Bolivia","2015.0","Export","908.0","26.35","149215.06","0.42"
"Colombia","Brazil","2015.0","Export","748.0","21.71","1189886.62","3.33"
"Colombia","Barbados","2015.0","Export","129.0","3.74","3214.17","0.01"
"Colombia","Brunei","2015.0","Export","4.0","0.12","10.02","0.0"
"Colombia","Bhutan","2015.0","Export","","","",""
"Colombia","Botswana","2015.0","Export","","","",""
"Colombia","Central African Republic","2015.0","Export","","","",""
"Colombia","Canada","2015.0","Export","486.0","14.1","417024.72","1.17"
"Colombia","Switzerland","2015.0","Export","210.0","6.09","419870.79","1.18"
"Colombia","Chile","2015.0","Export","1054.0","30.59","736748.94","2.06"
