"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cape Verde","Afghanistan","2015.0","Export","","","",""
"Cape Verde","Angola","2015.0","Export","22.0","1.78","43.51","0.02"
"Cape Verde","Albania","2015.0","Export","","","",""
"Cape Verde","Andorra","2015.0","Export","","","",""
"Cape Verde","United Arab Emirates","2015.0","Export","17.0","1.37","782.85","0.36"
"Cape Verde","Argentina","2015.0","Export","","","",""
"Cape Verde","Antarctica","2015.0","Export","11.0","0.89","161.33","0.07"
"Cape Verde","Antigua and Barbuda","2015.0","Export","2.0","0.16","6.31","0.0"
"Cape Verde","Australia","2015.0","Export","","","",""
"Cape Verde","Austria","2015.0","Export","","","",""
"Cape Verde","Belgium","2015.0","Export","4.0","0.32","101.84","0.05"
"Cape Verde","Bangladesh","2015.0","Export","","","",""
"Cape Verde","Bulgaria","2015.0","Export","","","",""
"Cape Verde","Belize","2015.0","Export","5.0","0.4","15.25","0.01"
"Cape Verde","Brazil","2015.0","Export","1.0","0.08","7.07","0.0"
"Cape Verde","Bhutan","2015.0","Export","","","",""
"Cape Verde","Canada","2015.0","Export","1.0","0.08","8.63","0.0"
"Cape Verde","Switzerland","2015.0","Export","","","",""
"Cape Verde","Chile","2015.0","Export","","","",""
"Cape Verde","China","2015.0","Export","21.0","1.69","2019.99","0.94"
"Cape Verde","Cote d'Ivoire","2015.0","Export","2.0","0.16","212.83","0.1"
"Cape Verde","Cameroon","2015.0","Export","","","",""
"Cape Verde","Congo, Rep.","2015.0","Export","","","",""
"Cape Verde","Colombia","2015.0","Export","","","",""
"Cape Verde","Costa Rica","2015.0","Export","","","",""
"Cape Verde","Cuba","2015.0","Export","11.0","0.89","9.39","0.0"
"Cape Verde","Curaçao","2015.0","Export","","","",""
"Cape Verde","Cyprus","2015.0","Export","","","",""
"Cape Verde","Czech Republic","2015.0","Export","2.0","0.16","0.84","0.0"
"Cape Verde","Germany","2015.0","Export","62.0","5.0","382.04","0.18"
"Cape Verde","Dominica","2015.0","Export","","","",""
"Cape Verde","Denmark","2015.0","Export","","","",""
"Cape Verde","Algeria","2015.0","Export","2.0","0.16","545.76","0.25"
"Cape Verde","East Asia & Pacific","2015.0","Export","96.0","7.75","3771.61","1.75"
"Cape Verde","Europe & Central Asia","2015.0","Export","805.0","64.97","132548.17","61.58"
"Cape Verde","Ecuador","2015.0","Export","2.0","0.16","50.01","0.02"
"Cape Verde","Egypt, Arab Rep.","2015.0","Export","1.0","0.08","63.36","0.03"
"Cape Verde","Spain","2015.0","Export","122.0","9.85","52990.26","24.62"
"Cape Verde","Ethiopia(excludes Eritrea)","2015.0","Export","16.0","1.29","36.97","0.02"
"Cape Verde","Finland","2015.0","Export","8.0","0.65","54.42","0.03"
"Cape Verde","France","2015.0","Export","49.0","3.95","485.5","0.23"
"Cape Verde","Gabon","2015.0","Export","","","",""
"Cape Verde","United Kingdom","2015.0","Export","167.0","13.48","608.39","0.28"
"Cape Verde","Ghana","2015.0","Export","1.0","0.08","1.75","0.0"
"Cape Verde","Gibraltar","2015.0","Export","1.0","0.08","1155.84","0.54"
"Cape Verde","Guinea","2015.0","Export","52.0","4.2","987.76","0.46"
"Cape Verde","Gambia, The","2015.0","Export","2.0","0.16","36.89","0.02"
"Cape Verde","Guinea-Bissau","2015.0","Export","4.0","0.32","51.54","0.02"
"Cape Verde","Equatorial Guinea","2015.0","Export","3.0","0.24","102.24","0.05"
"Cape Verde","Greece","2015.0","Export","1.0","0.08","103.3","0.05"
"Cape Verde","Hong Kong, China","2015.0","Export","","","",""
"Cape Verde","Croatia","2015.0","Export","","","",""
"Cape Verde","Hungary","2015.0","Export","","","",""
"Cape Verde","Indonesia","2015.0","Export","4.0","0.32","9.68","0.0"
"Cape Verde","India","2015.0","Export","9.0","0.73","204.33","0.09"
"Cape Verde","Ireland","2015.0","Export","","","",""
"Cape Verde","Iran, Islamic Rep.","2015.0","Export","","","",""
"Cape Verde","Iceland","2015.0","Export","","","",""
"Cape Verde","Israel","2015.0","Export","1.0","0.08","0.51","0.0"
"Cape Verde","Italy","2015.0","Export","7.0","0.56","1359.03","0.63"
"Cape Verde","Jordan","2015.0","Export","","","",""
"Cape Verde","Japan","2015.0","Export","","","",""
"Cape Verde","Kenya","2015.0","Export","4.0","0.32","16.51","0.01"
"Cape Verde","Kyrgyz Republic","2015.0","Export","","","",""
"Cape Verde","Cambodia","2015.0","Export","","","",""
"Cape Verde","Korea, Rep.","2015.0","Export","75.0","6.05","59.91","0.03"
"Cape Verde","Lebanon","2015.0","Export","","","",""
"Cape Verde","Latin America & Caribbean","2015.0","Export","107.0","8.64","2124.4","0.99"
"Cape Verde","Sri Lanka","2015.0","Export","86.0","6.94","130.95","0.06"
"Cape Verde","Lithuania","2015.0","Export","","","",""
"Cape Verde","Luxembourg","2015.0","Export","2.0","0.16","30.23","0.01"
"Cape Verde","Morocco","2015.0","Export","14.0","1.13","2418.57","1.12"
"Cape Verde","Moldova","2015.0","Export","39.0","3.15","1357.64","0.63"
"Cape Verde","Middle East & North Africa","2015.0","Export","32.0","2.58","4404.12","2.05"
"Cape Verde","Mexico","2015.0","Export","","","",""
"Cape Verde","Mali","2015.0","Export","","","",""
"Cape Verde","Malta","2015.0","Export","","","",""
"Cape Verde","Mozambique","2015.0","Export","2.0","0.16","52.79","0.02"
"Cape Verde","Mauritania","2015.0","Export","","","",""
"Cape Verde","Mauritius","2015.0","Export","","","",""
"Cape Verde","Malaysia","2015.0","Export","1.0","0.08","783.52","0.36"
"Cape Verde","North America","2015.0","Export","41.0","3.31","1705.87","0.79"
"Cape Verde","Nigeria","2015.0","Export","1.0","0.08","13.2","0.01"
"Cape Verde","Netherlands","2015.0","Export","149.0","12.03","18030.17","8.38"
"Cape Verde","Norway","2015.0","Export","11.0","0.89","55.1","0.03"
"Cape Verde","New Zealand","2015.0","Export","","","",""
"Cape Verde","Other Asia, nes","2015.0","Export","1.0","0.08","0.51","0.0"
"Cape Verde","Oman","2015.0","Export","2.0","0.16","304.47","0.14"
"Cape Verde","Pakistan","2015.0","Export","","","",""
"Cape Verde","Panama","2015.0","Export","88.0","7.1","326.28","0.15"
"Cape Verde","Peru","2015.0","Export","1.0","0.08","0.51","0.0"
"Cape Verde","Philippines","2015.0","Export","","","",""
"Cape Verde","Poland","2015.0","Export","","","",""
"Cape Verde","Korea, Dem. Rep.","2015.0","Export","","","",""
"Cape Verde","Portugal","2015.0","Export","567.0","45.76","54543.94","25.34"
"Cape Verde","Paraguay","2015.0","Export","","","",""
"Cape Verde","Occ.Pal.Terr","2015.0","Export","","","",""
"Cape Verde","Qatar","2015.0","Export","","","",""
"Cape Verde","Romania","2015.0","Export","","","",""
"Cape Verde","Russian Federation","2015.0","Export","","","",""
"Cape Verde","South Asia","2015.0","Export","95.0","7.67","335.29","0.16"
"Cape Verde","Saudi Arabia","2015.0","Export","1.0","0.08","288.6","0.13"
"Cape Verde","Senegal","2015.0","Export","35.0","2.82","2848.23","1.32"
"Cape Verde","Singapore","2015.0","Export","","","",""
"Cape Verde","Sierra Leone","2015.0","Export","23.0","1.86","1485.22","0.69"
"Cape Verde","El Salvador","2015.0","Export","5.0","0.4","1709.59","0.79"
"Cape Verde","Sub-Saharan Africa","2015.0","Export","141.0","11.38","8552.07","3.97"
"Cape Verde","Sao Tome and Principe","2015.0","Export","4.0","0.32","29.07","0.01"
"Cape Verde","Slovak Republic","2015.0","Export","","","",""
"Cape Verde","Slovenia","2015.0","Export","","","",""
"Cape Verde","Sweden","2015.0","Export","","","",""
"Cape Verde","Turks and Caicos Isl.","2015.0","Export","","","",""
"Cape Verde","Togo","2015.0","Export","1.0","0.08","2529.23","1.18"
"Cape Verde","Thailand","2015.0","Export","1.0","0.08","17.18","0.01"
"Cape Verde","East Timor","2015.0","Export","","","",""
"Cape Verde","Tunisia","2015.0","Export","","","",""
"Cape Verde","Turkey","2015.0","Export","4.0","0.32","2445.46","1.14"
"Cape Verde","Tuvalu","2015.0","Export","","","",""
"Cape Verde","Uganda","2015.0","Export","","","",""
"Cape Verde","Ukraine","2015.0","Export","","","",""
"Cape Verde","Unspecified","2015.0","Export","817.0","65.94","60481.74","28.1"
"Cape Verde","Uruguay","2015.0","Export","","","",""
