"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Costa Rica","Aruba","2015.0","Export","96.0","3.24","21175.21","0.22"
"Costa Rica","Afghanistan","2015.0","Export","1.0","0.03","195.84","0.0"
"Costa Rica","Angola","2015.0","Export","","","",""
"Costa Rica","Anguila","2015.0","Export","2.0","0.07","22.73","0.0"
"Costa Rica","Albania","2015.0","Export","2.0","0.07","311.11","0.0"
"Costa Rica","Andorra","2015.0","Export","","","",""
"Costa Rica","United Arab Emirates","2015.0","Export","36.0","1.22","2601.87","0.03"
"Costa Rica","Argentina","2015.0","Export","211.0","7.13","9734.23","0.1"
"Costa Rica","Armenia","2015.0","Export","1.0","0.03","0.66","0.0"
"Costa Rica","American Samoa","2015.0","Export","","","",""
"Costa Rica","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Costa Rica","Antigua and Barbuda","2015.0","Export","52.0","1.76","404.42","0.0"
"Costa Rica","Australia","2015.0","Export","128.0","4.32","31182.52","0.33"
"Costa Rica","Austria","2015.0","Export","32.0","1.08","184.5","0.0"
"Costa Rica","Azerbaijan","2015.0","Export","","","",""
"Costa Rica","Belgium","2015.0","Export","220.0","7.43","430357.38","4.49"
"Costa Rica","Benin","2015.0","Export","","","",""
"Costa Rica","Burkina Faso","2015.0","Export","1.0","0.03","246.07","0.0"
"Costa Rica","Bangladesh","2015.0","Export","","","",""
"Costa Rica","Bulgaria","2015.0","Export","3.0","0.1","33.63","0.0"
"Costa Rica","Bahrain","2015.0","Export","6.0","0.2","38.33","0.0"
"Costa Rica","Bahamas, The","2015.0","Export","98.0","3.31","6819.03","0.07"
"Costa Rica","Bosnia and Herzegovina","2015.0","Export","","","",""
"Costa Rica","Belarus","2015.0","Export","2.0","0.07","1.61","0.0"
"Costa Rica","Belize","2015.0","Export","139.0","4.7","11770.73","0.12"
"Costa Rica","Bermuda","2015.0","Export","17.0","0.57","279.48","0.0"
"Costa Rica","Bolivia","2015.0","Export","43.0","1.45","1325.56","0.01"
"Costa Rica","Brazil","2015.0","Export","337.0","11.39","21075.55","0.22"
"Costa Rica","Barbados","2015.0","Export","108.0","3.65","7668.05","0.08"
"Costa Rica","Bunkers","2015.0","Export","3.0","0.1","96.96","0.0"
"Costa Rica","Botswana","2015.0","Export","1.0","0.03","187.8","0.0"
"Costa Rica","Central African Republic","2015.0","Export","","","",""
"Costa Rica","Canada","2015.0","Export","434.0","14.66","108632.92","1.13"
"Costa Rica","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Costa Rica","Switzerland","2015.0","Export","154.0","5.2","6447.25","0.07"
"Costa Rica","Chile","2015.0","Export","298.0","10.07","37441.47","0.39"
"Costa Rica","China","2015.0","Export","154.0","5.2","80174.77","0.84"
"Costa Rica","Cote d'Ivoire","2015.0","Export","12.0","0.41","182.34","0.0"
"Costa Rica","Cameroon","2015.0","Export","17.0","0.57","3918.99","0.04"
"Costa Rica","Congo, Rep.","2015.0","Export","","","",""
"Costa Rica","Cook Islands","2015.0","Export","","","",""
"Costa Rica","Colombia","2015.0","Export","625.0","21.11","71815.58","0.75"
"Costa Rica","Comoros","2015.0","Export","","","",""
"Costa Rica","Cape Verde","2015.0","Export","1.0","0.03","9.23","0.0"
"Costa Rica","Cuba","2015.0","Export","300.0","10.14","29281.75","0.31"
"Costa Rica","Curaçao","2015.0","Export","115.0","3.89","2193.13","0.02"
"Costa Rica","Christmas Island","2015.0","Export","","","",""
"Costa Rica","Cayman Islands","2015.0","Export","44.0","1.49","862.48","0.01"
"Costa Rica","Cyprus","2015.0","Export","1.0","0.03","47.23","0.0"
"Costa Rica","Czech Republic","2015.0","Export","9.0","0.3","60.67","0.0"
"Costa Rica","Germany","2015.0","Export","368.0","12.43","148191.46","1.55"
"Costa Rica","Dominica","2015.0","Export","22.0","0.74","1166.1","0.01"
"Costa Rica","Denmark","2015.0","Export","63.0","2.13","5941.2","0.06"
"Costa Rica","Dominican Republic","2015.0","Export","669.0","22.6","265836.36","2.78"
"Costa Rica","Algeria","2015.0","Export","2.0","0.07","92.34","0.0"
"Costa Rica","East Asia & Pacific","2015.0","Export","438.0","14.8","381677.45","3.98"
"Costa Rica","Europe & Central Asia","2015.0","Export","990.0","33.45","1888633.82","19.72"
"Costa Rica","Ecuador","2015.0","Export","363.0","12.26","43945.75","0.46"
"Costa Rica","Egypt, Arab Rep.","2015.0","Export","10.0","0.34","659.2","0.01"
"Costa Rica","Western Sahara","2015.0","Export","1.0","0.03","0.15","0.0"
"Costa Rica","Spain","2015.0","Export","497.0","16.79","127098.86","1.33"
"Costa Rica","Estonia","2015.0","Export","3.0","0.1","102.72","0.0"
"Costa Rica","Ethiopia(excludes Eritrea)","2015.0","Export","2.0","0.07","7.69","0.0"
"Costa Rica","Finland","2015.0","Export","19.0","0.64","26038.29","0.27"
"Costa Rica","Fiji","2015.0","Export","9.0","0.3","31.02","0.0"
"Costa Rica","France","2015.0","Export","189.0","6.39","119626.4","1.25"
"Costa Rica","Gabon","2015.0","Export","1.0","0.03","445.71","0.0"
"Costa Rica","United Kingdom","2015.0","Export","243.0","8.21","177502.2","1.85"
