"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Cyprus","Aruba","2015.0","Export","1.0","0.06","69.85","0.0"
"Cyprus","Afghanistan","2015.0","Export","2.0","0.11","39.49","0.0"
"Cyprus","Angola","2015.0","Export","17.0","0.96","1447.0","0.07"
"Cyprus","Albania","2015.0","Export","15.0","0.85","1334.36","0.07"
"Cyprus","Andorra","2015.0","Export","1.0","0.06","0.57","0.0"
"Cyprus","United Arab Emirates","2015.0","Export","280.0","15.89","45604.36","2.36"
"Cyprus","Argentina","2015.0","Export","6.0","0.34","180.77","0.01"
"Cyprus","Armenia","2015.0","Export","11.0","0.62","722.76","0.04"
"Cyprus","Antigua and Barbuda","2015.0","Export","3.0","0.17","311.13","0.02"
"Cyprus","Australia","2015.0","Export","182.0","10.33","15984.69","0.83"
"Cyprus","Austria","2015.0","Export","45.0","2.55","12521.49","0.65"
"Cyprus","Azerbaijan","2015.0","Export","28.0","1.59","1142.1","0.06"
"Cyprus","Burundi","2015.0","Export","1.0","0.06","401.37","0.02"
"Cyprus","Belgium","2015.0","Export","51.0","2.89","9642.19","0.5"
"Cyprus","Benin","2015.0","Export","1.0","0.06","54.43","0.0"
"Cyprus","Burkina Faso","2015.0","Export","10.0","0.57","15.03","0.0"
"Cyprus","Bangladesh","2015.0","Export","20.0","1.14","3353.56","0.17"
"Cyprus","Bulgaria","2015.0","Export","60.0","3.41","11538.2","0.6"
"Cyprus","Bahrain","2015.0","Export","64.0","3.63","3767.37","0.2"
"Cyprus","Bahamas, The","2015.0","Export","5.0","0.28","135.12","0.01"
"Cyprus","Bosnia and Herzegovina","2015.0","Export","4.0","0.23","1344.22","0.07"
"Cyprus","Saint Barthélemy","2015.0","Export","","","",""
"Cyprus","Belarus","2015.0","Export","7.0","0.4","716.6","0.04"
"Cyprus","Belize","2015.0","Export","1.0","0.06","2.17","0.0"
"Cyprus","Bermuda","2015.0","Export","1.0","0.06","0.13","0.0"
"Cyprus","Bolivia","2015.0","Export","2.0","0.11","4.54","0.0"
"Cyprus","Brazil","2015.0","Export","24.0","1.36","906.45","0.05"
"Cyprus","Barbados","2015.0","Export","8.0","0.45","391.31","0.02"
"Cyprus","Brunei","2015.0","Export","9.0","0.51","144.53","0.01"
"Cyprus","Bunkers","2015.0","Export","69.0","3.92","235064.41","12.17"
"Cyprus","Botswana","2015.0","Export","3.0","0.17","1595.28","0.08"
"Cyprus","Central African Republic","2015.0","Export","2.0","0.11","168.9","0.01"
"Cyprus","Canada","2015.0","Export","99.0","5.62","3022.78","0.16"
"Cyprus","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Cyprus","Switzerland","2015.0","Export","129.0","7.32","27099.52","1.4"
"Cyprus","Chile","2015.0","Export","11.0","0.62","537.89","0.03"
"Cyprus","China","2015.0","Export","159.0","9.02","43072.47","2.23"
"Cyprus","Cote d'Ivoire","2015.0","Export","7.0","0.4","409.93","0.02"
"Cyprus","Cameroon","2015.0","Export","22.0","1.25","1493.21","0.08"
"Cyprus","Congo, Rep.","2015.0","Export","8.0","0.45","88.38","0.0"
"Cyprus","Colombia","2015.0","Export","5.0","0.28","153.84","0.01"
"Cyprus","Comoros","2015.0","Export","1.0","0.06","31.08","0.0"
"Cyprus","Costa Rica","2015.0","Export","1.0","0.06","1.08","0.0"
"Cyprus","Cuba","2015.0","Export","","","",""
"Cyprus","Curaçao","2015.0","Export","13.0","0.74","368.12","0.02"
"Cyprus","Cayman Islands","2015.0","Export","1.0","0.06","1.11","0.0"
"Cyprus","Czech Republic","2015.0","Export","39.0","2.21","22702.51","1.18"
"Cyprus","Germany","2015.0","Export","194.0","11.01","33617.81","1.74"
"Cyprus","Djibouti","2015.0","Export","3.0","0.17","82.28","0.0"
"Cyprus","Dominica","2015.0","Export","2.0","0.11","40.85","0.0"
"Cyprus","Denmark","2015.0","Export","50.0","2.84","7177.02","0.37"
"Cyprus","Dominican Republic","2015.0","Export","5.0","0.28","51.82","0.0"
"Cyprus","Algeria","2015.0","Export","30.0","1.7","28415.45","1.47"
"Cyprus","East Asia & Pacific","2015.0","Export","455.0","25.82","140097.18","7.25"
"Cyprus","Europe & Central Asia","2015.0","Export","1231.0","69.86","917374.78","47.5"
"Cyprus","Ecuador","2015.0","Export","7.0","0.4","223.0","0.01"
"Cyprus","Egypt, Arab Rep.","2015.0","Export","233.0","13.22","76612.13","3.97"
"Cyprus","Eritrea","2015.0","Export","1.0","0.06","973.46","0.05"
"Cyprus","Spain","2015.0","Export","121.0","6.87","7147.07","0.37"
"Cyprus","Estonia","2015.0","Export","26.0","1.48","2886.95","0.15"
"Cyprus","Ethiopia(excludes Eritrea)","2015.0","Export","23.0","1.31","4200.21","0.22"
"Cyprus","Finland","2015.0","Export","38.0","2.16","3972.5","0.21"
"Cyprus","Fiji","2015.0","Export","3.0","0.17","33.74","0.0"
"Cyprus","Falkland Island","2015.0","Export","1.0","0.06","0.65","0.0"
"Cyprus","France","2015.0","Export","143.0","8.12","15130.12","0.78"
"Cyprus","Micronesia, Fed. Sts.","2015.0","Export","1.0","0.06","0.72","0.0"
"Cyprus","Gabon","2015.0","Export","7.0","0.4","37.6","0.0"
"Cyprus","United Kingdom","2015.0","Export","515.0","29.23","133790.07","6.93"
"Cyprus","Georgia","2015.0","Export","28.0","1.59","544.61","0.03"
"Cyprus","Ghana","2015.0","Export","31.0","1.76","635.16","0.03"
"Cyprus","Gibraltar","2015.0","Export","7.0","0.4","53.06","0.0"
"Cyprus","Guinea","2015.0","Export","14.0","0.79","248.19","0.01"
"Cyprus","Gambia, The","2015.0","Export","12.0","0.68","322.21","0.02"
"Cyprus","Guinea-Bissau","2015.0","Export","1.0","0.06","0.13","0.0"
"Cyprus","Equatorial Guinea","2015.0","Export","2.0","0.11","11.34","0.0"
"Cyprus","Greece","2015.0","Export","733.0","41.6","206617.33","10.7"
"Cyprus","Grenada","2015.0","Export","1.0","0.06","12.67","0.0"
"Cyprus","Greenland","2015.0","Export","1.0","0.06","108.42","0.01"
"Cyprus","Guatemala","2015.0","Export","","","",""
"Cyprus","Guyana","2015.0","Export","1.0","0.06","11.79","0.0"
"Cyprus","Hong Kong, China","2015.0","Export","174.0","9.88","16821.19","0.87"
"Cyprus","Honduras","2015.0","Export","3.0","0.17","1275.25","0.07"
"Cyprus","Croatia","2015.0","Export","37.0","2.1","2311.0","0.12"
"Cyprus","Haiti","2015.0","Export","9.0","0.51","58.13","0.0"
"Cyprus","Hungary","2015.0","Export","84.0","4.77","641.18","0.03"
"Cyprus","Indonesia","2015.0","Export","20.0","1.14","2922.48","0.15"
"Cyprus","India","2015.0","Export","66.0","3.75","13259.43","0.69"
"Cyprus","Ireland","2015.0","Export","47.0","2.67","179748.39","9.31"
"Cyprus","Iran, Islamic Rep.","2015.0","Export","75.0","4.26","4787.93","0.25"
"Cyprus","Iraq","2015.0","Export","54.0","3.06","7165.97","0.37"
"Cyprus","Iceland","2015.0","Export","6.0","0.34","138.84","0.01"
"Cyprus","Israel","2015.0","Export","216.0","12.26","112562.87","5.83"
"Cyprus","Italy","2015.0","Export","182.0","10.33","42848.11","2.22"
"Cyprus","Jamaica","2015.0","Export","2.0","0.11","47.67","0.0"
