"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Czech Republic","Aruba","2015.0","Export","16.0","0.36","242.43","0.0"
"Czech Republic","Afghanistan","2015.0","Export","87.0","1.98","6300.7","0.0"
"Czech Republic","Angola","2015.0","Export","180.0","4.1","80895.54","0.05"
"Czech Republic","Anguila","2015.0","Export","83.0","1.89","549.83","0.0"
"Czech Republic","Albania","2015.0","Export","455.0","10.36","32251.67","0.02"
"Czech Republic","Andorra","2015.0","Export","127.0","2.89","1670.58","0.0"
"Czech Republic","United Arab Emirates","2015.0","Export","1298.0","29.55","802625.95","0.51"
"Czech Republic","Argentina","2015.0","Export","491.0","11.18","88232.12","0.06"
"Czech Republic","Armenia","2015.0","Export","641.0","14.59","23205.13","0.01"
"Czech Republic","American Samoa","2015.0","Export","","","",""
"Czech Republic","Antarctica","2015.0","Export","27.0","0.61","42.77","0.0"
"Czech Republic","Fr. So. Ant. Tr","2015.0","Export","20.0","0.46","445.96","0.0"
"Czech Republic","Antigua and Barbuda","2015.0","Export","10.0","0.23","103.11","0.0"
"Czech Republic","Australia","2015.0","Export","1187.0","27.02","608207.92","0.39"
"Czech Republic","Austria","2015.0","Export","3088.0","70.29","6395531.62","4.07"
"Czech Republic","Azerbaijan","2015.0","Export","606.0","13.79","115319.85","0.07"
"Czech Republic","Burundi","2015.0","Export","3.0","0.07","124.72","0.0"
"Czech Republic","Belgium","2015.0","Export","2289.0","52.11","3608869.56","2.3"
"Czech Republic","Benin","2015.0","Export","86.0","1.96","1707.97","0.0"
"Czech Republic","Bonaire","2015.0","Export","","","",""
"Czech Republic","Burkina Faso","2015.0","Export","64.0","1.46","2268.75","0.0"
"Czech Republic","Bangladesh","2015.0","Export","280.0","6.37","47815.05","0.03"
"Czech Republic","Bulgaria","2015.0","Export","2195.0","49.97","822363.63","0.52"
