"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Germany","Aruba","2015.0","Export","541.0","12.27","10789.89","0.0"
"Germany","Afghanistan","2015.0","Export","833.0","18.89","89587.79","0.01"
"Germany","Angola","2015.0","Export","1123.0","25.46","373420.07","0.03"
"Germany","Anguila","2015.0","Export","27.0","0.61","4067.43","0.0"
"Germany","Albania","2015.0","Export","1791.0","40.61","225688.23","0.02"
"Germany","Andorra","2015.0","Export","830.0","18.82","37600.56","0.0"
"Germany","United Arab Emirates","2015.0","Export","3320.0","75.28","16304759.35","1.23"
"Germany","Argentina","2015.0","Export","2322.0","52.65","2968405.45","0.22"
"Germany","Armenia","2015.0","Export","1801.0","40.84","171042.09","0.01"
"Germany","American Samoa","2015.0","Export","22.0","0.5","80.56","0.0"
"Germany","Antarctica","2015.0","Export","25.0","0.57","2219.52","0.0"
"Germany","Fr. So. Ant. Tr","2015.0","Export","124.0","2.81","2127.47","0.0"
"Germany","Antigua and Barbuda","2015.0","Export","382.0","8.66","17395.03","0.0"
"Germany","Australia","2015.0","Export","3218.0","72.97","9378864.5","0.71"
"Germany","Austria","2015.0","Export","4240.0","96.15","64512479.33","4.86"
"Germany","Azerbaijan","2015.0","Export","2215.0","50.23","770365.78","0.06"
"Germany","Burundi","2015.0","Export","352.0","7.98","8124.31","0.0"
"Germany","Belgium","2015.0","Export","4121.0","93.45","45351172.87","3.41"
"Germany","Benin","2015.0","Export","779.0","17.66","75418.54","0.01"
"Germany","Bonaire","2015.0","Export","158.0","3.58","1668.04","0.0"
"Germany","Burkina Faso","2015.0","Export","670.0","15.19","52014.91","0.0"
"Germany","Bangladesh","2015.0","Export","1528.0","34.65","709807.24","0.05"
"Germany","Bulgaria","2015.0","Export","3559.0","80.7","3827926.04","0.29"
"Germany","Bahrain","2015.0","Export","1887.0","42.79","464159.65","0.03"
"Germany","Bahamas, The","2015.0","Export","545.0","12.36","45303.2","0.0"
"Germany","Bosnia and Herzegovina","2015.0","Export","2694.0","61.09","916485.69","0.07"
"Germany","Saint Barthélemy","2015.0","Export","97.0","2.2","811.25","0.0"
"Germany","Belarus","2015.0","Export","2655.0","60.2","1441868.82","0.11"
"Germany","Belize","2015.0","Export","271.0","6.15","15458.79","0.0"
