"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Denmark","Aruba","2015.0","Export","43.0","1.02","1269.63","0.0"
"Denmark","Afghanistan","2015.0","Export","147.0","3.49","12421.7","0.01"
"Denmark","Angola","2015.0","Export","239.0","5.67","11104.43","0.01"
"Denmark","Anguila","2015.0","Export","11.0","0.26","284.03","0.0"
"Denmark","Albania","2015.0","Export","427.0","10.14","4874.98","0.01"
"Denmark","Andorra","2015.0","Export","182.0","4.32","923.42","0.0"
"Denmark","United Arab Emirates","2015.0","Export","1441.0","34.21","461088.4","0.49"
"Denmark","Argentina","2015.0","Export","452.0","10.73","129516.79","0.14"
"Denmark","Armenia","2015.0","Export","425.0","10.09","6980.28","0.01"
"Denmark","American Samoa","2015.0","Export","2.0","0.05","2.99","0.0"
"Denmark","Antarctica","2015.0","Export","20.0","0.47","162.32","0.0"
"Denmark","Fr. So. Ant. Tr","2015.0","Export","26.0","0.62","377.69","0.0"
"Denmark","Antigua and Barbuda","2015.0","Export","29.0","0.69","2474.11","0.0"
"Denmark","Australia","2015.0","Export","1527.0","36.25","805169.56","0.85"
"Denmark","Austria","2015.0","Export","2233.0","53.02","571110.76","0.6"
"Denmark","Azerbaijan","2015.0","Export","552.0","13.11","19692.96","0.02"
"Denmark","Burundi","2015.0","Export","105.0","2.49","1903.7","0.0"
"Denmark","Belgium","2015.0","Export","2486.0","59.02","1245607.99","1.32"
"Denmark","Benin","2015.0","Export","82.0","1.95","2543.4","0.0"
"Denmark","Bonaire","2015.0","Export","3.0","0.07","11475.72","0.01"
"Denmark","Burkina Faso","2015.0","Export","168.0","3.99","3336.2","0.0"
"Denmark","Bangladesh","2015.0","Export","249.0","5.91","47565.04","0.05"
"Denmark","Bulgaria","2015.0","Export","1495.0","35.49","94224.96","0.1"
"Denmark","Bahrain","2015.0","Export","581.0","13.79","21506.76","0.02"
"Denmark","Bahamas, The","2015.0","Export","137.0","3.25","29540.6","0.03"
"Denmark","Bosnia and Herzegovina","2015.0","Export","550.0","13.06","14051.27","0.01"
"Denmark","Saint Barthélemy","2015.0","Export","16.0","0.38","176.16","0.0"
"Denmark","Belarus","2015.0","Export","733.0","17.4","41533.99","0.04"
"Denmark","Belize","2015.0","Export","31.0","0.74","3130.61","0.0"
"Denmark","Bermuda","2015.0","Export","49.0","1.16","3293.85","0.0"
"Denmark","Bolivia","2015.0","Export","163.0","3.87","7990.57","0.01"
"Denmark","Brazil","2015.0","Export","1120.0","26.59","493441.04","0.52"
"Denmark","Barbados","2015.0","Export","57.0","1.35","4154.57","0.0"
"Denmark","Brunei","2015.0","Export","80.0","1.9","1866.81","0.0"
"Denmark","Bhutan","2015.0","Export","31.0","0.74","447.7","0.0"
"Denmark","Botswana","2015.0","Export","34.0","0.81","297.51","0.0"
"Denmark","Central African Republic","2015.0","Export","84.0","1.99","4426.6","0.0"
"Denmark","Canada","2015.0","Export","1564.0","37.13","458896.03","0.48"
"Denmark","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Denmark","Switzerland","2015.0","Export","2259.0","53.63","792046.68","0.84"
"Denmark","Chile","2015.0","Export","988.0","23.46","160472.45","0.17"
"Denmark","China","2015.0","Export","1810.0","42.97","3239729.6","3.42"
"Denmark","Cote d'Ivoire","2015.0","Export","361.0","8.57","8920.9","0.01"
"Denmark","Cameroon","2015.0","Export","184.0","4.37","6938.56","0.01"
"Denmark","Congo, Rep.","2015.0","Export","177.0","4.2","21603.94","0.02"
"Denmark","Cook Islands","2015.0","Export","2.0","0.05","96.73","0.0"
"Denmark","Colombia","2015.0","Export","675.0","16.03","111481.58","0.12"
"Denmark","Comoros","2015.0","Export","10.0","0.24","248.45","0.0"
"Denmark","Cape Verde","2015.0","Export","91.0","2.16","2228.45","0.0"
"Denmark","Costa Rica","2015.0","Export","331.0","7.86","16964.08","0.02"
"Denmark","Cuba","2015.0","Export","402.0","9.54","10278.47","0.01"
"Denmark","Curaçao","2015.0","Export","109.0","2.59","3719.37","0.0"
"Denmark","Cayman Islands","2015.0","Export","17.0","0.4","4748.24","0.01"
"Denmark","Cyprus","2015.0","Export","1235.0","29.32","56233.85","0.06"
"Denmark","Czech Republic","2015.0","Export","2142.0","50.85","591220.21","0.62"
"Denmark","Germany","2015.0","Export","3347.0","79.46","15591593.04","16.48"
"Denmark","Djibouti","2015.0","Export","123.0","2.92","6694.04","0.01"
"Denmark","Dominica","2015.0","Export","34.0","0.81","1014.73","0.0"
"Denmark","Dominican Republic","2015.0","Export","223.0","5.29","67460.27","0.07"
"Denmark","Algeria","2015.0","Export","461.0","10.94","81500.51","0.09"
"Denmark","East Asia & Pacific","2015.0","Export","2722.0","64.62","9255837.46","9.78"
"Denmark","Europe & Central Asia","2015.0","Export","4165.0","98.88","62447579.94","66.0"
"Denmark","Ecuador","2015.0","Export","280.0","6.65","20846.89","0.02"
"Denmark","Egypt, Arab Rep.","2015.0","Export","969.0","23.01","251251.66","0.27"
"Denmark","Eritrea","2015.0","Export","58.0","1.38","1804.02","0.0"
"Denmark","Western Sahara","2015.0","Export","1.0","0.02","32.13","0.0"
"Denmark","Spain","2015.0","Export","2592.0","61.54","1691598.87","1.79"
"Denmark","Estonia","2015.0","Export","2090.0","49.62","240699.44","0.25"
"Denmark","Ethiopia(excludes Eritrea)","2015.0","Export","365.0","8.67","21770.52","0.02"
"Denmark","Finland","2015.0","Export","2874.0","68.23","2281765.67","2.41"
"Denmark","Fiji","2015.0","Export","28.0","0.66","1167.69","0.0"
"Denmark","Falkland Island","2015.0","Export","29.0","0.69","27.77","0.0"
"Denmark","France","2015.0","Export","2684.0","63.72","2696622.09","2.85"
"Denmark","Faeroe Islands","2015.0","Export","2759.0","65.5","435606.35","0.46"
"Denmark","Micronesia, Fed. Sts.","2015.0","Export","3.0","0.07","30.23","0.0"
"Denmark","Gabon","2015.0","Export","133.0","3.16","6365.01","0.01"
"Denmark","United Kingdom","2015.0","Export","2779.0","65.98","5480605.34","5.79"
"Denmark","Georgia","2015.0","Export","392.0","9.31","9226.3","0.01"
"Denmark","Ghana","2015.0","Export","567.0","13.46","29134.63","0.03"
"Denmark","Gibraltar","2015.0","Export","326.0","7.74","25699.94","0.03"
"Denmark","Guinea","2015.0","Export","124.0","2.94","10176.58","0.01"
"Denmark","Gambia, The","2015.0","Export","157.0","3.73","3427.04","0.0"
"Denmark","Guinea-Bissau","2015.0","Export","46.0","1.09","481.89","0.0"
"Denmark","Equatorial Guinea","2015.0","Export","47.0","1.12","1772.63","0.0"
"Denmark","Greece","2015.0","Export","1982.0","47.06","348849.03","0.37"
"Denmark","Grenada","2015.0","Export","22.0","0.52","1093.06","0.0"
"Denmark","Greenland","2015.0","Export","2678.0","63.58","456320.63","0.48"
"Denmark","Guatemala","2015.0","Export","292.0","6.93","12140.42","0.01"
"Denmark","Guam","2015.0","Export","33.0","0.78","5030.96","0.01"
"Denmark","Guyana","2015.0","Export","82.0","1.95","3880.14","0.0"
"Denmark","Hong Kong, China","2015.0","Export","1293.0","30.7","1253723.49","1.33"
"Denmark","Honduras","2015.0","Export","108.0","2.56","11197.92","0.01"
"Denmark","Croatia","2015.0","Export","1072.0","25.45","81125.61","0.09"
"Denmark","Haiti","2015.0","Export","64.0","1.52","1187.15","0.0"
"Denmark","Hungary","2015.0","Export","1840.0","43.68","512262.91","0.54"
"Denmark","Indonesia","2015.0","Export","626.0","14.86","129388.38","0.14"
"Denmark","India","2015.0","Export","1253.0","29.75","300718.89","0.32"
"Denmark","British Indian Ocean Ter.","2015.0","Export","3.0","0.07","38.28","0.0"
"Denmark","Ireland","2015.0","Export","2062.0","48.96","669233.3","0.71"
"Denmark","Iran, Islamic Rep.","2015.0","Export","640.0","15.19","75928.18","0.08"
"Denmark","Iraq","2015.0","Export","236.0","5.6","56318.13","0.06"
"Denmark","Iceland","2015.0","Export","2360.0","56.03","439135.53","0.46"
"Denmark","Israel","2015.0","Export","1003.0","23.81","151137.85","0.16"
"Denmark","Italy","2015.0","Export","2543.0","60.38","2102615.77","2.22"
"Denmark","Jamaica","2015.0","Export","169.0","4.01","3824.5","0.0"
"Denmark","Jordan","2015.0","Export","607.0","14.41","63648.25","0.07"
"Denmark","Japan","2015.0","Export","1515.0","35.97","1384618.75","1.46"
"Denmark","Kazakhstan","2015.0","Export","727.0","17.26","33631.69","0.04"
"Denmark","Kenya","2015.0","Export","566.0","13.44","29871.4","0.03"
"Denmark","Kyrgyz Republic","2015.0","Export","203.0","4.82","7360.37","0.01"
"Denmark","Cambodia","2015.0","Export","100.0","2.37","33897.39","0.04"
"Denmark","Kiribati","2015.0","Export","16.0","0.38","978.29","0.0"
"Denmark","St. Kitts and Nevis","2015.0","Export","64.0","1.52","1065.96","0.0"
"Denmark","Korea, Rep.","2015.0","Export","1474.0","35.0","894342.94","0.95"
"Denmark","Kuwait","2015.0","Export","692.0","16.43","61689.36","0.07"
"Denmark","Lao PDR","2015.0","Export","31.0","0.74","565.41","0.0"
"Denmark","Lebanon","2015.0","Export","920.0","21.84","125865.41","0.13"
"Denmark","Liberia","2015.0","Export","171.0","4.06","83875.5","0.09"
"Denmark","Libya","2015.0","Export","181.0","4.3","34813.06","0.04"
"Denmark","St. Lucia","2015.0","Export","24.0","0.57","613.34","0.0"
"Denmark","Latin America & Caribbean","2015.0","Export","1921.0","45.61","1862531.95","1.97"
"Denmark","Sri Lanka","2015.0","Export","471.0","11.18","27213.81","0.03"
"Denmark","Lesotho","2015.0","Export","8.0","0.19","140.07","0.0"
"Denmark","Lithuania","2015.0","Export","2166.0","51.42","395882.1","0.42"
"Denmark","Luxembourg","2015.0","Export","1385.0","32.88","45859.79","0.05"
"Denmark","Latvia","2015.0","Export","2187.0","51.92","277808.46","0.29"
"Denmark","Macao","2015.0","Export","78.0","1.85","2380.92","0.0"
"Denmark","Morocco","2015.0","Export","727.0","17.26","57297.91","0.06"
"Denmark","Moldova","2015.0","Export","389.0","9.24","12634.35","0.01"
"Denmark","Madagascar","2015.0","Export","104.0","2.47","2548.6","0.0"
"Denmark","Maldives","2015.0","Export","116.0","2.75","5480.67","0.01"
"Denmark","Middle East & North Africa","2015.0","Export","2351.0","55.82","2466551.24","2.61"
"Denmark","Mexico","2015.0","Export","960.0","22.79","443689.29","0.47"
"Denmark","Marshall Islands","2015.0","Export","14.0","0.33","50531.68","0.05"
"Denmark","Macedonia, FYR","2015.0","Export","630.0","14.96","11408.47","0.01"
"Denmark","Mali","2015.0","Export","255.0","6.05","5615.78","0.01"
"Denmark","Malta","2015.0","Export","1045.0","24.81","58357.72","0.06"
"Denmark","Myanmar","2015.0","Export","119.0","2.83","8035.43","0.01"
"Denmark","Mongolia","2015.0","Export","199.0","4.72","3876.29","0.0"
"Denmark","Montenegro","2015.0","Export","320.0","7.6","1778.73","0.0"
"Denmark","Mozambique","2015.0","Export","112.0","2.66","3182.99","0.0"
"Denmark","Mauritania","2015.0","Export","269.0","6.39","1845.39","0.0"
"Denmark","Montserrat","2015.0","Export","","","",""
"Denmark","Mauritius","2015.0","Export","307.0","7.29","10581.04","0.01"
"Denmark","Malawi","2015.0","Export","105.0","2.49","4359.95","0.0"
"Denmark","Malaysia","2015.0","Export","883.0","20.96","182901.45","0.19"
"Denmark","North America","2015.0","Export","2437.0","57.86","5680753.39","6.0"
"Denmark","Namibia","2015.0","Export","251.0","5.96","13703.39","0.01"
"Denmark","New Caledonia","2015.0","Export","155.0","3.68","5963.51","0.01"
"Denmark","Niger","2015.0","Export","52.0","1.23","2824.45","0.0"
"Denmark","Nigeria","2015.0","Export","559.0","13.27","150279.58","0.16"
"Denmark","Nicaragua","2015.0","Export","154.0","3.66","2826.31","0.0"
"Denmark","Niue","2015.0","Export","","","",""
"Denmark","Netherlands","2015.0","Export","2828.0","67.14","3691765.32","3.9"
"Denmark","Norway","2015.0","Export","3641.0","86.44","6000694.21","6.34"
"Denmark","Nepal","2015.0","Export","96.0","2.28","2422.99","0.0"
"Denmark","Nauru","2015.0","Export","2.0","0.05","11.6","0.0"
"Denmark","New Zealand","2015.0","Export","1064.0","25.26","109402.5","0.12"
"Denmark","Other Asia, nes","2015.0","Export","995.0","23.62","269622.81","0.28"
"Denmark","Oman","2015.0","Export","525.0","12.46","116052.67","0.12"
"Denmark","Pakistan","2015.0","Export","530.0","12.58","62203.02","0.07"
"Denmark","Panama","2015.0","Export","474.0","11.25","58185.0","0.06"
"Denmark","Pitcairn","2015.0","Export","3.0","0.07","18.37","0.0"
"Denmark","Peru","2015.0","Export","769.0","18.26","66235.08","0.07"
"Denmark","Philippines","2015.0","Export","802.0","19.04","103948.36","0.11"
"Denmark","Palau","2015.0","Export","1.0","0.02","1.52","0.0"
"Denmark","Papua New Guinea","2015.0","Export","75.0","1.78","9824.56","0.01"
"Denmark","Poland","2015.0","Export","2731.0","64.84","2553270.81","2.7"
"Denmark","Korea, Dem. Rep.","2015.0","Export","244.0","5.79","344.51","0.0"
"Denmark","Portugal","2015.0","Export","1890.0","44.87","215798.34","0.23"
"Denmark","Paraguay","2015.0","Export","170.0","4.04","5353.29","0.01"
"Denmark","Occ.Pal.Terr","2015.0","Export","15.0","0.36","3551.24","0.0"
"Denmark","French Polynesia","2015.0","Export","95.0","2.26","3135.78","0.0"
"Denmark","Qatar","2015.0","Export","832.0","19.75","108811.64","0.12"
"Denmark","Romania","2015.0","Export","1864.0","44.25","218359.49","0.23"
"Denmark","Russian Federation","2015.0","Export","1558.0","36.99","761714.26","0.81"
"Denmark","Rwanda","2015.0","Export","154.0","3.66","2805.84","0.0"
"Denmark","South Asia","2015.0","Export","1527.0","36.25","458473.82","0.48"
"Denmark","Saudi Arabia","2015.0","Export","976.0","23.17","660021.06","0.7"
"Denmark","Senegal","2015.0","Export","336.0","7.98","7703.96","0.01"
"Denmark","Serbia, FR(Serbia/Montenegro)","2015.0","Export","1184.0","28.11","118577.29","0.13"
"Denmark","Singapore","2015.0","Export","1373.0","32.6","440736.53","0.47"
"Denmark","Saint Helena","2015.0","Export","3.0","0.07","18.74","0.0"
"Denmark","Solomon Islands","2015.0","Export","26.0","0.62","375.57","0.0"
"Denmark","Sierra Leone","2015.0","Export","123.0","2.92","4010.92","0.0"
"Denmark","El Salvador","2015.0","Export","211.0","5.01","11682.69","0.01"
"Denmark","San Marino","2015.0","Export","48.0","1.14","2610.86","0.0"
"Denmark","Somalia","2015.0","Export","49.0","1.16","2980.63","0.0"
"Denmark","Special Categories","2015.0","Export","21.0","0.5","10496460.79","11.09"
"Denmark","Saint Pierre and Miquelon","2015.0","Export","6.0","0.14","17.06","0.0"
"Denmark","South Sudan","2015.0","Export","37.0","0.88","3016.54","0.0"
"Denmark","Sub-Saharan Africa","2015.0","Export","1864.0","44.25","896586.78","0.95"
"Denmark","Sao Tome and Principe","2015.0","Export","12.0","0.28","309.97","0.0"
"Denmark","Sudan","2015.0","Export","195.0","4.63","9623.54","0.01"
"Denmark","Suriname","2015.0","Export","60.0","1.42","1748.65","0.0"
"Denmark","Slovak Republic","2015.0","Export","1816.0","43.11","241206.73","0.25"
"Denmark","Slovenia","2015.0","Export","1628.0","38.65","81771.2","0.09"
"Denmark","Sweden","2015.0","Export","3532.0","83.86","10436203.83","11.03"
"Denmark","Swaziland","2015.0","Export","24.0","0.57","372.65","0.0"
"Denmark","Saint Maarten (Dutch part)","2015.0","Export","98.0","2.33","1069.51","0.0"
"Denmark","Seychelles","2015.0","Export","147.0","3.49","3475.32","0.0"
"Denmark","Syrian Arab Republic","2015.0","Export","90.0","2.14","11827.59","0.01"
"Denmark","Turks and Caicos Isl.","2015.0","Export","3.0","0.07","13.71","0.0"
"Denmark","Chad","2015.0","Export","82.0","1.95","1568.17","0.0"
"Denmark","Togo","2015.0","Export","176.0","4.18","17218.89","0.02"
"Denmark","Thailand","2015.0","Export","1099.0","26.09","211827.06","0.22"
"Denmark","Tajikistan","2015.0","Export","211.0","5.01","1058.03","0.0"
"Denmark","Tokelau","2015.0","Export","3.0","0.07","8.01","0.0"
"Denmark","Turkmenistan","2015.0","Export","244.0","5.79","8647.74","0.01"
"Denmark","East Timor","2015.0","Export","16.0","0.38","150.43","0.0"
"Denmark","Tonga","2015.0","Export","10.0","0.24","165.61","0.0"
"Denmark","Trinidad and Tobago","2015.0","Export","156.0","3.7","6787.95","0.01"
"Denmark","Tunisia","2015.0","Export","301.0","7.15","12470.76","0.01"
"Denmark","Turkey","2015.0","Export","1650.0","39.17","652248.26","0.69"
"Denmark","Tuvalu","2015.0","Export","2.0","0.05","228.97","0.0"
"Denmark","Tanzania","2015.0","Export","463.0","10.99","8981.27","0.01"
"Denmark","Uganda","2015.0","Export","283.0","6.72","17908.84","0.02"
"Denmark","Ukraine","2015.0","Export","1375.0","32.64","161315.17","0.17"
"Denmark","United States Minor Outlying I","2015.0","Export","1.0","0.02","1.05","0.0"
"Denmark","Unspecified","2015.0","Export","157.0","3.73","700163.17","0.74"
"Denmark","Uruguay","2015.0","Export","729.0","17.31","125942.22","0.13"
"Denmark","United States","2015.0","Export","2320.0","55.08","5218563.5","5.52"
"Denmark","Uzbekistan","2015.0","Export","446.0","10.59","40213.23","0.04"
"Denmark","St. Vincent and the Grenadines","2015.0","Export","20.0","0.47","2056.71","0.0"
"Denmark","Venezuela","2015.0","Export","319.0","7.57","37154.43","0.04"
"Denmark","British Virgin Islands","2015.0","Export","28.0","0.66","28915.6","0.03"
"Denmark","Vietnam","2015.0","Export","892.0","21.18","371250.29","0.39"
"Denmark","Vanuatu","2015.0","Export","6.0","0.14","226.4","0.0"
"Denmark"," World","2015.0","Export","4212.0","100.0","94618816.68","100.0"
"Denmark","Samoa","2015.0","Export","4.0","0.1","17.59","0.0"
"Denmark","Yemen","2015.0","Export","75.0","1.78","50270.27","0.05"
"Denmark","South Africa","2015.0","Export","1246.0","29.58","362319.49","0.38"
"Denmark","Congo, Dem. Rep.","2015.0","Export","99.0","2.35","6738.13","0.01"
"Denmark","Zambia","2015.0","Export","189.0","4.49","3777.45","0.0"
"Denmark","Zimbabwe","2015.0","Export","177.0","4.2","6086.16","0.01"
