"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Dominican Republic","Aruba","2015.0","Export","285.0","9.99","6278.14","0.07"
"Dominican Republic","Afghanistan","2015.0","Export","","","",""
"Dominican Republic","Angola","2015.0","Export","1.0","0.04","4.5","0.0"
"Dominican Republic","Anguila","2015.0","Export","121.0","4.24","1252.7","0.01"
"Dominican Republic","Albania","2015.0","Export","2.0","0.07","91.27","0.0"
"Dominican Republic","Andorra","2015.0","Export","2.0","0.07","30.21","0.0"
"Dominican Republic","United Arab Emirates","2015.0","Export","28.0","0.98","11974.56","0.14"
"Dominican Republic","Argentina","2015.0","Export","39.0","1.37","1383.7","0.02"
"Dominican Republic","Armenia","2015.0","Export","1.0","0.04","27.13","0.0"
"Dominican Republic","American Samoa","2015.0","Export","","","",""
"Dominican Republic","Antarctica","2015.0","Export","","","",""
"Dominican Republic","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Dominican Republic","Antigua and Barbuda","2015.0","Export","135.0","4.73","4425.81","0.05"
"Dominican Republic","Australia","2015.0","Export","22.0","0.77","4585.94","0.05"
"Dominican Republic","Austria","2015.0","Export","16.0","0.56","315.67","0.0"
"Dominican Republic","Burundi","2015.0","Export","","","",""
"Dominican Republic","Belgium","2015.0","Export","94.0","3.29","70318.26","0.84"
"Dominican Republic","Benin","2015.0","Export","1.0","0.04","1.2","0.0"
"Dominican Republic","Bangladesh","2015.0","Export","21.0","0.74","4099.6","0.05"
"Dominican Republic","Bulgaria","2015.0","Export","5.0","0.18","422.96","0.01"
"Dominican Republic","Bahrain","2015.0","Export","1.0","0.04","124.2","0.0"
"Dominican Republic","Bahamas, The","2015.0","Export","208.0","7.29","9782.4","0.12"
"Dominican Republic","Bosnia and Herzegovina","2015.0","Export","","","",""
"Dominican Republic","Belarus","2015.0","Export","1.0","0.04","14.89","0.0"
"Dominican Republic","Belize","2015.0","Export","18.0","0.63","669.79","0.01"
"Dominican Republic","Bermuda","2015.0","Export","14.0","0.49","1412.3","0.02"
"Dominican Republic","Bolivia","2015.0","Export","7.0","0.25","867.08","0.01"
"Dominican Republic","Brazil","2015.0","Export","86.0","3.01","6978.3","0.08"
"Dominican Republic","Barbados","2015.0","Export","106.0","3.71","7915.85","0.09"
"Dominican Republic","Brunei","2015.0","Export","","","",""
"Dominican Republic","Bhutan","2015.0","Export","2.0","0.07","89.13","0.0"
"Dominican Republic","Bouvet Island","2015.0","Export","","","",""
"Dominican Republic","Botswana","2015.0","Export","","","",""
"Dominican Republic","Central African Republic","2015.0","Export","10.0","0.35","5.34","0.0"
"Dominican Republic","Canada","2015.0","Export","312.0","10.93","700688.51","8.36"
"Dominican Republic","Switzerland","2015.0","Export","118.0","4.13","69435.15","0.83"
"Dominican Republic","Chile","2015.0","Export","79.0","2.77","14326.42","0.17"
"Dominican Republic","China","2015.0","Export","208.0","7.29","122753.46","1.46"
"Dominican Republic","Cote d'Ivoire","2015.0","Export","","","",""
"Dominican Republic","Cameroon","2015.0","Export","3.0","0.11","0.01","0.0"
"Dominican Republic","Cook Islands","2015.0","Export","30.0","1.05","18.32","0.0"
"Dominican Republic","Colombia","2015.0","Export","213.0","7.46","41819.48","0.5"
"Dominican Republic","Comoros","2015.0","Export","","","",""
"Dominican Republic","Cape Verde","2015.0","Export","","","",""
"Dominican Republic","Costa Rica","2015.0","Export","175.0","6.13","33043.57","0.39"
"Dominican Republic","Cuba","2015.0","Export","527.0","18.47","52405.05","0.63"
"Dominican Republic","Curaçao","2015.0","Export","400.0","14.02","16759.42","0.2"
"Dominican Republic","Cayman Islands","2015.0","Export","27.0","0.95","3018.44","0.04"
"Dominican Republic","Cyprus","2015.0","Export","11.0","0.39","342.81","0.0"
"Dominican Republic","Czech Republic","2015.0","Export","4.0","0.14","900.9","0.01"
"Dominican Republic","Germany","2015.0","Export","349.0","12.23","101004.23","1.2"
"Dominican Republic","Djibouti","2015.0","Export","","","",""
"Dominican Republic","Dominica","2015.0","Export","82.0","2.87","2711.07","0.03"
"Dominican Republic","Denmark","2015.0","Export","25.0","0.88","9823.08","0.12"
"Dominican Republic","Algeria","2015.0","Export","","","",""
"Dominican Republic","East Asia & Pacific","2015.0","Export","398.0","13.95","216367.8","2.58"
"Dominican Republic","Europe & Central Asia","2015.0","Export","1165.0","40.82","780317.58","9.31"
"Dominican Republic","Ecuador","2015.0","Export","55.0","1.93","10569.29","0.13"
"Dominican Republic","Egypt, Arab Rep.","2015.0","Export","8.0","0.28","11.38","0.0"
"Dominican Republic","Eritrea","2015.0","Export","","","",""
"Dominican Republic","Western Sahara","2015.0","Export","","","",""
"Dominican Republic","Spain","2015.0","Export","523.0","18.33","84524.75","1.01"
"Dominican Republic","Estonia","2015.0","Export","4.0","0.14","432.71","0.01"
"Dominican Republic","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.04","719.58","0.01"
"Dominican Republic","Finland","2015.0","Export","21.0","0.74","87.54","0.0"
"Dominican Republic","Fiji","2015.0","Export","1.0","0.04","26.75","0.0"
"Dominican Republic","France","2015.0","Export","644.0","22.56","39809.11","0.47"
"Dominican Republic","Faeroe Islands","2015.0","Export","1.0","0.04","0.52","0.0"
"Dominican Republic","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Dominican Republic","Gabon","2015.0","Export","1.0","0.04","44.87","0.0"
"Dominican Republic","United Kingdom","2015.0","Export","181.0","6.34","127022.41","1.51"
"Dominican Republic","Georgia","2015.0","Export","","","",""
"Dominican Republic","Ghana","2015.0","Export","8.0","0.28","96.8","0.0"
"Dominican Republic","Gibraltar","2015.0","Export","3.0","0.11","128.23","0.0"
"Dominican Republic","Guinea","2015.0","Export","1.0","0.04","29.48","0.0"
"Dominican Republic","Gambia, The","2015.0","Export","","","",""
"Dominican Republic","Equatorial Guinea","2015.0","Export","3.0","0.11","18.11","0.0"
"Dominican Republic","Greece","2015.0","Export","23.0","0.81","840.36","0.01"
"Dominican Republic","Grenada","2015.0","Export","80.0","2.8","2437.7","0.03"
"Dominican Republic","Greenland","2015.0","Export","","","",""
"Dominican Republic","Guatemala","2015.0","Export","194.0","6.8","26318.12","0.31"
"Dominican Republic","Guam","2015.0","Export","1.0","0.04","7.83","0.0"
"Dominican Republic","Guyana","2015.0","Export","134.0","4.7","13711.33","0.16"
"Dominican Republic","Hong Kong, China","2015.0","Export","90.0","3.15","23355.38","0.28"
"Dominican Republic","Honduras","2015.0","Export","203.0","7.11","24780.01","0.3"
"Dominican Republic","Croatia","2015.0","Export","3.0","0.11","196.57","0.0"
"Dominican Republic","Haiti","2015.0","Export","1811.0","63.45","1012159.24","12.07"
"Dominican Republic","Hungary","2015.0","Export","2.0","0.07","338.85","0.0"
"Dominican Republic","Indonesia","2015.0","Export","14.0","0.49","920.37","0.01"
"Dominican Republic","India","2015.0","Export","32.0","1.12","565860.79","6.75"
"Dominican Republic","Ireland","2015.0","Export","18.0","0.63","3276.48","0.04"
"Dominican Republic","Iran, Islamic Rep.","2015.0","Export","2.0","0.07","7.15","0.0"
"Dominican Republic","Iraq","2015.0","Export","2.0","0.07","61.54","0.0"
"Dominican Republic","Iceland","2015.0","Export","6.0","0.21","50.56","0.0"
"Dominican Republic","Israel","2015.0","Export","35.0","1.23","3737.68","0.04"
"Dominican Republic","Italy","2015.0","Export","215.0","7.53","28141.35","0.34"
"Dominican Republic","Jamaica","2015.0","Export","465.0","16.29","56110.01","0.67"
"Dominican Republic","Jordan","2015.0","Export","1.0","0.04","0.02","0.0"
"Dominican Republic","Japan","2015.0","Export","39.0","1.37","15220.64","0.18"
"Dominican Republic","Kazakhstan","2015.0","Export","","","",""
"Dominican Republic","Kenya","2015.0","Export","30.0","1.05","301.42","0.0"
"Dominican Republic","Kyrgyz Republic","2015.0","Export","","","",""
"Dominican Republic","Cambodia","2015.0","Export","3.0","0.11","167.7","0.0"
"Dominican Republic","Kiribati","2015.0","Export","","","",""
"Dominican Republic","St. Kitts and Nevis","2015.0","Export","52.0","1.82","1499.58","0.02"
"Dominican Republic","Korea, Rep.","2015.0","Export","74.0","2.59","19681.81","0.23"
"Dominican Republic","Kuwait","2015.0","Export","1.0","0.04","27.89","0.0"
"Dominican Republic","Lao PDR","2015.0","Export","1.0","0.04","1.15","0.0"
"Dominican Republic","Lebanon","2015.0","Export","5.0","0.18","1035.83","0.01"
"Dominican Republic","Liberia","2015.0","Export","29.0","1.02","171.76","0.0"
"Dominican Republic","Libya","2015.0","Export","1.0","0.04","0.75","0.0"
"Dominican Republic","St. Lucia","2015.0","Export","91.0","3.19","5708.37","0.07"
"Dominican Republic","Latin America & Caribbean","2015.0","Export","2278.0","79.82","1552045.0","18.51"
"Dominican Republic","Sri Lanka","2015.0","Export","5.0","0.18","203.32","0.0"
"Dominican Republic","Lesotho","2015.0","Export","","","",""
"Dominican Republic","Lithuania","2015.0","Export","2.0","0.07","11.44","0.0"
"Dominican Republic","Luxembourg","2015.0","Export","1.0","0.04","1.72","0.0"
"Dominican Republic","Latvia","2015.0","Export","2.0","0.07","114.41","0.0"
"Dominican Republic","Macao","2015.0","Export","","","",""
"Dominican Republic","Morocco","2015.0","Export","","","",""
"Dominican Republic","Moldova","2015.0","Export","","","",""
"Dominican Republic","Madagascar","2015.0","Export","2.0","0.07","2.0","0.0"
"Dominican Republic","Maldives","2015.0","Export","4.0","0.14","0.53","0.0"
"Dominican Republic","Middle East & North Africa","2015.0","Export","204.0","7.15","20952.92","0.25"
"Dominican Republic","Mexico","2015.0","Export","346.0","12.12","39536.6","0.47"
"Dominican Republic","Marshall Islands","2015.0","Export","68.0","2.38","29.34","0.0"
"Dominican Republic","Macedonia, FYR","2015.0","Export","1.0","0.04","2.67","0.0"
"Dominican Republic","Mali","2015.0","Export","3.0","0.11","42.65","0.0"
"Dominican Republic","Malta","2015.0","Export","129.0","4.52","2090.33","0.02"
