"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Algeria","Afghanistan","2015.0","Export","","","",""
"Algeria","Angola","2015.0","Export","7.0","0.79","938.93","0.0"
"Algeria","Albania","2015.0","Export","2.0","0.23","10652.86","0.03"
"Algeria","Andorra","2015.0","Export","","","",""
"Algeria","United Arab Emirates","2015.0","Export","97.0","10.96","5913.81","0.02"
"Algeria","Argentina","2015.0","Export","","","",""
"Algeria","Armenia","2015.0","Export","1.0","0.11","0.08","0.0"
"Algeria","Antigua and Barbuda","2015.0","Export","1.0","0.11","27.26","0.0"
"Algeria","Australia","2015.0","Export","2.0","0.23","2185.5","0.01"
"Algeria","Austria","2015.0","Export","6.0","0.68","126.35","0.0"
"Algeria","Azerbaijan","2015.0","Export","","","",""
"Algeria","Burundi","2015.0","Export","1.0","0.11","0.32","0.0"
"Algeria","Belgium","2015.0","Export","102.0","11.53","999490.19","2.87"
"Algeria","Benin","2015.0","Export","49.0","5.54","1114.98","0.0"
"Algeria","Burkina Faso","2015.0","Export","13.0","1.47","172.15","0.0"
"Algeria","Bangladesh","2015.0","Export","3.0","0.34","601.15","0.0"
"Algeria","Bulgaria","2015.0","Export","4.0","0.45","6514.31","0.02"
"Algeria","Bahrain","2015.0","Export","7.0","0.79","4.98","0.0"
"Algeria","Bahamas, The","2015.0","Export","2.0","0.23","22624.72","0.07"
"Algeria","Bosnia and Herzegovina","2015.0","Export","1.0","0.11","0.08","0.0"
"Algeria","Belarus","2015.0","Export","1.0","0.11","0.16","0.0"
"Algeria","Belize","2015.0","Export","","","",""
"Algeria","Bermuda","2015.0","Export","","","",""
"Algeria","Bolivia","2015.0","Export","","","",""
"Algeria","Brazil","2015.0","Export","11.0","1.24","1481833.45","4.26"
"Algeria","Brunei","2015.0","Export","1.0","0.11","0.12","0.0"
"Algeria","Botswana","2015.0","Export","1.0","0.11","0.13","0.0"
"Algeria","Central African Republic","2015.0","Export","1.0","0.11","0.46","0.0"
"Algeria","Canada","2015.0","Export","150.0","16.95","643684.57","1.85"
"Algeria","Switzerland","2015.0","Export","14.0","1.58","6828.65","0.02"
"Algeria","Chile","2015.0","Export","1.0","0.11","3123.52","0.01"
"Algeria","China","2015.0","Export","100.0","11.3","557122.3","1.6"
"Algeria","Cote d'Ivoire","2015.0","Export","35.0","3.95","22727.63","0.07"
"Algeria","Cameroon","2015.0","Export","14.0","1.58","451.44","0.0"
"Algeria","Congo, Rep.","2015.0","Export","9.0","1.02","102.17","0.0"
"Algeria","Colombia","2015.0","Export","","","",""
