"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ecuador","Aruba","2015.0","Export","50.0","2.12","180.71","0.0"
"Ecuador","Afghanistan","2015.0","Export","1.0","0.04","0.1","0.0"
"Ecuador","Angola","2015.0","Export","17.0","0.72","520.67","0.0"
"Ecuador","Anguila","2015.0","Export","","","",""
"Ecuador","Albania","2015.0","Export","8.0","0.34","11803.93","0.06"
"Ecuador","Andorra","2015.0","Export","","","",""
"Ecuador","United Arab Emirates","2015.0","Export","79.0","3.35","17858.35","0.1"
"Ecuador","Argentina","2015.0","Export","210.0","8.89","215720.44","1.18"
"Ecuador","Armenia","2015.0","Export","2.0","0.08","343.72","0.0"
"Ecuador","American Samoa","2015.0","Export","3.0","0.13","28.43","0.0"
"Ecuador","Antigua and Barbuda","2015.0","Export","11.0","0.47","126.06","0.0"
"Ecuador","Australia","2015.0","Export","107.0","4.53","20954.67","0.11"
"Ecuador","Austria","2015.0","Export","27.0","1.14","2324.16","0.01"
"Ecuador","Azerbaijan","2015.0","Export","11.0","0.47","5446.54","0.03"
"Ecuador","Burundi","2015.0","Export","","","",""
"Ecuador","Belgium","2015.0","Export","84.0","3.56","215220.17","1.17"
"Ecuador","Benin","2015.0","Export","1.0","0.04","250.88","0.0"
"Ecuador","Bangladesh","2015.0","Export","33.0","1.4","549.85","0.0"
"Ecuador","Bulgaria","2015.0","Export","5.0","0.21","12087.48","0.07"
"Ecuador","Bahrain","2015.0","Export","26.0","1.1","1744.73","0.01"
"Ecuador","Bahamas, The","2015.0","Export","43.0","1.82","796.12","0.0"
"Ecuador","Bosnia and Herzegovina","2015.0","Export","1.0","0.04","20.8","0.0"
"Ecuador","Saint Barthélemy","2015.0","Export","","","",""
"Ecuador","Belarus","2015.0","Export","2.0","0.08","3733.62","0.02"
"Ecuador","Belize","2015.0","Export","29.0","1.23","153.71","0.0"
"Ecuador","Bermuda","2015.0","Export","1.0","0.04","0.08","0.0"
"Ecuador","Bolivia","2015.0","Export","281.0","11.9","36477.57","0.2"
"Ecuador","Brazil","2015.0","Export","234.0","9.91","110114.42","0.6"
"Ecuador","Barbados","2015.0","Export","37.0","1.57","1070.96","0.01"
"Ecuador","Brunei","2015.0","Export","","","",""
"Ecuador","Bhutan","2015.0","Export","","","",""
"Ecuador","Botswana","2015.0","Export","3.0","0.13","16.41","0.0"
"Ecuador","Canada","2015.0","Export","226.0","9.57","117190.43","0.64"
"Ecuador","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Ecuador","Switzerland","2015.0","Export","67.0","2.84","36496.27","0.2"
"Ecuador","Chile","2015.0","Export","541.0","22.91","1138078.61","6.21"
"Ecuador","China","2015.0","Export","128.0","5.42","722966.01","3.94"
"Ecuador","Cote d'Ivoire","2015.0","Export","14.0","0.59","333.08","0.0"
"Ecuador","Cameroon","2015.0","Export","8.0","0.34","180.34","0.0"
"Ecuador","Congo, Rep.","2015.0","Export","27.0","1.14","2246.44","0.01"
"Ecuador","Colombia","2015.0","Export","954.0","40.41","784028.4","4.28"
"Ecuador","Comoros","2015.0","Export","","","",""
"Ecuador","Cape Verde","2015.0","Export","1.0","0.04","222.63","0.0"
"Ecuador","Costa Rica","2015.0","Export","288.0","12.2","32016.67","0.17"
"Ecuador","Cuba","2015.0","Export","120.0","5.08","19433.22","0.11"
"Ecuador","Curaçao","2015.0","Export","76.0","3.22","1037.2","0.01"
"Ecuador","Cayman Islands","2015.0","Export","31.0","1.31","95.84","0.0"
"Ecuador","Cyprus","2015.0","Export","4.0","0.17","1549.74","0.01"
"Ecuador","Czech Republic","2015.0","Export","41.0","1.74","9146.16","0.05"
"Ecuador","Germany","2015.0","Export","247.0","10.46","548916.55","2.99"
"Ecuador","Djibouti","2015.0","Export","40.0","1.69","548.88","0.0"
"Ecuador","Dominica","2015.0","Export","10.0","0.42","90.56","0.0"
"Ecuador","Denmark","2015.0","Export","39.0","1.65","10863.51","0.06"
"Ecuador","Dominican Republic","2015.0","Export","218.0","9.23","52996.08","0.29"
"Ecuador","Algeria","2015.0","Export","11.0","0.47","10037.01","0.05"
"Ecuador","East Asia & Pacific","2015.0","Export","355.0","15.04","2185945.89","11.93"
"Ecuador","Europe & Central Asia","2015.0","Export","892.0","37.78","3948891.02","21.54"
"Ecuador","Egypt, Arab Rep.","2015.0","Export","27.0","1.14","41930.43","0.23"
"Ecuador","Eritrea","2015.0","Export","","","",""
"Ecuador","Western Sahara","2015.0","Export","","","",""
"Ecuador","Spain","2015.0","Export","512.0","21.69","483490.26","2.64"
"Ecuador","Estonia","2015.0","Export","6.0","0.25","19474.08","0.11"
"Ecuador","Ethiopia(excludes Eritrea)","2015.0","Export","12.0","0.51","172.01","0.0"
"Ecuador","Finland","2015.0","Export","16.0","0.68","3942.92","0.02"
"Ecuador","Fiji","2015.0","Export","11.0","0.47","22.9","0.0"
"Ecuador","France","2015.0","Export","184.0","7.79","271754.32","1.48"
"Ecuador","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Ecuador","Gabon","2015.0","Export","10.0","0.42","435.75","0.0"
"Ecuador","United Kingdom","2015.0","Export","213.0","9.02","165986.85","0.91"
"Ecuador","Georgia","2015.0","Export","10.0","0.42","29588.08","0.16"
"Ecuador","Ghana","2015.0","Export","10.0","0.42","176.76","0.0"
"Ecuador","Guinea","2015.0","Export","","","",""
"Ecuador","Gambia, The","2015.0","Export","1.0","0.04","36.77","0.0"
"Ecuador","Equatorial Guinea","2015.0","Export","1.0","0.04","0.15","0.0"
"Ecuador","Greece","2015.0","Export","16.0","0.68","41761.4","0.23"
"Ecuador","Grenada","2015.0","Export","2.0","0.08","25.98","0.0"
"Ecuador","Guatemala","2015.0","Export","180.0","7.62","44751.69","0.24"
"Ecuador","Guam","2015.0","Export","1.0","0.04","1276.98","0.01"
"Ecuador","Guyana","2015.0","Export","22.0","0.93","200.26","0.0"
"Ecuador","Hong Kong, China","2015.0","Export","67.0","2.84","18650.64","0.1"
"Ecuador","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Ecuador","Honduras","2015.0","Export","172.0","7.29","11225.35","0.06"
"Ecuador","Croatia","2015.0","Export","5.0","0.21","17925.67","0.1"
"Ecuador","Haiti","2015.0","Export","27.0","1.14","1283.29","0.01"
"Ecuador","Hungary","2015.0","Export","23.0","0.97","1928.93","0.01"
"Ecuador","Indonesia","2015.0","Export","28.0","1.19","18536.84","0.1"
"Ecuador","India","2015.0","Export","47.0","1.99","137690.51","0.75"
"Ecuador","British Indian Ocean Ter.","2015.0","Export","","","",""
"Ecuador","Ireland","2015.0","Export","24.0","1.02","4532.72","0.02"
"Ecuador","Iran, Islamic Rep.","2015.0","Export","4.0","0.17","176.41","0.0"
"Ecuador","Iraq","2015.0","Export","2.0","0.08","3135.56","0.02"
"Ecuador","Iceland","2015.0","Export","1.0","0.04","2557.1","0.01"
"Ecuador","Israel","2015.0","Export","36.0","1.52","6324.12","0.03"
"Ecuador","Italy","2015.0","Export","204.0","8.64","325959.06","1.78"
"Ecuador","Jamaica","2015.0","Export","50.0","2.12","2604.45","0.01"
"Ecuador","Jordan","2015.0","Export","8.0","0.34","4466.78","0.02"
"Ecuador","Japan","2015.0","Export","92.0","3.9","330892.55","1.81"
"Ecuador","Kazakhstan","2015.0","Export","10.0","0.42","16537.98","0.09"
"Ecuador","Kenya","2015.0","Export","11.0","0.47","2454.09","0.01"
"Ecuador","Kyrgyz Republic","2015.0","Export","2.0","0.08","2327.36","0.01"
"Ecuador","Cambodia","2015.0","Export","","","",""
"Ecuador","Kiribati","2015.0","Export","","","",""
"Ecuador","St. Kitts and Nevis","2015.0","Export","5.0","0.21","24.48","0.0"
"Ecuador","Korea, Rep.","2015.0","Export","82.0","3.47","173027.7","0.94"
"Ecuador","Kuwait","2015.0","Export","28.0","1.19","49578.08","0.27"
"Ecuador","Lao PDR","2015.0","Export","","","",""
"Ecuador","Lebanon","2015.0","Export","10.0","0.42","629.28","0.0"
"Ecuador","Liberia","2015.0","Export","","","",""
"Ecuador","Libya","2015.0","Export","5.0","0.21","8664.68","0.05"
"Ecuador","St. Lucia","2015.0","Export","56.0","2.37","304.99","0.0"
"Ecuador","Latin America & Caribbean","2015.0","Export","1806.0","76.49","4423545.81","24.13"
"Ecuador","Sri Lanka","2015.0","Export","5.0","0.21","2003.31","0.01"
"Ecuador","Lesotho","2015.0","Export","","","",""
"Ecuador","Lithuania","2015.0","Export","22.0","0.93","14910.61","0.08"
"Ecuador","Luxembourg","2015.0","Export","29.0","1.23","26.48","0.0"
"Ecuador","Latvia","2015.0","Export","4.0","0.17","828.78","0.0"
"Ecuador","Macao","2015.0","Export","","","",""
"Ecuador","Morocco","2015.0","Export","7.0","0.3","8201.96","0.04"
"Ecuador","Moldova","2015.0","Export","4.0","0.17","1754.82","0.01"
"Ecuador","Madagascar","2015.0","Export","5.0","0.21","304.57","0.0"
"Ecuador","Maldives","2015.0","Export","2.0","0.08","100.58","0.0"
"Ecuador","Middle East & North Africa","2015.0","Export","206.0","8.73","235161.64","1.28"
"Ecuador","Mexico","2015.0","Export","327.0","13.85","156998.15","0.86"
"Ecuador","Macedonia, FYR","2015.0","Export","1.0","0.04","315.12","0.0"
"Ecuador","Mali","2015.0","Export","","","",""
"Ecuador","Malta","2015.0","Export","3.0","0.13","1615.18","0.01"
"Ecuador","Myanmar","2015.0","Export","","","",""
"Ecuador","Mongolia","2015.0","Export","1.0","0.04","101.67","0.0"
"Ecuador","Northern Mariana Islands","2015.0","Export","","","",""
"Ecuador","Montenegro","2015.0","Export","2.0","0.08","54440.88","0.3"
"Ecuador","Mozambique","2015.0","Export","1.0","0.04","73.44","0.0"
"Ecuador","Mauritania","2015.0","Export","","","",""
"Ecuador","Montserrat","2015.0","Export","","","",""
"Ecuador","Mauritius","2015.0","Export","2.0","0.08","87.87","0.0"
"Ecuador","Malawi","2015.0","Export","","","",""
"Ecuador","Malaysia","2015.0","Export","44.0","1.86","64896.0","0.35"
"Ecuador","North America","2015.0","Export","1132.0","47.95","7343414.56","40.06"
"Ecuador","Namibia","2015.0","Export","","","",""
"Ecuador","New Caledonia","2015.0","Export","","","",""
"Ecuador","Niger","2015.0","Export","","","",""
"Ecuador","Norfolk Island","2015.0","Export","","","",""
"Ecuador","Nigeria","2015.0","Export","17.0","0.72","787.62","0.0"
"Ecuador","Nicaragua","2015.0","Export","88.0","3.73","74214.87","0.4"
"Ecuador","Netherlands","2015.0","Export","162.0","6.86","460294.92","2.51"
"Ecuador","Norway","2015.0","Export","68.0","2.88","12473.51","0.07"
"Ecuador","Nepal","2015.0","Export","1.0","0.04","3.34","0.0"
"Ecuador","Nauru","2015.0","Export","","","",""
"Ecuador","New Zealand","2015.0","Export","45.0","1.91","28357.38","0.15"
"Ecuador","Other Asia, nes","2015.0","Export","41.0","1.74","5704.02","0.03"
"Ecuador","Oman","2015.0","Export","17.0","0.72","384.74","0.0"
"Ecuador","Pakistan","2015.0","Export","8.0","0.34","341.79","0.0"
"Ecuador","Panama","2015.0","Export","384.0","16.26","441575.62","2.41"
"Ecuador","Pitcairn","2015.0","Export","","","",""
"Ecuador","Peru","2015.0","Export","872.0","36.93","934189.48","5.1"
"Ecuador","Philippines","2015.0","Export","10.0","0.42","6820.97","0.04"
"Ecuador","Papua New Guinea","2015.0","Export","","","",""
