"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Egypt, Arab Rep.","Afghanistan","2015.0","Export","13.0","0.52","6002.83","0.03"
"Egypt, Arab Rep.","Angola","2015.0","Export","73.0","2.89","33402.05","0.15"
"Egypt, Arab Rep.","Albania","2015.0","Export","55.0","2.18","7761.29","0.04"
"Egypt, Arab Rep.","Andorra","2015.0","Export","","","",""
"Egypt, Arab Rep.","United Arab Emirates","2015.0","Export","777.0","30.8","1111976.44","5.06"
"Egypt, Arab Rep.","Argentina","2015.0","Export","39.0","1.55","4043.19","0.02"
"Egypt, Arab Rep.","Armenia","2015.0","Export","16.0","0.63","1763.43","0.01"
"Egypt, Arab Rep.","Antigua and Barbuda","2015.0","Export","2.0","0.08","63.28","0.0"
"Egypt, Arab Rep.","Australia","2015.0","Export","176.0","6.98","24226.83","0.11"
"Egypt, Arab Rep.","Austria","2015.0","Export","91.0","3.61","14848.21","0.07"
"Egypt, Arab Rep.","Azerbaijan","2015.0","Export","21.0","0.83","23864.51","0.11"
"Egypt, Arab Rep.","Burundi","2015.0","Export","41.0","1.63","6672.56","0.03"
"Egypt, Arab Rep.","Belgium","2015.0","Export","262.0","10.38","320032.96","1.46"
"Egypt, Arab Rep.","Benin","2015.0","Export","60.0","2.38","14482.65","0.07"
"Egypt, Arab Rep.","Burkina Faso","2015.0","Export","30.0","1.19","9087.46","0.04"
"Egypt, Arab Rep.","Bangladesh","2015.0","Export","80.0","3.17","52816.12","0.24"
"Egypt, Arab Rep.","Bulgaria","2015.0","Export","74.0","2.93","56300.07","0.26"
"Egypt, Arab Rep.","Bahrain","2015.0","Export","288.0","11.41","57156.21","0.26"
"Egypt, Arab Rep.","Bahamas, The","2015.0","Export","1.0","0.04","61.63","0.0"
"Egypt, Arab Rep.","Bosnia and Herzegovina","2015.0","Export","22.0","0.87","1058.22","0.0"
"Egypt, Arab Rep.","Belarus","2015.0","Export","14.0","0.55","3987.83","0.02"
"Egypt, Arab Rep.","Belize","2015.0","Export","1.0","0.04","60.31","0.0"
"Egypt, Arab Rep.","Bermuda","2015.0","Export","1.0","0.04","11.96","0.0"
"Egypt, Arab Rep.","Bolivia","2015.0","Export","5.0","0.2","54.24","0.0"
"Egypt, Arab Rep.","Brazil","2015.0","Export","114.0","4.52","94640.3","0.43"
"Egypt, Arab Rep.","Barbados","2015.0","Export","3.0","0.12","84.31","0.0"
"Egypt, Arab Rep.","Brunei","2015.0","Export","19.0","0.75","5417.85","0.02"
"Egypt, Arab Rep.","Bhutan","2015.0","Export","","","",""
"Egypt, Arab Rep.","Bunkers","2015.0","Export","4.0","0.16","551564.39","2.51"
"Egypt, Arab Rep.","Botswana","2015.0","Export","1.0","0.04","21.16","0.0"
"Egypt, Arab Rep.","Central African Republic","2015.0","Export","7.0","0.28","183.8","0.0"
"Egypt, Arab Rep.","Canada","2015.0","Export","237.0","9.39","492797.61","2.24"
"Egypt, Arab Rep.","Switzerland","2015.0","Export","99.0","3.92","224195.79","1.02"
"Egypt, Arab Rep.","Chile","2015.0","Export","57.0","2.26","8505.82","0.04"
"Egypt, Arab Rep.","China","2015.0","Export","206.0","8.16","442609.25","2.01"
"Egypt, Arab Rep.","Cote d'Ivoire","2015.0","Export","125.0","4.95","42881.01","0.2"
"Egypt, Arab Rep.","Cameroon","2015.0","Export","105.0","4.16","25266.04","0.12"
"Egypt, Arab Rep.","Congo, Rep.","2015.0","Export","27.0","1.07","19197.76","0.09"
"Egypt, Arab Rep.","Colombia","2015.0","Export","34.0","1.35","7402.08","0.03"
"Egypt, Arab Rep.","Comoros","2015.0","Export","10.0","0.4","716.44","0.0"
"Egypt, Arab Rep.","Cape Verde","2015.0","Export","13.0","0.52","1609.28","0.01"
"Egypt, Arab Rep.","Costa Rica","2015.0","Export","19.0","0.75","1242.48","0.01"
"Egypt, Arab Rep.","Cuba","2015.0","Export","4.0","0.16","364.55","0.0"
"Egypt, Arab Rep.","Curaçao","2015.0","Export","2.0","0.08","45.75","0.0"
"Egypt, Arab Rep.","Cyprus","2015.0","Export","207.0","8.2","57671.14","0.26"
"Egypt, Arab Rep.","Czech Republic","2015.0","Export","123.0","4.88","77079.93","0.35"
"Egypt, Arab Rep.","Germany","2015.0","Export","481.0","19.06","553041.71","2.52"
"Egypt, Arab Rep.","Djibouti","2015.0","Export","118.0","4.68","22435.02","0.1"
"Egypt, Arab Rep.","Dominica","2015.0","Export","8.0","0.32","531.32","0.0"
"Egypt, Arab Rep.","Denmark","2015.0","Export","95.0","3.77","14677.17","0.07"
"Egypt, Arab Rep.","Dominican Republic","2015.0","Export","26.0","1.03","2885.3","0.01"
"Egypt, Arab Rep.","Algeria","2015.0","Export","407.0","16.13","467026.54","2.13"
"Egypt, Arab Rep.","East Asia & Pacific","2015.0","Export","530.0","21.01","927998.43","4.22"
"Egypt, Arab Rep.","Europe & Central Asia","2015.0","Export","1438.0","57.0","7583626.44","34.52"
