"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Spain","Aruba","2015.0","Export","440.0","9.76","18388.46","0.01"
"Spain","Afghanistan","2015.0","Export","190.0","4.21","4223.92","0.0"
"Spain","Angola","2015.0","Export","1211.0","26.86","229401.7","0.08"
"Spain","Anguila","2015.0","Export","9.0","0.2","27.93","0.0"
"Spain","Albania","2015.0","Export","860.0","19.07","70958.13","0.03"
"Spain","Andorra","2015.0","Export","2614.0","57.97","888412.27","0.32"
"Spain","United Arab Emirates","2015.0","Export","2574.0","57.09","2020088.44","0.73"
"Spain","Argentina","2015.0","Export","2086.0","46.26","1462454.81","0.53"
"Spain","Armenia","2015.0","Export","628.0","13.93","20990.37","0.01"
"Spain","American Samoa","2015.0","Export","10.0","0.22","1068.88","0.0"
"Spain","Antarctica","2015.0","Export","19.0","0.42","845.37","0.0"
"Spain","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Spain","Antigua and Barbuda","2015.0","Export","125.0","2.77","1983.13","0.0"
"Spain","Australia","2015.0","Export","2345.0","52.01","1820510.85","0.65"
"Spain","Austria","2015.0","Export","2728.0","60.5","2248167.04","0.81"
"Spain","Azerbaijan","2015.0","Export","860.0","19.07","78882.42","0.03"
"Spain","Burundi","2015.0","Export","34.0","0.75","507.1","0.0"
"Spain","Belgium","2015.0","Export","3424.0","75.94","7383809.96","2.65"
"Spain","Benin","2015.0","Export","562.0","12.46","78483.44","0.03"
"Spain","Bonaire","2015.0","Export","21.0","0.47","87.65","0.0"
"Spain","Burkina Faso","2015.0","Export","421.0","9.34","45736.49","0.02"
"Spain","Bangladesh","2015.0","Export","871.0","19.32","128732.64","0.05"
"Spain","Bulgaria","2015.0","Export","2427.0","53.83","1397288.44","0.5"
"Spain","Bahrain","2015.0","Export","1190.0","26.39","152188.89","0.05"
"Spain","Bahamas, The","2015.0","Export","191.0","4.24","155786.3","0.06"
"Spain","Bosnia and Herzegovina","2015.0","Export","922.0","20.45","51230.46","0.02"
"Spain","Saint Barthélemy","2015.0","Export","57.0","1.26","334.37","0.0"
"Spain","Belarus","2015.0","Export","815.0","18.07","93194.4","0.03"
"Spain","Belize","2015.0","Export","113.0","2.51","16205.12","0.01"
"Spain","Bermuda","2015.0","Export","134.0","2.97","7431.67","0.0"
"Spain","Bolivia","2015.0","Export","1339.0","29.7","149693.9","0.05"
"Spain","Brazil","2015.0","Export","2559.0","56.75","3032029.48","1.09"
"Spain","Barbados","2015.0","Export","178.0","3.95","11635.23","0.0"
"Spain","Brunei","2015.0","Export","141.0","3.13","3441.13","0.0"
"Spain","Bhutan","2015.0","Export","8.0","0.18","385.61","0.0"
"Spain","Bunkers","2015.0","Export","577.0","12.8","5589725.42","2.01"
"Spain","Bouvet Island","2015.0","Export","1.0","0.02","3.48","0.0"
"Spain","Botswana","2015.0","Export","77.0","1.71","1515.64","0.0"
"Spain","Central African Republic","2015.0","Export","123.0","2.73","6587.9","0.0"
"Spain","Canada","2015.0","Export","2226.0","49.37","1525731.4","0.55"
"Spain","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Spain","Switzerland","2015.0","Export","3213.0","71.26","4335812.61","1.56"
"Spain","Chile","2015.0","Export","2719.0","60.3","1516894.2","0.55"
"Spain","China","2015.0","Export","2844.0","63.07","4944051.93","1.78"
"Spain","Cote d'Ivoire","2015.0","Export","1244.0","27.59","250799.06","0.09"
"Spain","Cameroon","2015.0","Export","919.0","20.38","112189.99","0.04"
"Spain","Congo, Rep.","2015.0","Export","672.0","14.9","68120.81","0.02"
"Spain","Cook Islands","2015.0","Export","3.0","0.07","18.29","0.0"
"Spain","Colombia","2015.0","Export","2770.0","61.43","983177.28","0.35"
"Spain","Comoros","2015.0","Export","129.0","2.86","1598.66","0.0"
"Spain","Cape Verde","2015.0","Export","1106.0","24.53","45201.43","0.02"
"Spain","Costa Rica","2015.0","Export","1777.0","39.41","203111.61","0.07"
"Spain","Cuba","2015.0","Export","2461.0","54.58","1069692.46","0.38"
"Spain","Curaçao","2015.0","Export","541.0","12.0","40123.95","0.01"
"Spain","Christmas Island","2015.0","Export","","","",""
"Spain","Cayman Islands","2015.0","Export","67.0","1.49","147756.91","0.05"
"Spain","Cyprus","2015.0","Export","1990.0","44.13","297691.06","0.11"
"Spain","Czech Republic","2015.0","Export","2756.0","61.12","2261764.05","0.81"
"Spain","Germany","2015.0","Export","3816.0","84.63","30077279.11","10.81"
"Spain","Djibouti","2015.0","Export","199.0","4.41","21208.23","0.01"
"Spain","Dominica","2015.0","Export","38.0","0.84","315.46","0.0"
"Spain","Denmark","2015.0","Export","2512.0","55.71","1620562.82","0.58"
"Spain","Dominican Republic","2015.0","Export","2305.0","51.12","512430.33","0.18"
"Spain","Algeria","2015.0","Export","2659.0","58.97","3631308.0","1.31"
"Spain","East Asia & Pacific","2015.0","Export","3750.0","83.17","16207929.15","5.83"
"Spain","Europe & Central Asia","2015.0","Export","4461.0","98.94","192315449.46","69.15"
"Spain","Ecuador","2015.0","Export","1838.0","40.76","421678.7","0.15"
"Spain","Egypt, Arab Rep.","2015.0","Export","2295.0","50.9","1516920.16","0.55"
"Spain","Eritrea","2015.0","Export","31.0","0.69","2224.68","0.0"
"Spain","Western Sahara","2015.0","Export","12.0","0.27","21.35","0.0"
"Spain","Estonia","2015.0","Export","1766.0","39.17","240121.75","0.09"
"Spain","Ethiopia(excludes Eritrea)","2015.0","Export","375.0","8.32","102960.65","0.04"
"Spain","Finland","2015.0","Export","2276.0","50.48","1017909.6","0.37"
"Spain","Fiji","2015.0","Export","43.0","0.95","1044.14","0.0"
"Spain","Falkland Island","2015.0","Export","72.0","1.6","3088.02","0.0"
"Spain","France","2015.0","Export","4136.0","91.73","42997774.78","15.46"
"Spain","Faeroe Islands","2015.0","Export","94.0","2.08","1942.34","0.0"
"Spain","Micronesia, Fed. Sts.","2015.0","Export","4.0","0.09","341.96","0.0"
"Spain","Gabon","2015.0","Export","600.0","13.31","46283.91","0.02"
"Spain","United Kingdom","2015.0","Export","3615.0","80.17","20258010.28","7.28"
"Spain","Georgia","2015.0","Export","1110.0","24.62","77646.7","0.03"
"Spain","Ghana","2015.0","Export","1022.0","22.67","229997.35","0.08"
"Spain","Gibraltar","2015.0","Export","2684.0","59.53","1220875.48","0.44"
"Spain","Guinea","2015.0","Export","699.0","15.5","45565.38","0.02"
"Spain","Gambia, The","2015.0","Export","473.0","10.49","15759.92","0.01"
"Spain","Guinea-Bissau","2015.0","Export","346.0","7.67","16427.22","0.01"
"Spain","Equatorial Guinea","2015.0","Export","1785.0","39.59","291556.62","0.1"
"Spain","Greece","2015.0","Export","2949.0","65.4","2202962.88","0.79"
"Spain","Grenada","2015.0","Export","17.0","0.38","216.46","0.0"
"Spain","Greenland","2015.0","Export","54.0","1.2","738.01","0.0"
"Spain","Guatemala","2015.0","Export","1640.0","36.37","227471.98","0.08"
"Spain","Guam","2015.0","Export","53.0","1.18","916.25","0.0"
"Spain","Guyana","2015.0","Export","57.0","1.26","1833.94","0.0"
"Spain","Hong Kong, China","2015.0","Export","2276.0","50.48","960899.72","0.35"
"Spain","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Spain","Honduras","2015.0","Export","1151.0","25.53","130386.97","0.05"
"Spain","Croatia","2015.0","Export","1868.0","41.43","385802.22","0.14"
"Spain","Haiti","2015.0","Export","267.0","5.92","29399.09","0.01"
"Spain","Hungary","2015.0","Export","2605.0","57.77","1519226.53","0.55"
"Spain","Indonesia","2015.0","Export","1473.0","32.67","525833.99","0.19"
"Spain","India","2015.0","Export","2330.0","51.67","1396368.28","0.5"
"Spain","British Indian Ocean Ter.","2015.0","Export","","","",""
"Spain","Ireland","2015.0","Export","2367.0","52.49","1601448.96","0.58"
"Spain","Iran, Islamic Rep.","2015.0","Export","1348.0","29.9","258761.62","0.09"
"Spain","Iraq","2015.0","Export","677.0","15.01","230731.76","0.08"
"Spain","Iceland","2015.0","Export","885.0","19.63","41003.78","0.01"
"Spain","Israel","2015.0","Export","2273.0","50.41","1482992.76","0.53"
"Spain","Italy","2015.0","Export","3918.0","86.89","20758317.73","7.46"
"Spain","Jamaica","2015.0","Export","660.0","14.64","79998.77","0.03"
"Spain","Jordan","2015.0","Export","1624.0","36.02","327252.59","0.12"
"Spain","Japan","2015.0","Export","2203.0","48.86","2747359.86","0.99"
"Spain","Kazakhstan","2015.0","Export","1098.0","24.35","154618.89","0.06"
"Spain","Kenya","2015.0","Export","793.0","17.59","113816.97","0.04"
"Spain","Kyrgyz Republic","2015.0","Export","226.0","5.01","5294.19","0.0"
