"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Estonia","Aruba","2015.0","Export","13.0","0.36","169.29","0.0"
"Estonia","Afghanistan","2015.0","Export","7.0","0.19","966.38","0.01"
"Estonia","Angola","2015.0","Export","8.0","0.22","919.23","0.01"
"Estonia","Anguila","2015.0","Export","","","",""
"Estonia","Albania","2015.0","Export","30.0","0.82","677.08","0.0"
"Estonia","Andorra","2015.0","Export","1.0","0.03","0.08","0.0"
"Estonia","United Arab Emirates","2015.0","Export","293.0","8.02","39153.6","0.28"
"Estonia","Argentina","2015.0","Export","39.0","1.07","906.01","0.01"
"Estonia","Armenia","2015.0","Export","97.0","2.65","3455.88","0.02"
"Estonia","American Samoa","2015.0","Export","","","",""
"Estonia","Fr. So. Ant. Tr","2015.0","Export","8.0","0.22","2453.74","0.02"
"Estonia","Antigua and Barbuda","2015.0","Export","3.0","0.08","11.58","0.0"
"Estonia","Australia","2015.0","Export","363.0","9.93","39165.6","0.28"
"Estonia","Austria","2015.0","Export","317.0","8.67","43272.83","0.31"
"Estonia","Azerbaijan","2015.0","Export","164.0","4.49","5859.7","0.04"
"Estonia","Burundi","2015.0","Export","1.0","0.03","13.82","0.0"
"Estonia","Belgium","2015.0","Export","475.0","13.0","184116.21","1.32"
"Estonia","Benin","2015.0","Export","8.0","0.22","1562.19","0.01"
"Estonia","Burkina Faso","2015.0","Export","8.0","0.22","26.03","0.0"
"Estonia","Bangladesh","2015.0","Export","37.0","1.01","739.01","0.01"
"Estonia","Bulgaria","2015.0","Export","267.0","7.31","21002.26","0.15"
"Estonia","Bahrain","2015.0","Export","23.0","0.63","379.91","0.0"
"Estonia","Bahamas, The","2015.0","Export","42.0","1.15","24511.9","0.18"
"Estonia","Bosnia and Herzegovina","2015.0","Export","40.0","1.09","1079.66","0.01"
"Estonia","Saint Barthélemy","2015.0","Export","","","",""
"Estonia","Belarus","2015.0","Export","907.0","24.82","71388.46","0.51"
"Estonia","Belize","2015.0","Export","2.0","0.05","53.03","0.0"
"Estonia","Bermuda","2015.0","Export","3.0","0.08","2.22","0.0"
"Estonia","Bolivia","2015.0","Export","34.0","0.93","967.41","0.01"
"Estonia","Brazil","2015.0","Export","197.0","5.39","33133.39","0.24"
"Estonia","Barbados","2015.0","Export","1.0","0.03","7.43","0.0"
"Estonia","Brunei","2015.0","Export","5.0","0.14","7.47","0.0"
"Estonia","Bunkers","2015.0","Export","877.0","23.99","89735.9","0.65"
"Estonia","Botswana","2015.0","Export","3.0","0.08","737.66","0.01"
"Estonia","Central African Republic","2015.0","Export","","","",""
"Estonia","Canada","2015.0","Export","247.0","6.76","90801.82","0.65"
"Estonia","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Estonia","Switzerland","2015.0","Export","507.0","13.87","60889.04","0.44"
"Estonia","Chile","2015.0","Export","78.0","2.13","3473.04","0.03"
"Estonia","China","2015.0","Export","361.0","9.88","171253.48","1.23"
"Estonia","Cote d'Ivoire","2015.0","Export","12.0","0.33","745.84","0.01"
"Estonia","Cameroon","2015.0","Export","9.0","0.25","463.12","0.0"
"Estonia","Congo, Rep.","2015.0","Export","6.0","0.16","58.91","0.0"
"Estonia","Cook Islands","2015.0","Export","","","",""
"Estonia","Colombia","2015.0","Export","32.0","0.88","4962.07","0.04"
"Estonia","Cape Verde","2015.0","Export","","","",""
"Estonia","Costa Rica","2015.0","Export","16.0","0.44","73.15","0.0"
"Estonia","Cuba","2015.0","Export","44.0","1.2","3079.77","0.02"
"Estonia","Curaçao","2015.0","Export","20.0","0.55","67.76","0.0"
"Estonia","Cayman Islands","2015.0","Export","1.0","0.03","156.36","0.0"
"Estonia","Cyprus","2015.0","Export","394.0","10.78","19919.4","0.14"
"Estonia","Czech Republic","2015.0","Export","495.0","13.54","60642.32","0.44"
"Estonia","Germany","2015.0","Export","1208.0","33.05","672365.44","4.84"
"Estonia","Djibouti","2015.0","Export","3.0","0.08","90.87","0.0"
"Estonia","Dominica","2015.0","Export","10.0","0.27","31.4","0.0"
"Estonia","Denmark","2015.0","Export","691.0","18.91","366704.04","2.64"
"Estonia","Dominican Republic","2015.0","Export","6.0","0.16","107.88","0.0"
"Estonia","Algeria","2015.0","Export","18.0","0.49","32092.28","0.23"
"Estonia","East Asia & Pacific","2015.0","Export","890.0","24.35","468503.19","3.37"
"Estonia","Europe & Central Asia","2015.0","Export","3618.0","98.99","12010223.71","86.39"
"Estonia","Ecuador","2015.0","Export","14.0","0.38","438.92","0.0"
"Estonia","Egypt, Arab Rep.","2015.0","Export","89.0","2.44","16579.48","0.12"
"Estonia","Spain","2015.0","Export","667.0","18.25","132942.97","0.96"
"Estonia","Estonia","2015.0","Export","","","",""
"Estonia","Ethiopia(excludes Eritrea)","2015.0","Export","10.0","0.27","135.69","0.0"
"Estonia","Finland","2015.0","Export","2497.0","68.32","2009265.53","14.45"
"Estonia","Fiji","2015.0","Export","","","",""
"Estonia","France","2015.0","Export","615.0","16.83","246044.4","1.77"
"Estonia","Faeroe Islands","2015.0","Export","8.0","0.22","667.63","0.0"
"Estonia","Gabon","2015.0","Export","1.0","0.03","0.25","0.0"
"Estonia","United Kingdom","2015.0","Export","689.0","18.85","362404.56","2.61"
"Estonia","Georgia","2015.0","Export","334.0","9.14","4987.52","0.04"
"Estonia","Ghana","2015.0","Export","95.0","2.6","933.79","0.01"
"Estonia","Gibraltar","2015.0","Export","12.0","0.33","281.19","0.0"
"Estonia","Guinea","2015.0","Export","18.0","0.49","99.61","0.0"
"Estonia","Gambia, The","2015.0","Export","18.0","0.49","71.96","0.0"
"Estonia","Greece","2015.0","Export","184.0","5.03","8971.99","0.06"
"Estonia","Greenland","2015.0","Export","2.0","0.05","11.72","0.0"
"Estonia","Guatemala","2015.0","Export","3.0","0.08","42.61","0.0"
"Estonia","Guam","2015.0","Export","","","",""
"Estonia","Guyana","2015.0","Export","11.0","0.3","159.88","0.0"
"Estonia","Hong Kong, China","2015.0","Export","199.0","5.44","20779.64","0.15"
"Estonia","Honduras","2015.0","Export","7.0","0.19","3219.7","0.02"
"Estonia","Croatia","2015.0","Export","100.0","2.74","1604.2","0.01"
"Estonia","Haiti","2015.0","Export","","","",""
"Estonia","Hungary","2015.0","Export","320.0","8.76","50778.49","0.37"
"Estonia","Indonesia","2015.0","Export","31.0","0.85","2328.54","0.02"
"Estonia","India","2015.0","Export","235.0","6.43","79178.27","0.57"
"Estonia","British Indian Ocean Ter.","2015.0","Export","1.0","0.03","97.54","0.0"
"Estonia","Ireland","2015.0","Export","223.0","6.1","21755.24","0.16"
"Estonia","Iran, Islamic Rep.","2015.0","Export","53.0","1.45","15701.6","0.11"
"Estonia","Iraq","2015.0","Export","23.0","0.63","1604.89","0.01"
"Estonia","Iceland","2015.0","Export","196.0","5.36","23395.67","0.17"
"Estonia","Israel","2015.0","Export","152.0","4.16","14630.84","0.11"
"Estonia","Italy","2015.0","Export","675.0","18.47","122260.71","0.88"
"Estonia","Jamaica","2015.0","Export","3.0","0.08","11.41","0.0"
"Estonia","Jordan","2015.0","Export","30.0","0.82","4936.69","0.04"
"Estonia","Japan","2015.0","Export","227.0","6.21","75167.2","0.54"
"Estonia","Kazakhstan","2015.0","Export","432.0","11.82","47494.66","0.34"
"Estonia","Kenya","2015.0","Export","53.0","1.45","9324.79","0.07"
"Estonia","Kyrgyz Republic","2015.0","Export","41.0","1.12","2634.32","0.02"
"Estonia","Cambodia","2015.0","Export","17.0","0.47","197.53","0.0"
"Estonia","St. Kitts and Nevis","2015.0","Export","3.0","0.08","7.9","0.0"
"Estonia","Korea, Rep.","2015.0","Export","195.0","5.34","65655.7","0.47"
"Estonia","Kuwait","2015.0","Export","69.0","1.89","11585.37","0.08"
"Estonia","Lao PDR","2015.0","Export","1.0","0.03","0.46","0.0"
"Estonia","Lebanon","2015.0","Export","116.0","3.17","5735.13","0.04"
"Estonia","Liberia","2015.0","Export","10.0","0.27","447.43","0.0"
"Estonia","Libya","2015.0","Export","5.0","0.14","235.11","0.0"
"Estonia","St. Lucia","2015.0","Export","","","",""
"Estonia","Latin America & Caribbean","2015.0","Export","399.0","10.92","146850.47","1.06"
"Estonia","Sri Lanka","2015.0","Export","7.0","0.19","1515.24","0.01"
"Estonia","Lesotho","2015.0","Export","","","",""
"Estonia","Lithuania","2015.0","Export","2278.0","62.33","750914.41","5.4"
"Estonia","Luxembourg","2015.0","Export","69.0","1.89","2481.56","0.02"
"Estonia","Latvia","2015.0","Export","2738.0","74.91","1326475.17","9.54"
"Estonia","Macao","2015.0","Export","2.0","0.05","13.82","0.0"
"Estonia","Morocco","2015.0","Export","74.0","2.02","43029.22","0.31"
"Estonia","Moldova","2015.0","Export","295.0","8.07","6001.75","0.04"
"Estonia","Madagascar","2015.0","Export","2.0","0.05","158.1","0.0"
"Estonia","Maldives","2015.0","Export","3.0","0.08","23.09","0.0"
"Estonia","Middle East & North Africa","2015.0","Export","611.0","16.72","231850.38","1.67"
"Estonia","Mexico","2015.0","Export","80.0","2.19","54411.29","0.39"
"Estonia","Marshall Islands","2015.0","Export","4.0","0.11","80.43","0.0"
"Estonia","Macedonia, FYR","2015.0","Export","21.0","0.57","232.13","0.0"
"Estonia","Mali","2015.0","Export","1.0","0.03","79.84","0.0"
"Estonia","Malta","2015.0","Export","155.0","4.24","2035.2","0.01"
"Estonia","Myanmar","2015.0","Export","11.0","0.3","334.27","0.0"
"Estonia","Mongolia","2015.0","Export","60.0","1.64","4314.4","0.03"
"Estonia","Montenegro","2015.0","Export","32.0","0.88","114.67","0.0"
"Estonia","Mozambique","2015.0","Export","1.0","0.03","11.55","0.0"
"Estonia","Mauritania","2015.0","Export","4.0","0.11","5.86","0.0"
"Estonia","Montserrat","2015.0","Export","","","",""
"Estonia","Mauritius","2015.0","Export","14.0","0.38","269.33","0.0"
"Estonia","Malawi","2015.0","Export","9.0","0.25","124.35","0.0"
"Estonia","Malaysia","2015.0","Export","73.0","2.0","4009.98","0.03"
"Estonia","North America","2015.0","Export","763.0","20.88","767621.16","5.52"
"Estonia","Namibia","2015.0","Export","10.0","0.27","10057.82","0.07"
"Estonia","New Caledonia","2015.0","Export","8.0","0.22","23.28","0.0"
"Estonia","Niger","2015.0","Export","1.0","0.03","0.24","0.0"
"Estonia","Nigeria","2015.0","Export","100.0","2.74","3001.11","0.02"
"Estonia","Nicaragua","2015.0","Export","7.0","0.19","414.19","0.0"
"Estonia","Niue","2015.0","Export","","","",""
"Estonia","Netherlands","2015.0","Export","739.0","20.22","415821.05","2.99"
"Estonia","Norway","2015.0","Export","1558.0","42.63","534326.99","3.84"
"Estonia","Nepal","2015.0","Export","","","",""
"Estonia","New Zealand","2015.0","Export","85.0","2.33","2567.1","0.02"
"Estonia","Other Asia, nes","2015.0","Export","103.0","2.82","6380.45","0.05"
"Estonia","Oman","2015.0","Export","30.0","0.82","1225.34","0.01"
"Estonia","Pakistan","2015.0","Export","52.0","1.42","6205.27","0.04"
"Estonia","Panama","2015.0","Export","17.0","0.47","307.88","0.0"
"Estonia","Peru","2015.0","Export","42.0","1.15","1325.09","0.01"
"Estonia","Philippines","2015.0","Export","26.0","0.71","1092.22","0.01"
"Estonia","Palau","2015.0","Export","","","",""
"Estonia","Papua New Guinea","2015.0","Export","4.0","0.11","33.9","0.0"
"Estonia","Poland","2015.0","Export","1049.0","28.7","296004.49","2.13"
"Estonia","Korea, Dem. Rep.","2015.0","Export","","","",""
"Estonia","Portugal","2015.0","Export","158.0","4.32","11455.2","0.08"
"Estonia","Paraguay","2015.0","Export","10.0","0.27","595.68","0.0"
"Estonia","Occ.Pal.Terr","2015.0","Export","3.0","0.08","136.11","0.0"
"Estonia","French Polynesia","2015.0","Export","2.0","0.05","22.81","0.0"
"Estonia","Qatar","2015.0","Export","51.0","1.4","931.02","0.01"
"Estonia","Romania","2015.0","Export","273.0","7.47","34047.01","0.24"
"Estonia","Russian Federation","2015.0","Export","2616.0","71.57","1345724.55","9.68"
"Estonia","Rwanda","2015.0","Export","","","",""
"Estonia","South Asia","2015.0","Export","289.0","7.91","88627.26","0.64"
"Estonia","Saudi Arabia","2015.0","Export","122.0","3.34","39865.88","0.29"
"Estonia","Senegal","2015.0","Export","3.0","0.08","1158.27","0.01"
"Estonia","Serbia, FR(Serbia/Montenegro)","2015.0","Export","139.0","3.8","6843.09","0.05"
"Estonia","Singapore","2015.0","Export","172.0","4.71","41750.16","0.3"
"Estonia","Saint Helena","2015.0","Export","","","",""
"Estonia","Solomon Islands","2015.0","Export","","","",""
"Estonia","Sierra Leone","2015.0","Export","4.0","0.11","164.48","0.0"
"Estonia","El Salvador","2015.0","Export","2.0","0.05","22.25","0.0"
"Estonia","San Marino","2015.0","Export","4.0","0.11","100.26","0.0"
"Estonia","Somalia","2015.0","Export","","","",""
"Estonia","Sub-Saharan Africa","2015.0","Export","348.0","9.52","88849.39","0.64"
"Estonia","Sudan","2015.0","Export","17.0","0.47","558.87","0.0"
"Estonia","Suriname","2015.0","Export","5.0","0.14","102.02","0.0"
"Estonia","Slovak Republic","2015.0","Export","295.0","8.07","19616.55","0.14"
"Estonia","Slovenia","2015.0","Export","178.0","4.87","8512.95","0.06"
"Estonia","Sweden","2015.0","Export","1564.0","42.79","2408298.11","17.32"
"Estonia","Swaziland","2015.0","Export","","","",""
"Estonia","Saint Maarten (Dutch part)","2015.0","Export","12.0","0.33","9048.49","0.07"
"Estonia","Seychelles","2015.0","Export","4.0","0.11","28.1","0.0"
"Estonia","Syrian Arab Republic","2015.0","Export","7.0","0.19","89.85","0.0"
"Estonia","Togo","2015.0","Export","5.0","0.14","45231.06","0.33"
"Estonia","Thailand","2015.0","Export","85.0","2.33","26487.24","0.19"
"Estonia","Tajikistan","2015.0","Export","36.0","0.98","1651.08","0.01"
"Estonia","Tokelau","2015.0","Export","","","",""
"Estonia","Turkmenistan","2015.0","Export","121.0","3.31","29590.41","0.21"
"Estonia","Trinidad and Tobago","2015.0","Export","7.0","0.19","39.81","0.0"
"Estonia","Tunisia","2015.0","Export","19.0","0.52","1917.05","0.01"
"Estonia","Turkey","2015.0","Export","284.0","7.77","115469.31","0.83"
"Estonia","Tanzania","2015.0","Export","23.0","0.63","4237.1","0.03"
"Estonia","Uganda","2015.0","Export","18.0","0.49","443.37","0.0"
"Estonia","Ukraine","2015.0","Export","1080.0","29.55","127702.6","0.92"
"Estonia","Unspecified","2015.0","Export","2.0","0.05","18.47","0.0"
"Estonia","Uruguay","2015.0","Export","30.0","0.82","4600.57","0.03"
"Estonia","United States","2015.0","Export","690.0","18.88","676817.11","4.87"
"Estonia","Uzbekistan","2015.0","Export","405.0","11.08","22248.34","0.16"
"Estonia","St. Vincent and the Grenadines","2015.0","Export","3.0","0.08","105.06","0.0"
"Estonia","Venezuela","2015.0","Export","3.0","0.08","353.99","0.0"
"Estonia","British Virgin Islands","2015.0","Export","8.0","0.22","90.45","0.0"
"Estonia","Vietnam","2015.0","Export","134.0","3.67","13217.98","0.1"
"Estonia"," World","2015.0","Export","3655.0","100.0","13902346.04","100.0"
