"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ethiopia(excludes Eritrea)","Afghanistan","2015.0","Export","3.0","0.18","23.34","0.0"
"Ethiopia(excludes Eritrea)","Angola","2015.0","Export","25.0","1.51","284.35","0.01"
"Ethiopia(excludes Eritrea)","Albania","2015.0","Export","4.0","0.24","198.28","0.0"
"Ethiopia(excludes Eritrea)","Andorra","2015.0","Export","26.0","1.57","31.38","0.0"
"Ethiopia(excludes Eritrea)","United Arab Emirates","2015.0","Export","194.0","11.73","124501.81","2.48"
"Ethiopia(excludes Eritrea)","Argentina","2015.0","Export","2.0","0.12","0.75","0.0"
"Ethiopia(excludes Eritrea)","Armenia","2015.0","Export","1.0","0.06","55.76","0.0"
"Ethiopia(excludes Eritrea)","Australia","2015.0","Export","118.0","7.13","23609.17","0.47"
"Ethiopia(excludes Eritrea)","Austria","2015.0","Export","38.0","2.3","250.0","0.01"
"Ethiopia(excludes Eritrea)","Azerbaijan","2015.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Burundi","2015.0","Export","2.0","0.12","27.8","0.0"
"Ethiopia(excludes Eritrea)","Belgium","2015.0","Export","145.0","8.77","79890.32","1.59"
"Ethiopia(excludes Eritrea)","Benin","2015.0","Export","15.0","0.91","19.62","0.0"
"Ethiopia(excludes Eritrea)","Burkina Faso","2015.0","Export","71.0","4.29","399.56","0.01"
"Ethiopia(excludes Eritrea)","Bangladesh","2015.0","Export","60.0","3.63","915.78","0.02"
"Ethiopia(excludes Eritrea)","Bulgaria","2015.0","Export","10.0","0.6","4702.13","0.09"
"Ethiopia(excludes Eritrea)","Bahrain","2015.0","Export","13.0","0.79","3285.39","0.07"
"Ethiopia(excludes Eritrea)","Bosnia and Herzegovina","2015.0","Export","5.0","0.3","160.32","0.0"
"Ethiopia(excludes Eritrea)","Belarus","2015.0","Export","1.0","0.06","47.81","0.0"
"Ethiopia(excludes Eritrea)","Belize","2015.0","Export","1.0","0.06","0.72","0.0"
"Ethiopia(excludes Eritrea)","Bermuda","2015.0","Export","1.0","0.06","7.15","0.0"
"Ethiopia(excludes Eritrea)","Bolivia","2015.0","Export","21.0","1.27","7.67","0.0"
"Ethiopia(excludes Eritrea)","Brazil","2015.0","Export","18.0","1.09","485.64","0.01"
"Ethiopia(excludes Eritrea)","Barbados","2015.0","Export","68.0","4.11","47.31","0.0"
"Ethiopia(excludes Eritrea)","Botswana","2015.0","Export","50.0","3.02","145.86","0.0"
"Ethiopia(excludes Eritrea)","Central African Republic","2015.0","Export","1.0","0.06","120.47","0.0"
"Ethiopia(excludes Eritrea)","Canada","2015.0","Export","160.0","9.67","15735.72","0.31"
"Ethiopia(excludes Eritrea)","Switzerland","2015.0","Export","104.0","6.29","160324.99","3.19"
"Ethiopia(excludes Eritrea)","Chile","2015.0","Export","11.0","0.67","476.74","0.01"
"Ethiopia(excludes Eritrea)","China","2015.0","Export","300.0","18.14","378491.35","7.53"
"Ethiopia(excludes Eritrea)","Cote d'Ivoire","2015.0","Export","52.0","3.14","446.97","0.01"
"Ethiopia(excludes Eritrea)","Cameroon","2015.0","Export","35.0","2.12","381.62","0.01"
"Ethiopia(excludes Eritrea)","Congo, Rep.","2015.0","Export","80.0","4.84","449.14","0.01"
"Ethiopia(excludes Eritrea)","Colombia","2015.0","Export","13.0","0.79","47.37","0.0"
"Ethiopia(excludes Eritrea)","Comoros","2015.0","Export","1.0","0.06","0.6","0.0"
"Ethiopia(excludes Eritrea)","Cape Verde","2015.0","Export","28.0","1.69","15.13","0.0"
"Ethiopia(excludes Eritrea)","Costa Rica","2015.0","Export","40.0","2.42","6.77","0.0"
"Ethiopia(excludes Eritrea)","Cuba","2015.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Christmas Island","2015.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Cyprus","2015.0","Export","4.0","0.24","81.23","0.0"
"Ethiopia(excludes Eritrea)","Czech Republic","2015.0","Export","61.0","3.69","1331.23","0.03"
"Ethiopia(excludes Eritrea)","Germany","2015.0","Export","384.0","23.22","321927.18","6.4"
"Ethiopia(excludes Eritrea)","Djibouti","2015.0","Export","225.0","13.6","213301.01","4.24"
"Ethiopia(excludes Eritrea)","Dominica","2015.0","Export","1.0","0.06","44.77","0.0"
"Ethiopia(excludes Eritrea)","Denmark","2015.0","Export","68.0","4.11","1379.71","0.03"
"Ethiopia(excludes Eritrea)","Dominican Republic","2015.0","Export","15.0","0.91","35.56","0.0"
"Ethiopia(excludes Eritrea)","Algeria","2015.0","Export","26.0","1.57","1425.41","0.03"
"Ethiopia(excludes Eritrea)","East Asia & Pacific","2015.0","Export","597.0","36.09","641231.11","12.75"
"Ethiopia(excludes Eritrea)","Europe & Central Asia","2015.0","Export","997.0","60.28","1477103.36","29.38"
"Ethiopia(excludes Eritrea)","Ecuador","2015.0","Export","1.0","0.06","0.11","0.0"
"Ethiopia(excludes Eritrea)","Egypt, Arab Rep.","2015.0","Export","172.0","10.4","73135.63","1.45"
"Ethiopia(excludes Eritrea)","Spain","2015.0","Export","98.0","5.92","27810.72","0.55"
"Ethiopia(excludes Eritrea)","Estonia","2015.0","Export","1.0","0.06","0.33","0.0"
"Ethiopia(excludes Eritrea)","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Ethiopia(excludes Eritrea)","Finland","2015.0","Export","51.0","3.08","5009.33","0.1"
"Ethiopia(excludes Eritrea)","France","2015.0","Export","234.0","14.15","59198.47","1.18"
"Ethiopia(excludes Eritrea)","Gabon","2015.0","Export","3.0","0.18","20.76","0.0"
