"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Finland","Aruba","2015.0","Export","36.0","0.94","17.52","0.0"
"Finland","Afghanistan","2015.0","Export","101.0","2.64","2277.51","0.0"
"Finland","Angola","2015.0","Export","100.0","2.62","5645.18","0.01"
"Finland","Anguila","2015.0","Export","2.0","0.05","1.52","0.0"
"Finland","Albania","2015.0","Export","60.0","1.57","1653.05","0.0"
"Finland","Andorra","2015.0","Export","38.0","0.99","323.48","0.0"
"Finland","United Arab Emirates","2015.0","Export","1034.0","27.06","285267.73","0.48"
"Finland","Argentina","2015.0","Export","374.0","9.79","89647.21","0.15"
"Finland","Armenia","2015.0","Export","134.0","3.51","8152.47","0.01"
"Finland","American Samoa","2015.0","Export","1.0","0.03","12.16","0.0"
"Finland","Antarctica","2015.0","Export","9.0","0.24","12.42","0.0"
"Finland","Fr. So. Ant. Tr","2015.0","Export","4.0","0.1","190.76","0.0"
"Finland","Antigua and Barbuda","2015.0","Export","25.0","0.65","53.39","0.0"
"Finland","Australia","2015.0","Export","1180.0","30.88","452517.23","0.76"
"Finland","Austria","2015.0","Export","1049.0","27.45","343634.45","0.58"
"Finland","Azerbaijan","2015.0","Export","320.0","8.37","35384.13","0.06"
"Finland","Burundi","2015.0","Export","8.0","0.21","2.5","0.0"
"Finland","Belgium","2015.0","Export","1283.0","33.58","1601694.16","2.68"
"Finland","Benin","2015.0","Export","34.0","0.89","1345.31","0.0"
"Finland","Bonaire","2015.0","Export","4.0","0.1","106.75","0.0"
"Finland","Burkina Faso","2015.0","Export","85.0","2.22","3691.03","0.01"
"Finland","Bangladesh","2015.0","Export","233.0","6.1","62037.66","0.1"
"Finland","Bulgaria","2015.0","Export","604.0","15.81","69016.89","0.12"
"Finland","Bahrain","2015.0","Export","203.0","5.31","20246.26","0.03"
"Finland","Bahamas, The","2015.0","Export","250.0","6.54","22325.21","0.04"
"Finland","Bosnia and Herzegovina","2015.0","Export","129.0","3.38","3916.73","0.01"
"Finland","Belarus","2015.0","Export","528.0","13.82","63900.67","0.11"
"Finland","Belize","2015.0","Export","9.0","0.24","23.78","0.0"
"Finland","Bermuda","2015.0","Export","23.0","0.6","130.82","0.0"
"Finland","Bolivia","2015.0","Export","143.0","3.74","16394.81","0.03"
"Finland","Brazil","2015.0","Export","847.0","22.17","510684.64","0.86"
"Finland","Barbados","2015.0","Export","14.0","0.37","62.65","0.0"
"Finland","Brunei","2015.0","Export","41.0","1.07","1204.67","0.0"
"Finland","Bhutan","2015.0","Export","5.0","0.13","225.57","0.0"
"Finland","Bunkers","2015.0","Export","1.0","0.03","255947.9","0.43"
"Finland","Bouvet Island","2015.0","Export","","","",""
"Finland","Botswana","2015.0","Export","21.0","0.55","13294.69","0.02"
"Finland","Central African Republic","2015.0","Export","3.0","0.08","13.86","0.0"
"Finland","Canada","2015.0","Export","1228.0","32.14","525528.77","0.88"
"Finland","Switzerland","2015.0","Export","1665.0","43.58","638371.68","1.07"
"Finland","Chile","2015.0","Export","717.0","18.76","232634.6","0.39"
"Finland","China","2015.0","Export","1777.0","46.51","2796367.57","4.69"
"Finland","Cote d'Ivoire","2015.0","Export","83.0","2.17","9754.98","0.02"
"Finland","Cameroon","2015.0","Export","123.0","3.22","7593.91","0.01"
"Finland","Congo, Rep.","2015.0","Export","97.0","2.54","25598.46","0.04"
"Finland","Cook Islands","2015.0","Export","1.0","0.03","1.92","0.0"
"Finland","Colombia","2015.0","Export","375.0","9.81","78482.37","0.13"
"Finland","Comoros","2015.0","Export","1.0","0.03","1.72","0.0"
"Finland","Cape Verde","2015.0","Export","39.0","1.02","433.19","0.0"
"Finland","Costa Rica","2015.0","Export","126.0","3.3","8334.01","0.01"
"Finland","Cuba","2015.0","Export","54.0","1.41","7387.56","0.01"
"Finland","Curaçao","2015.0","Export","33.0","0.86","1649.45","0.0"
"Finland","Christmas Island","2015.0","Export","","","",""
"Finland","Cayman Islands","2015.0","Export","23.0","0.6","1834.84","0.0"
"Finland","Cyprus","2015.0","Export","255.0","6.67","13954.47","0.02"
"Finland","Czech Republic","2015.0","Export","1026.0","26.85","302028.76","0.51"
"Finland","Germany","2015.0","Export","1923.0","50.33","8099889.7","13.57"
"Finland","Djibouti","2015.0","Export","31.0","0.81","907.13","0.0"
"Finland","Dominica","2015.0","Export","","","",""
"Finland","Denmark","2015.0","Export","1474.0","38.58","1010621.65","1.69"
"Finland","Dominican Republic","2015.0","Export","122.0","3.19","14489.18","0.02"
"Finland","Algeria","2015.0","Export","176.0","4.61","190626.47","0.32"
"Finland","East Asia & Pacific","2015.0","Export","2508.0","65.64","6664077.65","11.17"
"Finland","Europe & Central Asia","2015.0","Export","3680.0","96.31","41297085.48","69.19"
"Finland","Ecuador","2015.0","Export","210.0","5.5","32887.53","0.06"
"Finland","Egypt, Arab Rep.","2015.0","Export","443.0","11.59","384803.8","0.64"
"Finland","Eritrea","2015.0","Export","65.0","1.7","3397.55","0.01"
"Finland","Spain","2015.0","Export","1243.0","32.53","973883.7","1.63"
"Finland","Estonia","2015.0","Export","2730.0","71.45","1725259.61","2.89"
"Finland","Ethiopia(excludes Eritrea)","2015.0","Export","115.0","3.01","7473.7","0.01"
"Finland","Fiji","2015.0","Export","26.0","0.68","783.01","0.0"
"Finland","Falkland Island","2015.0","Export","","","",""
"Finland","France","2015.0","Export","1442.0","37.74","1641504.15","2.75"
"Finland","Faeroe Islands","2015.0","Export","87.0","2.28","4962.36","0.01"
"Finland","Micronesia, Fed. Sts.","2015.0","Export","2.0","0.05","11.97","0.0"
"Finland","Gabon","2015.0","Export","24.0","0.63","884.23","0.0"
"Finland","United Kingdom","2015.0","Export","1484.0","38.84","2895073.9","4.85"
"Finland","Georgia","2015.0","Export","263.0","6.88","10407.65","0.02"
"Finland","Ghana","2015.0","Export","228.0","5.97","29920.46","0.05"
"Finland","Gibraltar","2015.0","Export","78.0","2.04","1773.32","0.0"
"Finland","Guinea","2015.0","Export","60.0","1.57","356.77","0.0"
"Finland","Gambia, The","2015.0","Export","190.0","4.97","753.74","0.0"
"Finland","Guinea-Bissau","2015.0","Export","4.0","0.1","13.08","0.0"
"Finland","Equatorial Guinea","2015.0","Export","18.0","0.47","5664.56","0.01"
"Finland","Greece","2015.0","Export","646.0","16.91","112506.42","0.19"
"Finland","Grenada","2015.0","Export","2.0","0.05","1.56","0.0"
"Finland","Greenland","2015.0","Export","74.0","1.94","2661.42","0.0"
"Finland","Guatemala","2015.0","Export","131.0","3.43","9651.65","0.02"
"Finland","Guam","2015.0","Export","49.0","1.28","122.27","0.0"
"Finland","Guyana","2015.0","Export","28.0","0.73","1841.53","0.0"
"Finland","Hong Kong, China","2015.0","Export","1065.0","27.87","338436.88","0.57"
"Finland","Heard Island and McDonald Isla","2015.0","Export","","","",""
"Finland","Honduras","2015.0","Export","71.0","1.86","5391.18","0.01"
"Finland","Croatia","2015.0","Export","447.0","11.7","27028.95","0.05"
"Finland","Haiti","2015.0","Export","14.0","0.37","38.65","0.0"
"Finland","Hungary","2015.0","Export","886.0","23.19","237741.92","0.4"
"Finland","Indonesia","2015.0","Export","542.0","14.18","377677.29","0.63"
"Finland","India","2015.0","Export","1115.0","29.18","471450.06","0.79"
"Finland","British Indian Ocean Ter.","2015.0","Export","","","",""
"Finland","Ireland","2015.0","Export","645.0","16.88","550367.08","0.92"
"Finland","Iran, Islamic Rep.","2015.0","Export","248.0","6.49","44592.43","0.07"
"Finland","Iraq","2015.0","Export","156.0","4.08","13945.39","0.02"
"Finland","Iceland","2015.0","Export","901.0","23.58","39024.16","0.07"
"Finland","Israel","2015.0","Export","713.0","18.66","194117.89","0.33"
"Finland","Italy","2015.0","Export","1261.0","33.0","1359956.18","2.28"
"Finland","Jamaica","2015.0","Export","39.0","1.02","1050.84","0.0"
"Finland","Jordan","2015.0","Export","264.0","6.91","40688.73","0.07"
"Finland","Japan","2015.0","Export","1514.0","39.62","1000550.14","1.68"
"Finland","Kazakhstan","2015.0","Export","677.0","17.72","141396.58","0.24"
"Finland","Kenya","2015.0","Export","252.0","6.6","23395.44","0.04"
"Finland","Kyrgyz Republic","2015.0","Export","142.0","3.72","4115.18","0.01"
"Finland","Cambodia","2015.0","Export","39.0","1.02","4242.41","0.01"
"Finland","Kiribati","2015.0","Export","1.0","0.03","28.65","0.0"
"Finland","St. Kitts and Nevis","2015.0","Export","","","",""
"Finland","Korea, Rep.","2015.0","Export","1155.0","30.23","776324.22","1.3"
"Finland","Kuwait","2015.0","Export","293.0","7.67","30864.6","0.05"
"Finland","Lao PDR","2015.0","Export","83.0","2.17","1269.32","0.0"
"Finland","Lebanon","2015.0","Export","339.0","8.87","28105.24","0.05"
"Finland","Liberia","2015.0","Export","40.0","1.05","5511.33","0.01"
"Finland","Libya","2015.0","Export","29.0","0.76","3978.84","0.01"
"Finland","St. Lucia","2015.0","Export","13.0","0.34","42.27","0.0"
"Finland","Latin America & Caribbean","2015.0","Export","1416.0","37.06","1604911.72","2.69"
"Finland","Sri Lanka","2015.0","Export","172.0","4.5","8417.36","0.01"
"Finland","Lesotho","2015.0","Export","1.0","0.03","128.13","0.0"
"Finland","Lithuania","2015.0","Export","1804.0","47.21","424257.63","0.71"
"Finland","Luxembourg","2015.0","Export","386.0","10.1","23958.6","0.04"
"Finland","Latvia","2015.0","Export","1963.0","51.37","674746.94","1.13"
"Finland","Macao","2015.0","Export","62.0","1.62","644.01","0.0"
"Finland","Morocco","2015.0","Export","263.0","6.88","112023.62","0.19"
"Finland","Moldova","2015.0","Export","177.0","4.63","10039.19","0.02"
"Finland","Madagascar","2015.0","Export","26.0","0.68","484.82","0.0"
"Finland","Maldives","2015.0","Export","61.0","1.6","455.95","0.0"
"Finland","Middle East & North Africa","2015.0","Export","1546.0","40.46","2007875.49","3.36"
"Finland","Mexico","2015.0","Export","613.0","16.04","346933.59","0.58"
"Finland","Marshall Islands","2015.0","Export","26.0","0.68","66.3","0.0"
"Finland","Macedonia, FYR","2015.0","Export","166.0","4.34","4942.83","0.01"
"Finland","Mali","2015.0","Export","48.0","1.26","38527.11","0.06"
"Finland","Malta","2015.0","Export","189.0","4.95","24664.86","0.04"
"Finland","Myanmar","2015.0","Export","46.0","1.2","1474.37","0.0"
"Finland","Mongolia","2015.0","Export","138.0","3.61","6093.21","0.01"
"Finland","Northern Mariana Islands","2015.0","Export","5.0","0.13","56.13","0.0"
"Finland","Montenegro","2015.0","Export","48.0","1.26","2691.18","0.0"
"Finland","Mozambique","2015.0","Export","94.0","2.46","1392.34","0.0"
"Finland","Mauritania","2015.0","Export","97.0","2.54","1210.01","0.0"
"Finland","Montserrat","2015.0","Export","1.0","0.03","4.97","0.0"
"Finland","Mauritius","2015.0","Export","142.0","3.72","2045.31","0.0"
"Finland","Malawi","2015.0","Export","23.0","0.6","2280.46","0.0"
"Finland","Malaysia","2015.0","Export","638.0","16.7","131872.56","0.22"
"Finland","North America","2015.0","Export","2262.0","59.2","4529577.53","7.59"
"Finland","Namibia","2015.0","Export","68.0","1.78","4154.63","0.01"
"Finland","New Caledonia","2015.0","Export","142.0","3.72","1267.85","0.0"
"Finland","Niger","2015.0","Export","36.0","0.94","117.07","0.0"
"Finland","Nigeria","2015.0","Export","328.0","8.58","29531.13","0.05"
"Finland","Nicaragua","2015.0","Export","44.0","1.15","2959.26","0.01"
"Finland","Niue","2015.0","Export","","","",""
"Finland","Netherlands","2015.0","Export","1491.0","39.02","3825796.16","6.41"
"Finland","Norway","2015.0","Export","2225.0","58.23","1710537.54","2.87"
"Finland","Nepal","2015.0","Export","82.0","2.15","1583.47","0.0"
"Finland","Nauru","2015.0","Export","","","",""
"Finland","New Zealand","2015.0","Export","635.0","16.62","85056.09","0.14"
"Finland","Other Asia, nes","2015.0","Export","816.0","21.36","177385.85","0.3"
"Finland","Oman","2015.0","Export","228.0","5.97","131827.77","0.22"
"Finland","Pakistan","2015.0","Export","378.0","9.89","90727.56","0.15"
"Finland","Panama","2015.0","Export","180.0","4.71","21161.7","0.04"
"Finland","Peru","2015.0","Export","369.0","9.66","81525.4","0.14"
"Finland","Philippines","2015.0","Export","471.0","12.33","143015.87","0.24"
"Finland","Papua New Guinea","2015.0","Export","66.0","1.73","2198.02","0.0"
"Finland","Poland","2015.0","Export","1466.0","38.37","1535895.79","2.57"
"Finland","Korea, Dem. Rep.","2015.0","Export","19.0","0.5","159.77","0.0"
"Finland","Portugal","2015.0","Export","665.0","17.4","153957.6","0.26"
"Finland","Paraguay","2015.0","Export","95.0","2.49","9309.37","0.02"
"Finland","Occ.Pal.Terr","2015.0","Export","14.0","0.37","800.3","0.0"
"Finland","French Polynesia","2015.0","Export","44.0","1.15","785.39","0.0"
"Finland","Qatar","2015.0","Export","449.0","11.75","36690.7","0.06"
"Finland","Romania","2015.0","Export","695.0","18.19","188641.15","0.32"
"Finland","Russian Federation","2015.0","Export","2902.0","75.95","3443649.01","5.77"
"Finland","Rwanda","2015.0","Export","73.0","1.91","1164.48","0.0"
"Finland","South Asia","2015.0","Export","1299.0","34.0","637175.15","1.07"
"Finland","Saudi Arabia","2015.0","Export","623.0","16.3","410874.09","0.69"
"Finland","Senegal","2015.0","Export","116.0","3.04","24559.29","0.04"
"Finland","Serbia, FR(Serbia/Montenegro)","2015.0","Export","508.0","13.29","29348.04","0.05"
"Finland","Singapore","2015.0","Export","1014.0","26.54","188603.48","0.32"
"Finland","Saint Helena","2015.0","Export","","","",""
"Finland","Solomon Islands","2015.0","Export","1.0","0.03","0.08","0.0"
"Finland","Sierra Leone","2015.0","Export","40.0","1.05","285.38","0.0"
"Finland","El Salvador","2015.0","Export","72.0","1.88","15615.53","0.03"
"Finland","San Marino","2015.0","Export","22.0","0.58","2014.3","0.0"
"Finland","Somalia","2015.0","Export","51.0","1.33","412.35","0.0"
"Finland","Saint Pierre and Miquelon","2015.0","Export","4.0","0.1","3.69","0.0"
"Finland","South Sudan","2015.0","Export","10.0","0.26","404.27","0.0"
"Finland","Sub-Saharan Africa","2015.0","Export","1248.0","32.66","638891.98","1.07"
"Finland","Sao Tome and Principe","2015.0","Export","","","",""
"Finland","Sudan","2015.0","Export","139.0","3.64","9041.14","0.02"
"Finland","Suriname","2015.0","Export","44.0","1.15","25994.6","0.04"
"Finland","Slovak Republic","2015.0","Export","794.0","20.78","136793.93","0.23"
"Finland","Slovenia","2015.0","Export","668.0","17.48","86007.88","0.14"
"Finland","Sweden","2015.0","Export","2488.0","65.11","6049930.54","10.14"
"Finland","Swaziland","2015.0","Export","2.0","0.05","153.83","0.0"
"Finland","Saint Maarten (Dutch part)","2015.0","Export","31.0","0.81","945.2","0.0"
"Finland","Seychelles","2015.0","Export","89.0","2.33","16376.24","0.03"
"Finland","Syrian Arab Republic","2015.0","Export","37.0","0.97","3001.54","0.01"
"Finland","Turks and Caicos Isl.","2015.0","Export","15.0","0.39","4223.8","0.01"
"Finland","Chad","2015.0","Export","9.0","0.24","127.21","0.0"
"Finland","Togo","2015.0","Export","47.0","1.23","5495.62","0.01"
"Finland","Thailand","2015.0","Export","776.0","20.31","218884.8","0.37"
"Finland","Tajikistan","2015.0","Export","39.0","1.02","1005.8","0.0"
"Finland","Tokelau","2015.0","Export","2.0","0.05","0.41","0.0"
"Finland","Turkmenistan","2015.0","Export","81.0","2.12","11963.64","0.02"
"Finland","East Timor","2015.0","Export","21.0","0.55","15672.23","0.03"
"Finland","Tonga","2015.0","Export","2.0","0.05","2.91","0.0"
"Finland","Trinidad and Tobago","2015.0","Export","70.0","1.83","1580.98","0.0"
"Finland","Tunisia","2015.0","Export","188.0","4.92","48841.86","0.08"
"Finland","Turkey","2015.0","Export","1104.0","28.89","835938.52","1.4"
"Finland","Tuvalu","2015.0","Export","","","",""
"Finland","Tanzania","2015.0","Export","226.0","5.91","29562.59","0.05"
"Finland","Uganda","2015.0","Export","94.0","2.46","3365.17","0.01"
"Finland","Ukraine","2015.0","Export","839.0","21.96","208554.95","0.35"
"Finland","United States Minor Outlying I","2015.0","Export","1.0","0.03","0.19","0.0"
"Finland","Unspecified","2015.0","Export","27.0","0.71","1853845.77","3.11"
"Finland","Uruguay","2015.0","Export","436.0","11.41","40467.96","0.07"
"Finland","United States","2015.0","Export","2161.0","56.56","4003917.95","6.71"
"Finland","Uzbekistan","2015.0","Export","195.0","5.1","17982.72","0.03"
"Finland","Holy See","2015.0","Export","1.0","0.03","52.26","0.0"
"Finland","St. Vincent and the Grenadines","2015.0","Export","2.0","0.05","85.27","0.0"
"Finland","Venezuela","2015.0","Export","141.0","3.69","20832.05","0.03"
"Finland","British Virgin Islands","2015.0","Export","34.0","0.89","1897.58","0.0"
"Finland","Vietnam","2015.0","Export","481.0","12.59","118612.71","0.2"
"Finland","Vanuatu","2015.0","Export","1.0","0.03","64.1","0.0"
"Finland"," World","2015.0","Export","3821.0","100.0","59682311.21","100.0"
"Finland","Wallis and Futura Isl.","2015.0","Export","","","",""
"Finland","Samoa","2015.0","Export","","","",""
"Finland","Yemen","2015.0","Export","14.0","0.37","1806.56","0.0"
"Finland","South Africa","2015.0","Export","799.0","20.91","295167.79","0.49"
"Finland","Congo, Dem. Rep.","2015.0","Export","69.0","1.81","2427.64","0.0"
"Finland","Zambia","2015.0","Export","184.0","4.82","24637.6","0.04"
"Finland","Zimbabwe","2015.0","Export","58.0","1.52","10135.84","0.02"
