"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Fiji","Afghanistan","2015.0","Export","1.0","0.05","8.37","0.0"
"Fiji","Anguila","2015.0","Export","1.0","0.05","9.53","0.0"
"Fiji","United Arab Emirates","2015.0","Export","11.0","0.52","1024.66","0.11"
"Fiji","Argentina","2015.0","Export","3.0","0.14","11.0","0.0"
"Fiji","American Samoa","2015.0","Export","157.0","7.42","12191.02","1.36"
"Fiji","Fr. So. Ant. Tr","2015.0","Export","1.0","0.05","10.34","0.0"
"Fiji","Antigua and Barbuda","2015.0","Export","","","",""
"Fiji","Australia","2015.0","Export","771.0","36.45","135493.47","15.14"
"Fiji","Austria","2015.0","Export","6.0","0.28","66.25","0.01"
"Fiji","Azerbaijan","2015.0","Export","1.0","0.05","47.33","0.01"
"Fiji","Belgium","2015.0","Export","26.0","1.23","84.11","0.01"
"Fiji","Bangladesh","2015.0","Export","1.0","0.05","8.09","0.0"
"Fiji","Bulgaria","2015.0","Export","1.0","0.05","0.38","0.0"
"Fiji","Bahrain","2015.0","Export","1.0","0.05","28.36","0.0"
"Fiji","Bahamas, The","2015.0","Export","","","",""
"Fiji","Bosnia and Herzegovina","2015.0","Export","","","",""
"Fiji","Belarus","2015.0","Export","","","",""
"Fiji","Belize","2015.0","Export","","","",""
"Fiji","Bermuda","2015.0","Export","1.0","0.05","0.63","0.0"
"Fiji","Brazil","2015.0","Export","8.0","0.38","22.67","0.0"
"Fiji","Barbados","2015.0","Export","2.0","0.09","95.44","0.01"
"Fiji","Brunei","2015.0","Export","7.0","0.33","1.63","0.0"
"Fiji","Bhutan","2015.0","Export","","","",""
"Fiji","Bunkers","2015.0","Export","1.0","0.05","56223.55","6.28"
"Fiji","Botswana","2015.0","Export","","","",""
"Fiji","Canada","2015.0","Export","115.0","5.44","3672.99","0.41"
"Fiji","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Fiji","Switzerland","2015.0","Export","7.0","0.33","45.03","0.01"
"Fiji","Chile","2015.0","Export","3.0","0.14","10.25","0.0"
"Fiji","China","2015.0","Export","154.0","7.28","40759.7","4.55"
"Fiji","Cameroon","2015.0","Export","","","",""
"Fiji","Congo, Rep.","2015.0","Export","","","",""
"Fiji","Cook Islands","2015.0","Export","274.0","12.96","12059.67","1.35"
"Fiji","Colombia","2015.0","Export","1.0","0.05","4.71","0.0"
"Fiji","Comoros","2015.0","Export","","","",""
"Fiji","Cape Verde","2015.0","Export","","","",""
"Fiji","Costa Rica","2015.0","Export","","","",""
"Fiji","Cuba","2015.0","Export","","","",""
"Fiji","Curaçao","2015.0","Export","3.0","0.14","92.25","0.01"
"Fiji","Christmas Island","2015.0","Export","138.0","6.52","422.8","0.05"
"Fiji","Cyprus","2015.0","Export","","","",""
"Fiji","Czech Republic","2015.0","Export","24.0","1.13","104.32","0.01"
"Fiji","Germany","2015.0","Export","26.0","1.23","1695.1","0.19"
"Fiji","Denmark","2015.0","Export","3.0","0.14","23.18","0.0"
"Fiji","Dominican Republic","2015.0","Export","2.0","0.09","5563.86","0.62"
"Fiji","East Asia & Pacific","2015.0","Export","1973.0","93.29","490142.24","54.75"
"Fiji","Europe & Central Asia","2015.0","Export","149.0","7.04","73279.19","8.19"
"Fiji","Ecuador","2015.0","Export","","","",""
"Fiji","Egypt, Arab Rep.","2015.0","Export","1.0","0.05","7.14","0.0"
"Fiji","Spain","2015.0","Export","5.0","0.24","16.31","0.0"
"Fiji","Estonia","2015.0","Export","","","",""
"Fiji","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Fiji","Finland","2015.0","Export","","","",""
"Fiji","Fiji","2015.0","Export","","","",""
"Fiji","Falkland Island","2015.0","Export","","","",""
"Fiji","France","2015.0","Export","17.0","0.8","361.24","0.04"
"Fiji","Faeroe Islands","2015.0","Export","","","",""
"Fiji","Micronesia, Fed. Sts.","2015.0","Export","34.0","1.61","173.6","0.02"
"Fiji","United Kingdom","2015.0","Export","56.0","2.65","39214.47","4.38"
"Fiji","Georgia","2015.0","Export","1.0","0.05","23.54","0.0"
"Fiji","Ghana","2015.0","Export","","","",""
"Fiji","Gambia, The","2015.0","Export","","","",""
"Fiji","Guinea-Bissau","2015.0","Export","","","",""
"Fiji","Greece","2015.0","Export","1.0","0.05","2.38","0.0"
"Fiji","Grenada","2015.0","Export","","","",""
"Fiji","Guatemala","2015.0","Export","","","",""
"Fiji","Guam","2015.0","Export","5.0","0.24","252.31","0.03"
"Fiji","Guyana","2015.0","Export","","","",""
"Fiji","Hong Kong, China","2015.0","Export","114.0","5.39","17618.98","1.97"
"Fiji","Honduras","2015.0","Export","","","",""
"Fiji","Hungary","2015.0","Export","","","",""
"Fiji","Indonesia","2015.0","Export","17.0","0.8","667.5","0.07"
"Fiji","India","2015.0","Export","20.0","0.95","270.04","0.03"
"Fiji","British Indian Ocean Ter.","2015.0","Export","","","",""
"Fiji","Ireland","2015.0","Export","3.0","0.14","23.24","0.0"
"Fiji","Iran, Islamic Rep.","2015.0","Export","1.0","0.05","0.51","0.0"
"Fiji","Iraq","2015.0","Export","1.0","0.05","0.54","0.0"
"Fiji","Iceland","2015.0","Export","","","",""
"Fiji","Israel","2015.0","Export","8.0","0.38","63.56","0.01"
"Fiji","Italy","2015.0","Export","6.0","0.28","33.92","0.0"
"Fiji","Jamaica","2015.0","Export","","","",""
"Fiji","Jordan","2015.0","Export","1.0","0.05","0.51","0.0"
"Fiji","Japan","2015.0","Export","46.0","2.17","34731.26","3.88"
"Fiji","Kenya","2015.0","Export","4.0","0.19","16.82","0.0"
"Fiji","Cambodia","2015.0","Export","2.0","0.09","80.57","0.01"
"Fiji","Kiribati","2015.0","Export","828.0","39.15","35177.22","3.93"
"Fiji","Korea, Rep.","2015.0","Export","49.0","2.32","2575.29","0.29"
"Fiji","Kuwait","2015.0","Export","1.0","0.05","153.82","0.02"
"Fiji","Lao PDR","2015.0","Export","1.0","0.05","0.51","0.0"
"Fiji","Lebanon","2015.0","Export","1.0","0.05","1.01","0.0"
"Fiji","Liberia","2015.0","Export","","","",""
"Fiji","Latin America & Caribbean","2015.0","Export","21.0","0.99","7330.55","0.82"
"Fiji","Sri Lanka","2015.0","Export","17.0","0.8","931.96","0.1"
"Fiji","Lithuania","2015.0","Export","","","",""
"Fiji","Luxembourg","2015.0","Export","","","",""
"Fiji","Macao","2015.0","Export","2.0","0.09","193.47","0.02"
"Fiji","Morocco","2015.0","Export","1.0","0.05","1.48","0.0"
"Fiji","Madagascar","2015.0","Export","","","",""
"Fiji","Maldives","2015.0","Export","1.0","0.05","22.19","0.0"
"Fiji","Middle East & North Africa","2015.0","Export","24.0","1.13","1764.08","0.2"
"Fiji","Mexico","2015.0","Export","1.0","0.05","16.85","0.0"
"Fiji","Marshall Islands","2015.0","Export","60.0","2.84","1211.15","0.14"
"Fiji","Mali","2015.0","Export","","","",""
"Fiji","Malta","2015.0","Export","","","",""
"Fiji","Myanmar","2015.0","Export","1.0","0.05","12.27","0.0"
"Fiji","Mongolia","2015.0","Export","","","",""
"Fiji","Mozambique","2015.0","Export","7.0","0.33","123.26","0.01"
"Fiji","Mauritius","2015.0","Export","","","",""
"Fiji","Malawi","2015.0","Export","","","",""
"Fiji","Malaysia","2015.0","Export","21.0","0.99","6256.17","0.7"
"Fiji","North America","2015.0","Export","321.0","15.18","144001.77","16.09"
"Fiji","Namibia","2015.0","Export","20.0","0.95","32.49","0.0"
"Fiji","New Caledonia","2015.0","Export","87.0","4.11","8454.0","0.94"
"Fiji","Niger","2015.0","Export","","","",""
