"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"France","Aruba","2015.0","Export","244.0","5.57","9735.61","0.0"
"France","Afghanistan","2015.0","Export","200.0","4.57","24131.88","0.0"
"France","Angola","2015.0","Export","1447.0","33.06","673254.95","0.14"
"France","Anguila","2015.0","Export","33.0","0.75","376.6","0.0"
"France","Albania","2015.0","Export","833.0","19.03","43917.49","0.01"
"France","Andorra","2015.0","Export","1767.0","40.37","243264.23","0.05"
"France","United Arab Emirates","2015.0","Export","2764.0","63.15","4262119.4","0.86"
"France","Argentina","2015.0","Export","1637.0","37.4","1435361.23","0.29"
"France","Armenia","2015.0","Export","807.0","18.44","44303.82","0.01"
"France","American Samoa","2015.0","Export","26.0","0.59","1325.09","0.0"
"France","Antarctica","2015.0","Export","44.0","1.01","3699.36","0.0"
"France","Fr. So. Ant. Tr","2015.0","Export","68.0","1.55","5719.52","0.0"
"France","Antigua and Barbuda","2015.0","Export","297.0","6.79","27011.43","0.01"
"France","Australia","2015.0","Export","2466.0","56.34","2613093.13","0.53"
"France","Austria","2015.0","Export","3306.0","75.53","3876004.65","0.78"
"France","Azerbaijan","2015.0","Export","1076.0","24.58","193984.48","0.04"
"France","Burundi","2015.0","Export","281.0","6.42","18802.15","0.0"
"France","Belgium","2015.0","Export","4096.0","93.58","33602849.67","6.8"
"France","Benin","2015.0","Export","1600.0","36.55","283968.31","0.06"
"France","Bonaire","2015.0","Export","7.0","0.16","8759.98","0.0"
"France","Burkina Faso","2015.0","Export","1606.0","36.69","287287.03","0.06"
"France","Bangladesh","2015.0","Export","699.0","15.97","320472.4","0.06"
"France","Bulgaria","2015.0","Export","2671.0","61.02","845718.67","0.17"
"France","Bahrain","2015.0","Export","1392.0","31.8","144448.84","0.03"
"France","Bahamas, The","2015.0","Export","295.0","6.74","75464.16","0.02"
"France","Bosnia and Herzegovina","2015.0","Export","888.0","20.29","88999.42","0.02"
"France","Saint Barthélemy","2015.0","Export","1471.0","33.61","94600.63","0.02"
"France","Belarus","2015.0","Export","1011.0","23.1","168402.01","0.03"
"France","Belize","2015.0","Export","25.0","0.57","1146.0","0.0"
"France","Bermuda","2015.0","Export","282.0","6.44","5713.58","0.0"
"France","Bolivia","2015.0","Export","531.0","12.13","61444.73","0.01"
"France","Brazil","2015.0","Export","2326.0","53.14","5329448.92","1.08"
"France","Barbados","2015.0","Export","329.0","7.52","26501.62","0.01"
"France","Brunei","2015.0","Export","323.0","7.38","78920.04","0.02"
"France","Bhutan","2015.0","Export","46.0","1.05","321.3","0.0"
"France","Bouvet Island","2015.0","Export","","","",""
"France","Botswana","2015.0","Export","146.0","3.34","13818.54","0.0"
"France","Central African Republic","2015.0","Export","787.0","17.98","49602.97","0.01"
