"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"United Kingdom","Aruba","2015.0","Export","138.0","3.06","30480.97","0.01"
"United Kingdom","Afghanistan","2015.0","Export","380.0","8.44","27252.93","0.01"
"United Kingdom","Angola","2015.0","Export","1146.0","25.44","698602.15","0.15"
"United Kingdom","Anguila","2015.0","Export","67.0","1.49","1265.91","0.0"
"United Kingdom","Albania","2015.0","Export","426.0","9.46","23449.37","0.01"
"United Kingdom","Andorra","2015.0","Export","226.0","5.02","13331.39","0.0"
"United Kingdom","United Arab Emirates","2015.0","Export","3273.0","72.65","10449620.24","2.24"
"United Kingdom","Argentina","2015.0","Export","1014.0","22.51","441105.88","0.09"
"United Kingdom","Armenia","2015.0","Export","488.0","10.83","22296.49","0.0"
"United Kingdom","American Samoa","2015.0","Export","22.0","0.49","250.51","0.0"
"United Kingdom","Antarctica","2015.0","Export","16.0","0.36","1111.29","0.0"
"United Kingdom","Fr. So. Ant. Tr","2015.0","Export","6.0","0.13","62.36","0.0"
"United Kingdom","Antigua and Barbuda","2015.0","Export","414.0","9.19","39281.74","0.01"
"United Kingdom","Australia","2015.0","Export","3117.0","69.19","5783981.48","1.24"
"United Kingdom","Austria","2015.0","Export","3280.0","72.81","2454158.69","0.53"
"United Kingdom","Azerbaijan","2015.0","Export","1457.0","32.34","1015386.29","0.22"
"United Kingdom","Burundi","2015.0","Export","96.0","2.13","3141.9","0.0"
"United Kingdom","Belgium","2015.0","Export","3812.0","84.62","17715047.89","3.8"
"United Kingdom","Benin","2015.0","Export","226.0","5.02","90108.93","0.02"
"United Kingdom","Bonaire","2015.0","Export","189.0","4.2","8516.15","0.0"
"United Kingdom","Burkina Faso","2015.0","Export","205.0","4.55","10366.65","0.0"
"United Kingdom","Bangladesh","2015.0","Export","876.0","19.45","204611.21","0.04"
"United Kingdom","Bulgaria","2015.0","Export","2612.0","57.98","530649.2","0.11"
"United Kingdom","Bahrain","2015.0","Export","1695.0","37.62","456774.9","0.1"
"United Kingdom","Bahamas, The","2015.0","Export","481.0","10.68","45348.82","0.01"
"United Kingdom","Bosnia and Herzegovina","2015.0","Export","471.0","10.46","36864.55","0.01"
"United Kingdom","Belarus","2015.0","Export","619.0","13.74","100112.91","0.02"
"United Kingdom","Belize","2015.0","Export","190.0","4.22","11171.47","0.0"
"United Kingdom","Bermuda","2015.0","Export","608.0","13.5","35116.41","0.01"
"United Kingdom","Bolivia","2015.0","Export","334.0","7.41","36193.93","0.01"
"United Kingdom","Brazil","2015.0","Export","1933.0","42.91","3276148.34","0.7"
"United Kingdom","Barbados","2015.0","Export","906.0","20.11","54741.01","0.01"
"United Kingdom","Brunei","2015.0","Export","673.0","14.94","630209.02","0.14"
"United Kingdom","Bhutan","2015.0","Export","41.0","0.91","1226.58","0.0"
"United Kingdom","Bunkers","2015.0","Export","183.0","4.06","98762.12","0.02"
"United Kingdom","Bouvet Island","2015.0","Export","5.0","0.11","97.56","0.0"
"United Kingdom","Botswana","2015.0","Export","330.0","7.33","32172.98","0.01"
"United Kingdom","Central African Republic","2015.0","Export","63.0","1.4","4526.75","0.0"
"United Kingdom","Canada","2015.0","Export","2866.0","63.62","5873845.39","1.26"
"United Kingdom","Cocos (Keeling) Islands","2015.0","Export","1.0","0.02","13.2","0.0"
"United Kingdom","Switzerland","2015.0","Export","3195.0","70.92","34021568.84","7.3"
"United Kingdom","Chile","2015.0","Export","1523.0","33.81","683690.97","0.15"
"United Kingdom","China","2015.0","Export","3064.0","68.01","27625408.71","5.92"
"United Kingdom","Cote d'Ivoire","2015.0","Export","775.0","17.2","188438.21","0.04"
"United Kingdom","Cameroon","2015.0","Export","523.0","11.61","60753.49","0.01"
"United Kingdom","Congo, Rep.","2015.0","Export","616.0","13.67","225100.23","0.05"
"United Kingdom","Cook Islands","2015.0","Export","8.0","0.18","123.92","0.0"
"United Kingdom","Colombia","2015.0","Export","1180.0","26.19","551578.17","0.12"
"United Kingdom","Comoros","2015.0","Export","22.0","0.49","839.83","0.0"
"United Kingdom","Cape Verde","2015.0","Export","91.0","2.02","4453.86","0.0"
"United Kingdom","Costa Rica","2015.0","Export","540.0","11.99","114927.89","0.02"
"United Kingdom","Cuba","2015.0","Export","172.0","3.82","38620.86","0.01"
"United Kingdom","Curaçao","2015.0","Export","214.0","4.75","41175.4","0.01"
"United Kingdom","Christmas Island","2015.0","Export","1.0","0.02","81.96","0.0"
"United Kingdom","Cayman Islands","2015.0","Export","328.0","7.28","28988.95","0.01"
"United Kingdom","Cyprus","2015.0","Export","2781.0","61.73","566863.84","0.12"
"United Kingdom","Czech Republic","2015.0","Export","3272.0","72.63","2999000.32","0.64"
"United Kingdom","Germany","2015.0","Export","4092.0","90.83","46631518.22","10.0"
"United Kingdom","Djibouti","2015.0","Export","168.0","3.73","18120.51","0.0"
"United Kingdom","Dominica","2015.0","Export","218.0","4.84","9084.59","0.0"
"United Kingdom","Denmark","2015.0","Export","3459.0","76.78","3534249.67","0.76"
"United Kingdom","Dominican Republic","2015.0","Export","575.0","12.76","200095.39","0.04"
"United Kingdom","Algeria","2015.0","Export","1001.0","22.22","509427.34","0.11"
"United Kingdom","East Asia & Pacific","2015.0","Export","4090.0","90.79","70857791.63","15.2"
"United Kingdom","Europe & Central Asia","2015.0","Export","4461.0","99.02","255679805.57","54.83"
"United Kingdom","Ecuador","2015.0","Export","527.0","11.7","182023.62","0.04"
"United Kingdom","Egypt, Arab Rep.","2015.0","Export","2033.0","45.13","1545230.56","0.33"
"United Kingdom","Eritrea","2015.0","Export","96.0","2.13","2450.64","0.0"
