"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Georgia","Afghanistan","2015.0","Export","29.0","1.33","328.72","0.01"
"Georgia","Angola","2015.0","Export","1.0","0.05","3029.14","0.14"
"Georgia","Albania","2015.0","Export","4.0","0.18","204.98","0.01"
"Georgia","Andorra","2015.0","Export","","","",""
"Georgia","United Arab Emirates","2015.0","Export","237.0","10.91","28112.39","1.28"
"Georgia","Argentina","2015.0","Export","1.0","0.05","1567.84","0.07"
"Georgia","Armenia","2015.0","Export","1243.0","57.2","157001.72","7.12"
"Georgia","Australia","2015.0","Export","62.0","2.85","1167.02","0.05"
"Georgia","Austria","2015.0","Export","107.0","4.92","2355.83","0.11"
"Georgia","Azerbaijan","2015.0","Export","1121.0","51.59","240950.36","10.93"
"Georgia","Belgium","2015.0","Export","192.0","8.84","16305.4","0.74"
"Georgia","Benin","2015.0","Export","2.0","0.09","61.13","0.0"
"Georgia","Burkina Faso","2015.0","Export","","","",""
"Georgia","Bangladesh","2015.0","Export","","","",""
"Georgia","Bulgaria","2015.0","Export","51.0","2.35","214247.11","9.72"
"Georgia","Bahrain","2015.0","Export","5.0","0.23","54.58","0.0"
"Georgia","Bosnia and Herzegovina","2015.0","Export","","","",""
"Georgia","Belarus","2015.0","Export","135.0","6.21","20466.43","0.93"
"Georgia","Belize","2015.0","Export","1.0","0.05","5.93","0.0"
"Georgia","Brazil","2015.0","Export","16.0","0.74","19929.22","0.9"
"Georgia","Central African Republic","2015.0","Export","","","",""
"Georgia","Canada","2015.0","Export","83.0","3.82","70170.33","3.18"
"Georgia","Switzerland","2015.0","Export","121.0","5.57","30842.96","1.4"
"Georgia","Chile","2015.0","Export","2.0","0.09","2600.18","0.12"
"Georgia","China","2015.0","Export","69.0","3.18","125800.2","5.71"
"Georgia","Cote d'Ivoire","2015.0","Export","4.0","0.18","0.89","0.0"
"Georgia","Cameroon","2015.0","Export","","","",""
"Georgia","Congo, Rep.","2015.0","Export","","","",""
"Georgia","Colombia","2015.0","Export","2.0","0.09","2699.34","0.12"
"Georgia","Costa Rica","2015.0","Export","3.0","0.14","1432.7","0.07"
"Georgia","Cuba","2015.0","Export","32.0","1.47","78.1","0.0"
"Georgia","Cyprus","2015.0","Export","9.0","0.41","438.69","0.02"
"Georgia","Czech Republic","2015.0","Export","164.0","7.55","13369.31","0.61"
"Georgia","Germany","2015.0","Export","523.0","24.07","75811.32","3.44"
"Georgia","Denmark","2015.0","Export","14.0","0.64","440.01","0.02"
"Georgia","Algeria","2015.0","Export","15.0","0.69","291.06","0.01"
"Georgia","East Asia & Pacific","2015.0","Export","255.0","11.73","146473.27","6.64"
"Georgia","Europe & Central Asia","2015.0","Export","2066.0","95.08","1658943.28","75.25"
"Georgia","Ecuador","2015.0","Export","1.0","0.05","2310.84","0.1"
"Georgia","Egypt, Arab Rep.","2015.0","Export","224.0","10.31","3739.3","0.17"
"Georgia","Spain","2015.0","Export","147.0","6.76","41938.04","1.9"
"Georgia","Estonia","2015.0","Export","41.0","1.89","2243.07","0.1"
"Georgia","Ethiopia(excludes Eritrea)","2015.0","Export","1.0","0.05","834.92","0.04"
"Georgia","Finland","2015.0","Export","7.0","0.32","413.24","0.02"
"Georgia","France","2015.0","Export","143.0","6.58","21113.81","0.96"
"Georgia","Faeroe Islands","2015.0","Export","","","",""
"Georgia","Gabon","2015.0","Export","","","",""
"Georgia","United Kingdom","2015.0","Export","245.0","11.27","21449.71","0.97"
"Georgia","Ghana","2015.0","Export","25.0","1.15","6.3","0.0"
"Georgia","Gibraltar","2015.0","Export","1.0","0.05","6385.76","0.29"
"Georgia","Guinea","2015.0","Export","1.0","0.05","90.0","0.0"
"Georgia","Greece","2015.0","Export","37.0","1.7","10569.5","0.48"
"Georgia","Guatemala","2015.0","Export","8.0","0.37","2420.37","0.11"
"Georgia","Hong Kong, China","2015.0","Export","54.0","2.48","2691.14","0.12"
"Georgia","Honduras","2015.0","Export","","","",""
"Georgia","Croatia","2015.0","Export","8.0","0.37","2010.54","0.09"
"Georgia","Hungary","2015.0","Export","74.0","3.41","666.51","0.03"
"Georgia","Indonesia","2015.0","Export","2.0","0.09","142.05","0.01"
"Georgia","India","2015.0","Export","20.0","0.92","14326.77","0.65"
"Georgia","Ireland","2015.0","Export","34.0","1.56","2195.72","0.1"
"Georgia","Iran, Islamic Rep.","2015.0","Export","448.0","20.62","35782.41","1.62"
"Georgia","Iraq","2015.0","Export","108.0","4.97","10936.45","0.5"
"Georgia","Iceland","2015.0","Export","","","",""
"Georgia","Israel","2015.0","Export","100.0","4.6","5651.4","0.26"
"Georgia","Italy","2015.0","Export","328.0","15.09","74605.62","3.38"
"Georgia","Jamaica","2015.0","Export","1.0","0.05","15.23","0.0"
"Georgia","Jordan","2015.0","Export","24.0","1.1","7390.09","0.34"
"Georgia","Japan","2015.0","Export","95.0","4.37","3304.19","0.15"
"Georgia","Kazakhstan","2015.0","Export","271.0","12.47","44962.97","2.04"
"Georgia","Kenya","2015.0","Export","31.0","1.43","1.52","0.0"
"Georgia","Kyrgyz Republic","2015.0","Export","54.0","2.48","6666.94","0.3"
"Georgia","Cambodia","2015.0","Export","2.0","0.09","3.99","0.0"
"Georgia","Korea, Rep.","2015.0","Export","14.0","0.64","2592.96","0.12"
"Georgia","Kuwait","2015.0","Export","3.0","0.14","37.29","0.0"
"Georgia","Lebanon","2015.0","Export","52.0","2.39","5295.16","0.24"
"Georgia","Libya","2015.0","Export","4.0","0.18","2370.2","0.11"
"Georgia","Latin America & Caribbean","2015.0","Export","65.0","2.99","43093.73","1.95"
"Georgia","Sri Lanka","2015.0","Export","2.0","0.09","0.31","0.0"
"Georgia","Lithuania","2015.0","Export","120.0","5.52","33316.2","1.51"
"Georgia","Luxembourg","2015.0","Export","","","",""
"Georgia","Latvia","2015.0","Export","127.0","5.84","6387.89","0.29"
"Georgia","Morocco","2015.0","Export","1.0","0.05","145.73","0.01"
"Georgia","Moldova","2015.0","Export","50.0","2.3","6534.32","0.3"
"Georgia","Middle East & North Africa","2015.0","Export","772.0","35.53","106813.64","4.84"
"Georgia","Mexico","2015.0","Export","2.0","0.09","331.79","0.01"
"Georgia","Marshall Islands","2015.0","Export","","","",""
"Georgia","Macedonia, FYR","2015.0","Export","8.0","0.37","57.66","0.0"
"Georgia","Malta","2015.0","Export","57.0","2.62","311.59","0.01"
"Georgia","Mongolia","2015.0","Export","10.0","0.46","898.02","0.04"
"Georgia","Malawi","2015.0","Export","29.0","1.33","0.8","0.0"
"Georgia","Malaysia","2015.0","Export","6.0","0.28","2295.68","0.1"
"Georgia","North America","2015.0","Export","357.0","16.43","174361.15","7.91"
