"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Guinea","Angola","2015.0","Export","4.0","0.86","63.84","0.0"
"Guinea","Albania","2015.0","Export","","","",""
"Guinea","Andorra","2015.0","Export","","","",""
"Guinea","United Arab Emirates","2015.0","Export","14.0","3.01","156064.9","9.92"
"Guinea","Argentina","2015.0","Export","","","",""
"Guinea","Antarctica","2015.0","Export","","","",""
"Guinea","Australia","2015.0","Export","8.0","1.72","92.04","0.01"
"Guinea","Austria","2015.0","Export","","","",""
"Guinea","Azerbaijan","2015.0","Export","","","",""
"Guinea","Burundi","2015.0","Export","","","",""
"Guinea","Belgium","2015.0","Export","28.0","6.02","13770.91","0.88"
"Guinea","Benin","2015.0","Export","14.0","3.01","1901.82","0.12"
"Guinea","Burkina Faso","2015.0","Export","16.0","3.44","1638.45","0.1"
"Guinea","Bangladesh","2015.0","Export","1.0","0.22","312.97","0.02"
"Guinea","Bulgaria","2015.0","Export","","","",""
"Guinea","Bahrain","2015.0","Export","","","",""
"Guinea","Bosnia and Herzegovina","2015.0","Export","","","",""
"Guinea","Belarus","2015.0","Export","","","",""
"Guinea","Bolivia","2015.0","Export","","","",""
"Guinea","Brazil","2015.0","Export","2.0","0.43","137.76","0.01"
"Guinea","Barbados","2015.0","Export","","","",""
"Guinea","Canada","2015.0","Export","14.0","3.01","44088.77","2.8"
"Guinea","Switzerland","2015.0","Export","12.0","2.58","26487.96","1.68"
"Guinea","Chile","2015.0","Export","","","",""
"Guinea","China","2015.0","Export","64.0","13.76","27907.66","1.77"
"Guinea","Cote d'Ivoire","2015.0","Export","45.0","9.68","1066.23","0.07"
"Guinea","Cameroon","2015.0","Export","7.0","1.51","225.57","0.01"
"Guinea","Congo, Rep.","2015.0","Export","8.0","1.72","54.73","0.0"
"Guinea","Cook Islands","2015.0","Export","","","",""
"Guinea","Colombia","2015.0","Export","","","",""
"Guinea","Cape Verde","2015.0","Export","2.0","0.43","0.75","0.0"
"Guinea","Costa Rica","2015.0","Export","1.0","0.22","1.34","0.0"
"Guinea","Cuba","2015.0","Export","","","",""
"Guinea","Curaçao","2015.0","Export","","","",""
"Guinea","Cyprus","2015.0","Export","","","",""
"Guinea","Czech Republic","2015.0","Export","","","",""
"Guinea","Germany","2015.0","Export","19.0","4.09","114784.74","7.29"
"Guinea","Djibouti","2015.0","Export","2.0","0.43","25.5","0.0"
"Guinea","Denmark","2015.0","Export","4.0","0.86","221.04","0.01"
"Guinea","Algeria","2015.0","Export","","","",""
"Guinea","East Asia & Pacific","2015.0","Export","84.0","18.06","48193.79","3.06"
"Guinea","Europe & Central Asia","2015.0","Export","141.0","30.32","553671.84","35.18"
"Guinea","Egypt, Arab Rep.","2015.0","Export","2.0","0.43","53.73","0.0"
"Guinea","Eritrea","2015.0","Export","","","",""
"Guinea","Spain","2015.0","Export","16.0","3.44","135881.61","8.63"
"Guinea","Estonia","2015.0","Export","1.0","0.22","1.34","0.0"
"Guinea","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Guinea","Finland","2015.0","Export","1.0","0.22","0.34","0.0"
"Guinea","France","2015.0","Export","66.0","14.19","88994.08","5.66"
"Guinea","Gabon","2015.0","Export","4.0","0.86","226.99","0.01"
"Guinea","United Kingdom","2015.0","Export","26.0","5.59","3819.25","0.24"
"Guinea","Georgia","2015.0","Export","","","",""
"Guinea","Ghana","2015.0","Export","14.0","3.01","346506.95","22.02"
"Guinea","Gibraltar","2015.0","Export","","","",""
"Guinea","Gambia, The","2015.0","Export","6.0","1.29","277.99","0.02"
"Guinea","Guinea-Bissau","2015.0","Export","2.0","0.43","159.64","0.01"
"Guinea","Equatorial Guinea","2015.0","Export","9.0","1.94","63.4","0.0"
"Guinea","Greece","2015.0","Export","1.0","0.22","0.67","0.0"
"Guinea","Grenada","2015.0","Export","","","",""
"Guinea","Guatemala","2015.0","Export","1.0","0.22","51.86","0.0"
