"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Greece","Aruba","2015.0","Export","9.0","0.23","93.19","0.0"
"Greece","Afghanistan","2015.0","Export","20.0","0.5","679.05","0.0"
"Greece","Angola","2015.0","Export","63.0","1.59","6754.37","0.02"
"Greece","Anguila","2015.0","Export","3.0","0.08","29.05","0.0"
"Greece","Albania","2015.0","Export","1964.0","49.5","386551.26","1.37"
"Greece","Andorra","2015.0","Export","10.0","0.25","539.43","0.0"
"Greece","United Arab Emirates","2015.0","Export","802.0","20.21","299290.81","1.06"
"Greece","Argentina","2015.0","Export","53.0","1.34","9765.26","0.03"
"Greece","Armenia","2015.0","Export","112.0","2.82","11091.35","0.04"
"Greece","American Samoa","2015.0","Export","2.0","0.05","50.55","0.0"
"Greece","Antigua and Barbuda","2015.0","Export","23.0","0.58","15055.79","0.05"
"Greece","Australia","2015.0","Export","608.0","15.32","153932.62","0.54"
"Greece","Austria","2015.0","Export","864.0","21.77","201785.66","0.71"
"Greece","Azerbaijan","2015.0","Export","118.0","2.97","8509.58","0.03"
"Greece","Burundi","2015.0","Export","4.0","0.1","133.03","0.0"
"Greece","Belgium","2015.0","Export","1221.0","30.77","377813.97","1.34"
"Greece","Benin","2015.0","Export","22.0","0.55","649.81","0.0"
"Greece","Bonaire","2015.0","Export","6.0","0.15","20.43","0.0"
"Greece","Burkina Faso","2015.0","Export","14.0","0.35","1374.64","0.0"
"Greece","Bangladesh","2015.0","Export","48.0","1.21","10885.84","0.04"
"Greece","Bulgaria","2015.0","Export","3021.0","76.13","1416118.98","5.01"
"Greece","Bahrain","2015.0","Export","192.0","4.84","8332.94","0.03"
"Greece","Bahamas, The","2015.0","Export","178.0","4.49","42826.14","0.15"
"Greece","Bosnia and Herzegovina","2015.0","Export","244.0","6.15","77300.79","0.27"
"Greece","Saint Barthélemy","2015.0","Export","9.0","0.23","105.26","0.0"
"Greece","Belarus","2015.0","Export","74.0","1.86","11827.22","0.04"
"Greece","Belize","2015.0","Export","11.0","0.28","3506.43","0.01"
"Greece","Bermuda","2015.0","Export","8.0","0.2","11084.15","0.04"
"Greece","Bolivia","2015.0","Export","20.0","0.5","6304.51","0.02"
"Greece","Brazil","2015.0","Export","241.0","6.07","40214.91","0.14"
"Greece","Barbados","2015.0","Export","13.0","0.33","981.29","0.0"
"Greece","Brunei","2015.0","Export","11.0","0.28","503.72","0.0"
"Greece","Bunkers","2015.0","Export","261.0","6.58","181873.11","0.64"
"Greece","Botswana","2015.0","Export","7.0","0.18","204.64","0.0"
"Greece","Central African Republic","2015.0","Export","3.0","0.08","129.51","0.0"
"Greece","Canada","2015.0","Export","499.0","12.58","157216.96","0.56"
"Greece","Cocos (Keeling) Islands","2015.0","Export","1.0","0.03","2.91","0.0"
"Greece","Switzerland","2015.0","Export","743.0","18.72","145816.37","0.52"
"Greece","Chile","2015.0","Export","118.0","2.97","13330.5","0.05"
"Greece","China","2015.0","Export","520.0","13.1","252924.78","0.89"
"Greece","Cote d'Ivoire","2015.0","Export","53.0","1.34","7492.62","0.03"
"Greece","Cameroon","2015.0","Export","103.0","2.6","16233.48","0.06"
"Greece","Congo, Rep.","2015.0","Export","36.0","0.91","1540.59","0.01"
"Greece","Cook Islands","2015.0","Export","5.0","0.13","2241.07","0.01"
"Greece","Colombia","2015.0","Export","69.0","1.74","8632.67","0.03"
"Greece","Comoros","2015.0","Export","3.0","0.08","601.67","0.0"
"Greece","Cape Verde","2015.0","Export","4.0","0.1","20.81","0.0"
"Greece","Costa Rica","2015.0","Export","37.0","0.93","862.22","0.0"
"Greece","Cuba","2015.0","Export","37.0","0.93","1490.05","0.01"
"Greece","Curaçao","2015.0","Export","45.0","1.13","2903.94","0.01"
"Greece","Cayman Islands","2015.0","Export","33.0","0.83","1478.74","0.01"
"Greece","Cyprus","2015.0","Export","3080.0","77.62","1570261.39","5.55"
"Greece","Czech Republic","2015.0","Export","802.0","20.21","213071.49","0.75"
"Greece","Germany","2015.0","Export","2185.0","55.07","2058146.11","7.28"
"Greece","Djibouti","2015.0","Export","33.0","0.83","587.13","0.0"
"Greece","Dominica","2015.0","Export","1.0","0.03","1.33","0.0"
"Greece","Denmark","2015.0","Export","597.0","15.05","138846.26","0.49"
"Greece","Dominican Republic","2015.0","Export","52.0","1.31","11516.31","0.04"
"Greece","Algeria","2015.0","Export","221.0","5.57","217173.76","0.77"
"Greece","East Asia & Pacific","2015.0","Export","1318.0","33.22","1365079.95","4.83"
"Greece","Europe & Central Asia","2015.0","Export","3920.0","98.79","19140260.57","67.66"
"Greece","Ecuador","2015.0","Export","40.0","1.01","3354.87","0.01"
"Greece","Egypt, Arab Rep.","2015.0","Export","636.0","16.03","1156892.91","4.09"
"Greece","Spain","2015.0","Export","1369.0","34.5","765130.49","2.7"
"Greece","Estonia","2015.0","Export","352.0","8.87","8627.98","0.03"
"Greece","Ethiopia(excludes Eritrea)","2015.0","Export","125.0","3.15","21289.69","0.08"
"Greece","Finland","2015.0","Export","444.0","11.19","201507.14","0.71"
"Greece","Fiji","2015.0","Export","6.0","0.15","74.48","0.0"
"Greece","Falkland Island","2015.0","Export","1.0","0.03","24585.4","0.09"
"Greece","France","2015.0","Export","1444.0","36.39","726469.92","2.57"
"Greece","Faeroe Islands","2015.0","Export","2.0","0.05","1.12","0.0"
"Greece","Micronesia, Fed. Sts.","2015.0","Export","1.0","0.03","2.57","0.0"
"Greece","Gabon","2015.0","Export","22.0","0.55","768.66","0.0"
"Greece","United Kingdom","2015.0","Export","1574.0","39.67","1200586.59","4.24"
"Greece","Georgia","2015.0","Export","264.0","6.65","81612.3","0.29"
"Greece","Ghana","2015.0","Export","158.0","3.98","52783.68","0.19"
"Greece","Gibraltar","2015.0","Export","74.0","1.86","438516.95","1.55"
"Greece","Guinea","2015.0","Export","37.0","0.93","3616.66","0.01"
"Greece","Gambia, The","2015.0","Export","8.0","0.2","92.83","0.0"
"Greece","Guinea-Bissau","2015.0","Export","2.0","0.05","59.55","0.0"
"Greece","Equatorial Guinea","2015.0","Export","14.0","0.35","377.23","0.0"
"Greece","Grenada","2015.0","Export","1.0","0.03","70.18","0.0"
