"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Greenland","Afghanistan","2015.0","Export","","","",""
"Greenland","United Arab Emirates","2015.0","Export","","","",""
"Greenland","Argentina","2015.0","Export","","","",""
"Greenland","Antigua and Barbuda","2015.0","Export","","","",""
"Greenland","Australia","2015.0","Export","","","",""
"Greenland","Austria","2015.0","Export","","","",""
"Greenland","Belgium","2015.0","Export","","","",""
"Greenland","Burkina Faso","2015.0","Export","","","",""
"Greenland","Bangladesh","2015.0","Export","","","",""
"Greenland","Bulgaria","2015.0","Export","","","",""
"Greenland","Bahamas, The","2015.0","Export","","","",""
"Greenland","Bosnia and Herzegovina","2015.0","Export","","","",""
"Greenland","Belarus","2015.0","Export","","","",""
"Greenland","Bolivia","2015.0","Export","","","",""
"Greenland","Brazil","2015.0","Export","","","",""
"Greenland","Barbados","2015.0","Export","","","",""
"Greenland","Bunkers","2015.0","Export","","","",""
"Greenland","Canada","2015.0","Export","","","",""
"Greenland","Switzerland","2015.0","Export","1.0","0.38","3.15","0.0"
"Greenland","Chile","2015.0","Export","","","",""
"Greenland","China","2015.0","Export","1.0","0.38","1888.74","0.48"
"Greenland","Cote d'Ivoire","2015.0","Export","","","",""
"Greenland","Cameroon","2015.0","Export","","","",""
"Greenland","Colombia","2015.0","Export","","","",""
"Greenland","Costa Rica","2015.0","Export","","","",""
"Greenland","Cuba","2015.0","Export","","","",""
"Greenland","Curaçao","2015.0","Export","","","",""
"Greenland","Cyprus","2015.0","Export","","","",""
"Greenland","Czech Republic","2015.0","Export","","","",""
"Greenland","Germany","2015.0","Export","1.0","0.38","187.21","0.05"
"Greenland","Denmark","2015.0","Export","259.0","98.11","322437.79","81.64"
"Greenland","Dominican Republic","2015.0","Export","","","",""
"Greenland","Algeria","2015.0","Export","","","",""
"Greenland","East Asia & Pacific","2015.0","Export","1.0","0.38","1888.74","0.48"
"Greenland","Europe & Central Asia","2015.0","Export","262.0","99.24","367967.84","93.17"
"Greenland","Ecuador","2015.0","Export","","","",""
"Greenland","Egypt, Arab Rep.","2015.0","Export","","","",""
"Greenland","Spain","2015.0","Export","","","",""
"Greenland","Estonia","2015.0","Export","","","",""
"Greenland","Ethiopia(excludes Eritrea)","2015.0","Export","","","",""
"Greenland","Finland","2015.0","Export","","","",""
"Greenland","Fiji","2015.0","Export","","","",""
"Greenland","France","2015.0","Export","","","",""
"Greenland","Faeroe Islands","2015.0","Export","5.0","1.89","2122.28","0.54"
"Greenland","United Kingdom","2015.0","Export","","","",""
"Greenland","Georgia","2015.0","Export","","","",""
"Greenland","Greece","2015.0","Export","","","",""
"Greenland","Grenada","2015.0","Export","","","",""
"Greenland","Guatemala","2015.0","Export","","","",""
"Greenland","Hong Kong, China","2015.0","Export","","","",""
