"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Guatemala","Aruba","2015.0","Export","18.0","0.56","555.32","0.01"
"Guatemala","Afghanistan","2015.0","Export","1.0","0.03","83.34","0.0"
"Guatemala","Angola","2015.0","Export","14.0","0.43","22.32","0.0"
"Guatemala","Anguila","2015.0","Export","2.0","0.06","136.25","0.0"
"Guatemala","Andorra","2015.0","Export","","","",""
"Guatemala","United Arab Emirates","2015.0","Export","95.0","2.94","80229.01","0.75"
"Guatemala","Argentina","2015.0","Export","189.0","5.84","7456.76","0.07"
"Guatemala","American Samoa","2015.0","Export","","","",""
"Guatemala","Antigua and Barbuda","2015.0","Export","15.0","0.46","439.26","0.0"
"Guatemala","Australia","2015.0","Export","114.0","3.52","20173.86","0.19"
"Guatemala","Austria","2015.0","Export","136.0","4.21","357.57","0.0"
"Guatemala","Belgium","2015.0","Export","108.0","3.34","117440.82","1.1"
"Guatemala","Benin","2015.0","Export","1.0","0.03","20.13","0.0"
"Guatemala","Bangladesh","2015.0","Export","1.0","0.03","12195.64","0.11"
"Guatemala","Bulgaria","2015.0","Export","4.0","0.12","7307.27","0.07"
"Guatemala","Bahrain","2015.0","Export","2.0","0.06","833.64","0.01"
"Guatemala","Bahamas, The","2015.0","Export","33.0","1.02","5042.87","0.05"
"Guatemala","Belarus","2015.0","Export","1.0","0.03","4.3","0.0"
"Guatemala","Belize","2015.0","Export","946.0","29.25","85532.83","0.8"
"Guatemala","Bermuda","2015.0","Export","6.0","0.19","277.81","0.0"
"Guatemala","Bolivia","2015.0","Export","32.0","0.99","1175.9","0.01"
"Guatemala","Brazil","2015.0","Export","104.0","3.22","20043.25","0.19"
"Guatemala","Barbados","2015.0","Export","36.0","1.11","3093.45","0.03"
"Guatemala","Central African Republic","2015.0","Export","","","",""
"Guatemala","Canada","2015.0","Export","280.0","8.66","232161.95","2.17"
"Guatemala","Cocos (Keeling) Islands","2015.0","Export","1.0","0.03","12.68","0.0"
"Guatemala","Switzerland","2015.0","Export","101.0","3.12","2464.3","0.02"
"Guatemala","Chile","2015.0","Export","152.0","4.7","104899.58","0.98"
"Guatemala","China","2015.0","Export","135.0","4.17","207185.4","1.94"
"Guatemala","Cote d'Ivoire","2015.0","Export","2.0","0.06","12658.82","0.12"
"Guatemala","Cameroon","2015.0","Export","2.0","0.06","2976.59","0.03"
"Guatemala","Congo, Rep.","2015.0","Export","37.0","1.14","81.98","0.0"
"Guatemala","Colombia","2015.0","Export","420.0","12.99","62203.97","0.58"
"Guatemala","Costa Rica","2015.0","Export","1703.0","52.66","417674.84","3.91"
"Guatemala","Cuba","2015.0","Export","264.0","8.16","21643.22","0.2"
"Guatemala","Curaçao","2015.0","Export","23.0","0.71","1054.31","0.01"
"Guatemala","Cayman Islands","2015.0","Export","34.0","1.05","231.54","0.0"
"Guatemala","Cyprus","2015.0","Export","5.0","0.15","19.54","0.0"
