"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Guyana","Aruba","2015.0","Export","3.0","0.26","74.94","0.01"
"Guyana","Afghanistan","2015.0","Export","5.0","0.43","1.24","0.0"
"Guyana","Anguila","2015.0","Export","18.0","1.53","198.07","0.02"
"Guyana","Andorra","2015.0","Export","","","",""
"Guyana","United Arab Emirates","2015.0","Export","17.0","1.45","3870.87","0.3"
"Guyana","Argentina","2015.0","Export","","","",""
"Guyana","Fr. So. Ant. Tr","2015.0","Export","2.0","0.17","243.46","0.02"
"Guyana","Antigua and Barbuda","2015.0","Export","180.0","15.33","5532.1","0.43"
"Guyana","Australia","2015.0","Export","7.0","0.6","131.6","0.01"
"Guyana","Austria","2015.0","Export","1.0","0.09","0.5","0.0"
"Guyana","Belgium","2015.0","Export","17.0","1.45","33300.54","2.59"
"Guyana","Bangladesh","2015.0","Export","1.0","0.09","33.37","0.0"
"Guyana","Bulgaria","2015.0","Export","1.0","0.09","6896.43","0.54"
"Guyana","Bahamas, The","2015.0","Export","16.0","1.36","252.69","0.02"
"Guyana","Bosnia and Herzegovina","2015.0","Export","2.0","0.17","673.93","0.05"
"Guyana","Belize","2015.0","Export","15.0","1.28","834.52","0.06"
"Guyana","Bermuda","2015.0","Export","1.0","0.09","710.91","0.06"
"Guyana","Bolivia","2015.0","Export","","","",""
"Guyana","Brazil","2015.0","Export","14.0","1.19","9195.93","0.72"
"Guyana","Barbados","2015.0","Export","273.0","23.25","27372.99","2.13"
"Guyana","Central African Republic","2015.0","Export","","","",""
"Guyana","Canada","2015.0","Export","149.0","12.69","158633.24","12.34"
"Guyana","Switzerland","2015.0","Export","","","",""
"Guyana","Chile","2015.0","Export","30.0","2.56","469.02","0.04"
"Guyana","China","2015.0","Export","23.0","1.96","20078.87","1.56"
"Guyana","Cameroon","2015.0","Export","","","",""
"Guyana","Congo, Rep.","2015.0","Export","1.0","0.09","2.5","0.0"
"Guyana","Colombia","2015.0","Export","13.0","1.11","2735.14","0.21"
"Guyana","Cape Verde","2015.0","Export","","","",""
"Guyana","Costa Rica","2015.0","Export","7.0","0.6","178.81","0.01"
"Guyana","Cuba","2015.0","Export","19.0","1.62","67.42","0.01"
"Guyana","Curaçao","2015.0","Export","102.0","8.69","754.59","0.06"
"Guyana","Cayman Islands","2015.0","Export","10.0","0.85","2549.15","0.2"
"Guyana","Cyprus","2015.0","Export","2.0","0.17","3.34","0.0"
"Guyana","Czech Republic","2015.0","Export","1.0","0.09","2.23","0.0"
"Guyana","Germany","2015.0","Export","33.0","2.81","58432.32","4.54"
"Guyana","Djibouti","2015.0","Export","1.0","0.09","6.4","0.0"
"Guyana","Dominica","2015.0","Export","37.0","3.15","4322.27","0.34"
"Guyana","Denmark","2015.0","Export","8.0","0.68","14.19","0.0"
"Guyana","Dominican Republic","2015.0","Export","59.0","5.03","4522.7","0.35"
"Guyana","East Asia & Pacific","2015.0","Export","52.0","4.43","39770.3","3.09"
"Guyana","Europe & Central Asia","2015.0","Export","148.0","12.61","310651.35","24.16"
"Guyana","Ecuador","2015.0","Export","","","",""
"Guyana","Egypt, Arab Rep.","2015.0","Export","","","",""
"Guyana","Spain","2015.0","Export","3.0","0.26","14653.36","1.14"
"Guyana","Estonia","2015.0","Export","1.0","0.09","968.95","0.08"
"Guyana","Finland","2015.0","Export","","","",""
"Guyana","Fiji","2015.0","Export","3.0","0.26","0.14","0.0"
"Guyana","France","2015.0","Export","44.0","3.75","12904.43","1.0"
"Guyana","Micronesia, Fed. Sts.","2015.0","Export","","","",""
"Guyana","Gabon","2015.0","Export","","","",""
"Guyana","United Kingdom","2015.0","Export","61.0","5.2","91187.99","7.09"
"Guyana","Georgia","2015.0","Export","","","",""
"Guyana","Ghana","2015.0","Export","10.0","0.85","47.96","0.0"
"Guyana","Gibraltar","2015.0","Export","","","",""
"Guyana","Guinea","2015.0","Export","","","",""
"Guyana","Greece","2015.0","Export","2.0","0.17","9.0","0.0"
"Guyana","Grenada","2015.0","Export","67.0","5.71","5717.93","0.44"
"Guyana","Guatemala","2015.0","Export","3.0","0.26","78.05","0.01"
"Guyana","Guam","2015.0","Export","","","",""
"Guyana","Hong Kong, China","2015.0","Export","19.0","1.62","7425.13","0.58"
"Guyana","Honduras","2015.0","Export","2.0","0.17","89.83","0.01"
"Guyana","Croatia","2015.0","Export","","","",""
"Guyana","Haiti","2015.0","Export","32.0","2.73","13366.16","1.04"
"Guyana","Hungary","2015.0","Export","","","",""
"Guyana","Indonesia","2015.0","Export","1.0","0.09","23.39","0.0"
"Guyana","India","2015.0","Export","17.0","1.45","5972.59","0.46"
"Guyana","Ireland","2015.0","Export","1.0","0.09","9168.46","0.71"
"Guyana","Iran, Islamic Rep.","2015.0","Export","","","",""
"Guyana","Iceland","2015.0","Export","","","",""
"Guyana","Israel","2015.0","Export","14.0","1.19","1232.58","0.1"
