"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Hong Kong, China","Aruba","2015.0","Export","71.0","1.76","6025.33","0.0"
"Hong Kong, China","Afghanistan","2015.0","Export","42.0","1.04","9361.37","0.0"
"Hong Kong, China","Angola","2015.0","Export","207.0","5.14","96925.59","0.02"
"Hong Kong, China","Albania","2015.0","Export","98.0","2.43","10575.03","0.0"
"Hong Kong, China","Andorra","2015.0","Export","31.0","0.77","788.1","0.0"
"Hong Kong, China","United Arab Emirates","2015.0","Export","1160.0","28.81","6692242.16","1.31"
"Hong Kong, China","Argentina","2015.0","Export","559.0","13.88","926966.59","0.18"
"Hong Kong, China","Armenia","2015.0","Export","92.0","2.28","11345.61","0.0"
"Hong Kong, China","American Samoa","2015.0","Export","18.0","0.45","466.4","0.0"
"Hong Kong, China","Australia","2015.0","Export","1773.0","44.03","4694447.67","0.92"
"Hong Kong, China","Austria","2015.0","Export","660.0","16.39","654222.85","0.13"
"Hong Kong, China","Azerbaijan","2015.0","Export","265.0","6.58","34920.57","0.01"
"Hong Kong, China","Burundi","2015.0","Export","28.0","0.7","16186.46","0.0"
"Hong Kong, China","Belgium","2015.0","Export","849.0","21.08","2767516.38","0.54"
"Hong Kong, China","Benin","2015.0","Export","45.0","1.12","10612.27","0.0"
"Hong Kong, China","Burkina Faso","2015.0","Export","53.0","1.32","25107.23","0.0"
"Hong Kong, China","Bangladesh","2015.0","Export","967.0","24.01","1475501.12","0.29"
"Hong Kong, China","Bulgaria","2015.0","Export","291.0","7.23","64597.04","0.01"
"Hong Kong, China","Bahrain","2015.0","Export","438.0","10.88","98027.19","0.02"
"Hong Kong, China","Bahamas, The","2015.0","Export","70.0","1.74","2622.6","0.0"
"Hong Kong, China","Bosnia and Herzegovina","2015.0","Export","82.0","2.04","24399.17","0.0"
"Hong Kong, China","Belarus","2015.0","Export","166.0","4.12","49267.87","0.01"
"Hong Kong, China","Belize","2015.0","Export","40.0","0.99","1673.26","0.0"
"Hong Kong, China","Bolivia","2015.0","Export","203.0","5.04","68325.34","0.01"
"Hong Kong, China","Brazil","2015.0","Export","910.0","22.6","1375629.37","0.27"
"Hong Kong, China","Barbados","2015.0","Export","53.0","1.32","7198.6","0.0"
"Hong Kong, China","Brunei","2015.0","Export","304.0","7.55","22496.81","0.0"
"Hong Kong, China","Bhutan","2015.0","Export","30.0","0.75","732.0","0.0"
"Hong Kong, China","Botswana","2015.0","Export","62.0","1.54","18695.9","0.0"
