"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Croatia","Aruba","2015.0","Export","3.0","0.08","10.57","0.0"
"Croatia","Afghanistan","2015.0","Export","3.0","0.08","118.31","0.0"
"Croatia","Angola","2015.0","Export","12.0","0.31","231.72","0.0"
"Croatia","Albania","2015.0","Export","709.0","18.14","75184.29","0.59"
"Croatia","Andorra","2015.0","Export","4.0","0.1","188.76","0.0"
"Croatia","United Arab Emirates","2015.0","Export","350.0","8.95","35018.06","0.27"
"Croatia","Argentina","2015.0","Export","22.0","0.56","1443.53","0.01"
"Croatia","Armenia","2015.0","Export","70.0","1.79","1906.94","0.01"
"Croatia","Australia","2015.0","Export","255.0","6.52","17664.09","0.14"
"Croatia","Austria","2015.0","Export","1597.0","40.85","840876.57","6.55"
"Croatia","Azerbaijan","2015.0","Export","79.0","2.02","4646.77","0.04"
"Croatia","Burundi","2015.0","Export","","","",""
"Croatia","Belgium","2015.0","Export","583.0","14.91","170264.92","1.33"
"Croatia","Benin","2015.0","Export","2.0","0.05","28.78","0.0"
"Croatia","Burkina Faso","2015.0","Export","1.0","0.03","3.42","0.0"
"Croatia","Bangladesh","2015.0","Export","23.0","0.59","6403.29","0.05"
"Croatia","Bulgaria","2015.0","Export","663.0","16.96","75260.99","0.59"
"Croatia","Bahrain","2015.0","Export","50.0","1.28","7693.03","0.06"
"Croatia","Bahamas, The","2015.0","Export","3.0","0.08","8.21","0.0"
"Croatia","Bosnia and Herzegovina","2015.0","Export","3143.0","80.4","1248870.8","9.72"
"Croatia","Belarus","2015.0","Export","111.0","2.84","27415.32","0.21"
"Croatia","Belize","2015.0","Export","2.0","0.05","476.95","0.0"
"Croatia","Bermuda","2015.0","Export","","","",""
"Croatia","Bolivia","2015.0","Export","1.0","0.03","0.01","0.0"
"Croatia","Brazil","2015.0","Export","84.0","2.15","14457.0","0.11"
"Croatia","Barbados","2015.0","Export","1.0","0.03","32.34","0.0"
"Croatia","Brunei","2015.0","Export","1.0","0.03","4.17","0.0"
"Croatia","Bunkers","2015.0","Export","241.0","6.17","10715.68","0.08"
"Croatia","Botswana","2015.0","Export","5.0","0.13","0.7","0.0"
"Croatia","Central African Republic","2015.0","Export","3.0","0.08","33.94","0.0"
"Croatia","Canada","2015.0","Export","347.0","8.88","31220.76","0.24"
"Croatia","Switzerland","2015.0","Export","850.0","21.74","148275.4","1.15"
"Croatia","Chile","2015.0","Export","67.0","1.71","983.13","0.01"
"Croatia","China","2015.0","Export","332.0","8.49","77335.85","0.6"
