"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Hungary","Aruba","2015.0","Export","23.0","0.57","425.31","0.0"
"Hungary","Afghanistan","2015.0","Export","85.0","2.12","6094.63","0.01"
"Hungary","Angola","2015.0","Export","68.0","1.7","5815.17","0.01"
"Hungary","Anguila","2015.0","Export","1.0","0.02","6.31","0.0"
"Hungary","Albania","2015.0","Export","791.0","19.73","61563.34","0.06"
"Hungary","Andorra","2015.0","Export","30.0","0.75","35.71","0.0"
"Hungary","United Arab Emirates","2015.0","Export","700.0","17.46","212133.39","0.21"
"Hungary","Argentina","2015.0","Export","226.0","5.64","47057.95","0.05"
"Hungary","Armenia","2015.0","Export","246.0","6.13","15068.15","0.01"
"Hungary","Fr. So. Ant. Tr","2015.0","Export","26.0","0.65","83.65","0.0"
"Hungary","Antigua and Barbuda","2015.0","Export","7.0","0.17","804.83","0.0"
"Hungary","Australia","2015.0","Export","699.0","17.43","435408.7","0.43"
"Hungary","Austria","2015.0","Export","2556.0","63.74","4793650.72","4.78"
"Hungary","Azerbaijan","2015.0","Export","375.0","9.35","65233.65","0.07"
"Hungary","Burundi","2015.0","Export","2.0","0.05","203.45","0.0"
"Hungary","Belgium","2015.0","Export","1431.0","35.69","1841526.08","1.84"
"Hungary","Benin","2015.0","Export","31.0","0.77","5891.02","0.01"
"Hungary","Bonaire","2015.0","Export","6.0","0.15","7.15","0.0"
"Hungary","Burkina Faso","2015.0","Export","15.0","0.37","2747.28","0.0"
"Hungary","Bangladesh","2015.0","Export","220.0","5.49","10195.88","0.01"
"Hungary","Bulgaria","2015.0","Export","1924.0","47.98","1038441.95","1.04"
"Hungary","Bahrain","2015.0","Export","166.0","4.14","13908.2","0.01"
"Hungary","Bahamas, The","2015.0","Export","9.0","0.22","533.15","0.0"
"Hungary","Bosnia and Herzegovina","2015.0","Export","1470.0","36.66","332376.68","0.33"
"Hungary","Saint Barthélemy","2015.0","Export","1.0","0.02","232.76","0.0"
"Hungary","Belarus","2015.0","Export","668.0","16.66","134832.48","0.13"
"Hungary","Belize","2015.0","Export","7.0","0.17","3163.48","0.0"
"Hungary","Bermuda","2015.0","Export","6.0","0.15","349.2","0.0"
"Hungary","Bolivia","2015.0","Export","63.0","1.57","14554.71","0.01"
"Hungary","Brazil","2015.0","Export","567.0","14.14","271969.1","0.27"
"Hungary","Barbados","2015.0","Export","15.0","0.37","2484.24","0.0"
"Hungary","Brunei","2015.0","Export","9.0","0.22","1466.16","0.0"
"Hungary","Botswana","2015.0","Export","16.0","0.4","163.23","0.0"
"Hungary","Central African Republic","2015.0","Export","9.0","0.22","86.43","0.0"
"Hungary","Canada","2015.0","Export","710.0","17.71","272133.03","0.27"
"Hungary","Cocos (Keeling) Islands","2015.0","Export","","","",""
"Hungary","Switzerland","2015.0","Export","1925.0","48.01","938208.26","0.94"
"Hungary","Chile","2015.0","Export","322.0","8.03","72500.19","0.07"
"Hungary","China","2015.0","Export","1098.0","27.38","1796783.8","1.79"
"Hungary","Cote d'Ivoire","2015.0","Export","60.0","1.5","4015.57","0.0"
