"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Indonesia","Aruba","2015.0","Export","31.0","0.8","696.76","0.0"
"Indonesia","Afghanistan","2015.0","Export","44.0","1.13","36317.09","0.02"
"Indonesia","Angola","2015.0","Export","163.0","4.19","136969.96","0.09"
"Indonesia","Anguila","2015.0","Export","28.0","0.72","214.83","0.0"
"Indonesia","Albania","2015.0","Export","77.0","1.98","5484.15","0.0"
"Indonesia","Andorra","2015.0","Export","5.0","0.13","57.87","0.0"
"Indonesia","United Arab Emirates","2015.0","Export","1317.0","33.84","1926403.04","1.28"
"Indonesia","Argentina","2015.0","Export","419.0","10.77","237063.82","0.16"
"Indonesia","Armenia","2015.0","Export","10.0","0.26","2651.39","0.0"
"Indonesia","American Samoa","2015.0","Export","43.0","1.1","2122.76","0.0"
"Indonesia","Antigua and Barbuda","2015.0","Export","82.0","2.11","543.32","0.0"
"Indonesia","Australia","2015.0","Export","1874.0","48.15","3702296.01","2.46"
"Indonesia","Austria","2015.0","Export","380.0","9.76","29292.38","0.02"
"Indonesia","Azerbaijan","2015.0","Export","48.0","1.23","3252.28","0.0"
"Indonesia","Burundi","2015.0","Export","2.0","0.05","211.76","0.0"
"Indonesia","Belgium","2015.0","Export","1030.0","26.46","1113313.18","0.74"
"Indonesia","Benin","2015.0","Export","67.0","1.72","153441.81","0.1"
"Indonesia","Burkina Faso","2015.0","Export","29.0","0.75","10912.78","0.01"
"Indonesia","Bangladesh","2015.0","Export","535.0","13.75","1340794.19","0.89"
"Indonesia","Bulgaria","2015.0","Export","193.0","4.96","42298.69","0.03"
"Indonesia","Bahrain","2015.0","Export","316.0","8.12","52713.67","0.04"
"Indonesia","Bahamas, The","2015.0","Export","60.0","1.54","1013.75","0.0"
"Indonesia","Bosnia and Herzegovina","2015.0","Export","19.0","0.49","2495.52","0.0"
"Indonesia","Belarus","2015.0","Export","21.0","0.54","522.62","0.0"
"Indonesia","Belize","2015.0","Export","45.0","1.16","981.83","0.0"
"Indonesia","Bermuda","2015.0","Export","45.0","1.16","1224.52","0.0"
"Indonesia","Bolivia","2015.0","Export","60.0","1.54","16020.77","0.01"
"Indonesia","Brazil","2015.0","Export","736.0","18.91","1166012.28","0.78"
"Indonesia","Barbados","2015.0","Export","74.0","1.9","2566.02","0.0"
"Indonesia","Brunei","2015.0","Export","608.0","15.62","91229.77","0.06"
"Indonesia","Bhutan","2015.0","Export","14.0","0.36","552.41","0.0"
"Indonesia","Botswana","2015.0","Export","24.0","0.62","245.38","0.0"
"Indonesia","Central African Republic","2015.0","Export","9.0","0.23","326.68","0.0"
"Indonesia","Canada","2015.0","Export","911.0","23.41","722344.69","0.48"
"Indonesia","Cocos (Keeling) Islands","2015.0","Export","","","",""
