"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ireland","Aruba","2015.0","Export","4.0","0.11","31.97","0.0"
"Ireland","Afghanistan","2015.0","Export","24.0","0.65","4245.13","0.0"
"Ireland","Angola","2015.0","Export","83.0","2.25","12338.4","0.01"
"Ireland","Anguila","2015.0","Export","","","",""
"Ireland","Albania","2015.0","Export","84.0","2.28","7681.32","0.01"
"Ireland","Andorra","2015.0","Export","25.0","0.68","299.28","0.0"
"Ireland","United Arab Emirates","2015.0","Export","854.0","23.2","488576.13","0.39"
"Ireland","Argentina","2015.0","Export","143.0","3.88","120144.21","0.1"
"Ireland","Armenia","2015.0","Export","39.0","1.06","1569.4","0.0"
"Ireland","American Samoa","2015.0","Export","","","",""
"Ireland","Fr. So. Ant. Tr","2015.0","Export","","","",""
"Ireland","Antigua and Barbuda","2015.0","Export","9.0","0.24","219.31","0.0"
"Ireland","Australia","2015.0","Export","907.0","24.64","1025878.82","0.82"
"Ireland","Austria","2015.0","Export","506.0","13.75","465219.23","0.37"
"Ireland","Azerbaijan","2015.0","Export","85.0","2.31","8484.8","0.01"
"Ireland","Burundi","2015.0","Export","7.0","0.19","60.6","0.0"
"Ireland","Belgium","2015.0","Export","906.0","24.61","16128637.94","12.94"
"Ireland","Benin","2015.0","Export","33.0","0.9","7411.82","0.01"
"Ireland","Bonaire","2015.0","Export","1.0","0.03","0.77","0.0"
"Ireland","Burkina Faso","2015.0","Export","36.0","0.98","9351.09","0.01"
"Ireland","Bangladesh","2015.0","Export","58.0","1.58","10253.74","0.01"
"Ireland","Bulgaria","2015.0","Export","223.0","6.06","107743.05","0.09"
"Ireland","Bahrain","2015.0","Export","228.0","6.19","42483.24","0.03"
"Ireland","Bahamas, The","2015.0","Export","32.0","0.87","3382.71","0.0"
"Ireland","Bosnia and Herzegovina","2015.0","Export","93.0","2.53","12304.29","0.01"
"Ireland","Saint Barthélemy","2015.0","Export","2.0","0.05","0.33","0.0"
"Ireland","Belarus","2015.0","Export","142.0","3.86","5761.61","0.0"
